pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
304,92dd03371467091cad59969155dc51980b847264,e5531230e73344577b085d68546141c8cf6c0826,packages/cli/src/commands/__test__/__snapshots__/exportPreviews.test.ts.snap,packages/cli/src/commands/__test__/exportPreviews.test.ts,"## Describe your changes

- make export previews fail on lint errors unless `--skip-lint` is passed
- all previews are processed before reporting errors
- files written log in lexicographic order
- more whitespace

<img width=""657"" alt=""Screenshot 2022-11-01 at 10 20 08 AM"" src=""https://user-images.githubusercontent.com/282016/199296245-71f46c19-a4ef-40ae-9daf-91f06e26ad7d.png"">

<img width=""656"" alt=""Screenshot 2022-11-01 at 10 20 34 AM"" src=""https://user-images.githubusercontent.com/282016/199296338-d89a614e-11c7-409f-a0e0-49ca33bcb067.png"">

## Issue link

#298 

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","export-previews lints, halts on error unless no-lint is passed
","diff --git a/packages/cli/src/commands/__test__/exportPreviews.test.ts b/packages/cli/src/commands/__test__/exportPreviews.test.ts
index 9b74ac9..ddbab36 100644
--- a/packages/cli/src/commands/__test__/exportPreviews.test.ts
+++ b/packages/cli/src/commands/__test__/exportPreviews.test.ts
@@ -10,10 +10,11 @@ describe(""exportPreviews command"", () => {
     await handler({
       outDir: ""./out"",
       emailsDir: ""packages/cli/src/emails"",
+      skipLint: true,
     } as ExportPreviewsArgs);
     expect(error).not.toHaveBeenCalled();
     expect(log).toHaveBeenCalledWith(""Exporting preview html to"");
-    expect(log).toHaveBeenCalledWith(""✅ Processed 6 previews"");
+    expect(log).toHaveBeenCalledWith(""✅ Processed 6 previews\n"");
   });
 
   it(""errors without emails dir"", async () => {
@@ -23,6 +24,7 @@ describe(""exportPreviews command"", () => {
     await handler({
       outDir: ""./out"",
       emailsDir: ""./NoTaDiReCtOrY"",
+      skipLint: true,
     } as ExportPreviewsArgs);
     expect(error).toHaveBeenCalledWith(
       ""Could not find emails directory. Have you initialized the project with `mailing init`?""
@@ -31,14 +33,21 @@ describe(""exportPreviews command"", () => {
 
   describe(""cli"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews"");
+      const out = await execCli(""export-previews --skip-lint"");
       expect(out).toMatchSnapshot();
     });
   });
 
   describe(""cli --minify"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews --minify"");
+      const out = await execCli(""export-previews --minify --skip-lint"");
+      expect(out).toMatchSnapshot();
+    });
+  });
+
+  describe(""cli halts on lint errors"", () => {
+    it(""runs on templates"", async () => {
+      const out = await execCli(""export-previews"");
       expect(out).toMatchSnapshot();
     });
   });
",0,
304,92dd03371467091cad59969155dc51980b847264,d0f7da6a9aea323d9ccc6afc91b81898496c9fef,e2e/mailing_tests/jest/__snapshots__/exportPreviews.test.js.snap,e2e/mailing_tests/jest/exportPreviews.test.js,"## Describe your changes

- make export previews fail on lint errors unless `--skip-lint` is passed
- all previews are processed before reporting errors
- files written log in lexicographic order
- more whitespace

<img width=""657"" alt=""Screenshot 2022-11-01 at 10 20 08 AM"" src=""https://user-images.githubusercontent.com/282016/199296245-71f46c19-a4ef-40ae-9daf-91f06e26ad7d.png"">

<img width=""656"" alt=""Screenshot 2022-11-01 at 10 20 34 AM"" src=""https://user-images.githubusercontent.com/282016/199296338-d89a614e-11c7-409f-a0e0-49ca33bcb067.png"">

## Issue link

#298 

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","e2e tests
","diff --git a/e2e/mailing_tests/jest/exportPreviews.test.js b/e2e/mailing_tests/jest/exportPreviews.test.js
index bd783b6..5f1b5ba 100644
--- a/e2e/mailing_tests/jest/exportPreviews.test.js
+++ b/e2e/mailing_tests/jest/exportPreviews.test.js
@@ -3,14 +3,21 @@ import execCli from ""./util/execCli"";
 describe(""exportPreviews command"", () => {
   describe(""cli"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews"");
+      const out = await execCli(""export-previews --skip-lint"");
       expect(out).toMatchSnapshot();
     });
   });
 
   describe(""cli --minify"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews --minify"");
+      const out = await execCli(""export-previews --minify --skip-lint"");
+      expect(out).toMatchSnapshot();
+    });
+  });
+
+  describe(""cli halts on lint errors"", () => {
+    it(""runs on templates"", async () => {
+      const out = await execCli(""export-previews"");
       expect(out).toMatchSnapshot();
     });
   });
",0,
304,92dd03371467091cad59969155dc51980b847264,e5531230e73344577b085d68546141c8cf6c0826,packages/cli/src/commands/__test__/__snapshots__/exportPreviews.test.ts.snap,packages/cli/src/commands/__test__/exportPreviews.test.ts,"## Describe your changes

- make export previews fail on lint errors unless `--skip-lint` is passed
- all previews are processed before reporting errors
- files written log in lexicographic order
- more whitespace

<img width=""657"" alt=""Screenshot 2022-11-01 at 10 20 08 AM"" src=""https://user-images.githubusercontent.com/282016/199296245-71f46c19-a4ef-40ae-9daf-91f06e26ad7d.png"">

<img width=""656"" alt=""Screenshot 2022-11-01 at 10 20 34 AM"" src=""https://user-images.githubusercontent.com/282016/199296338-d89a614e-11c7-409f-a0e0-49ca33bcb067.png"">

## Issue link

#298 

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","export-previews lints, halts on error unless no-lint is passed
","diff --git a/packages/cli/src/commands/__test__/exportPreviews.test.ts b/packages/cli/src/commands/__test__/exportPreviews.test.ts
index 9b74ac9..ddbab36 100644
--- a/packages/cli/src/commands/__test__/exportPreviews.test.ts
+++ b/packages/cli/src/commands/__test__/exportPreviews.test.ts
@@ -10,10 +10,11 @@ describe(""exportPreviews command"", () => {
     await handler({
       outDir: ""./out"",
       emailsDir: ""packages/cli/src/emails"",
+      skipLint: true,
     } as ExportPreviewsArgs);
     expect(error).not.toHaveBeenCalled();
     expect(log).toHaveBeenCalledWith(""Exporting preview html to"");
-    expect(log).toHaveBeenCalledWith(""✅ Processed 6 previews"");
+    expect(log).toHaveBeenCalledWith(""✅ Processed 6 previews\n"");
   });
 
   it(""errors without emails dir"", async () => {
@@ -23,6 +24,7 @@ describe(""exportPreviews command"", () => {
     await handler({
       outDir: ""./out"",
       emailsDir: ""./NoTaDiReCtOrY"",
+      skipLint: true,
     } as ExportPreviewsArgs);
     expect(error).toHaveBeenCalledWith(
       ""Could not find emails directory. Have you initialized the project with `mailing init`?""
@@ -31,14 +33,21 @@ describe(""exportPreviews command"", () => {
 
   describe(""cli"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews"");
+      const out = await execCli(""export-previews --skip-lint"");
       expect(out).toMatchSnapshot();
     });
   });
 
   describe(""cli --minify"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews --minify"");
+      const out = await execCli(""export-previews --minify --skip-lint"");
+      expect(out).toMatchSnapshot();
+    });
+  });
+
+  describe(""cli halts on lint errors"", () => {
+    it(""runs on templates"", async () => {
+      const out = await execCli(""export-previews"");
       expect(out).toMatchSnapshot();
     });
   });
",0,
304,92dd03371467091cad59969155dc51980b847264,d0f7da6a9aea323d9ccc6afc91b81898496c9fef,e2e/mailing_tests/jest/__snapshots__/exportPreviews.test.js.snap,e2e/mailing_tests/jest/exportPreviews.test.js,"## Describe your changes

- make export previews fail on lint errors unless `--skip-lint` is passed
- all previews are processed before reporting errors
- files written log in lexicographic order
- more whitespace

<img width=""657"" alt=""Screenshot 2022-11-01 at 10 20 08 AM"" src=""https://user-images.githubusercontent.com/282016/199296245-71f46c19-a4ef-40ae-9daf-91f06e26ad7d.png"">

<img width=""656"" alt=""Screenshot 2022-11-01 at 10 20 34 AM"" src=""https://user-images.githubusercontent.com/282016/199296338-d89a614e-11c7-409f-a0e0-49ca33bcb067.png"">

## Issue link

#298 

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","e2e tests
","diff --git a/e2e/mailing_tests/jest/exportPreviews.test.js b/e2e/mailing_tests/jest/exportPreviews.test.js
index bd783b6..5f1b5ba 100644
--- a/e2e/mailing_tests/jest/exportPreviews.test.js
+++ b/e2e/mailing_tests/jest/exportPreviews.test.js
@@ -3,14 +3,21 @@ import execCli from ""./util/execCli"";
 describe(""exportPreviews command"", () => {
   describe(""cli"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews"");
+      const out = await execCli(""export-previews --skip-lint"");
       expect(out).toMatchSnapshot();
     });
   });
 
   describe(""cli --minify"", () => {
     it(""runs on templates"", async () => {
-      const out = await execCli(""export-previews --minify"");
+      const out = await execCli(""export-previews --minify --skip-lint"");
+      expect(out).toMatchSnapshot();
+    });
+  });
+
+  describe(""cli halts on lint errors"", () => {
+    it(""runs on templates"", async () => {
+      const out = await execCli(""export-previews"");
       expect(out).toMatchSnapshot();
     });
   });
",0,
364,7b87bf8721c3ad5480d5eac2d961d95f011b43e7,d17e8045bd36e98e23b7ab774247bebf615bd6f9,packages/cli/src/pages/api/previews/__test__/__snapshots__/index.test.tsx.snap,packages/cli/src/pages/api/previews/__test__/index.test.tsx,"## Describe your changes
Adds the ability to define email subjects along side an email template, and uses that when sending emails if no subject is passed in.

## Issue link
Part of #348


## Checklist before requesting a review

- [X] I have performed a self-review of my code
- [X] If it is a core feature, I have added thorough tests.
","use jsdom-env, add more tests
","diff --git a/packages/cli/src/pages/api/previews/__test__/index.test.tsx b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
new file mode 100644
index 0000000..b81437c
--- /dev/null
+++ b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
@@ -0,0 +1,37 @@
+import { NextApiRequest, NextApiResponse } from ""next"";
+import { createMocks } from ""node-mocks-http"";
+import index from "".."";
+
+describe(""index"", () => {
+  it(""should return previews"", async () => {
+    const { req, res } = createMocks({
+      method: ""GET"",
+    });
+
+    await index(
+      req as unknown as NextApiRequest,
+      res as unknown as NextApiResponse
+    );
+
+    expect(res.statusCode).toBe(200);
+    const json = res._getJSONData();
+    expect(json).toMatchSnapshot();
+  });
+
+  it(""should return template subject if it exists"", async () => {
+    const { req, res } = createMocks({
+      method: ""GET"",
+    });
+
+    await index(
+      req as unknown as NextApiRequest,
+      res as unknown as NextApiResponse
+    );
+
+    expect(res.statusCode).toBe(200);
+    const json = res._getJSONData();
+    expect(json[""previewText""][""/previews/AccountCreated/accountCreated""]).toBe(
+      ""Welcome to BookBook, Amelita!""
+    );
+  });
+});
",0,
364,7b87bf8721c3ad5480d5eac2d961d95f011b43e7,d17e8045bd36e98e23b7ab774247bebf615bd6f9,packages/cli/src/pages/api/previews/__test__/__snapshots__/index.test.tsx.snap,packages/cli/src/pages/api/previews/__test__/index.test.tsx,"## Describe your changes
Adds the ability to define email subjects along side an email template, and uses that when sending emails if no subject is passed in.

## Issue link
Part of #348


## Checklist before requesting a review

- [X] I have performed a self-review of my code
- [X] If it is a core feature, I have added thorough tests.
","use jsdom-env, add more tests
","diff --git a/packages/cli/src/pages/api/previews/__test__/index.test.tsx b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
new file mode 100644
index 0000000..b81437c
--- /dev/null
+++ b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
@@ -0,0 +1,37 @@
+import { NextApiRequest, NextApiResponse } from ""next"";
+import { createMocks } from ""node-mocks-http"";
+import index from "".."";
+
+describe(""index"", () => {
+  it(""should return previews"", async () => {
+    const { req, res } = createMocks({
+      method: ""GET"",
+    });
+
+    await index(
+      req as unknown as NextApiRequest,
+      res as unknown as NextApiResponse
+    );
+
+    expect(res.statusCode).toBe(200);
+    const json = res._getJSONData();
+    expect(json).toMatchSnapshot();
+  });
+
+  it(""should return template subject if it exists"", async () => {
+    const { req, res } = createMocks({
+      method: ""GET"",
+    });
+
+    await index(
+      req as unknown as NextApiRequest,
+      res as unknown as NextApiResponse
+    );
+
+    expect(res.statusCode).toBe(200);
+    const json = res._getJSONData();
+    expect(json[""previewText""][""/previews/AccountCreated/accountCreated""]).toBe(
+      ""Welcome to BookBook, Amelita!""
+    );
+  });
+});
",0,
413,1d03989870b2d198675e8dfe31d6d2272cf6e8dc,919e2445ab1264e22bbac3912d9897331c07274d,packages/cli/src/pages/api/previews/__test__/__snapshots__/index.test.tsx.snap,packages/cli/src/pages/api/previews/__test__/index.test.tsx,"## Describe your changes

before
<img width=""296"" alt=""Screen Shot 2022-12-07 at 10 49 05 PM"" src=""https://user-images.githubusercontent.com/282016/206378076-7076b97d-1a7c-4113-9bc5-95c8a58b3490.png"">

after
<img width=""304"" alt=""Screen Shot 2022-12-07 at 10 44 00 PM"" src=""https://user-images.githubusercontent.com/282016/206377059-0e9d958a-9c1f-46b4-a770-ef61c203bbde.png"">


## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","show subject and preview text in ClientView
","diff --git a/packages/cli/src/pages/api/previews/__test__/index.test.tsx b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
index b81437c..1ca3b52 100644
--- a/packages/cli/src/pages/api/previews/__test__/index.test.tsx
+++ b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
@@ -30,8 +30,8 @@ describe(""index"", () => {
 
     expect(res.statusCode).toBe(200);
     const json = res._getJSONData();
-    expect(json[""previewText""][""/previews/AccountCreated/accountCreated""]).toBe(
-      ""Welcome to BookBook, Amelita!""
-    );
+    expect(
+      json[""previewInfo""][""/previews/AccountCreated/accountCreated""]
+    ).toMatchSnapshot();
   });
 });
",0,
413,1d03989870b2d198675e8dfe31d6d2272cf6e8dc,919e2445ab1264e22bbac3912d9897331c07274d,packages/cli/src/pages/api/previews/__test__/__snapshots__/index.test.tsx.snap,packages/cli/src/pages/api/previews/__test__/index.test.tsx,"## Describe your changes

before
<img width=""296"" alt=""Screen Shot 2022-12-07 at 10 49 05 PM"" src=""https://user-images.githubusercontent.com/282016/206378076-7076b97d-1a7c-4113-9bc5-95c8a58b3490.png"">

after
<img width=""304"" alt=""Screen Shot 2022-12-07 at 10 44 00 PM"" src=""https://user-images.githubusercontent.com/282016/206377059-0e9d958a-9c1f-46b4-a770-ef61c203bbde.png"">


## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [x] If it is a core feature, I have added thorough tests.
","show subject and preview text in ClientView
","diff --git a/packages/cli/src/pages/api/previews/__test__/index.test.tsx b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
index b81437c..1ca3b52 100644
--- a/packages/cli/src/pages/api/previews/__test__/index.test.tsx
+++ b/packages/cli/src/pages/api/previews/__test__/index.test.tsx
@@ -30,8 +30,8 @@ describe(""index"", () => {
 
     expect(res.statusCode).toBe(200);
     const json = res._getJSONData();
-    expect(json[""previewText""][""/previews/AccountCreated/accountCreated""]).toBe(
-      ""Welcome to BookBook, Amelita!""
-    );
+    expect(
+      json[""previewInfo""][""/previews/AccountCreated/accountCreated""]
+    ).toMatchSnapshot();
   });
 });
",0,
482,696ab4846fc9656c29a4d47d93120887488e10f2,696ab4846fc9656c29a4d47d93120887488e10f2,packages/cli/src/components/IndexPane/hooks/__test__/__snapshots__/usePreviewTree.test.ts.snap,packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts,"## Describe your changes
Decode URI components when reading path to later find proper cursor fro tree view

## Issue link
https://github.com/sofn-xyz/mailing/issues/464

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [ ] If it is a core feature, I have added thorough tests.
","Decode URI component when reading URL path
","diff --git a/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts b/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
index 9735262..50b9986 100644
--- a/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
+++ b/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
@@ -17,7 +17,7 @@ describe(""usePreviewTree"", () => {
       ""Reservation"",
       [""reservationCanceled"", ""reservationChanged"", ""reservationConfirmed""],
     ],
-    [""ResetPassword"", [""resetPassword""]],
+    [""ResetPassword"", [""reset Password""]],
   ];
 
   it(""sets routes and cursor from previews"", () => {
@@ -41,6 +41,13 @@ describe(""usePreviewTree"", () => {
     expect(cursor).toBe(3);
   });
 
+  it(""sets cursor from previews when preview contains uri encoded char"", () => {
+    mockRouter.setCurrentUrl(""/previews/ResetPassword/reset%20Password"");
+    const { result } = renderHook(() => usePreviewTree(previews));
+    const { cursor } = result.current;
+    expect(cursor).toBe(10);
+  });
+
   it(""navigates up down left right"", () => {
     const { result } = renderHook(() => usePreviewTree(previews));
     act(result.current.up);
",0,
482,696ab4846fc9656c29a4d47d93120887488e10f2,696ab4846fc9656c29a4d47d93120887488e10f2,packages/cli/src/components/IndexPane/hooks/__test__/__snapshots__/usePreviewTree.test.ts.snap,packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts,"## Describe your changes
Decode URI components when reading path to later find proper cursor fro tree view

## Issue link
https://github.com/sofn-xyz/mailing/issues/464

## Checklist before requesting a review

- [x] I have performed a self-review of my code
- [ ] If it is a core feature, I have added thorough tests.
","Decode URI component when reading URL path
","diff --git a/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts b/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
index 9735262..50b9986 100644
--- a/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
+++ b/packages/cli/src/components/IndexPane/hooks/__test__/usePreviewTree.test.ts
@@ -17,7 +17,7 @@ describe(""usePreviewTree"", () => {
       ""Reservation"",
       [""reservationCanceled"", ""reservationChanged"", ""reservationConfirmed""],
     ],
-    [""ResetPassword"", [""resetPassword""]],
+    [""ResetPassword"", [""reset Password""]],
   ];
 
   it(""sets routes and cursor from previews"", () => {
@@ -41,6 +41,13 @@ describe(""usePreviewTree"", () => {
     expect(cursor).toBe(3);
   });
 
+  it(""sets cursor from previews when preview contains uri encoded char"", () => {
+    mockRouter.setCurrentUrl(""/previews/ResetPassword/reset%20Password"");
+    const { result } = renderHook(() => usePreviewTree(previews));
+    const { cursor } = result.current;
+    expect(cursor).toBe(10);
+  });
+
   it(""navigates up down left right"", () => {
     const { result } = renderHook(() => usePreviewTree(previews));
     act(result.current.up);
",0,
