pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1058,ecbbdfe41ace5a00d1da0faf52030ca5524d714b,ecbbdfe41ace5a00d1da0faf52030ca5524d714b,Fix tests and update examples,"Fix tests and update examples
","diff --git a/tests/schema/computedInputs.test.ts b/tests/schema/computedInputs.test.ts
index 17d8ad4..840cd42 100644
--- a/tests/schema/computedInputs.test.ts
+++ b/tests/schema/computedInputs.test.ts
@@ -50,6 +50,8 @@ const globalTestData = {
     id Int @id @default(autoincrement())
     name String
     createdWithBrowser String
+    userId Int
+    user User @relation(fields: [userId], references: [id])
   }
 `,
   query: Nexus.queryType({
",0,,9,140,1,2,9,352
481,ca22bb0235462835777f0e727af2dc0cfbfd8bc7,ca22bb0235462835777f0e727af2dc0cfbfd8bc7,"BREAKING CHANGE: publishers accessed using old lower-case naming will break

- Introduce a new dep: [`camelcase`](https://github.com/sindresorhus/camelcase)
- Fixes #435","fix: generated publishers are now all camel-cased

BREAKING CHANGE: publishers accessed using old lower-case naming will break
","diff --git a/tests/naming.test.ts b/tests/naming.test.ts
new file mode 100644
index 0000000..717c00c
--- /dev/null
+++ b/tests/naming.test.ts
@@ -0,0 +1,45 @@
+import * as Nexus from 'nexus'
+import { generateSchemaAndTypes } from './__utils'
+
+it('generates publishers pluralized & camel-cased', async () => {
+  const datamodel = `
+  model ModelName {
+    id    Int @id
+    name  String
+  }
+`
+
+  const ModelName = Nexus.objectType({
+    name: 'ModelName',
+    definition(t: any) {
+      t.model.id()
+    },
+  })
+  const Query = Nexus.objectType({
+    name: 'Query',
+    definition(t: any) {
+      t.crud.modelName()
+      t.crud.modelNames()
+    },
+  })
+
+  const Mutation = Nexus.objectType({
+    name: 'Mutation',
+    definition(t: any) {
+      t.crud.createOneModelName()
+      t.crud.deleteOneModelName()
+      t.crud.updateOneModelName()
+      t.crud.upsertOneModelName()
+      t.crud.updateManyModelName()
+    },
+  })
+
+  const { schema, typegen } = await generateSchemaAndTypes(datamodel, [
+    Query,
+    Mutation,
+    ModelName,
+  ])
+
+  expect(schema).toMatchSnapshot('schema')
+  expect(typegen).toMatchSnapshot('typegen')
+})
",0,,5,394,1,1,5,394
487,60d158be128a8eb196607d1f4a727eb056f0aefb,8e16b9cb71e35ab2092d9389ce393b5af6a4ac32,Fixes #486,"fix: publish scalars from input types
","diff --git a/tests/outputs.test.ts b/tests/outputs.test.ts
index c597e60..c5fef05 100644
--- a/tests/outputs.test.ts
+++ b/tests/outputs.test.ts
@@ -1,5 +1,8 @@
 import * as Nexus from 'nexus'
-import { generateSchemaAndTypesWithoutThrowing } from './__utils'
+import {
+  generateSchemaAndTypes,
+  generateSchemaAndTypesWithoutThrowing,
+} from './__utils'
 
 it('only publishes output types that do not map to prisma models', async () => {
   const datamodel = `
@@ -29,3 +32,34 @@ it('only publishes output types that do not map to prisma models', async () => {
 
   expect(Object.keys(missingTypes)).toEqual(['User'])
 })
+
+it('publishes scalars from input types', async () => {
+  const datamodel = `
+  model User {
+    id  Int @id
+    date DateTime
+  }
+  `
+
+  const User = Nexus.objectType({
+    name: 'User',
+    definition(t: any) {
+      t.model.id()
+    },
+  })
+
+  const Query = Nexus.objectType({
+    name: 'Query',
+    definition(t: any) {
+      t.crud.users({ filtering: true })
+    },
+  })
+
+  const { schema, typegen } = await generateSchemaAndTypes(datamodel, [
+    Query,
+    User,
+  ])
+
+  expect(schema).toMatchSnapshot('schema')
+  expect(typegen).toMatchSnapshot('typegen')
+})
",0,,4,404,1,2,5,405
539,5eece1184fc0c3dcdeffcd7dd135d0bfcc6754f9,b7bfc40ad680a57f32f438b19daf610ce78fea1b,,"update tests
","diff --git a/tests/app.test.ts b/tests/app.test.ts
index 54c1d94..4fa1b7f 100644
--- a/tests/app.test.ts
+++ b/tests/app.test.ts
@@ -77,10 +77,10 @@ it('integrates together', async () => {
     '/generated/nexus-typegen.d.ts',
   )
   const photonTSD = await projectReadFile(
-    '../../node_modules/@generated/photon/index.d.ts',
+    '../../node_modules/@prisma/photon/index.d.ts',
   )
   const photonSource = (await projectReadFile(
-    '../../node_modules/@generated/photon/index.js',
+    '../../node_modules/@prisma/photon/index.js',
   ))
     .replace(
       /(path\.join\(__dirname, 'runtime\/).*('\);)/,
@@ -95,7 +95,7 @@ it('integrates together', async () => {
   expect(nexusCoreTypegen).toMatchSnapshot('nexus core typegen')
   expect(photonTSD).toMatchSnapshot('photon typescript declaration')
   expect(photonSource).toMatchSnapshot('photon source code')
-  expect(require('@generated/photon').dmmf).toMatchSnapshot('photon dmmf')
+  expect(require('@prisma/photon').dmmf).toMatchSnapshot('photon dmmf')
 
   // Assert the app type checks. In effect this is testing that our
   // typegen works.
",0,,22,111,4,14,28,4683
596,a03d1f472e216f3d4e835cc56f6ea159aee94e81,a03d1f472e216f3d4e835cc56f6ea159aee94e81,,"test: add test for prisma-client preview021
","diff --git a/tests/computedInputs.test.ts b/tests/computedInputs.test.ts
deleted file mode 100644
index 5767d64..0000000
--- a/tests/computedInputs.test.ts
+++ /dev/null
@@ -1,270 +0,0 @@
-import * as Nexus from 'nexus'
-import { getDmmf, generateSchemaAndTypes } from './__utils'
-
-// TODO: Split local and global computedInputs into their own suites
-
-const resolverTestData = {
-  datamodel: `
-  model User {
-    id  Int @id @default(autoincrement())
-    name String
-    createdWithBrowser String
-  }
-`,
-  query: Nexus.queryType({
-    definition(t: any) {
-      t.crud.user()
-    },
-  }),
-  mutation: Nexus.mutationType({
-    definition(t: any) {
-      t.crud.createOneUser({
-        computedInputs: {
-          createdWithBrowser: ({ ctx }) => ctx.browser,
-        } as GlobalComputedInputs,
-      })
-    },
-  }),
-  user: Nexus.objectType({
-    name: 'User',
-    definition: (t: any) => {
-      t.model.id()
-      t.model.name()
-      t.model.createdWithBrowser()
-    },
-  }),
-}
-
-const globalTestData = {
-  datamodel: `
-  model User {
-    id  Int @id @default(autoincrement())
-    name String
-    nested Nested[]
-    createdWithBrowser String
-  }
-
-  model Nested {
-    id Int @id @default(autoincrement())
-    name String
-    createdWithBrowser String
-  }
-`,
-  query: Nexus.queryType({
-    definition(t: any) {
-      t.crud.user()
-    },
-  }),
-  mutation: Nexus.mutationType({
-    definition(t: any) {
-      t.crud.createOneUser()
-      t.crud.createOneNested()
-    },
-  }),
-  user: Nexus.objectType({
-    name: 'User',
-    definition: (t: any) => {
-      t.model.id()
-      t.model.name()
-      t.model.nested()
-      t.model.createdWithBrowser()
-    },
-  }),
-  nested: Nexus.objectType({
-    name: 'Nested',
-    definition: (t: any) => {
-      t.model.id()
-      t.model.createdWithBrowser()
-      t.model.name()
-    },
-  }),
-}
-
