pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/loader.test.js b/test/loader.test.js
index 23eea9a..b3a06fb 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,151 +1,20 @@
-/* eslint-disable no-useless-escape, no-unused-vars */
-import loader from '../src';
-
-const run = function run(resourcePath, query, content = new Buffer('1234')) {
-  let file = null;
-
-  const context = {
-    resourcePath,
-    query: `?${query || ''}`,
-    options: {
-      context: '/this/is/the/context',
-    },
-    emitFile(url, content2) {
-      expect(content2).toEqual(content);
-      file = url;
-    },
-  };
-
-  const result = loader.call(context, content);
-
-  return {
-    file,
-    result,
-  };
-};
-
-function runWithOptions(resourcePath, options, content = new Buffer('1234')) {
-  let file = null;
-
-  const context = {
-    resourcePath,
-    query: options,
-    options: {
-      context: '/this/is/the/context',
-    },
-    emitFile(url, content2) {
-      expect(content2).toEqual(content);
-      file = url;
-    },
-  };
-
-  const result = loader.call(context, content);
-
-  return {
-    file,
-    result,
-  };
-}
-const test = function test(excepted, resourcePath, query, content) {
-  expect(run(resourcePath, query, content).file).toEqual(excepted);
-};
-
-describe('correct-filename', () => {
-  it('should process defaults correctly', () => {
-    test('81dc9bdb52d04dc20036dbd8313ed055.txt', '/file.txt', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.png', '/file.png', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.txt', 'file.txt', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.bin', '', '');
-  });
-
-  it('should process name correctly', () => {
-    test('file.txt', '/file.txt', 'name=[name].[ext]');
-    test('file.png', '/file.png', 'name=[name].[ext]');
-    test('file.txt', 'file.txt', 'name=[name].[ext]');
-    test('file.bin', '', 'name=[name].[ext]');
-    test('file', '/file.txt', 'name=[name]');
-    test('81dc9bdb52d04dc20036dbd8313ed055', '/file.txt', 'name=[hash]');
-    test('81dc9bdb52d04dc20036dbd8313ed055/file.txt', '/file.txt', 'name=[hash]/[name].[ext]');
-    test('file.txt', '/this/is/the/context/file.txt', 'name=[path][name].[ext]');
-    test('dir/file.txt', '/this/is/the/context/dir/file.txt', 'name=[path][name].[ext]');
-    test('dir/sub/file.txt', '/this/is/the/context/dir/sub/file.txt', 'name=[path][name].[ext]');
-    test('_/_/dir/sub/file.txt', '/this/is/dir/sub/file.txt', 'name=[path][name].[ext]');
-    test('dir/sub/file.txt', '/this/is/dir/sub/file.txt', 'name=[path][name].[ext]&context=/this/is');
-  });
-
-  it('should process hash correctly', () => {
-    test('d93591bdf7860e1e4ee2fca799911215.txt', '/file.txt', '', new Buffer('4321'));
-  });
-
-  it('should process hash options correctly', () => {
-    test('81dc9.txt', '/file.txt', 'name=[hash:5].[ext]');
-    test('d4045.txt', '/file.txt', 'name=[sha512:hash:5].[ext]');
-    test('1lQ3UNSdIS0c9dQ5brCZO1.txt', '/file.txt', 'name=[hash:base64].[ext]');
-    test('caYJDUvUOiGAdDsiHKffIEj.txt', '/file.txt', 'name=[hash:base52].[ext]');
-    test('sntmopgidsdqrofkjywoyldtiij.txt', '/file.txt', 'name=[hash:base26].[ext]');
-    test('sntmopgids.txt', '/file.txt', 'name=[hash:base26:10].[ext]');
-  });
-});
-
-describe('publicPath option', () => {
-  it('should be supported', () => {
-    expect(run('/file.txt', 'publicPath=http://cdn/').result).toEqual(
-      'module.exports = ""http://cdn/81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-
-  it('should override public path when given empty string', () => {
-    expect(run('/file.txt', 'publicPath=').result).toEqual(
-      'module.exports = ""81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-
-  it('should use webpack public path when not set', () => {
-    expect(run('/file.txt').result).toEqual(
-      'module.exports = __webpack_public_path__ + ""81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-});
-
-describe('useRelativePath option', () => {
-  it('should be supported', () => {
-    expect(run('/this/is/the/context/file.txt', 'useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""./81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/is/file.txt', 'useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""../../81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/file.txt', 'context=/this/is/the/&useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""../../81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/file.txt', 'context=/&useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""this/81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-  });
-});
-
-describe('outputPath function', () => {
-  it('should be supported', () => {
-    const options = {};
-    options.outputPath = value => '/path/set/by/func';
-
-    expect(runWithOptions('/this/is/the/context/file.txt', options).result)
-      .toEqual(
-        'module.exports = __webpack_public_path__ + \""/path/set/by/func\"";',
-      );
-  });
-
-  it('should be ignored if you set useRelativePath', () => {
-    const options = {};
-    options.outputPath = value => '/path/set/by/func';
-    options.useRelativePath = true;
-
-    expect(runWithOptions('/this/is/the/context/file.txt', options).result)
-      .toEqual(
-        'module.exports = __webpack_public_path__ + \""./81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-      );
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from './helpers/compiler';
+
+describe('Loader', () => {
+  test('Defaults', async () => {
+    const config = {
+      loader: {
+        test: /(png|jpg|svg)/,
+        options: {},
+      },
+    };
+
+    const stats = await webpack('fixture.js', config);
+    const { source } = stats.toJson().modules[1];
+
+    expect(source).toMatchSnapshot();
   });
 });
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/context.test.js.snap,test/options/context.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/context.test.js b/test/options/context.test.js
new file mode 100644
index 0000000..dede935
--- /dev/null
+++ b/test/options/context.test.js
@@ -0,0 +1,24 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('context', () => {
+    test('{String}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            context: `${__dirname}`,
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/emitFile.test.js.snap,test/options/emitFile.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/emitFile.test.js b/test/options/emitFile.test.js
new file mode 100644
index 0000000..2915e85
--- /dev/null
+++ b/test/options/emitFile.test.js
@@ -0,0 +1,42 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('emitFile', () => {
+    describe('{Boolean}', () => {
+      test('True (Default)', async () => {
+        const config = {
+          loader: {
+            test: /(png|jpg|svg)/,
+            options: {
+              emitFile: true,
+            },
+          },
+        };
+
+        const stats = await webpack('emitFile/fixture.js', config);
+        const { assets } = stats.toJson().modules[1];
+
+        expect(assets[0]).toMatchSnapshot();
+      });
+
+      test('False', async () => {
+        const config = {
+          loader: {
+            test: /(png|jpg|svg)/,
+            options: {
+              emitFile: false,
+            },
+          },
+        };
+
+        const stats = await webpack('emitFile/fixture.js', config);
+        const { assets } = stats.toJson().modules[1];
+
+        expect(assets[0]).toBe(undefined);
+      });
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/name.test.js.snap,test/options/name.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/name.test.js b/test/options/name.test.js
new file mode 100644
index 0000000..89022e0
--- /dev/null
+++ b/test/options/name.test.js
@@ -0,0 +1,42 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('name', () => {
+    test('{String}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            name: '[hash].[ext]',
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+
+    test('{Function}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            name() {
+              return '[hash].[ext]';
+            },
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/outputPath.test.js.snap,test/options/outputPath.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/outputPath.test.js b/test/options/outputPath.test.js
new file mode 100644
index 0000000..e58fc83
--- /dev/null
+++ b/test/options/outputPath.test.js
@@ -0,0 +1,42 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('outputPath', () => {
+    test('{String}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            outputPath: '/test/',
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+
+    test('{Function}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            outputPath(url) {
+              return `test/${url}`;
+            },
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/publicPath.test.js.snap,test/options/publicPath.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/publicPath.test.js b/test/options/publicPath.test.js
new file mode 100644
index 0000000..b11ac83
--- /dev/null
+++ b/test/options/publicPath.test.js
@@ -0,0 +1,42 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('publicPath', () => {
+    test('{String}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            publicPath: '/test/',
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+
+    test('{Function}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            publicPath(url) {
+              return `test/${url}`;
+            },
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/useRelativePath.test.js.snap,test/options/useRelativePath.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/useRelativePath.test.js b/test/options/useRelativePath.test.js
new file mode 100644
index 0000000..7858f29
--- /dev/null
+++ b/test/options/useRelativePath.test.js
@@ -0,0 +1,41 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('useRelativePath', () => {
+    test('this.options.context', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            useRelativePath: true,
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+
+    test('options.context', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            context: '/relative/',
+            useRelativePath: true,
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/loader.test.js b/test/loader.test.js
index 23eea9a..b3a06fb 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,151 +1,20 @@
-/* eslint-disable no-useless-escape, no-unused-vars */
-import loader from '../src';
-
-const run = function run(resourcePath, query, content = new Buffer('1234')) {
-  let file = null;
-
-  const context = {
-    resourcePath,
-    query: `?${query || ''}`,
-    options: {
-      context: '/this/is/the/context',
-    },
-    emitFile(url, content2) {
-      expect(content2).toEqual(content);
-      file = url;
-    },
-  };
-
-  const result = loader.call(context, content);
-
-  return {
-    file,
-    result,
-  };
-};
-
-function runWithOptions(resourcePath, options, content = new Buffer('1234')) {
-  let file = null;
-
-  const context = {
-    resourcePath,
-    query: options,
-    options: {
-      context: '/this/is/the/context',
-    },
-    emitFile(url, content2) {
-      expect(content2).toEqual(content);
-      file = url;
-    },
-  };
-
-  const result = loader.call(context, content);
-
-  return {
-    file,
-    result,
-  };
-}
-const test = function test(excepted, resourcePath, query, content) {
-  expect(run(resourcePath, query, content).file).toEqual(excepted);
-};
-
-describe('correct-filename', () => {
-  it('should process defaults correctly', () => {
-    test('81dc9bdb52d04dc20036dbd8313ed055.txt', '/file.txt', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.png', '/file.png', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.txt', 'file.txt', '');
-    test('81dc9bdb52d04dc20036dbd8313ed055.bin', '', '');
-  });
-
-  it('should process name correctly', () => {
-    test('file.txt', '/file.txt', 'name=[name].[ext]');
-    test('file.png', '/file.png', 'name=[name].[ext]');
-    test('file.txt', 'file.txt', 'name=[name].[ext]');
-    test('file.bin', '', 'name=[name].[ext]');
-    test('file', '/file.txt', 'name=[name]');
-    test('81dc9bdb52d04dc20036dbd8313ed055', '/file.txt', 'name=[hash]');
-    test('81dc9bdb52d04dc20036dbd8313ed055/file.txt', '/file.txt', 'name=[hash]/[name].[ext]');
-    test('file.txt', '/this/is/the/context/file.txt', 'name=[path][name].[ext]');
-    test('dir/file.txt', '/this/is/the/context/dir/file.txt', 'name=[path][name].[ext]');
-    test('dir/sub/file.txt', '/this/is/the/context/dir/sub/file.txt', 'name=[path][name].[ext]');
-    test('_/_/dir/sub/file.txt', '/this/is/dir/sub/file.txt', 'name=[path][name].[ext]');
-    test('dir/sub/file.txt', '/this/is/dir/sub/file.txt', 'name=[path][name].[ext]&context=/this/is');
-  });
-
-  it('should process hash correctly', () => {
-    test('d93591bdf7860e1e4ee2fca799911215.txt', '/file.txt', '', new Buffer('4321'));
-  });
-
-  it('should process hash options correctly', () => {
-    test('81dc9.txt', '/file.txt', 'name=[hash:5].[ext]');
-    test('d4045.txt', '/file.txt', 'name=[sha512:hash:5].[ext]');
-    test('1lQ3UNSdIS0c9dQ5brCZO1.txt', '/file.txt', 'name=[hash:base64].[ext]');
-    test('caYJDUvUOiGAdDsiHKffIEj.txt', '/file.txt', 'name=[hash:base52].[ext]');
-    test('sntmopgidsdqrofkjywoyldtiij.txt', '/file.txt', 'name=[hash:base26].[ext]');
-    test('sntmopgids.txt', '/file.txt', 'name=[hash:base26:10].[ext]');
-  });
-});
-
-describe('publicPath option', () => {
-  it('should be supported', () => {
-    expect(run('/file.txt', 'publicPath=http://cdn/').result).toEqual(
-      'module.exports = ""http://cdn/81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-
-  it('should override public path when given empty string', () => {
-    expect(run('/file.txt', 'publicPath=').result).toEqual(
-      'module.exports = ""81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-
-  it('should use webpack public path when not set', () => {
-    expect(run('/file.txt').result).toEqual(
-      'module.exports = __webpack_public_path__ + ""81dc9bdb52d04dc20036dbd8313ed055.txt"";',
-    );
-  });
-});
-
-describe('useRelativePath option', () => {
-  it('should be supported', () => {
-    expect(run('/this/is/the/context/file.txt', 'useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""./81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/is/file.txt', 'useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""../../81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/file.txt', 'context=/this/is/the/&useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""../../81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-
-    expect(run('/this/file.txt', 'context=/&useRelativePath=true').result).toEqual(
-      'module.exports = __webpack_public_path__ + \""this/81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-    );
-  });
-});
-
-describe('outputPath function', () => {
-  it('should be supported', () => {
-    const options = {};
-    options.outputPath = value => '/path/set/by/func';
-
-    expect(runWithOptions('/this/is/the/context/file.txt', options).result)
-      .toEqual(
-        'module.exports = __webpack_public_path__ + \""/path/set/by/func\"";',
-      );
-  });
-
-  it('should be ignored if you set useRelativePath', () => {
-    const options = {};
-    options.outputPath = value => '/path/set/by/func';
-    options.useRelativePath = true;
-
-    expect(runWithOptions('/this/is/the/context/file.txt', options).result)
-      .toEqual(
-        'module.exports = __webpack_public_path__ + \""./81dc9bdb52d04dc20036dbd8313ed055.txt\"";',
-      );
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from './helpers/compiler';
+
+describe('Loader', () => {
+  test('Defaults', async () => {
+    const config = {
+      loader: {
+        test: /(png|jpg|svg)/,
+        options: {},
+      },
+    };
+
+    const stats = await webpack('fixture.js', config);
+    const { source } = stats.toJson().modules[1];
+
+    expect(source).toMatchSnapshot();
   });
 });
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/context.test.js.snap,test/options/context.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/context.test.js b/test/options/context.test.js
new file mode 100644
index 0000000..dede935
--- /dev/null
+++ b/test/options/context.test.js
@@ -0,0 +1,24 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('context', () => {
+    test('{String}', async () => {
+      const config = {
+        loader: {
+          test: /(png|jpg|svg)/,
+          options: {
+            context: `${__dirname}`,
+          },
+        },
+      };
+
+      const stats = await webpack('fixture.js', config);
+      const { source } = stats.toJson().modules[1];
+
+      expect(source).toMatchSnapshot();
+    });
+  });
+});
",0,
214,5b2e89049569c55e0804c1361d94f29da3e72da3,5b2e89049569c55e0804c1361d94f29da3e72da3,test/options/__snapshots__/emitFile.test.js.snap,test/options/emitFile.test.js,"### `Notable Changes`

- Refactor and standardizes tests

### `Issues`

- None","[WIP] test: init
","diff --git a/test/options/emitFile.test.js b/test/options/emitFile.test.js
new file mode 100644
index 0000000..2915e85
--- /dev/null
+++ b/test/options/emitFile.test.js
@@ -0,0 +1,42 @@
+/* eslint-disable
+  prefer-destructuring,
+*/
+import webpack from '../helpers/compiler';
+
+describe('Options', () => {
+  describe('emitFile', () => {
+    describe('{Boolean}', () => {
+      test('True (Default)', async () => {
+        const config = {
+          loader: {
+            test: /(png|jpg|svg)/,
+            options: {
+              emitFile: true,
+            },
+          },
+        };
+
+        const stats = await webpack('emitFile/fixture.js', config);
+        const { assets } = stats.toJson().modules[1];
+
+        expect(assets[0]).toMatchSnapshot();
+      });
+
+      test('False', async () => {
+        const config = {
+          loader: {
+            test: /(png|jpg|svg)/,
+            options: {
+              emitFile: false,
+            },
+          },
+        };
+
+        const stats = await webpack('emitFile/fixture.js', config);
+        const { assets } = stats.toJson().modules[1];
+
+        expect(assets[0]).toBe(undefined);
+      });
+    });
+  });
+});
",0,
