pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
10,1b89085af2297d73e8acfc7b63689ad8a3900892,b820c1e5e3447612ceaa0bf19186de1c49f8fc54,packages/schm-koa/test/__snapshots__/index.test.js.snap,packages/schm-koa/test/index.test.js,,"[koa] Add schm-koa
","diff --git a/packages/schm-koa/test/index.test.js b/packages/schm-koa/test/index.test.js
new file mode 100644
index 0000000..53dcb99
--- /dev/null
+++ b/packages/schm-koa/test/index.test.js
@@ -0,0 +1,70 @@
+import Koa from 'koa'
+import bodyParser from 'koa-bodyparser'
+import request from 'supertest'
+import { query, body, errorHandler } from '../src'
+
+const servers = []
+
+afterAll(() => servers.map(server => server.close()))
+
+const createApp = (middleware) => {
+  const app = new Koa()
+  app.use(bodyParser())
+  app.use(errorHandler())
+  app.use(middleware)
+  app.use((ctx) => {
+    ctx.body = ctx.state
+  })
+  const server = app.listen()
+  servers.push(server)
+  return server
+}
+
+describe('query', () => {
+  it('handles ?foo as foo=true', async () => {
+    const schema = query({ foo: [Boolean] })
+    const app = createApp(schema)
+    const response = await request(app).post('?foo')
+    expect(response.body.query.foo).toEqual([true])
+  })
+
+  it('handles array in querystring', async () => {
+    const schema = query({ foo: [String] })
+    const app = createApp(schema)
+    const response = await request(app).post('?foo=1&foo=baz')
+    expect(response.body.query.foo).toEqual(['1', 'baz'])
+  })
+
+  it('handles errors', async () => {
+    const schema = query({ foo: { type: Boolean, required: true } })
+    const app = createApp(schema)
+    const response = await request(app).post('/')
+    expect(response.status).toBe(400)
+    expect(response.body).toMatchSnapshot()
+  })
+})
+
+describe('body', () => {
+  it('handles schema', async () => {
+    const schema = body({ foo: Boolean })
+    const app = createApp(schema)
+    const response = await request(app).post('/').send({ foo: 1 })
+    expect(response.body.body.foo).toBe(true)
+  })
+
+  it('handles errors', async () => {
+    const schema = body({ foo: { type: Boolean, required: true } })
+    const app = createApp(schema)
+    const response = await request(app).post('/')
+    expect(response.status).toBe(400)
+    expect(response.body).toMatchSnapshot()
+  })
+})
+
+describe('errorHandler', () => {
+  it('passes through', async () => {
+    const app = createApp(() => Promise.reject())
+    const response = await request(app).get('/')
+    expect(response.status).toBe(404)
+  })
+})
",0,
10,1b89085af2297d73e8acfc7b63689ad8a3900892,b820c1e5e3447612ceaa0bf19186de1c49f8fc54,packages/schm-koa/test/__snapshots__/index.test.js.snap,packages/schm-koa/test/index.test.js,,"[koa] Add schm-koa
","diff --git a/packages/schm-koa/test/index.test.js b/packages/schm-koa/test/index.test.js
new file mode 100644
index 0000000..53dcb99
--- /dev/null
+++ b/packages/schm-koa/test/index.test.js
@@ -0,0 +1,70 @@
+import Koa from 'koa'
+import bodyParser from 'koa-bodyparser'
+import request from 'supertest'
+import { query, body, errorHandler } from '../src'
+
+const servers = []
+
+afterAll(() => servers.map(server => server.close()))
+
+const createApp = (middleware) => {
+  const app = new Koa()
+  app.use(bodyParser())
+  app.use(errorHandler())
+  app.use(middleware)
+  app.use((ctx) => {
+    ctx.body = ctx.state
+  })
+  const server = app.listen()
+  servers.push(server)
+  return server
+}
+
+describe('query', () => {
+  it('handles ?foo as foo=true', async () => {
+    const schema = query({ foo: [Boolean] })
+    const app = createApp(schema)
+    const response = await request(app).post('?foo')
+    expect(response.body.query.foo).toEqual([true])
+  })
+
+  it('handles array in querystring', async () => {
+    const schema = query({ foo: [String] })
+    const app = createApp(schema)
+    const response = await request(app).post('?foo=1&foo=baz')
+    expect(response.body.query.foo).toEqual(['1', 'baz'])
+  })
+
+  it('handles errors', async () => {
+    const schema = query({ foo: { type: Boolean, required: true } })
+    const app = createApp(schema)
+    const response = await request(app).post('/')
+    expect(response.status).toBe(400)
+    expect(response.body).toMatchSnapshot()
+  })
+})
+
+describe('body', () => {
+  it('handles schema', async () => {
+    const schema = body({ foo: Boolean })
+    const app = createApp(schema)
+    const response = await request(app).post('/').send({ foo: 1 })
+    expect(response.body.body.foo).toBe(true)
+  })
+
+  it('handles errors', async () => {
+    const schema = body({ foo: { type: Boolean, required: true } })
+    const app = createApp(schema)
+    const response = await request(app).post('/')
+    expect(response.status).toBe(400)
+    expect(response.body).toMatchSnapshot()
+  })
+})
+
+describe('errorHandler', () => {
+  it('passes through', async () => {
+    const app = createApp(() => Promise.reject())
+    const response = await request(app).get('/')
+    expect(response.status).toBe(404)
+  })
+})
",0,
4,638f19f9caa5f86cea759d4563c78e6bcbdc6314,02af680954d1a16dc3672b792a9810ece7c2cd2f,packages/schm/test/__snapshots__/schema.test.js.snap,packages/schm/test/schema.test.js,,"Support nested schemas
","diff --git a/packages/schm/test/schema.test.js b/packages/schm/test/schema.test.js
index 164e28a..dbab4a1 100644
--- a/packages/schm/test/schema.test.js
+++ b/packages/schm/test/schema.test.js
@@ -60,3 +60,46 @@ describe('composition', () => {
     })
   })
 })
+
+describe('nested schema', () => {
+  const studentSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+    age: Number,
+  })
+
+  const teacherSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+  })
+
+  const classSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+    teacher: teacherSchema,
+    students: [studentSchema],
+  })
+
+  it('rejects validation', async () => {
+    await expect(classSchema.validate()).rejects.toMatchSnapshot()
+  })
+
+  it('resolves validation', async () => {
+    await expect(classSchema.validate({
+      name: 'Computer Science',
+      teacher: {
+        name: 'Grace',
+      },
+    })).resolves.toMatchSnapshot()
+  })
+
+  it('parses', () => {
+    expect(classSchema.parse()).toMatchSnapshot()
+  })
+})
",0,
4,638f19f9caa5f86cea759d4563c78e6bcbdc6314,02af680954d1a16dc3672b792a9810ece7c2cd2f,packages/schm/test/__snapshots__/schema.test.js.snap,packages/schm/test/schema.test.js,,"Support nested schemas
","diff --git a/packages/schm/test/schema.test.js b/packages/schm/test/schema.test.js
index 164e28a..dbab4a1 100644
--- a/packages/schm/test/schema.test.js
+++ b/packages/schm/test/schema.test.js
@@ -60,3 +60,46 @@ describe('composition', () => {
     })
   })
 })
+
+describe('nested schema', () => {
+  const studentSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+    age: Number,
+  })
+
+  const teacherSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+  })
+
+  const classSchema = schema({
+    name: {
+      type: String,
+      required: true,
+    },
+    teacher: teacherSchema,
+    students: [studentSchema],
+  })
+
+  it('rejects validation', async () => {
+    await expect(classSchema.validate()).rejects.toMatchSnapshot()
+  })
+
+  it('resolves validation', async () => {
+    await expect(classSchema.validate({
+      name: 'Computer Science',
+      teacher: {
+        name: 'Grace',
+      },
+    })).resolves.toMatchSnapshot()
+  })
+
+  it('parses', () => {
+    expect(classSchema.parse()).toMatchSnapshot()
+  })
+})
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/mapValues.test.js.snap,packages/schm/test/mapValues.test.js,,"General fixes
","diff --git a/packages/schm/test/mapValues.test.js b/packages/schm/test/mapValues.test.js
new file mode 100644
index 0000000..f1d203a
--- /dev/null
+++ b/packages/schm/test/mapValues.test.js
@@ -0,0 +1,42 @@
+import faker, { name, lorem } from 'faker'
+import times from 'lodash/times'
+import mapValues from '../src/mapValues'
+import schema from '../src/schema'
+
+const createPerson = () => ({ name: name.firstName(), age: 20 })
+const createStudent = () => ({ ...createPerson(), grade: 5 })
+const createTeacher = () => ({ ...createPerson(), subjects: times(3, lorem.word) })
+const createClass = () => ({
+  grade: 5,
+  subject: lorem.word(),
+  teacher: createTeacher(),
+  students: times(5, createStudent),
+})
+
+const personSchema = schema({
+  name: String,
+  age: Number,
+})
+const studentSchema = schema(personSchema, {
+  grade: Number,
+})
+const teacherSchema = schema(personSchema, {
+  subjects: [String],
+})
+const classSchema = schema({
+  grade: Number,
+  subject: String,
+  teacher: teacherSchema,
+  students: [studentSchema],
+})
+
+beforeEach(() => {
+  faker.seed(123)
+})
+
+it('maps values correctly', () => {
+  const values = createClass()
+  const transformValue = value => value
+  expect(mapValues(values, classSchema.params, transformValue))
+    .toMatchSnapshot()
+})
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/parseParams.test.js.snap,packages/schm/test/parseParams.test.js,,"General fixes
","diff --git a/packages/schm/test/parseParams.test.js b/packages/schm/test/parseParams.test.js
new file mode 100644
index 0000000..d3754eb
--- /dev/null
+++ b/packages/schm/test/parseParams.test.js
@@ -0,0 +1,53 @@
+import parseParams from '../src/parseParams'
+
+it('parses literal type', () => {
+  expect(parseParams({ foo: String }))
+    .toEqual({ foo: { type: String } })
+})
+
+it('parses array literal type', () => {
+  expect(parseParams({ foo: [String] }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses type', () => {
+  expect(parseParams({ foo: { type: String } }))
+    .toEqual({ foo: { type: String } })
+})
+
+it('parses array type', () => {
+  expect(parseParams({ foo: [{ type: String }] }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses default value', () => {
+  expect(parseParams({ foo: 'bar' }))
+    .toEqual({ foo: { type: String, default: 'bar' } })
+})
+
+it('parses array default value', () => {
+  expect(parseParams({ foo: ['bar'] }))
+    .toEqual({ foo: { type: [{ type: String, default: 'bar' }] } })
+})
+
+it('parses nested object', () => {
+  expect(parseParams({ foo: { bar: String } })).toMatchSnapshot()
+})
+
+it('parses array nested object', () => {
+  expect(parseParams({ foo: [{ bar: String }] })).toMatchSnapshot()
+})
+
+it('parses deep array', () => {
+  expect(parseParams({ foo: [[[[[[String]]]]]] })).toMatchSnapshot()
+})
+
+it('parses type array', () => {
+  expect(parseParams({ foo: { type: [{ type: String }] } }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses without option', () => {
+  expect(parseParams({ foo: undefined }))
+    .toEqual({ foo: { type: String } })
+})
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/schema.test.js.snap,packages/schm/test/schema.test.js,,"General fixes
","diff --git a/packages/schm/test/schema.test.js b/packages/schm/test/schema.test.js
index 986f16e..b547cc5 100644
--- a/packages/schm/test/schema.test.js
+++ b/packages/schm/test/schema.test.js
@@ -1,4 +1,6 @@
-import schema from '../src/schema'
+import { decamelizeKeys } from 'humps'
+import validatejs from 'validate.js'
+import schema, { group } from '../src/schema'
 
 test('parse', () => {
   const schm = schema({ foo: String })
@@ -15,16 +17,91 @@ test('validate', async () => {
   await expect(schm.validate()).rejects.toMatchSnapshot()
 })
 
+test('custom parse', () => {
+  const customParse = previous => previous.merge({
+    parse(values) {
+      return decamelizeKeys(previous.parse(values))
+    },
+  })
+  const schm = schema({ fooBar: [{ barBaz: String }] }, customParse)
+  const values = {
+    fooBar: [
+      { barBaz: 'foo' },
+      { barBaz: 'bar' },
+    ],
+  }
+  expect(schm.parse(values)).toEqual({
+    foo_bar: [
+      { bar_baz: 'foo' },
+      { bar_baz: 'bar' },
+    ],
+  })
+})
+
+test('custom validate', async () => {
+  const customValidate = constraints => previous => previous.merge({
+    async validate(values) {
+      const parsed = previous.parse(values)
+      return validatejs(parsed, constraints)
+    },
+  })
+  const constraints = { foo: { presence: true } }
+  const schm = schema({ foo: String }, customValidate(constraints))
+  await expect(schm.validate()).resolves.toEqual({
+    foo: [""Foo can't be blank""],
+  })
+})
+
+test('custom parser', () => {
+  const customParser = previous => previous.merge({
+    parsers: {
+      exclaim: value => `${value}!!`,
+    },
+  })
+  const params = { foo: { type: String, exclaim: true } }
+  const schm = schema(params, customParser)
+  const values = { foo: 'bar' }
+  expect(schm.parse(values)).toEqual({ foo: 'bar!!' })
+})
+
+test('custom validator', async () => {
+  const customValidator = previous => previous.merge({
+    validators: {
+      exclamation: () => ({ valid: false }),
+    },
+  })
+  const params = { foo: { type: String, exclamation: true } }
+  const schm = schema(params, customValidator)
+  const values = { foo: 'bar' }
+  await expect(schm.validate(values)).rejects.toEqual([{
+    exclamation: true,
+    param: 'foo',
+    validator: 'exclamation',
+    value: 'bar',
+  }])
+})
+
+test('custom params', () => {
+  const customParams = previous => previous.merge({
+    params: {
+      bar: String,
+    },
+  })
+  const schm = schema({ foo: String }, customParams)
+  const values = { foo: 1, bar: 2 }
+  expect(schm.parse(values)).toEqual({ foo: '1', bar: '2' })
+})
+
 describe('composition', () => {
   it('composes schema group', () => {
-    const foo = params => previous => previous.merge({
+    const concatWithFoo = params => previous => previous.merge({
       params,
       parsers: {
         foo: (value, option) => `${value}${option}`,
       },
     })
 
-    const bar = params => previous => previous.merge({
+    const concatWithDefaultValue = params => previous => previous.merge({
       params: Object.keys(params).reduce((finalParams, name) => ({
         ...finalParams,
         [name]: {
@@ -36,19 +113,17 @@ describe('composition', () => {
       },
     })
 
-    expect(schema(
-      {
-        name: String,
+    const schm = schema({
+      name: String,
+    }, concatWithFoo({
+      name: {
+        foo: 'foo',
       },
-      foo({
-        name: {
-          foo: 'foo',
-        },
-      }),
-      bar({
-        name: 'bar',
-      })
-    ).parse({ name: 'test' })).toEqual({ name: 'testfoobar' })
+    }), concatWithDefaultValue({
+      name: 'bar',
+    }))
+
+    expect(schm.parse({ name: 'test' })).toEqual({ name: 'testfoobar' })
   })
 
   it('composes schema', () => {
@@ -61,77 +136,16 @@ describe('composition', () => {
   })
 })
 
-describe('nested schema', () => {
-  const parseMock = jest.fn()
-
-  const studentSchema = schema({
-    name: {
-      type: String,
-      required: true,
-    },
-    age: Number,
-  }, previous => previous.merge({
-    parse(values) {
-      parseMock(values)
-      return previous.parse(values)
-    },
-  }))
-
-  const teacherSchema = schema({
-    name: {
-      type: String,
-      required: true,
-    },
-  }, previous => previous.merge({
-    parse(values) {
-      parseMock(values)
-      return previous.parse(values)
-    },
-  }))
-
-  const classSchema = schema({
-    name: {
-      type: String,
-      required: true,
-    },
-    teacher: {
-      type: teacherSchema,
-      required: true,
-    },
-    assistantTeacher: teacherSchema,
-    students: {
-      type: [studentSchema],
-    },
-    otherStudents: [studentSchema],
-  })
-
-  it('rejects validation', async () => {
-    await expect(classSchema.validate()).rejects.toMatchSnapshot()
-  })
-
-  it('resolves validation', async () => {
-    await expect(classSchema.validate({
-      name: 'Computer Science',
-      teacher: {
-        name: 'Grace',
-      },
-    })).resolves.toMatchSnapshot()
-  })
-
-  it('parses', () => {
-    expect(classSchema.parse()).toMatchSnapshot()
-  })
-
-  it('calls parse on nested schemas', () => {
-    const teacher = { name: 'Grace' }
-    const students = [{ name: 'foo' }, { name: 'bar' }]
-    const otherStudents = [{ name: 'baz' }]
-    parseMock.mockReset()
-    expect(classSchema.parse({ teacher, students, otherStudents })).toMatchSnapshot()
-    expect(parseMock).toHaveBeenCalledTimes(4)
-    expect(parseMock).toHaveBeenCalledWith(teacher)
-    expect(parseMock).toHaveBeenCalledWith(students[0])
-    expect(parseMock).toHaveBeenCalledWith(students[1])
-    expect(parseMock).toHaveBeenCalledWith(otherStudents[0])
-  })
+test('group', () => {
+  const schm = schema(
+    group({
+      foo: String,
+    }),
+    group(),
+    group({
+      bar: String,
+    })
+  )
+  const values = { foo: 1, bar: 2 }
+  expect(schm.parse(values)).toEqual({ foo: '1', bar: '2' })
 })
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/validate.test.js.snap,packages/schm/test/validate.test.js,,"General fixes
","diff --git a/packages/schm/test/validate.test.js b/packages/schm/test/validate.test.js
index 2f73001..aa0f3f7 100644
--- a/packages/schm/test/validate.test.js
+++ b/packages/schm/test/validate.test.js
@@ -1,3 +1,4 @@
+import validatejs from 'validate.js'
 import schema from '../src/schema'
 import validate from '../src/validate'
 
@@ -137,7 +138,9 @@ describe('validate', () => {
         validate: () => true,
       },
     })
-    await expect(validate({ foo: 'right' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 'right' }, schm)).resolves.toEqual({
+      foo: 'right',
+    })
   })
 
   it('passes with promise', async () => {
@@ -147,7 +150,9 @@ describe('validate', () => {
         validate: () => Promise.resolve(),
       },
     })
-    await expect(validate({ foo: 'right' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 'right' }, schm)).resolves.toEqual({
+      foo: 'right',
+    })
   })
 
   it('throws if value is not a function', () => {
@@ -161,6 +166,44 @@ describe('validate', () => {
   })
 })
 
+describe('type', () => {
+  it('fails with nested schema validator', async () => {
+    const schm = schema({
+      foo: {
+        type: String,
+        validate: [() => false, 'foo'],
+      },
+    })
+    const schm2 = schema({
+      foos: [schm],
+    })
+    const values = { foos: [{ foo: 'bar' }, { foo: 'baz' }] }
+    await expect(validate(values, schm2)).rejects.toMatchSnapshot()
+  })
+
+  it('calls custom nested schema validator', async () => {
+    const customValidator = constraints => previous => previous.merge({
+      validate(values, paramPathPrefix) {
+        const parsed = previous.parse(values)
+        const transformKeys = object => (
+          Object.keys(object).reduce((finalObject, key) => ({
+            ...finalObject,
+            [[paramPathPrefix, key].join('.')]: object[key],
+          }), {})
+        )
+        const errors = validatejs(values, constraints)
+        return errors
+          ? Promise.reject(transformKeys(errors))
+          : Promise.resolve(parsed)
+      },
+    })
+    const schm = schema({ foo: String }, customValidator({ foo: { presence: true } }))
+    const schm2 = schema({ foos: [schm], bar: { type: String, required: true } })
+    const values = { foos: [{}, { foo: 'baz' }] }
+    await expect(validate(values, schm2)).rejects.toMatchSnapshot()
+  })
+})
+
 describe('required', () => {
   it('fails with value', async () => {
     const schm = schema({
@@ -189,7 +232,21 @@ describe('required', () => {
         required: true,
       },
     })
-    await expect(validate({ foo: 'foo' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 'foo' }, schm)).resolves.toEqual({
+      foo: 'foo',
+    })
+  })
+
+  it('passes when option value is falsy', async () => {
+    const schm = schema({
+      foo: {
+        type: String,
+        required: false,
+      },
+    })
+    await expect(validate(undefined, schm)).resolves.toEqual({
+      foo: undefined,
+    })
   })
 })
 
@@ -221,7 +278,9 @@ describe('match', () => {
         match: /foo/,
       },
     })
-    await expect(validate({ foo: 'foo' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 'foo' }, schm)).resolves.toEqual({
+      foo: 'foo',
+    })
   })
 
   it('throws if value is not a regex', () => {
@@ -263,7 +322,9 @@ describe('enum', () => {
         enum: ['foo', 'bar'],
       },
     })
-    await expect(validate({ foo: 'foo' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 'foo' }, schm)).resolves.toEqual({
+      foo: 'foo',
+    })
   })
 
   it('throws if value is not an array', () => {
@@ -305,7 +366,9 @@ describe('max', () => {
         max: 1,
       },
     })
-    await expect(validate({ foo: 1 }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: 1 }, schm)).resolves.toEqual({
+      foo: 1,
+    })
   })
 })
 
@@ -369,7 +432,9 @@ describe('maxlength', () => {
         maxlength: 1,
       },
     })
-    await expect(validate({ foo: '1' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: '1' }, schm)).resolves.toEqual({
+      foo: '1',
+    })
   })
 })
 
@@ -401,7 +466,22 @@ describe('minlength', () => {
         minlength: 2,
       },
     })
-    await expect(validate({ foo: '12' }, schm)).resolves.toMatchSnapshot()
+    await expect(validate({ foo: '12' }, schm)).resolves.toEqual({
+      foo: '12',
+    })
+  })
+})
+
+test('custom option', async () => {
+  const schm = schema({
+    foo: {
+      type: String,
+      bar: 'baz',
+      required: true,
+    },
+  })
+  await expect(validate({ foo: '12' }, schm)).resolves.toEqual({
+    foo: '12',
   })
 })
 
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/mapValues.test.js.snap,packages/schm/test/mapValues.test.js,,"General fixes
","diff --git a/packages/schm/test/mapValues.test.js b/packages/schm/test/mapValues.test.js
new file mode 100644
index 0000000..f1d203a
--- /dev/null
+++ b/packages/schm/test/mapValues.test.js
@@ -0,0 +1,42 @@
+import faker, { name, lorem } from 'faker'
+import times from 'lodash/times'
+import mapValues from '../src/mapValues'
+import schema from '../src/schema'
+
+const createPerson = () => ({ name: name.firstName(), age: 20 })
+const createStudent = () => ({ ...createPerson(), grade: 5 })
+const createTeacher = () => ({ ...createPerson(), subjects: times(3, lorem.word) })
+const createClass = () => ({
+  grade: 5,
+  subject: lorem.word(),
+  teacher: createTeacher(),
+  students: times(5, createStudent),
+})
+
+const personSchema = schema({
+  name: String,
+  age: Number,
+})
+const studentSchema = schema(personSchema, {
+  grade: Number,
+})
+const teacherSchema = schema(personSchema, {
+  subjects: [String],
+})
+const classSchema = schema({
+  grade: Number,
+  subject: String,
+  teacher: teacherSchema,
+  students: [studentSchema],
+})
+
+beforeEach(() => {
+  faker.seed(123)
+})
+
+it('maps values correctly', () => {
+  const values = createClass()
+  const transformValue = value => value
+  expect(mapValues(values, classSchema.params, transformValue))
+    .toMatchSnapshot()
+})
",0,
7,def76b1bb2fc11f6b5a9a9403a18d0641484ed7e,be87a099264364a8928d155d801bd0482ced646d,packages/schm/test/__snapshots__/parseParams.test.js.snap,packages/schm/test/parseParams.test.js,,"General fixes
","diff --git a/packages/schm/test/parseParams.test.js b/packages/schm/test/parseParams.test.js
new file mode 100644
index 0000000..d3754eb
--- /dev/null
+++ b/packages/schm/test/parseParams.test.js
@@ -0,0 +1,53 @@
+import parseParams from '../src/parseParams'
+
+it('parses literal type', () => {
+  expect(parseParams({ foo: String }))
+    .toEqual({ foo: { type: String } })
+})
+
+it('parses array literal type', () => {
+  expect(parseParams({ foo: [String] }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses type', () => {
+  expect(parseParams({ foo: { type: String } }))
+    .toEqual({ foo: { type: String } })
+})
+
+it('parses array type', () => {
+  expect(parseParams({ foo: [{ type: String }] }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses default value', () => {
+  expect(parseParams({ foo: 'bar' }))
+    .toEqual({ foo: { type: String, default: 'bar' } })
+})
+
+it('parses array default value', () => {
+  expect(parseParams({ foo: ['bar'] }))
+    .toEqual({ foo: { type: [{ type: String, default: 'bar' }] } })
+})
+
+it('parses nested object', () => {
+  expect(parseParams({ foo: { bar: String } })).toMatchSnapshot()
+})
+
+it('parses array nested object', () => {
+  expect(parseParams({ foo: [{ bar: String }] })).toMatchSnapshot()
+})
+
+it('parses deep array', () => {
+  expect(parseParams({ foo: [[[[[[String]]]]]] })).toMatchSnapshot()
+})
+
+it('parses type array', () => {
+  expect(parseParams({ foo: { type: [{ type: String }] } }))
+    .toEqual({ foo: { type: [{ type: String }] } })
+})
+
+it('parses without option', () => {
+  expect(parseParams({ foo: undefined }))
+    .toEqual({ foo: { type: String } })
+})
",0,
