pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1185,a085142c12af4d28cfb858d35bd478b8365e94bf,f154c943fd8adcd92ca41763d0fadad473a8f5e5,exchanges/graphcache/src/store/__snapshots__/store.test.ts.snap,exchanges/graphcache/src/store/store.test.ts,"See #1184 

## Summary

**Note:** More testing is needed before we can safely ship this.

Increase the consistency of when and how the `__typename` field is added to results. Instead of adding it by default and automatically first, the `__typename` field will now be added along with the usual selection set. The `write` operation will issue a warning if it's in the selection but missing in the result, as it should, and the `query` operation will add it as it did before but at the correct position of the result, assuming that it's in all selection sets. The slight change here is that it now won't be added to root results by default and only if it's being queried explicitly.

## Set of changes

- Allow `makeSelectionIterator` to iterate `__typename` field
- Remove `data.__typename` assignment in `readSelection` and add special logic for `__typename` field assignment
- Update `query.test.ts` cases to include `__typename` explicitly where needed","Update various test suites
","diff --git a/exchanges/graphcache/src/store/store.test.ts b/exchanges/graphcache/src/store/store.test.ts
index 60d0069..a8eee35 100644
--- a/exchanges/graphcache/src/store/store.test.ts
+++ b/exchanges/graphcache/src/store/store.test.ts
@@ -2,6 +2,7 @@
 
 import gql from 'graphql-tag';
 import { minifyIntrospectionQuery } from '@urql/introspection';
+import { maskTypename } from '@urql/core';
 import { mocked } from 'ts-jest/utils';
 
 import { Data, StorageAdapter } from '../types';
@@ -14,6 +15,7 @@ import { getIntrospectionQuery, parse } from 'graphql';
 
 const Appointment = gql`
   query appointment($id: String) {
+    __typename
     appointment(id: $id) {
       __typename
       id
@@ -41,6 +43,7 @@ const Todos = gql`
 
 const TodosWithoutTypename = gql`
   query {
+    __typename
     todos {
       id
       text
@@ -87,7 +90,10 @@ describe('Store', () => {
     // NOTE: This is the query without __typename annotations
     write(store, { query: TodosWithoutTypename }, todosData);
     const result = query(store, { query: TodosWithoutTypename });
-    expect(result.data).toEqual(todosData);
+    expect(result.data).toEqual({
+      ...maskTypename(todosData),
+      __typename: 'Query',
+    });
   });
 });
 
@@ -473,6 +479,7 @@ describe('Store with OptimisticMutationConfig', () => {
           id
           text
           complete
+          __typename
         }
       `,
       { id: '0' }
@@ -714,6 +721,7 @@ describe('Store with storage', () => {
   it('should be able to persist embedded data', () => {
     const EmbeddedAppointment = gql`
       query appointment($id: String) {
+        __typename
         appointment(id: $id) {
           __typename
           info
",1,OID=OID
1185,a085142c12af4d28cfb858d35bd478b8365e94bf,f154c943fd8adcd92ca41763d0fadad473a8f5e5,exchanges/graphcache/src/store/__snapshots__/store.test.ts.snap,exchanges/graphcache/src/store/store.test.ts,"See #1184 

## Summary

**Note:** More testing is needed before we can safely ship this.

Increase the consistency of when and how the `__typename` field is added to results. Instead of adding it by default and automatically first, the `__typename` field will now be added along with the usual selection set. The `write` operation will issue a warning if it's in the selection but missing in the result, as it should, and the `query` operation will add it as it did before but at the correct position of the result, assuming that it's in all selection sets. The slight change here is that it now won't be added to root results by default and only if it's being queried explicitly.

## Set of changes

- Allow `makeSelectionIterator` to iterate `__typename` field
- Remove `data.__typename` assignment in `readSelection` and add special logic for `__typename` field assignment
- Update `query.test.ts` cases to include `__typename` explicitly where needed","Update various test suites
","diff --git a/exchanges/graphcache/src/store/store.test.ts b/exchanges/graphcache/src/store/store.test.ts
index 60d0069..a8eee35 100644
--- a/exchanges/graphcache/src/store/store.test.ts
+++ b/exchanges/graphcache/src/store/store.test.ts
@@ -2,6 +2,7 @@
 
 import gql from 'graphql-tag';
 import { minifyIntrospectionQuery } from '@urql/introspection';
+import { maskTypename } from '@urql/core';
 import { mocked } from 'ts-jest/utils';
 
 import { Data, StorageAdapter } from '../types';
@@ -14,6 +15,7 @@ import { getIntrospectionQuery, parse } from 'graphql';
 
 const Appointment = gql`
   query appointment($id: String) {
+    __typename
     appointment(id: $id) {
       __typename
       id
@@ -41,6 +43,7 @@ const Todos = gql`
 
 const TodosWithoutTypename = gql`
   query {
+    __typename
     todos {
       id
       text
@@ -87,7 +90,10 @@ describe('Store', () => {
     // NOTE: This is the query without __typename annotations
     write(store, { query: TodosWithoutTypename }, todosData);
     const result = query(store, { query: TodosWithoutTypename });
-    expect(result.data).toEqual(todosData);
+    expect(result.data).toEqual({
+      ...maskTypename(todosData),
+      __typename: 'Query',
+    });
   });
 });
 
@@ -473,6 +479,7 @@ describe('Store with OptimisticMutationConfig', () => {
           id
           text
           complete
+          __typename
         }
       `,
       { id: '0' }
@@ -714,6 +721,7 @@ describe('Store with storage', () => {
   it('should be able to persist embedded data', () => {
     const EmbeddedAppointment = gql`
       query appointment($id: String) {
+        __typename
         appointment(id: $id) {
           __typename
           info
",1,OID=OID
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/exchanges/__snapshots__/fetch.test.ts.snap,packages/core/src/exchanges/fetch.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/exchanges/__snapshots__/subscription.test.ts.snap,packages/core/src/exchanges/subscription.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/internal/__snapshots__/fetchSource.test.ts.snap,packages/core/src/internal/fetchSource.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,51b311d5147efbef4ee4f5432c862d1b0afb530f,exchanges/multipart-fetch/src/__snapshots__/multipartFetchExchange.test.ts.snap,exchanges/multipart-fetch/src/multipartFetchExchange.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Revert changes / Update snapshot
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/exchanges/__snapshots__/fetch.test.ts.snap,packages/core/src/exchanges/fetch.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/exchanges/__snapshots__/subscription.test.ts.snap,packages/core/src/exchanges/subscription.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,9f7b2bd28be79d1dab6c576535991bab922197b1,packages/core/src/internal/__snapshots__/fetchSource.test.ts.snap,packages/core/src/internal/fetchSource.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Update tests to use new gql helper
",,0,
1187,4b186264d2ee907fa060f4398b5cc0753e570850,51b311d5147efbef4ee4f5432c862d1b0afb530f,exchanges/multipart-fetch/src/__snapshots__/multipartFetchExchange.test.ts.snap,exchanges/multipart-fetch/src/multipartFetchExchange.test.ts,"## Summary

No RFC, since this is a rather small change that naturally emerged after #1186 

We can merge the functionality of `graphql-tag` into a leaner function in `@urql/core`. Our implementation does not check fragment names globally, so that it works well with `@urql/exchange-graphcache` but mostly checks them in the document that's currently generated.

The output is still compatible with `graphql-tag` and works similarly. There's potential for more optimisations, but the most important optimisation is that the function reuses the key-cache of `request.ts` in the same file.

The size increase is negligible and could be gained back with more refactors potentially (0.1kB gzip)
","Revert changes / Update snapshot
",,0,
1335,46cbdf4e9c4df77ff36199ef150c5267a80d5033,a7f365ed2f2dea3a8deadd9156d9c5e9a3d6cd59,packages/react-urql/src/hooks/__snapshots__/useSubscription.test.tsx.snap,packages/react-urql/src/hooks/useSubscription.test.tsx,"Resolve #1332 
Resolve #1272
Resolve #1243 (Won't fix, but this stabilises the issue predictably)

## Summary

This swaps out the `useQuery` implementation for a `MutableSource`-like implementation, which has been proven to work by `valtio` (See: https://github.com/pmndrs/valtio/blob/ee4fee75da2054ddfef4cec826c0b9f2e95db4e9/src/useMutableSource.ts)

In this implementation the general behaviour of `useQuery` does not change and preserves the logic as layed out by our previous `useSource` implementation. The hook will first start a temporary subscription to `client.executeQuery` which it'll discard after the mounting process completes. This is facilitated by a call to `getSnapshot` which handles the suspense cache and throwing suspense promises.

Additionally, if the hook uses suspense-mode this function may throw a suspense promise instead of returning a result. This function is used in the `useState` initialiser. The state, besides the currently used `source`, the source's state (the result output), and `getSnapshot` function, also stores a list of dependencies. This list is compared to the state on every render. If it changes this signifies that the current `source` should be swapped out and that the state should again be initialised using `getSnapshot`.

Additionally the results of sources is stored in a ""Suspense cache"" which is an ad-hoc cache layer that is instantiated by `getCacheForClient`. This imitates a primitive version of React's upcoming `getCacheForType` function without any support for splitting the state or keeping it consistent across lanes, as the state is global.
Instead we facilitate Concurrent Mode support by ensuring that all changes in the functionality of the hook work using state changes, which allow React to branch off lanes on any state change.

This is different from our previous `useSource` hook which kept closure state and effects across suspense triggers and lanes, which causes state to go out of sync.

The suspense cache also protects itself from going stale. Each result in `useQuery` will update the stored state value in the cache. Additionally we can clear the result from the cache when the client tears down a query. This is done by tracking disposed querieson unmounts. Each time a result in the cache is updated a ""dispose claim"" for this operation is cleared. Each time a `useQuery` hook unsubscribes in `useEffect` it creates a ""dispose claim"". When the `Client` sends a `teardown` operation and a ""dispose claim"" exists then the cache is cleared of the stale result.
This effectively prevents cached values from being cleared inbetween a mount and the first effect run.

## Set of changes

- Delete `useSource`
- Reimplement `useQuery` with `MutableSource`-like logic, only branch on state
- Reimplement `useSubscription` without `useSource` similarly
- Implement `getCacheForClient`","Update tests for useSubscription
","diff --git a/packages/react-urql/src/hooks/useSubscription.test.tsx b/packages/react-urql/src/hooks/useSubscription.test.tsx
index d50fef7..31d6f46 100644
--- a/packages/react-urql/src/hooks/useSubscription.test.tsx
+++ b/packages/react-urql/src/hooks/useSubscription.test.tsx
@@ -16,7 +16,6 @@ jest.mock('../context', () => {
 
 import React, { FC } from 'react';
 import renderer, { act } from 'react-test-renderer';
-import { empty } from 'wonka';
 import { OperationContext } from '@urql/core';
 
 import { useSubscription, UseSubscriptionState } from './useSubscription';
@@ -73,24 +72,6 @@ it('should support setting context in useSubscription params', () => {
   );
 });
 
-describe('on subscription', () => {
-  it('forwards client response', () => {
-    const wrapper = renderer.create(<SubscriptionUser q={query} />);
-    /**
-     * Have to call update (without changes) in order to see the
-     * result of the state change.
-     */
-    wrapper.update(<SubscriptionUser q={query} />);
-    expect(state).toEqual({
-      data: 1234,
-      error: 5678,
-      extensions: undefined,
-      fetching: true,
-      stale: false,
-    });
-  });
-});
-
 it('calls handler', () => {
   const handler = jest.fn();
   const wrapper = renderer.create(
@@ -100,15 +81,6 @@ it('calls handler', () => {
   expect(handler).toBeCalledWith(undefined, 1234);
 });
 
-describe('active teardown', () => {
-  it('sets fetching to false when the source ends', () => {
-    client.executeSubscription.mockReturnValueOnce(empty);
-    renderer.create(<SubscriptionUser q={query} />);
-    expect(client.executeSubscription).toHaveBeenCalled();
-    expect(state).toMatchObject({ fetching: false });
-  });
-});
-
 describe('execute subscription', () => {
   it('triggers subscription execution', () => {
     renderer.create(<SubscriptionUser q={query} />);
",0,
