pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
636,37918d87d56a3319c74ea5dd93c90875fb1ba461,37918d87d56a3319c74ea5dd93c90875fb1ba461,examples/handlebars/components/collated/__snapshots__/collated.spec.js.snap,examples/handlebars/components/collated/collated.spec.js,fixes #633,"feat(Mandelbrot): allow to customize all the theme labels

fixes #633
","diff --git a/examples/handlebars/components/collated/collated.spec.js b/examples/handlebars/components/collated/collated.spec.js
new file mode 100644
index 0000000..0396eda
--- /dev/null
+++ b/examples/handlebars/components/collated/collated.spec.js
@@ -0,0 +1,12 @@
+const fractal = require('../../fractal.config.js');
+
+describe('tree', () => {
+    beforeEach(async () => {
+        await fractal.load();
+    });
+
+    it('renders collated components collated', async () => {
+        const render = await fractal.components.find('@collated').render(null, null, { collate: true });
+        expect(render).toMatchSnapshot();
+    });
+});
",0,
636,37918d87d56a3319c74ea5dd93c90875fb1ba461,37918d87d56a3319c74ea5dd93c90875fb1ba461,examples/handlebars/components/collated/__snapshots__/collated.spec.js.snap,examples/handlebars/components/collated/collated.spec.js,fixes #633,"feat(Mandelbrot): allow to customize all the theme labels

fixes #633
","diff --git a/examples/handlebars/components/collated/collated.spec.js b/examples/handlebars/components/collated/collated.spec.js
new file mode 100644
index 0000000..0396eda
--- /dev/null
+++ b/examples/handlebars/components/collated/collated.spec.js
@@ -0,0 +1,12 @@
+const fractal = require('../../fractal.config.js');
+
+describe('tree', () => {
+    beforeEach(async () => {
+        await fractal.load();
+    });
+
+    it('renders collated components collated', async () => {
+        const render = await fractal.components.find('@collated').render(null, null, { collate: true });
+        expect(render).toMatchSnapshot();
+    });
+});
",0,
639,3bb1c3dda60529d7894c192445f0cdaed167b96f,3bb1c3dda60529d7894c192445f0cdaed167b96f,examples/handlebars/components/collated/__snapshots__/collated.spec.js.snap,examples/handlebars/components/collated/collated.spec.js,,"test: update wrong group name
","diff --git a/examples/handlebars/components/collated/collated.spec.js b/examples/handlebars/components/collated/collated.spec.js
index 0396eda..9de830e 100644
--- a/examples/handlebars/components/collated/collated.spec.js
+++ b/examples/handlebars/components/collated/collated.spec.js
@@ -1,6 +1,6 @@
 const fractal = require('../../fractal.config.js');
 
-describe('tree', () => {
+describe('collated', () => {
     beforeEach(async () => {
         await fractal.load();
     });
",0,
639,3bb1c3dda60529d7894c192445f0cdaed167b96f,3bb1c3dda60529d7894c192445f0cdaed167b96f,examples/handlebars/components/collated/__snapshots__/collated.spec.js.snap,examples/handlebars/components/collated/collated.spec.js,,"test: update wrong group name
","diff --git a/examples/handlebars/components/collated/collated.spec.js b/examples/handlebars/components/collated/collated.spec.js
index 0396eda..9de830e 100644
--- a/examples/handlebars/components/collated/collated.spec.js
+++ b/examples/handlebars/components/collated/collated.spec.js
@@ -1,6 +1,6 @@
 const fractal = require('../../fractal.config.js');
 
-describe('tree', () => {
+describe('collated', () => {
     beforeEach(async () => {
         await fractal.load();
     });
",0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/handlebars/components/context/__snapshots__/context.spec.js.snap,examples/handlebars/components/context/context.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
",,0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/handlebars/components/include/__snapshots__/include.spec.js.snap,examples/handlebars/components/include/include.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
",,0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/handlebars/components/render/__snapshots__/render.spec.js.snap,examples/handlebars/components/render/render.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
",,0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/react/components/collated/__snapshots__/collated.spec.js.snap,examples/react/components/collated/collated.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
","diff --git a/examples/react/components/collated/collated.spec.js b/examples/react/components/collated/collated.spec.js
new file mode 100644
index 0000000..147db9e
--- /dev/null
+++ b/examples/react/components/collated/collated.spec.js
@@ -0,0 +1,11 @@
+const { collated } = require('@frctl/adapter-tests');
+
+const fractal = require('../../fractal.config.js');
+
+describe('collated', () => {
+    beforeEach(async () => {
+        await fractal.load();
+    });
+
+    collated(fractal);
+});
",0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/react/components/context/__snapshots__/context.spec.js.snap,examples/react/components/context/context.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
","diff --git a/examples/react/components/context/context.spec.js b/examples/react/components/context/context.spec.js
new file mode 100644
index 0000000..e1f8466
--- /dev/null
+++ b/examples/react/components/context/context.spec.js
@@ -0,0 +1,11 @@
+const { context } = require('@frctl/adapter-tests');
+
+const fractal = require('../../fractal.config.js');
+
+describe('tree', () => {
+    beforeEach(async () => {
+        await fractal.load();
+    });
+
+    context(fractal);
+});
",0,
840,d4cd7cb6cc029ae406faa8fdf8f1b73dc26a9640,4902fcd4ad4a6f8e8d56573075fd192620290aa8,examples/react/components/include/__snapshots__/include.spec.js.snap,examples/react/components/include/include.spec.js,"An updated version of the 4 year old [react-adapter](https://github.com/frctl/react-adapter). This will let us finally archive that repo as well :)

This would also deprecate a TSX-specific adapter my company currently uses and I maintain: https://github.com/gtap-dev/fractal-tsx-adapter. This adapter should work well with regular React and also with TypeScript, as the example test projects show.

Note that the example test projects do not include client-side hydration things right now - I think that part would be better suited for a ""demo instance"" which we should also do at some point.

A feature that I intentionally left out that some of the other community React adapters have: there's no possibility to import/require components by their handles. This is because of two reasons:
- I couldn't make our eslint import/no-unresolved rule to play nice with them (lol but seriously, I would've added it otherwise)
- IMHO it's better for React projects to use standard paths for importing, since most editors support this WAY better than they would support the Fractal handles. Additionally, making it work with TypeScript would mean having to define all those handles in tsconfig paths object & that would need to be regenerated etc (a lot of headache). ","add react example project
","diff --git a/examples/react/components/include/include.spec.js b/examples/react/components/include/include.spec.js
new file mode 100644
index 0000000..135a732
--- /dev/null
+++ b/examples/react/components/include/include.spec.js
@@ -0,0 +1,11 @@
+const { include } = require('@frctl/adapter-tests');
+
+const fractal = require('../../fractal.config.js');
+
+describe('include', () => {
+    beforeEach(async () => {
+        await fractal.load();
+    });
+
+    include(fractal);
+});
",0,
