pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
231,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,test/__snapshots__/listimport.test.js.snap,test/listimport.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Add webpack resolver

### Breaking Changes

Drop webpack 2 plugin for setting options

### Additional Info

No

","feat: add webpack resolver
","diff --git a/test/listimport.test.js b/test/listimport.test.js
deleted file mode 100644
index 321baa6..0000000
--- a/test/listimport.test.js
+++ /dev/null
@@ -1,71 +0,0 @@
-import path from 'path';
-
-import {
-  compile,
-  getCodeFromBundle,
-  getCompiler,
-  getErrors,
-  getWarnings,
-} from './helpers';
-
-describe('listimport', () => {
-  const cases = [
-    {
-      name: 'recognizes @import',
-      asset: './imports/import.styl',
-    },
-    {
-      name: 'recognizes @require',
-      asset: './imports/require.styl',
-    },
-    {
-      name: 'recognizes use()',
-      asset: './imports/use.styl',
-    },
-    {
-      name: 'recognizes json()',
-      asset: './imports/json.styl',
-    },
-    {
-      name: 'recognizes block-level imports',
-      asset: './imports/block-level.styl',
-    },
-  ];
-
-  for (const item of cases) {
-    it(item.name, async () => {
-      const testId = item.asset;
-      const compiler = getCompiler(
-        testId,
-        {},
-        {
-          module: {
-            rules: [
-              {
-                test: /\.styl$/i,
-                rules: [
-                  {
-                    loader: require.resolve('./helpers/testLoader'),
-                  },
-                  {
-                    loader: path.resolve(
-                      __dirname,
-                      './helpers/stylus-import-loader'
-                    ),
-                    options: {},
-                  },
-                ],
-              },
-            ],
-          },
-        }
-      );
-      const stats = await compile(compiler);
-      const codeFromBundle = getCodeFromBundle(stats, compiler);
-
-      expect(codeFromBundle.css).toMatchSnapshot('css');
-      expect(getWarnings(stats)).toMatchSnapshot('warnings');
-      expect(getErrors(stats)).toMatchSnapshot('errors');
-    });
-  }
-});
",0,
231,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Add webpack resolver

### Breaking Changes

Drop webpack 2 plugin for setting options

### Additional Info

No

","feat: add webpack resolver
","diff --git a/test/loader.test.js b/test/loader.test.js
index c38bebf..758d021 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -53,7 +53,7 @@ describe('loader', () => {
 
   it('with option, should resolve urls relatively', async () => {
     const testId = './shallow.styl';
-    const compiler = getCompiler(testId, { 'resolve url': true });
+    const compiler = getCompiler(testId, { resolveUrl: true });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -64,7 +64,7 @@ describe('loader', () => {
 
   it('with paths, find deps and load like normal stylus', async () => {
     const testId = './import-paths.styl';
-    const compiler = getCompiler(testId, { paths: 'test/fixtures/paths' });
+    const compiler = getCompiler(testId, { paths: ['test/fixtures/paths'] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -97,7 +97,7 @@ describe('loader', () => {
 
   it('in a nested import load module from paths', async () => {
     const testId = './shallow-paths.styl';
-    const compiler = getCompiler(testId, { paths: 'test/fixtures/paths' });
+    const compiler = getCompiler(testId, { paths: ['test/fixtures/paths'] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -151,8 +151,16 @@ describe('loader', () => {
   });
 
   it('should allow stylus plugins to be configured in webpack.config.js', async () => {
+    function plugin() {
+      return (style) => {
+        style.define('add', (a, b) => {
+          return a.operate('+', b);
+        });
+      };
+    }
+
     const testId = './webpack.config-plugin.styl';
-    const compiler = getCompiler(testId);
+    const compiler = getCompiler(testId, { use: [plugin()] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -194,17 +202,6 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
-  it('imports files in a directory included by a plugin', async () => {
-    const testId = './import-include.styl';
-    const compiler = getCompiler(testId);
-    const stats = await compile(compiler);
-    const codeFromBundle = getCodeFromBundle(stats, compiler);
-
-    expect(codeFromBundle.css).toMatchSnapshot('css');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-  });
-
   it('imports files listed in option argument stylus paths style', async () => {
     const testId = './stylus.styl';
     const compiler = getCompiler(testId, {
",0,
231,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,test/__snapshots__/listimport.test.js.snap,test/listimport.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Add webpack resolver

### Breaking Changes

Drop webpack 2 plugin for setting options

### Additional Info

No

","feat: add webpack resolver
","diff --git a/test/listimport.test.js b/test/listimport.test.js
deleted file mode 100644
index 321baa6..0000000
--- a/test/listimport.test.js
+++ /dev/null
@@ -1,71 +0,0 @@
-import path from 'path';
-
-import {
-  compile,
-  getCodeFromBundle,
-  getCompiler,
-  getErrors,
-  getWarnings,
-} from './helpers';
-
-describe('listimport', () => {
-  const cases = [
-    {
-      name: 'recognizes @import',
-      asset: './imports/import.styl',
-    },
-    {
-      name: 'recognizes @require',
-      asset: './imports/require.styl',
-    },
-    {
-      name: 'recognizes use()',
-      asset: './imports/use.styl',
-    },
-    {
-      name: 'recognizes json()',
-      asset: './imports/json.styl',
-    },
-    {
-      name: 'recognizes block-level imports',
-      asset: './imports/block-level.styl',
-    },
-  ];
-
-  for (const item of cases) {
-    it(item.name, async () => {
-      const testId = item.asset;
-      const compiler = getCompiler(
-        testId,
-        {},
-        {
-          module: {
-            rules: [
-              {
-                test: /\.styl$/i,
-                rules: [
-                  {
-                    loader: require.resolve('./helpers/testLoader'),
-                  },
-                  {
-                    loader: path.resolve(
-                      __dirname,
-                      './helpers/stylus-import-loader'
-                    ),
-                    options: {},
-                  },
-                ],
-              },
-            ],
-          },
-        }
-      );
-      const stats = await compile(compiler);
-      const codeFromBundle = getCodeFromBundle(stats, compiler);
-
-      expect(codeFromBundle.css).toMatchSnapshot('css');
-      expect(getWarnings(stats)).toMatchSnapshot('warnings');
-      expect(getErrors(stats)).toMatchSnapshot('errors');
-    });
-  }
-});
",0,
231,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,e903c20cd1e2ec01b5ef3b856b1bf32038f9815e,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Add webpack resolver

### Breaking Changes

Drop webpack 2 plugin for setting options

### Additional Info

No

","feat: add webpack resolver
","diff --git a/test/loader.test.js b/test/loader.test.js
index c38bebf..758d021 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -53,7 +53,7 @@ describe('loader', () => {
 
   it('with option, should resolve urls relatively', async () => {
     const testId = './shallow.styl';
-    const compiler = getCompiler(testId, { 'resolve url': true });
+    const compiler = getCompiler(testId, { resolveUrl: true });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -64,7 +64,7 @@ describe('loader', () => {
 
   it('with paths, find deps and load like normal stylus', async () => {
     const testId = './import-paths.styl';
-    const compiler = getCompiler(testId, { paths: 'test/fixtures/paths' });
+    const compiler = getCompiler(testId, { paths: ['test/fixtures/paths'] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -97,7 +97,7 @@ describe('loader', () => {
 
   it('in a nested import load module from paths', async () => {
     const testId = './shallow-paths.styl';
-    const compiler = getCompiler(testId, { paths: 'test/fixtures/paths' });
+    const compiler = getCompiler(testId, { paths: ['test/fixtures/paths'] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -151,8 +151,16 @@ describe('loader', () => {
   });
 
   it('should allow stylus plugins to be configured in webpack.config.js', async () => {
+    function plugin() {
+      return (style) => {
+        style.define('add', (a, b) => {
+          return a.operate('+', b);
+        });
+      };
+    }
+
     const testId = './webpack.config-plugin.styl';
-    const compiler = getCompiler(testId);
+    const compiler = getCompiler(testId, { use: [plugin()] });
     const stats = await compile(compiler);
     const codeFromBundle = getCodeFromBundle(stats, compiler);
 
@@ -194,17 +202,6 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
-  it('imports files in a directory included by a plugin', async () => {
-    const testId = './import-include.styl';
-    const compiler = getCompiler(testId);
-    const stats = await compile(compiler);
-    const codeFromBundle = getCodeFromBundle(stats, compiler);
-
-    expect(codeFromBundle.css).toMatchSnapshot('css');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-  });
-
   it('imports files listed in option argument stylus paths style', async () => {
     const testId = './stylus.styl';
     const compiler = getCompiler(testId, {
",0,
234,ffde2f0a2df0e6b4d44bfd6c16ad4dc2c4aec56d,ffde2f0a2df0e6b4d44bfd6c16ad4dc2c4aec56d,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Add loader options validation

### Breaking Changes

No

### Additional Info

No
","feat: add loader options validation
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..504a29f
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,74 @@
+import { getCompiler, compile } from './helpers/index';
+
+describe('validate options', () => {
+  const tests = {
+    stylusOptions: {
+      success: [
+        {},
+        { resolveCss: true },
+        { includeCSS: false },
+        {
+          define: {
+            $development: process.env.NODE_ENV === 'development',
+          },
+        },
+      ],
+      failure: [1, true, false, 'test', []],
+    },
+    sourceMap: {
+      success: [true, false],
+      failure: ['string'],
+    },
+    unknown: {
+      success: [],
+      failure: [1, true, false, 'test', /test/, [], {}, { foo: 'bar' }],
+    },
+  };
+
+  function stringifyValue(value) {
+    if (
+      Array.isArray(value) ||
+      (value && typeof value === 'object' && value.constructor === Object)
+    ) {
+      return JSON.stringify(value);
+    }
+
+    return value;
+  }
+
+  async function createTestCase(key, value, type) {
+    it(`should ${
+      type === 'success' ? 'successfully validate' : 'throw an error on'
+    } the ""${key}"" option with ""${stringifyValue(value)}"" value`, async () => {
+      const compiler = getCompiler('./basic.styl', {
+        [key]: value,
+      });
+      let stats;
+
+      try {
+        stats = await compile(compiler);
+      } finally {
+        if (type === 'success') {
+          expect(stats.hasErrors()).toBe(false);
+        } else if (type === 'failure') {
+          const {
+            compilation: { errors },
+          } = stats;
+
+          expect(errors).toHaveLength(1);
+          expect(() => {
+            throw new Error(errors[0].error.message);
+          }).toThrowErrorMatchingSnapshot();
+        }
+      }
+    });
+  }
+
+  for (const [key, values] of Object.entries(tests)) {
+    for (const type of Object.keys(values)) {
+      for (const value of values[type]) {
+        createTestCase(key, value, type);
+      }
+    }
+  }
+});
",0,
234,ffde2f0a2df0e6b4d44bfd6c16ad4dc2c4aec56d,ffde2f0a2df0e6b4d44bfd6c16ad4dc2c4aec56d,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Add loader options validation

### Breaking Changes

No

### Additional Info

No
","feat: add loader options validation
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..504a29f
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,74 @@
+import { getCompiler, compile } from './helpers/index';
+
+describe('validate options', () => {
+  const tests = {
+    stylusOptions: {
+      success: [
+        {},
+        { resolveCss: true },
+        { includeCSS: false },
+        {
+          define: {
+            $development: process.env.NODE_ENV === 'development',
+          },
+        },
+      ],
+      failure: [1, true, false, 'test', []],
+    },
+    sourceMap: {
+      success: [true, false],
+      failure: ['string'],
+    },
+    unknown: {
+      success: [],
+      failure: [1, true, false, 'test', /test/, [], {}, { foo: 'bar' }],
+    },
+  };
+
+  function stringifyValue(value) {
+    if (
+      Array.isArray(value) ||
+      (value && typeof value === 'object' && value.constructor === Object)
+    ) {
+      return JSON.stringify(value);
+    }
+
+    return value;
+  }
+
+  async function createTestCase(key, value, type) {
+    it(`should ${
+      type === 'success' ? 'successfully validate' : 'throw an error on'
+    } the ""${key}"" option with ""${stringifyValue(value)}"" value`, async () => {
+      const compiler = getCompiler('./basic.styl', {
+        [key]: value,
+      });
+      let stats;
+
+      try {
+        stats = await compile(compiler);
+      } finally {
+        if (type === 'success') {
+          expect(stats.hasErrors()).toBe(false);
+        } else if (type === 'failure') {
+          const {
+            compilation: { errors },
+          } = stats;
+
+          expect(errors).toHaveLength(1);
+          expect(() => {
+            throw new Error(errors[0].error.message);
+          }).toThrowErrorMatchingSnapshot();
+        }
+      }
+    });
+  }
+
+  for (const [key, values] of Object.entries(tests)) {
+    for (const type of Object.keys(values)) {
+      for (const value of values[type]) {
+        createTestCase(key, value, type);
+      }
+    }
+  }
+});
",0,
235,25d393eb16ff5ddd84beb44e509381629fa44c92,1baa92ee460bff7b1e2e75959640b4a654e12429,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Allow pass stylusOptions through function

### Breaking Changes

No

### Additional Info

No
","feat: allow pass stylusOptions through function
","diff --git a/test/loader.test.js b/test/loader.test.js
index 58e82e4..d7c6d68 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,3 +1,5 @@
+import path from 'path';
+
 import {
   compile,
   getCodeFromBundle,
@@ -51,6 +53,36 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
+  it('should work when stylusOptions is function', async () => {
+    function plugin() {
+      return (style) => {
+        style.define('add', (a, b) => {
+          return a.operate('+', b);
+        });
+      };
+    }
+
+    const testId = './webpack.config-plugin.styl';
+    const compiler = getCompiler(testId, {
+      stylusOptions: (loaderContext) => {
+        const { resourcePath, rootContext } = loaderContext;
+        const relativePath = path.relative(rootContext, resourcePath);
+
+        if (relativePath === 'webpack.config-plugin.styl') {
+          return { use: plugin() };
+        }
+
+        return {};
+      },
+    });
+    const stats = await compile(compiler);
+    const codeFromBundle = getCodeFromBundle(stats, compiler);
+
+    expect(codeFromBundle.css).toMatchSnapshot('css');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+  });
+
   it('with option, should resolve urls relatively', async () => {
     const testId = './shallow.styl';
     const compiler = getCompiler(testId, {
",0,
235,25d393eb16ff5ddd84beb44e509381629fa44c92,1baa92ee460bff7b1e2e75959640b4a654e12429,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Allow pass stylusOptions through function

### Breaking Changes

No

### Additional Info

No
","feat: allow pass stylusOptions through function
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 504a29f..cfba41c 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -12,6 +12,10 @@ describe('validate options', () => {
             $development: process.env.NODE_ENV === 'development',
           },
         },
+        () => {},
+        () => {
+          return { resolveCss: true };
+        },
       ],
       failure: [1, true, false, 'test', []],
     },
",0,
235,25d393eb16ff5ddd84beb44e509381629fa44c92,1baa92ee460bff7b1e2e75959640b4a654e12429,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Allow pass stylusOptions through function

### Breaking Changes

No

### Additional Info

No
","feat: allow pass stylusOptions through function
","diff --git a/test/loader.test.js b/test/loader.test.js
index 58e82e4..d7c6d68 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,3 +1,5 @@
+import path from 'path';
+
 import {
   compile,
   getCodeFromBundle,
@@ -51,6 +53,36 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
+  it('should work when stylusOptions is function', async () => {
+    function plugin() {
+      return (style) => {
+        style.define('add', (a, b) => {
+          return a.operate('+', b);
+        });
+      };
+    }
+
+    const testId = './webpack.config-plugin.styl';
+    const compiler = getCompiler(testId, {
+      stylusOptions: (loaderContext) => {
+        const { resourcePath, rootContext } = loaderContext;
+        const relativePath = path.relative(rootContext, resourcePath);
+
+        if (relativePath === 'webpack.config-plugin.styl') {
+          return { use: plugin() };
+        }
+
+        return {};
+      },
+    });
+    const stats = await compile(compiler);
+    const codeFromBundle = getCodeFromBundle(stats, compiler);
+
+    expect(codeFromBundle.css).toMatchSnapshot('css');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+  });
+
   it('with option, should resolve urls relatively', async () => {
     const testId = './shallow.styl';
     const compiler = getCompiler(testId, {
",0,
235,25d393eb16ff5ddd84beb44e509381629fa44c92,1baa92ee460bff7b1e2e75959640b4a654e12429,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Allow pass stylusOptions through function

### Breaking Changes

No

### Additional Info

No
","feat: allow pass stylusOptions through function
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 504a29f..cfba41c 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -12,6 +12,10 @@ describe('validate options', () => {
             $development: process.env.NODE_ENV === 'development',
           },
         },
+        () => {},
+        () => {
+          return { resolveCss: true };
+        },
       ],
       failure: [1, true, false, 'test', []],
     },
",0,
