pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
110,d8fac74ca9e9ea50bf29905766294409a94455be,d8fac74ca9e9ea50bf29905766294409a94455be,__tests__/command_helpers/__snapshots__/updateVersions.ts.snap,__tests__/command_helpers/updateVersions.ts,"Spent a few cycles actually calling some functions and mocks.  Improves likelyhood of catching bugs, and hopefully gives us a good place to check for advanced tests.","increasing test coverage for 1.0
","diff --git a/__tests__/command_helpers/updateVersions.ts b/__tests__/command_helpers/updateVersions.ts
index 46f7d3f..3efe9bf 100644
--- a/__tests__/command_helpers/updateVersions.ts
+++ b/__tests__/command_helpers/updateVersions.ts
@@ -1,3 +1,21 @@
 import updateVersions from '../../src/extensions/functions/updateVersions'
+const solidarity = {
+  getSolidaritySettings: jest.fn(() => ({
+    requirements: [
+      {nachos: { rule: 'cli', binary: 'tacos'}}
+    ]
+  })),
+  setSolidaritySettings: jest.fn(),
+  updateRequirement: jest.fn()
+}
+
+const mockContext = { solidarity, print: jest.fn() }
 
 test('updateVersions exists', () => expect(updateVersions).toMatchSnapshot())
+
+test('updateVersions pulls solidarity settings', () => {
+  const theVoid = updateVersions(mockContext)
+  expect(theVoid).toMatchSnapshot()
+  expect(solidarity.getSolidaritySettings.mock.calls.length).toBe(1)
+  expect(solidarity.updateRequirement.mock.calls.length).toBe(1)
+})
",0,
110,d8fac74ca9e9ea50bf29905766294409a94455be,d8fac74ca9e9ea50bf29905766294409a94455be,__tests__/commands/__snapshots__/solidarity.ts.snap,__tests__/commands/solidarity.ts,"Spent a few cycles actually calling some functions and mocks.  Improves likelyhood of catching bugs, and hopefully gives us a good place to check for advanced tests.","increasing test coverage for 1.0
","diff --git a/__tests__/commands/solidarity.ts b/__tests__/commands/solidarity.ts
index 0291d24..dfe7619 100644
--- a/__tests__/commands/solidarity.ts
+++ b/__tests__/commands/solidarity.ts
@@ -1,5 +1,21 @@
 import checkCommand from '../../src/commands/solidarity'
 
+const mockContext = {
+  print: {
+    error: jest.fn(),
+    success: jest.fn()
+  },
+  parameters: {
+    options: {}
+  },
+  solidarity: {
+    checkRequirement: jest.fn(),
+    getSolidaritySettings: jest.fn(() => ({
+      config: {}
+    }))
+  }
+}
+
 test('Snapshot check default command', () => {
   expect(checkCommand).toMatchSnapshot()
 })
@@ -9,3 +25,9 @@ test('Enforce required properties', () => {
   expect(checkCommand.run).toBeTruthy()
   expect(typeof checkCommand.run).toBe('function')
 })
+
+test('check solidarity run', async () => {
+  const result = await checkCommand.run(mockContext)
+  expect(result).toMatchSnapshot()
+  expect(mockContext.solidarity.getSolidaritySettings.mock.calls.length).toBe(1)
+})
",0,
110,d8fac74ca9e9ea50bf29905766294409a94455be,d8fac74ca9e9ea50bf29905766294409a94455be,__tests__/command_helpers/__snapshots__/updateVersions.ts.snap,__tests__/command_helpers/updateVersions.ts,"Spent a few cycles actually calling some functions and mocks.  Improves likelyhood of catching bugs, and hopefully gives us a good place to check for advanced tests.","increasing test coverage for 1.0
","diff --git a/__tests__/command_helpers/updateVersions.ts b/__tests__/command_helpers/updateVersions.ts
index 46f7d3f..3efe9bf 100644
--- a/__tests__/command_helpers/updateVersions.ts
+++ b/__tests__/command_helpers/updateVersions.ts
@@ -1,3 +1,21 @@
 import updateVersions from '../../src/extensions/functions/updateVersions'
+const solidarity = {
+  getSolidaritySettings: jest.fn(() => ({
+    requirements: [
+      {nachos: { rule: 'cli', binary: 'tacos'}}
+    ]
+  })),
+  setSolidaritySettings: jest.fn(),
+  updateRequirement: jest.fn()
+}
+
+const mockContext = { solidarity, print: jest.fn() }
 
 test('updateVersions exists', () => expect(updateVersions).toMatchSnapshot())
+
+test('updateVersions pulls solidarity settings', () => {
+  const theVoid = updateVersions(mockContext)
+  expect(theVoid).toMatchSnapshot()
+  expect(solidarity.getSolidaritySettings.mock.calls.length).toBe(1)
+  expect(solidarity.updateRequirement.mock.calls.length).toBe(1)
+})
",0,
110,d8fac74ca9e9ea50bf29905766294409a94455be,d8fac74ca9e9ea50bf29905766294409a94455be,__tests__/commands/__snapshots__/solidarity.ts.snap,__tests__/commands/solidarity.ts,"Spent a few cycles actually calling some functions and mocks.  Improves likelyhood of catching bugs, and hopefully gives us a good place to check for advanced tests.","increasing test coverage for 1.0
","diff --git a/__tests__/commands/solidarity.ts b/__tests__/commands/solidarity.ts
index 0291d24..dfe7619 100644
--- a/__tests__/commands/solidarity.ts
+++ b/__tests__/commands/solidarity.ts
@@ -1,5 +1,21 @@
 import checkCommand from '../../src/commands/solidarity'
 
+const mockContext = {
+  print: {
+    error: jest.fn(),
+    success: jest.fn()
+  },
+  parameters: {
+    options: {}
+  },
+  solidarity: {
+    checkRequirement: jest.fn(),
+    getSolidaritySettings: jest.fn(() => ({
+      config: {}
+    }))
+  }
+}
+
 test('Snapshot check default command', () => {
   expect(checkCommand).toMatchSnapshot()
 })
@@ -9,3 +25,9 @@ test('Enforce required properties', () => {
   expect(checkCommand.run).toBeTruthy()
   expect(typeof checkCommand.run).toBe('function')
 })
+
+test('check solidarity run', async () => {
+  const result = await checkCommand.run(mockContext)
+  expect(result).toMatchSnapshot()
+  expect(mockContext.solidarity.getSolidaritySettings.mock.calls.length).toBe(1)
+})
",0,
112,9c56ea808c4f2f2ecf910f050e63049c23277d25,9c56ea808c4f2f2ecf910f050e63049c23277d25,__tests__/command_helpers/__snapshots__/setSolidaritySettings.ts.snap,__tests__/command_helpers/setSolidaritySettings.ts,,"packages and tests get facelifts
","diff --git a/__tests__/command_helpers/setSolidaritySettings.ts b/__tests__/command_helpers/setSolidaritySettings.ts
index 65103a0..bc887cb 100644
--- a/__tests__/command_helpers/setSolidaritySettings.ts
+++ b/__tests__/command_helpers/setSolidaritySettings.ts
@@ -1,3 +1,28 @@
 import setSolidaritySettings from '../../src/extensions/functions/setSolidaritySettings'
 
+const goodSettings = {
+  requirements: []
+}
+const badSettings = {}
+const mockContext = {
+  print: {
+    error: jest.fn()
+  },
+  filesystem: {
+    write: jest.fn()
+  }
+}
+
 test('setSolidaritySettings exists', () => expect(setSolidaritySettings).toMatchSnapshot())
+
+test('check good setSolidarity path', () => {
+  const resultVoid = setSolidaritySettings(goodSettings, mockContext)
+  expect(resultVoid).toMatchSnapshot()
+  expect(mockContext.filesystem.write.mock.calls.length).toBe(1)
+})
+
+test('check failed setSolidarity path', () => {
+  expect(() => {
+    setSolidaritySettings(badSettings, mockContext)
+  }).toThrowError('You must have a requirements key to be a valid solidarity file')
+})
",0,
112,9c56ea808c4f2f2ecf910f050e63049c23277d25,9c56ea808c4f2f2ecf910f050e63049c23277d25,__tests__/command_helpers/__snapshots__/setSolidaritySettings.ts.snap,__tests__/command_helpers/setSolidaritySettings.ts,,"packages and tests get facelifts
","diff --git a/__tests__/command_helpers/setSolidaritySettings.ts b/__tests__/command_helpers/setSolidaritySettings.ts
index 65103a0..bc887cb 100644
--- a/__tests__/command_helpers/setSolidaritySettings.ts
+++ b/__tests__/command_helpers/setSolidaritySettings.ts
@@ -1,3 +1,28 @@
 import setSolidaritySettings from '../../src/extensions/functions/setSolidaritySettings'
 
+const goodSettings = {
+  requirements: []
+}
+const badSettings = {}
+const mockContext = {
+  print: {
+    error: jest.fn()
+  },
+  filesystem: {
+    write: jest.fn()
+  }
+}
+
 test('setSolidaritySettings exists', () => expect(setSolidaritySettings).toMatchSnapshot())
+
+test('check good setSolidarity path', () => {
+  const resultVoid = setSolidaritySettings(goodSettings, mockContext)
+  expect(resultVoid).toMatchSnapshot()
+  expect(mockContext.filesystem.write.mock.calls.length).toBe(1)
+})
+
+test('check failed setSolidarity path', () => {
+  expect(() => {
+    setSolidaritySettings(badSettings, mockContext)
+  }).toThrowError('You must have a requirements key to be a valid solidarity file')
+})
",0,
117,649ed4174d9d78e4d315ea066fde80d62c7c549c,2b4fc00e9cd02b7acee53aa1b8787af35ac21799,__tests__/command_helpers/__snapshots__/updateRequirement.ts.snap,__tests__/command_helpers/updateRequirement.ts,Added 2 small tests to a previously untested function.,"slight improvement on tests
","diff --git a/__tests__/command_helpers/updateRequirement.ts b/__tests__/command_helpers/updateRequirement.ts
index 56e04cc..8a9322c 100644
--- a/__tests__/command_helpers/updateRequirement.ts
+++ b/__tests__/command_helpers/updateRequirement.ts
@@ -1,3 +1,36 @@
 import updateRequirement from '../../src/extensions/functions/updateRequirement'
 
+const requirements = {
+  fail: [{ rule: 'cli', binary: 'tacos'}],
+  success: [{ rule: 'cli', binary: 'node', semver: '0.0.0'}]
+}
+
+const solidarity = {
+  getSolidaritySettings: jest.fn(() => ({
+    requirements
+  })),
+  setSolidaritySettings: jest.fn(),
+  updateRequirement: jest.fn()
+}
+
+const mockContext = {
+  solidarity,
+  print: {
+    spin: jest.fn(),
+    error: jest.fn()
+  }
+}
+
 test('updateRequirement exists', () => expect(updateRequirement).toMatchSnapshot())
+
+test('updateVersions pulls solidarity settings', async () => {
+  const theVoid = await updateRequirement({}, {}, mockContext)
+  expect(theVoid).toMatchSnapshot()
+  expect(mockContext.print.spin.mock.calls.length).toBe(1)
+})
+
+test('updateVersions pulls solidarity settings', async () => {
+  const theVoid = await updateRequirement(requirements.success, {}, mockContext)
+  expect(theVoid).toMatchSnapshot()
+  console.log('\n\n\n', theVoid)
+})
",0,
117,649ed4174d9d78e4d315ea066fde80d62c7c549c,2b4fc00e9cd02b7acee53aa1b8787af35ac21799,__tests__/command_helpers/__snapshots__/updateRequirement.ts.snap,__tests__/command_helpers/updateRequirement.ts,Added 2 small tests to a previously untested function.,"slight improvement on tests
","diff --git a/__tests__/command_helpers/updateRequirement.ts b/__tests__/command_helpers/updateRequirement.ts
index 56e04cc..8a9322c 100644
--- a/__tests__/command_helpers/updateRequirement.ts
+++ b/__tests__/command_helpers/updateRequirement.ts
@@ -1,3 +1,36 @@
 import updateRequirement from '../../src/extensions/functions/updateRequirement'
 
+const requirements = {
+  fail: [{ rule: 'cli', binary: 'tacos'}],
+  success: [{ rule: 'cli', binary: 'node', semver: '0.0.0'}]
+}
+
+const solidarity = {
+  getSolidaritySettings: jest.fn(() => ({
+    requirements
+  })),
+  setSolidaritySettings: jest.fn(),
+  updateRequirement: jest.fn()
+}
+
+const mockContext = {
+  solidarity,
+  print: {
+    spin: jest.fn(),
+    error: jest.fn()
+  }
+}
+
 test('updateRequirement exists', () => expect(updateRequirement).toMatchSnapshot())
+
+test('updateVersions pulls solidarity settings', async () => {
+  const theVoid = await updateRequirement({}, {}, mockContext)
+  expect(theVoid).toMatchSnapshot()
+  expect(mockContext.print.spin.mock.calls.length).toBe(1)
+})
+
+test('updateVersions pulls solidarity settings', async () => {
+  const theVoid = await updateRequirement(requirements.success, {}, mockContext)
+  expect(theVoid).toMatchSnapshot()
+  console.log('\n\n\n', theVoid)
+})
",0,
121,bd5f4816a695be4d9b54cb909e5e6cd61e93953e,bd5f4816a695be4d9b54cb909e5e6cd61e93953e,__tests__/commands/__snapshots__/report.ts.snap,__tests__/commands/report.ts,Use envinfo package to print diagnostic info.,"add solidarity report tests
","diff --git a/__tests__/commands/report.ts b/__tests__/commands/report.ts
new file mode 100644
index 0000000..42a7515
--- /dev/null
+++ b/__tests__/commands/report.ts
@@ -0,0 +1,19 @@
+jest.mock('envinfo')
+
+import reportCommand from '../../src/commands/report'
+import { print as envinfoPrint } from 'envinfo'
+
+test('Snapshot check help command', () => {
+  expect(reportCommand).toMatchSnapshot()
+})
+
+it('enforces required properties', () => {
+  expect(reportCommand.description).toBeTruthy()
+  expect(reportCommand.run).toBeTruthy()
+  expect(typeof reportCommand.run).toBe('function')
+})
+
+test('check solidarity report', async () => {
+  const result = await reportCommand.run()
+  expect(envinfoPrint.mock.calls.length).toBe(1)
+})
",0,
121,bd5f4816a695be4d9b54cb909e5e6cd61e93953e,bd5f4816a695be4d9b54cb909e5e6cd61e93953e,__tests__/commands/__snapshots__/report.ts.snap,__tests__/commands/report.ts,Use envinfo package to print diagnostic info.,"add solidarity report tests
","diff --git a/__tests__/commands/report.ts b/__tests__/commands/report.ts
new file mode 100644
index 0000000..42a7515
--- /dev/null
+++ b/__tests__/commands/report.ts
@@ -0,0 +1,19 @@
+jest.mock('envinfo')
+
+import reportCommand from '../../src/commands/report'
+import { print as envinfoPrint } from 'envinfo'
+
+test('Snapshot check help command', () => {
+  expect(reportCommand).toMatchSnapshot()
+})
+
+it('enforces required properties', () => {
+  expect(reportCommand.description).toBeTruthy()
+  expect(reportCommand.run).toBeTruthy()
+  expect(typeof reportCommand.run).toBe('function')
+})
+
+test('check solidarity report', async () => {
+  const result = await reportCommand.run()
+  expect(envinfoPrint.mock.calls.length).toBe(1)
+})
",0,
