pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
905,18185fc08646171b05c4f3ce50e997fe2c43adbb,18185fc08646171b05c4f3ce50e997fe2c43adbb,test/integration/__snapshots__/github-app-authorization-revoked.test.js.snap,test/integration/github-app-authorization-revoked.test.js,"I noticed, that one of the most flaky tests is the snapshot match for oauth verification.
See [this bug tracking issue](https://github.com/integrations/slack/issues/903#issuecomment-519888747) for details.
The core problem is that we are combining `matchesSnapshot` with `times(x)`.
Combining these requires a ordered or sequential execution of the requests
that are performed. But for `signout` those are executed in parallel,
making the order unpredictable which causes snapshot mismatches.
See https://github.com/integrations/slack/blob/b5cf9306a26e93bcf0be59cd84eda97865566e33/lib/github/oauth.js#L128-L140 for the implementation.

This PR removes the snapshot match, which is not reliable and is not
as important as the remaining `expect` clauses that validate the actual
removal.","Remove snapshot match from oauth revocation

I noticed, that one of the most flaky tests is the snapshot match for oauth verification.
See [this bug tracking issue](https://github.com/integrations/slack/issues/903#issuecomment-519888747) for details.
The core problem is that we are combining `machtesSnapshot` with `times(x)`.
Combining these requires a ordered or sequential execution of the requests
that are performed. But for `signout` those are executed in parallel,
making the order unpredictable which causes snapshot mismatches.
See https://github.com/integrations/slack/blob/b5cf9306a26e93bcf0be59cd84eda97865566e33/lib/github/oauth.js#L128-L140 for the implementation.

This PR removes the snapshot match, which is not reliable and is not
as important as the remaining `expect` clauses that validate the actual
removal.
","diff --git a/test/integration/github-app-authorization-revoked.test.js b/test/integration/github-app-authorization-revoked.test.js
index d243278..4069eb0 100644
--- a/test/integration/github-app-authorization-revoked.test.js
+++ b/test/integration/github-app-authorization-revoked.test.js
@@ -89,10 +89,7 @@ describe('Integration: github_app_authorization.revoked', async () => {
       full_name: 'integrations/slack',
     });
 
-    nock('https://slack.com').post('/api/chat.postMessage', (body) => {
-      expect(body).toMatchSnapshot();
-      return true;
-    }).times(2).reply(200, { ok: true });
+    nock('https://slack.com').post('/api/chat.postMessage').times(2).reply(200, { ok: true });
 
     await probot.receive({
       name: 'github_app_authorization',
@@ -142,10 +139,7 @@ describe('Integration: github_app_authorization.revoked', async () => {
       full_name: 'integrations/slack',
     });
 
-    nock('https://slack.com').post('/api/chat.postMessage', (body) => {
-      expect(body).toMatchSnapshot();
-      return true;
-    }).times(4).reply(200, { ok: true });
+    nock('https://slack.com').post('/api/chat.postMessage').times(4).reply(200, { ok: true });
 
     await probot.receive({
       name: 'github_app_authorization',
",0,
905,18185fc08646171b05c4f3ce50e997fe2c43adbb,18185fc08646171b05c4f3ce50e997fe2c43adbb,test/integration/__snapshots__/github-app-authorization-revoked.test.js.snap,test/integration/github-app-authorization-revoked.test.js,"I noticed, that one of the most flaky tests is the snapshot match for oauth verification.
See [this bug tracking issue](https://github.com/integrations/slack/issues/903#issuecomment-519888747) for details.
The core problem is that we are combining `matchesSnapshot` with `times(x)`.
Combining these requires a ordered or sequential execution of the requests
that are performed. But for `signout` those are executed in parallel,
making the order unpredictable which causes snapshot mismatches.
See https://github.com/integrations/slack/blob/b5cf9306a26e93bcf0be59cd84eda97865566e33/lib/github/oauth.js#L128-L140 for the implementation.

This PR removes the snapshot match, which is not reliable and is not
as important as the remaining `expect` clauses that validate the actual
removal.","Remove snapshot match from oauth revocation

I noticed, that one of the most flaky tests is the snapshot match for oauth verification.
See [this bug tracking issue](https://github.com/integrations/slack/issues/903#issuecomment-519888747) for details.
The core problem is that we are combining `machtesSnapshot` with `times(x)`.
Combining these requires a ordered or sequential execution of the requests
that are performed. But for `signout` those are executed in parallel,
making the order unpredictable which causes snapshot mismatches.
See https://github.com/integrations/slack/blob/b5cf9306a26e93bcf0be59cd84eda97865566e33/lib/github/oauth.js#L128-L140 for the implementation.

This PR removes the snapshot match, which is not reliable and is not
as important as the remaining `expect` clauses that validate the actual
removal.
","diff --git a/test/integration/github-app-authorization-revoked.test.js b/test/integration/github-app-authorization-revoked.test.js
index d243278..4069eb0 100644
--- a/test/integration/github-app-authorization-revoked.test.js
+++ b/test/integration/github-app-authorization-revoked.test.js
@@ -89,10 +89,7 @@ describe('Integration: github_app_authorization.revoked', async () => {
       full_name: 'integrations/slack',
     });
 
-    nock('https://slack.com').post('/api/chat.postMessage', (body) => {
-      expect(body).toMatchSnapshot();
-      return true;
-    }).times(2).reply(200, { ok: true });
+    nock('https://slack.com').post('/api/chat.postMessage').times(2).reply(200, { ok: true });
 
     await probot.receive({
       name: 'github_app_authorization',
@@ -142,10 +139,7 @@ describe('Integration: github_app_authorization.revoked', async () => {
       full_name: 'integrations/slack',
     });
 
-    nock('https://slack.com').post('/api/chat.postMessage', (body) => {
-      expect(body).toMatchSnapshot();
-      return true;
-    }).times(4).reply(200, { ok: true });
+    nock('https://slack.com').post('/api/chat.postMessage').times(4).reply(200, { ok: true });
 
     await probot.receive({
       name: 'github_app_authorization',
",0,
906,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,de5cc96ffe70c14cf310c97f0059960f16ab5123,test/integration/__snapshots__/unfurl.test.js.snap,test/integration/unfurl.test.js,"Concurrent unfurl bodies are tested in a non-deterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa Versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903","Makes unfurl snapshot test deterministic

Concurrent unfurl bodies are tested in a non depterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier, so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903
","diff --git a/test/integration/unfurl.test.js b/test/integration/unfurl.test.js
index 591c880..46b635b 100644
--- a/test/integration/unfurl.test.js
+++ b/test/integration/unfurl.test.js
@@ -79,11 +79,14 @@ describe('Integration: unfurls', () => {
       nock('https://api.github.com').get('/repos/atom/atom').times(2).reply(200, fixtures.repo);
       nock('https://api.github.com').get('/repos/atom/atom/issues/16292').reply(200, fixtures.issue);
 
+      const unfurlRequests = [];
       nock('https://slack.com').post('/api/chat.unfurl', (req) => {
-        // Test that the body posted to the unfurl matches the snapshot
-        expect(req).toMatchSnapshot();
+        unfurlRequests.push(req);
+
+        // verify the there is no text for condensed unfurls
         const unfurls = JSON.parse(req.unfurls);
         expect(unfurls[Object.keys(unfurls)[0]].text).toBe(undefined);
+
         return true;
       }).times(2).reply(200, { ok: true });
 
@@ -96,6 +99,9 @@ describe('Integration: unfurls', () => {
 
       await request(probot.server).post('/slack/events').send(body).expect(200);
 
+      // check the recorded unfurl request bodies.
+      expect(unfurlRequests.sort()).toMatchSnapshot();
+
       const unfurls = await Unfurl.findAll();
       expect(unfurls.length).toBe(2);
 
",0,
906,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,test/integration/__snapshots__/slack-uninstall.test.js.snap,test/integration/slack-uninstall.test.js,"Concurrent unfurl bodies are tested in a non-deterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa Versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903","Make slack-uninstall snapshot tests reliable

By adding a order statement to `findAll`, I made the order determinstic,
to fix test failures.
For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs #903
","diff --git a/test/integration/slack-uninstall.test.js b/test/integration/slack-uninstall.test.js
index 6b51db0..14433be 100644
--- a/test/integration/slack-uninstall.test.js
+++ b/test/integration/slack-uninstall.test.js
@@ -70,7 +70,7 @@ describe('Uninstalling the slack app', () => {
       .expect(200);
 
     expect(await Subscription.count()).toBe(0);
-    const deletedSubscriptions = await DeletedSubscription.findAll({ where: { reason: 'slack app uninstalled' } });
+    const deletedSubscriptions = await DeletedSubscription.findAll({ where: { reason: 'slack app uninstalled' }, order: ['channelId'] });
     expect(deletedSubscriptions).toHaveLength(3);
     expect(deletedSubscriptions[0].dataValues).toMatchSnapshot({
       createdAt: expect.any(Date),
",0,
906,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,de5cc96ffe70c14cf310c97f0059960f16ab5123,test/integration/__snapshots__/unfurl.test.js.snap,test/integration/unfurl.test.js,"Concurrent unfurl bodies are tested in a non-deterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa Versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903","Makes unfurl snapshot test deterministic

Concurrent unfurl bodies are tested in a non depterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier, so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903
","diff --git a/test/integration/unfurl.test.js b/test/integration/unfurl.test.js
index 591c880..46b635b 100644
--- a/test/integration/unfurl.test.js
+++ b/test/integration/unfurl.test.js
@@ -79,11 +79,14 @@ describe('Integration: unfurls', () => {
       nock('https://api.github.com').get('/repos/atom/atom').times(2).reply(200, fixtures.repo);
       nock('https://api.github.com').get('/repos/atom/atom/issues/16292').reply(200, fixtures.issue);
 
+      const unfurlRequests = [];
       nock('https://slack.com').post('/api/chat.unfurl', (req) => {
-        // Test that the body posted to the unfurl matches the snapshot
-        expect(req).toMatchSnapshot();
+        unfurlRequests.push(req);
+
+        // verify the there is no text for condensed unfurls
         const unfurls = JSON.parse(req.unfurls);
         expect(unfurls[Object.keys(unfurls)[0]].text).toBe(undefined);
+
         return true;
       }).times(2).reply(200, { ok: true });
 
@@ -96,6 +99,9 @@ describe('Integration: unfurls', () => {
 
       await request(probot.server).post('/slack/events').send(body).expect(200);
 
+      // check the recorded unfurl request bodies.
+      expect(unfurlRequests.sort()).toMatchSnapshot();
+
       const unfurls = await Unfurl.findAll();
       expect(unfurls.length).toBe(2);
 
",0,
906,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,bff939cec8c75967a6f3a2bb4970a35c9bbf2354,test/integration/__snapshots__/slack-uninstall.test.js.snap,test/integration/slack-uninstall.test.js,"Concurrent unfurl bodies are tested in a non-deterministic way, by
running it in combination with `times`. This In most cases the
first unfurl will be a little bit earlier so that in more than 50% of
the time, the current snapshot will match. However, if the second
request happens earlier (depends on scheduler timing), both snapshots
comparisons will fail, because the first is compared to the second and
visa Versa. For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs: #903","Make slack-uninstall snapshot tests reliable

By adding a order statement to `findAll`, I made the order determinstic,
to fix test failures.
For a full explanation see: https://github.com/integrations/slack/issues/903#issuecomment-520333620

Refs #903
","diff --git a/test/integration/slack-uninstall.test.js b/test/integration/slack-uninstall.test.js
index 6b51db0..14433be 100644
--- a/test/integration/slack-uninstall.test.js
+++ b/test/integration/slack-uninstall.test.js
@@ -70,7 +70,7 @@ describe('Uninstalling the slack app', () => {
       .expect(200);
 
     expect(await Subscription.count()).toBe(0);
-    const deletedSubscriptions = await DeletedSubscription.findAll({ where: { reason: 'slack app uninstalled' } });
+    const deletedSubscriptions = await DeletedSubscription.findAll({ where: { reason: 'slack app uninstalled' }, order: ['channelId'] });
     expect(deletedSubscriptions).toHaveLength(3);
     expect(deletedSubscriptions[0].dataValues).toMatchSnapshot({
       createdAt: expect.any(Date),
",0,
907,bf10893cd5d1689829af3099fbaef4613b070e70,8f4b7ce2cd25da5ccad3417664fe6a5402a9d1c4,test/integration/__snapshots__/deployment.test.js.snap,test/integration/deployment.test.js,"The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.

Before:
![Screenshot 2019-08-13 at 12 52 25](https://user-images.githubusercontent.com/3408791/62936210-8214fb00-bdc9-11e9-853a-329926b0f745.png)

After:
![Screenshot 2019-08-13 at 12 52 39](https://user-images.githubusercontent.com/3408791/62936213-84775500-bdc9-11e9-926d-71a6aa971ae2.png)
","Fix footer favicon

The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.
",,0,
907,bf10893cd5d1689829af3099fbaef4613b070e70,8f4b7ce2cd25da5ccad3417664fe6a5402a9d1c4,test/integration/__snapshots__/help.test.js.snap,test/integration/help.test.js,"The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.

Before:
![Screenshot 2019-08-13 at 12 52 25](https://user-images.githubusercontent.com/3408791/62936210-8214fb00-bdc9-11e9-853a-329926b0f745.png)

After:
![Screenshot 2019-08-13 at 12 52 39](https://user-images.githubusercontent.com/3408791/62936213-84775500-bdc9-11e9-926d-71a6aa971ae2.png)
","Fix footer favicon

The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.
",,0,
907,bf10893cd5d1689829af3099fbaef4613b070e70,8f4b7ce2cd25da5ccad3417664fe6a5402a9d1c4,test/integration/__snapshots__/list-subscriptions.test.js.snap,test/integration/list-subscriptions.test.js,"The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.

Before:
![Screenshot 2019-08-13 at 12 52 25](https://user-images.githubusercontent.com/3408791/62936210-8214fb00-bdc9-11e9-853a-329926b0f745.png)

After:
![Screenshot 2019-08-13 at 12 52 39](https://user-images.githubusercontent.com/3408791/62936213-84775500-bdc9-11e9-926d-71a6aa971ae2.png)
","Fix footer favicon

The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.
",,0,
907,bf10893cd5d1689829af3099fbaef4613b070e70,8f4b7ce2cd25da5ccad3417664fe6a5402a9d1c4,test/integration/__snapshots__/notifications.test.js.snap,test/integration/notifications.test.js,"The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.

Before:
![Screenshot 2019-08-13 at 12 52 25](https://user-images.githubusercontent.com/3408791/62936210-8214fb00-bdc9-11e9-853a-329926b0f745.png)

After:
![Screenshot 2019-08-13 at 12 52 39](https://user-images.githubusercontent.com/3408791/62936213-84775500-bdc9-11e9-926d-71a6aa971ae2.png)
","Fix footer favicon

The asset URL changed, causing a 404 for the currently used icon.
This PR fixes the icon URL.
",,0,
