pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
119,79b722012c9d919994d8fb09af31da13e7bc9f9a,662465f5307b97162f9b6d2482481c574a9819c4,__snapshots__/index.spec.js.snap,index.spec.js,"1. merge `className` rather than overwriting it (needed for adding classes to fenced code blocks)
2. multiple inline returns should be wrapped in a paragraph tag, not a div
3. further size reductions... now at ~4.75kB gzipped
4. emit source maps for debugging","merge classNames rather than overwriting
","diff --git a/index.spec.js b/index.spec.js
index 657e8b4..272877f 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -717,5 +717,23 @@ describe('markdown-to-jsx', () => {
 
             expect($element.outerHTML).toMatchSnapshot();
         });
+
+        it('merges className overrides, rather than overwriting', () => {
+            const code = [
+                '```js',
+                'foo',
+                '```',
+            ].join('\n');
+
+            const element = render(
+                <Markdown options={{overrides: {code: {props: {className: 'foo'}}}}}>
+                    {code}
+                </Markdown>
+            );
+
+            const $element = dom(element);
+
+            expect($element.outerHTML).toMatchSnapshot();
+        });
     });
 });
",0,
119,79b722012c9d919994d8fb09af31da13e7bc9f9a,662465f5307b97162f9b6d2482481c574a9819c4,__snapshots__/index.spec.js.snap,index.spec.js,"1. merge `className` rather than overwriting it (needed for adding classes to fenced code blocks)
2. multiple inline returns should be wrapped in a paragraph tag, not a div
3. further size reductions... now at ~4.75kB gzipped
4. emit source maps for debugging","merge classNames rather than overwriting
","diff --git a/index.spec.js b/index.spec.js
index 657e8b4..272877f 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -717,5 +717,23 @@ describe('markdown-to-jsx', () => {
 
             expect($element.outerHTML).toMatchSnapshot();
         });
+
+        it('merges className overrides, rather than overwriting', () => {
+            const code = [
+                '```js',
+                'foo',
+                '```',
+            ].join('\n');
+
+            const element = render(
+                <Markdown options={{overrides: {code: {props: {className: 'foo'}}}}}>
+                    {code}
+                </Markdown>
+            );
+
+            const $element = dom(element);
+
+            expect($element.outerHTML).toMatchSnapshot();
+        });
     });
 });
",0,
121,49e243bc16812c4d9a5f99ec2cc6fa0fe0facca2,49e243bc16812c4d9a5f99ec2cc6fa0fe0facca2,__snapshots__/index.spec.js.snap,index.spec.js,"The issue was in the plain text regex... it needed to be amended
to disqualify a numerical list from being considered part of a
string broken by a newline like the unordered list bullets are.

Fixes #120 ","fix parsing of nested heterogenous lists

The issue was in the plain text regex... it needed to be amended
to disqualify a numerical list from being considered part of a
string broken by a newline like the unordered list bullets are.
","diff --git a/index.spec.js b/index.spec.js
index b81effe..7422cea 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -302,6 +302,17 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should handle a mixed nested list', () => {
+                render(compiler([
+                    '- xyz',
+                    '  1. abc',
+                    '    - def',
+                    '- foo',
+                ].join('\n')));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('GFM task lists', () => {
",0,
121,49e243bc16812c4d9a5f99ec2cc6fa0fe0facca2,49e243bc16812c4d9a5f99ec2cc6fa0fe0facca2,__snapshots__/index.spec.js.snap,index.spec.js,"The issue was in the plain text regex... it needed to be amended
to disqualify a numerical list from being considered part of a
string broken by a newline like the unordered list bullets are.

Fixes #120 ","fix parsing of nested heterogenous lists

The issue was in the plain text regex... it needed to be amended
to disqualify a numerical list from being considered part of a
string broken by a newline like the unordered list bullets are.
","diff --git a/index.spec.js b/index.spec.js
index b81effe..7422cea 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -302,6 +302,17 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should handle a mixed nested list', () => {
+                render(compiler([
+                    '- xyz',
+                    '  1. abc',
+                    '    - def',
+                    '- foo',
+                ].join('\n')));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('GFM task lists', () => {
",0,
122,a7c9a189422aa5bf2575ce2af5a16c81c2262d37,a7c9a189422aa5bf2575ce2af5a16c81c2262d37,__snapshots__/index.spec.js.snap,index.spec.js,This fixes an extra layout div being added when it wasn't needed.,"trim existing newlines when in block mode

This fixes an extra layout div being added when it wasn't needed.
","diff --git a/index.spec.js b/index.spec.js
index 7422cea..5154d1f 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -313,6 +313,19 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should not add an extra wrapper around a list', () => {
+                render(compiler([
+                    '',
+                    '- xyz',
+                    '  1. abc',
+                    '    - def',
+                    '- foo',
+                    '',
+                ].join('\n')));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('GFM task lists', () => {
@@ -540,25 +553,25 @@ describe('markdown-to-jsx', () => {
 
             it('should add props to pre & code tags if supplied', () => {
                 render(
-                    compiler(`
-                        \`\`\`
-                        foo
-                        \`\`\`
-                    `, {
-                            overrides: {
-                                code: {
-                                    props: {
-                                        'data-foo': 'bar',
-                                    },
+                    compiler([
+                        '```',
+                        'foo',
+                        '```',
+                    ].join('\n'), {
+                        overrides: {
+                            code: {
+                                props: {
+                                    'data-foo': 'bar',
                                 },
+                            },
 
-                                pre: {
-                                    props: {
-                                        className: 'abc',
-                                    },
+                            pre: {
+                                props: {
+                                    className: 'abc',
                                 },
                             },
-                        })
+                        },
+                    })
                 );
 
                 expect(root.innerHTML).toMatchSnapshot();
@@ -586,27 +599,27 @@ describe('markdown-to-jsx', () => {
                 }
 
                 render(
-                    compiler(`
-                        \`\`\`
-                        foo
-                        \`\`\`
-                    `, {
-                            overrides: {
-                                code: {
-                                    component: OverridenCode,
-                                    props: {
-                                        'data-foo': 'bar',
-                                    },
+                    compiler([
+                        '```',
+                        'foo',
+                        '```',
+                    ].join('\n'), {
+                        overrides: {
+                            code: {
+                                component: OverridenCode,
+                                props: {
+                                    'data-foo': 'bar',
                                 },
+                            },
 
-                                pre: {
-                                    component: OverridenPre,
-                                    props: {
-                                        className: 'abc',
-                                    },
+                            pre: {
+                                component: OverridenPre,
+                                props: {
+                                    className: 'abc',
                                 },
                             },
-                        })
+                        },
+                    })
                 );
 
                 expect(root.innerHTML).toMatchSnapshot();
",0,
122,a7c9a189422aa5bf2575ce2af5a16c81c2262d37,a7c9a189422aa5bf2575ce2af5a16c81c2262d37,__snapshots__/index.spec.js.snap,index.spec.js,This fixes an extra layout div being added when it wasn't needed.,"trim existing newlines when in block mode

This fixes an extra layout div being added when it wasn't needed.
","diff --git a/index.spec.js b/index.spec.js
index 7422cea..5154d1f 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -313,6 +313,19 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should not add an extra wrapper around a list', () => {
+                render(compiler([
+                    '',
+                    '- xyz',
+                    '  1. abc',
+                    '    - def',
+                    '- foo',
+                    '',
+                ].join('\n')));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('GFM task lists', () => {
@@ -540,25 +553,25 @@ describe('markdown-to-jsx', () => {
 
             it('should add props to pre & code tags if supplied', () => {
                 render(
-                    compiler(`
-                        \`\`\`
-                        foo
-                        \`\`\`
-                    `, {
-                            overrides: {
-                                code: {
-                                    props: {
-                                        'data-foo': 'bar',
-                                    },
+                    compiler([
+                        '```',
+                        'foo',
+                        '```',
+                    ].join('\n'), {
+                        overrides: {
+                            code: {
+                                props: {
+                                    'data-foo': 'bar',
                                 },
+                            },
 
-                                pre: {
-                                    props: {
-                                        className: 'abc',
-                                    },
+                            pre: {
+                                props: {
+                                    className: 'abc',
                                 },
                             },
-                        })
+                        },
+                    })
                 );
 
                 expect(root.innerHTML).toMatchSnapshot();
@@ -586,27 +599,27 @@ describe('markdown-to-jsx', () => {
                 }
 
                 render(
-                    compiler(`
-                        \`\`\`
-                        foo
-                        \`\`\`
-                    `, {
-                            overrides: {
-                                code: {
-                                    component: OverridenCode,
-                                    props: {
-                                        'data-foo': 'bar',
-                                    },
+                    compiler([
+                        '```',
+                        'foo',
+                        '```',
+                    ].join('\n'), {
+                        overrides: {
+                            code: {
+                                component: OverridenCode,
+                                props: {
+                                    'data-foo': 'bar',
                                 },
+                            },
 
-                                pre: {
-                                    component: OverridenPre,
-                                    props: {
-                                        className: 'abc',
-                                    },
+                            pre: {
+                                component: OverridenPre,
+                                props: {
+                                    className: 'abc',
                                 },
                             },
-                        })
+                        },
+                    })
                 );
 
                 expect(root.innerHTML).toMatchSnapshot();
",0,
123,42dbaad10541e58c9029802e74991aab0e0cd5b6,a0ed000eeeae686f8473e4700859622281ef45de,__snapshots__/index.spec.js.snap,index.spec.js,,"handle consecutive headings with no padding newline

e.g.

```
\# Hello world
\#\# How are ya?
```
","diff --git a/index.spec.js b/index.spec.js
index 5154d1f..44ca9c7 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -133,6 +133,12 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should handle consecutive headings without a padding newline', () => {
+                render(compiler('# Hello World\n## And again'));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('images', () => {
",0,
123,42dbaad10541e58c9029802e74991aab0e0cd5b6,a0ed000eeeae686f8473e4700859622281ef45de,__snapshots__/index.spec.js.snap,index.spec.js,,"handle consecutive headings with no padding newline

e.g.

```
\# Hello world
\#\# How are ya?
```
","diff --git a/index.spec.js b/index.spec.js
index 5154d1f..44ca9c7 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -133,6 +133,12 @@ describe('markdown-to-jsx', () => {
 
                 expect(root.innerHTML).toMatchSnapshot();
             });
+
+            it('should handle consecutive headings without a padding newline', () => {
+                render(compiler('# Hello World\n## And again'));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
         });
 
         describe('images', () => {
",0,
126,2cc32c027a38c4a3e3398d4708a85ed79345937f,2cc32c027a38c4a3e3398d4708a85ed79345937f,__snapshots__/index.spec.js.snap,index.spec.js,"Fixes bad matching that would occur if an element occurs more than once in an HTML sequence.

(issue: #125)","fixes greedy html capture pattern
","diff --git a/index.spec.js b/index.spec.js
index 4eb449d..17b1ad4 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -423,6 +423,12 @@ describe('markdown-to-jsx', () => {
                 expect(root.innerHTML).toMatchSnapshot();
             });
 
+            it('processes markdown within nested inline HTML where childen appear more than once', () => {
+                render(compiler('<dl><dt>foo</dt><dd>bar</dd><dt>baz</dt><dd>qux</dd></dl>'));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
+
             it('processes attributes within inline HTML', () => {
                 render(compiler('<time data-foo=""bar"">Hello</time>'));
 
",0,
126,2cc32c027a38c4a3e3398d4708a85ed79345937f,2cc32c027a38c4a3e3398d4708a85ed79345937f,__snapshots__/index.spec.js.snap,index.spec.js,"Fixes bad matching that would occur if an element occurs more than once in an HTML sequence.

(issue: #125)","fixes greedy html capture pattern
","diff --git a/index.spec.js b/index.spec.js
index 4eb449d..17b1ad4 100644
--- a/index.spec.js
+++ b/index.spec.js
@@ -423,6 +423,12 @@ describe('markdown-to-jsx', () => {
                 expect(root.innerHTML).toMatchSnapshot();
             });
 
+            it('processes markdown within nested inline HTML where childen appear more than once', () => {
+                render(compiler('<dl><dt>foo</dt><dd>bar</dd><dt>baz</dt><dd>qux</dd></dl>'));
+
+                expect(root.innerHTML).toMatchSnapshot();
+            });
+
             it('processes attributes within inline HTML', () => {
                 render(compiler('<time data-foo=""bar"">Hello</time>'));
 
",0,
