pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
113,d339cc2980b7f1db34fe3f244826bc4b7a87ad09,d339cc2980b7f1db34fe3f244826bc4b7a87ad09,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,"## Description
Closes #62","fix: infinite loop when argument is given when spec doesn't have an argument

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index 71b8a2c..e6d1a0f 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -18,13 +18,17 @@ const testData = [
   { name: ""command"", command: ""sudo git sta"" },
   { name: ""nestedNonCommands"", command: ""az az "", skip: true }, // TODO: fix skipped test
   { name: ""loadSpec"", command: ""aws acm add"" },
+  { name: ""noArgsArgumentGiven"", command: ""gcc lab "", maxSuggestions: 3 },
 ];
 
 describe(`parseCommand`, () => {
-  testData.forEach(({ command, name, skip }) => {
+  testData.forEach(({ command, name, skip, maxSuggestions }) => {
     if (skip) return;
     test(name, async () => {
       const suggestions = await getSuggestions(command);
+      if (suggestions != null && suggestions.suggestions != null) {
+        suggestions.suggestions = suggestions?.suggestions.slice(0, maxSuggestions);
+      }
       expect(suggestions).toMatchSnapshot();
     });
   });
",0,
113,d339cc2980b7f1db34fe3f244826bc4b7a87ad09,d339cc2980b7f1db34fe3f244826bc4b7a87ad09,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,"## Description
Closes #62","fix: infinite loop when argument is given when spec doesn't have an argument

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index 71b8a2c..e6d1a0f 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -18,13 +18,17 @@ const testData = [
   { name: ""command"", command: ""sudo git sta"" },
   { name: ""nestedNonCommands"", command: ""az az "", skip: true }, // TODO: fix skipped test
   { name: ""loadSpec"", command: ""aws acm add"" },
+  { name: ""noArgsArgumentGiven"", command: ""gcc lab "", maxSuggestions: 3 },
 ];
 
 describe(`parseCommand`, () => {
-  testData.forEach(({ command, name, skip }) => {
+  testData.forEach(({ command, name, skip, maxSuggestions }) => {
     if (skip) return;
     test(name, async () => {
       const suggestions = await getSuggestions(command);
+      if (suggestions != null && suggestions.suggestions != null) {
+        suggestions.suggestions = suggestions?.suggestions.slice(0, maxSuggestions);
+      }
       expect(suggestions).toMatchSnapshot();
     });
   });
",0,
114,6832f86e2a2d0fb771121f10759d94b35f38893b,6832f86e2a2d0fb771121f10759d94b35f38893b,src/tests/runtime/__snapshots__/parser.test.ts.snap,src/tests/runtime/parser.test.ts,"## Description
Closes #57 ","test: pipeline parsing

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/parser.test.ts b/src/tests/runtime/parser.test.ts
index 8d200bb..37d7dae 100644
--- a/src/tests/runtime/parser.test.ts
+++ b/src/tests/runtime/parser.test.ts
@@ -23,6 +23,7 @@ const testData = [
   { command: `cmd ` },
   { command: `cmd ""value' ` },
   { command: `cmd ""value'\\""\\"""" ` },
+  { command: `cmd1 | cmd2 ` },
 ];
 
 describe(`parseCommand`, () => {
",0,
114,6832f86e2a2d0fb771121f10759d94b35f38893b,6832f86e2a2d0fb771121f10759d94b35f38893b,src/tests/runtime/__snapshots__/parser.test.ts.snap,src/tests/runtime/parser.test.ts,"## Description
Closes #57 ","test: pipeline parsing

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/parser.test.ts b/src/tests/runtime/parser.test.ts
index 8d200bb..37d7dae 100644
--- a/src/tests/runtime/parser.test.ts
+++ b/src/tests/runtime/parser.test.ts
@@ -23,6 +23,7 @@ const testData = [
   { command: `cmd ` },
   { command: `cmd ""value' ` },
   { command: `cmd ""value'\\""\\"""" ` },
+  { command: `cmd1 | cmd2 ` },
 ];
 
 describe(`parseCommand`, () => {
",0,
118,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,src/tests/runtime/__snapshots__/parser.test.ts.snap,src/tests/runtime/parser.test.ts,"## Description
This change makes it so that when an item is found after a variadic sequence, we can still suggest subcommands / options that break the sequence. It also fixes parsing an option found at the end of a command sequence.

Closes #56","fix: showing option suggestions after variadic arg

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/parser.test.ts b/src/tests/runtime/parser.test.ts
index 37d7dae..3c42408 100644
--- a/src/tests/runtime/parser.test.ts
+++ b/src/tests/runtime/parser.test.ts
@@ -24,6 +24,7 @@ const testData = [
   { command: `cmd ""value' ` },
   { command: `cmd ""value'\\""\\"""" ` },
   { command: `cmd1 | cmd2 ` },
+  { command: `cmd1 -` },
 ];
 
 describe(`parseCommand`, () => {
",0,
118,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,"## Description
This change makes it so that when an item is found after a variadic sequence, we can still suggest subcommands / options that break the sequence. It also fixes parsing an option found at the end of a command sequence.

Closes #56","fix: showing option suggestions after variadic arg

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index e6d1a0f..49a12bb 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -12,7 +12,8 @@ const testData = [
   { name: ""exclusiveOnOption"", command: ""ag --affinity --no"" },
   { name: ""providedSuggestion"", command: ""bw completion --shell "" },
   { name: ""fullyTypedSuggestion"", command: ""ls -W"" },
-  { name: ""noOptionsSuggestedAfterVariadicArg"", command: ""ls item -"" },
+  { name: ""optionsSuggestedAfterVariadicArg"", command: ""ls item -"", maxSuggestions: 3 },
+  { name: ""noOptionsSuggestedDuringVariadicArg"", command: ""ls -W ite"" },
   { name: ""providedArgDescription"", command: ""act completion bash -a "" },
   { name: ""completedOptionWithArg"", command: ""act completion bash -a 'actor' "" },
   { name: ""command"", command: ""sudo git sta"" },
",0,
118,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,src/tests/runtime/__snapshots__/parser.test.ts.snap,src/tests/runtime/parser.test.ts,"## Description
This change makes it so that when an item is found after a variadic sequence, we can still suggest subcommands / options that break the sequence. It also fixes parsing an option found at the end of a command sequence.

Closes #56","fix: showing option suggestions after variadic arg

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/parser.test.ts b/src/tests/runtime/parser.test.ts
index 37d7dae..3c42408 100644
--- a/src/tests/runtime/parser.test.ts
+++ b/src/tests/runtime/parser.test.ts
@@ -24,6 +24,7 @@ const testData = [
   { command: `cmd ""value' ` },
   { command: `cmd ""value'\\""\\"""" ` },
   { command: `cmd1 | cmd2 ` },
+  { command: `cmd1 -` },
 ];
 
 describe(`parseCommand`, () => {
",0,
118,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,8189f6c85180ed85df2a8b5a1b94b2186d9efe68,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,"## Description
This change makes it so that when an item is found after a variadic sequence, we can still suggest subcommands / options that break the sequence. It also fixes parsing an option found at the end of a command sequence.

Closes #56","fix: showing option suggestions after variadic arg

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index e6d1a0f..49a12bb 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -12,7 +12,8 @@ const testData = [
   { name: ""exclusiveOnOption"", command: ""ag --affinity --no"" },
   { name: ""providedSuggestion"", command: ""bw completion --shell "" },
   { name: ""fullyTypedSuggestion"", command: ""ls -W"" },
-  { name: ""noOptionsSuggestedAfterVariadicArg"", command: ""ls item -"" },
+  { name: ""optionsSuggestedAfterVariadicArg"", command: ""ls item -"", maxSuggestions: 3 },
+  { name: ""noOptionsSuggestedDuringVariadicArg"", command: ""ls -W ite"" },
   { name: ""providedArgDescription"", command: ""act completion bash -a "" },
   { name: ""completedOptionWithArg"", command: ""act completion bash -a 'actor' "" },
   { name: ""command"", command: ""sudo git sta"" },
",0,
129,e99ddf2bf1605b488a966f1b1a3fbf76acc747d6,e99ddf2bf1605b488a966f1b1a3fbf76acc747d6,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,Closes #13 and closes #12,"fix: generators by syncing types/generators & providing path field support

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index 9d4cc85..abf9e58 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -2,6 +2,7 @@
 // Licensed under the MIT License.
 
 import { getSuggestions } from ""../../runtime/runtime.js"";
+import { Shell } from ""../../utils/shell.js"";
 
 const testData = [
   { name: ""partialPrefixFilter"", command: ""git sta"" },
@@ -26,7 +27,7 @@ describe(`parseCommand`, () => {
   testData.forEach(({ command, name, skip, maxSuggestions }) => {
     if (skip) return;
     test(name, async () => {
-      const suggestions = await getSuggestions(command, process.cwd());
+      const suggestions = await getSuggestions(command, process.cwd(), Shell.Cmd);
       if (suggestions != null && suggestions.suggestions != null) {
         suggestions.suggestions = suggestions?.suggestions.slice(0, maxSuggestions);
       }
",0,
129,e99ddf2bf1605b488a966f1b1a3fbf76acc747d6,e99ddf2bf1605b488a966f1b1a3fbf76acc747d6,src/tests/runtime/__snapshots__/runtime.test.ts.snap,src/tests/runtime/runtime.test.ts,Closes #13 and closes #12,"fix: generators by syncing types/generators & providing path field support

Signed-off-by: Chapman Pendery <cpendery@vt.edu>
","diff --git a/src/tests/runtime/runtime.test.ts b/src/tests/runtime/runtime.test.ts
index 9d4cc85..abf9e58 100644
--- a/src/tests/runtime/runtime.test.ts
+++ b/src/tests/runtime/runtime.test.ts
@@ -2,6 +2,7 @@
 // Licensed under the MIT License.
 
 import { getSuggestions } from ""../../runtime/runtime.js"";
+import { Shell } from ""../../utils/shell.js"";
 
 const testData = [
   { name: ""partialPrefixFilter"", command: ""git sta"" },
@@ -26,7 +27,7 @@ describe(`parseCommand`, () => {
   testData.forEach(({ command, name, skip, maxSuggestions }) => {
     if (skip) return;
     test(name, async () => {
-      const suggestions = await getSuggestions(command, process.cwd());
+      const suggestions = await getSuggestions(command, process.cwd(), Shell.Cmd);
       if (suggestions != null && suggestions.suggestions != null) {
         suggestions.suggestions = suggestions?.suggestions.slice(0, maxSuggestions);
       }
",0,
