pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
101,afa5c40f12ea60fa9a652ec417f29e3269e69f16,afa5c40f12ea60fa9a652ec417f29e3269e69f16,"Fixes #94 
Fixes #96 

![2018-06-08 19_33_07](https://user-images.githubusercontent.com/7629661/41172025-cb4b7666-6b52-11e8-85fb-a8eeff7af8fc.gif)
",":white_check_mark: Update spec
","diff --git a/test/gitmojiCli.spec.js b/test/gitmojiCli.spec.js
index 25cf7e7..8b796a1 100644
--- a/test/gitmojiCli.spec.js
+++ b/test/gitmojiCli.spec.js
@@ -106,6 +106,14 @@ describe('utils module', () => {
       })
     })
   })
+
+  describe('inputCountTransformer', () => {
+    it('should match for an input with characters count string', () => {
+      expect(
+        utils.inputCountTransformer(stubs.prompts.title, stubs.titleMaxLength)
+      ).toMatchSnapshot()
+    })
+  })
 })
 
 describe('guard module', () => {
",0,,3,25,1,2,6,47
102,508e6dd6ac773e0f1bd8f7cb901e32e63ceb2c53,1f8403eb165e37a3ac6684fb891f80ca2ab78495,"Fixes #95 

- [x] Update docs
  - [x] Images
  - [ ] Record new GIF",":camera_flash: Match snapshots
","diff --git a/test/gitmojiCli.spec.js b/test/gitmojiCli.spec.js
index 8b796a1..39ca98f 100644
--- a/test/gitmojiCli.spec.js
+++ b/test/gitmojiCli.spec.js
@@ -57,11 +57,6 @@ describe('config module', () => {
     expect(config.getEmojiFormat()).toMatchSnapshot()
   })
 
-  it('should match for setIssueFormat and getIssueFormat', () => {
-    config.setIssueFormat('github')
-    expect(config.getIssueFormat()).toMatchSnapshot()
-  })
-
   it('should match for setSignedCommit and getSignedCommit', () => {
     config.setSignedCommit(false)
     expect(config.getSignedCommit()).toMatchSnapshot()
@@ -75,14 +70,10 @@ describe('gitmoji module', () => {
 
   describe('commit', () => {
     it('should match for the commit snapshot with the given prompts', () => {
-      config.setIssueFormat('github')
-      config.setSignedCommit(true)
       expect(gitmojiCli._commit(stubs.prompts)).toMatchSnapshot()
     })
 
     it('should match for the commit snapshot with the given prompts', () => {
-      config.setIssueFormat('jira')
-      config.setSignedCommit(false)
       expect(gitmojiCli._commit(stubs.promptsJira)).toMatchSnapshot()
     })
   })
@@ -140,58 +131,4 @@ describe('guard module', () => {
       expect(guard.message(stubs.invalidTitleMessageChar)).toMatchSnapshot()
     })
   })
-
-  describe('reference', () => {
-    describe('default', () => {
-      it('should return true if no reference is provided', () => {
-        expect(guard.reference(undefined)).toBe(true)
-      })
-
-      it('should match return true when is valid github reference', () => {
-        const assert = guard.reference(stubs.prompts.reference)
-        expect(assert).toBe(true)
-      })
-
-      it('should return error message when contains invalid characters', () => {
-        const assert = guard.reference(`#${stubs.prompts.reference}`)
-        expect(assert).toMatchSnapshot()
-      })
-    })
-
-    describe('github', () => {
-      it('should return true when is valid', () => {
-        const assert = guard.reference(
-          stubs.prompts.reference,
-          constants.GITHUB
-        )
-        expect(assert).toBe(true)
-      })
-
-      it('should return error message when contains invalid characters', () => {
-        const assert = guard.reference(
-          `#${stubs.prompts.reference}`,
-          constants.GITHUB
-        )
-        expect(assert).toMatchSnapshot()
-      })
-    })
-
-    describe('jira', () => {
-      it('should return true when is valid', () => {
-        const assert = guard.reference(
-          stubs.promptsJira.reference,
-          constants.JIRA
-        )
-        expect(assert).toBe(true)
-      })
-
-      it('should return error message when contains invalid characters', () => {
-        const assert = guard.reference(
-          `#${stubs.promptsJira.reference}`,
-          constants.JIRA
-        )
-        expect(assert).toMatchSnapshot()
-      })
-    })
-  })
 })
",0,,4,102,1,3,9,189
1072,3bd31329af5a09eabb5a26247aa8df56877c79eb,3146670e461b552131a833f65f9e72337133a611,"## Description

This PR updates the configuration vault, adding new functions to manage message and scope prompts. Most of the time you don't need a commit body and only need the title for quick commits. So to improve UX allow the user to disable that option so it only prompts for a gitmoji and title.

## Tests

- [x] All tests passed.
",":white_check_mark: Bring tests up to date with new message config option
","diff --git a/test/commands/commit.spec.js b/test/commands/commit.spec.js
index 73b2bcf..a06bce8 100644
--- a/test/commands/commit.spec.js
+++ b/test/commands/commit.spec.js
@@ -33,6 +33,7 @@ describe('commit command', () => {
           stubs.emptyDefaultCommitContent
         )
         commit({ mode: 'client' })
+        configurationVault.getMessagePrompt.mockReturnValue(true)
       })
 
       it('should call inquirer with prompts', () => {
@@ -337,6 +338,10 @@ describe('commit command', () => {
   })
 
   describe('prompts', () => {
+    beforeAll(() => {
+      configurationVault.getMessagePrompt.mockReturnValue(true)
+    })
+
     it('should register the autoComplete inquirer prompt', () => {
       expect(inquirer.registerPrompt).toHaveBeenCalledWith(
         'autocomplete',
@@ -390,5 +395,18 @@ describe('commit command', () => {
         expect(prompts(stubs.gitmojis, 'commit')).toMatchSnapshot()
       })
     })
+
+    describe('without message prompt', () => {
+      beforeAll(() => {
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
+        configurationVault.getMessagePrompt.mockReturnValue(false)
+      })
+
+      it('should match the array of questions', () => {
+        expect(prompts(stubs.gitmojis, 'client')).toMatchSnapshot()
+      })
+    })
   })
 })

diff --git a/test/utils/configurationVault/defaults.spec.js b/test/utils/configurationVault/defaults.spec.js
index 78e1ed7..0508a7f 100644
--- a/test/utils/configurationVault/defaults.spec.js
+++ b/test/utils/configurationVault/defaults.spec.js
@@ -18,6 +18,10 @@ describe('index', () => {
       expect(configurationVault.getScopePrompt()).toEqual(false)
     })
 
+    it('should return the default value for messagePrompt', () => {
+      expect(configurationVault.getMessagePrompt()).toEqual(true)
+    })
+
     it('should return the default value for gitmojisUrl', () => {
       expect(configurationVault.getGitmojisUrl()).toEqual(
         'https://gitmoji.dev/api/gitmojis'
",0,,8,82,2,4,14,158
1086,ea25557e81f2a18be8efecdaf0de6bba4e832876,ea25557e81f2a18be8efecdaf0de6bba4e832876,"## Description

I believe that the recently merged [capitalize feature](https://github.com/carloscuesta/gitmoji-cli/pull/1071) should be configurable through the static config file.

For instance, the [`Conventional Commits`](https://www.conventionalcommits.org/en/v1.0.0/#are-the-types-in-the-commit-title-uppercase-or-lowercase) standard does not mandate capitalizing the first letter of commit titles, but recommends maintaining consistency. However, it would be challenging to maintain consistency if lowercase titles were the default with this modification.

This pull request is addressing that issue. What is your opinion on it?

## Tests

- [x] All tests passed.
","✨ Allow user to disable capitalized titles
",,0,,13,102,1,1,13,102
1125,83912845bbed7f11bc08f4be6310c5156c6b460e,82004eebb70e08b7ee191284b788c51ac6d823ee,"### Description

This PR updates the project configuration to support TypeScript alongside Flow for a gradual conversion. The idea is to apply a boyscout rule to the codebase, if you touch a file, try to convert it to typescript as we go.

### Added

- TypeScript support added to the project.
- New `tsconfig.json` file added for TypeScript configuration.
- `@babel/preset-typescript` and TypeScript related devDependencies added.

### Changed

- Source files and test files have been renamed to use the `.ts` extension.
- Babel configuration has been updated to support TypeScript.

### Issues

- https://github.com/carloscuesta/gitmoji-cli/issues/1110",":recycle: Refactor into typescript test
","diff --git a/test/cli.spec.js b/test/cli.spec.js
deleted file mode 100644
index 66016d1..0000000
--- a/test/cli.spec.js
+++ /dev/null
@@ -1,63 +0,0 @@
-import updateNotifier from 'update-notifier'
-import meow from 'meow'
-
-import pkg from '../package.json'
-import { options } from '../src/cli'
-import commands from '../src/commands'
-
-jest.mock('../src/commands')
-
-describe('cli', () => {
-  it('should call updateNotifier', () => {
-    expect(updateNotifier).toHaveBeenCalledWith({ pkg })
-    expect(updateNotifier({ pkg }).notify).toHaveBeenCalledWith({
-      isGlobal: true
-    })
-  })
-
-  it('should match meow with cli information', () => {
-    meow.mock.calls[0][1].importMeta = 'import.meta.url'
-
-    expect(meow.mock.calls).toMatchSnapshot()
-  })
-
-  it('should call commit command on commit', () => {
-    options.commit('client')
-    expect(commands.commit).toHaveBeenCalledWith('client')
-  })
-
-  it('should call config command on config', () => {
-    options.config()
-    expect(commands.config).toHaveBeenCalledWith()
-  })
-
-  it('should call commit command on hook', () => {
-    options.hook('hook')
-    expect(commands.commit).toHaveBeenLastCalledWith('hook')
-  })
-
-  it('should call createHook command on init', () => {
-    options.init()
-    expect(commands.createHook).toHaveBeenCalledWith()
-  })
-
-  it('should call list command on list', () => {
-    options.list()
-    expect(commands.list).toHaveBeenCalledWith()
-  })
-
-  it('should call removeHook command on remove', () => {
-    options.remove()
-    expect(commands.removeHook).toHaveBeenCalledWith()
-  })
-
-  it('should call search command on search', () => {
-    options.search({ query: ['testSearchQuery'] })
-    expect(commands.search).toHaveBeenCalledWith({ query: ['testSearchQuery'] })
-  })
-
-  it('should call update command on update', () => {
-    options.update()
-    expect(commands.update).toHaveBeenCalledWith()
-  })
-})

diff --git a/test/cli.spec.ts b/test/cli.spec.ts
new file mode 100644
index 0000000..55d91a1
--- /dev/null
+++ b/test/cli.spec.ts
@@ -0,0 +1,66 @@
+import updateNotifier from 'update-notifier'
+import meow from 'meow'
+import { describe, expect, it, jest } from '@jest/globals'
+
+import pkg from '../package.json'
+import { options } from '../src/cli'
+import commands from '../src/commands'
+
+jest.mock('../src/commands')
+
+describe('cli', () => {
+  it('should call updateNotifier', () => {
+    expect(updateNotifier).toHaveBeenCalledWith({ pkg })
+    expect(updateNotifier({ pkg }).notify).toHaveBeenCalledWith({
+      isGlobal: true
+    })
+  })
+
+  it('should match meow with cli information', () => {
+    (
+      (meow as jest.Mock).mock.calls[0][1] as { importMeta: string }
+    ).importMeta = 'import.meta.url'
+
+    expect((meow as jest.Mock).mock.calls).toMatchSnapshot()
+  })
+
+  it('should call commit command on commit', () => {
+    options.commit('client')
+    expect(commands.commit).toHaveBeenCalledWith('client')
+  })
+
+  it('should call config command on config', () => {
+    options.config()
+    expect(commands.config).toHaveBeenCalledWith()
+  })
+
+  it('should call commit command on hook', () => {
+    options.hook('hook')
+    expect(commands.commit).toHaveBeenLastCalledWith('hook')
+  })
+
+  it('should call createHook command on init', () => {
+    options.init()
+    expect(commands.createHook).toHaveBeenCalledWith()
+  })
+
+  it('should call list command on list', () => {
+    options.list()
+    expect(commands.list).toHaveBeenCalledWith()
+  })
+
+  it('should call removeHook command on remove', () => {
+    options.remove()
+    expect(commands.removeHook).toHaveBeenCalledWith()
+  })
+
+  it('should call search command on search', () => {
+    options.search({ query: ['testSearchQuery'] })
+    expect(commands.search).toHaveBeenCalledWith({ query: ['testSearchQuery'] })
+  })
+
+  it('should call update command on update', () => {
+    options.update()
+    expect(commands.update).toHaveBeenCalledWith()
+  })
+})
",0,,4,275,2,13,8,309
1279,eb95a1e649d62132ba011bf68fce2982f4416f01,eb95a1e649d62132ba011bf68fce2982f4416f01,"## Description

After reading reports from people trying their hand on converting files to TS, I noticed the setup wasn't fully allowing conversion without causing a big waterfall of required changes. While it was already possible to import Flow files into TS, it apparently wasn't yet possible to import TS files into Flow without the need for a lot of changes. This PR basically attempts to fix whatever was needed so proper TS work can start again 🚀

### Changed

- Adjusted `babel` to properly handle all `.ts` files and not just the ones in `./src`
- Adjusted `tsconfig.json` to properly output ESM so it can be used alongside other ESM modules like `meow` and `execa`
- `withClient.ts` has been converted to TS 

### Fixed

- Jest now properly looks for `.ts` files and includes them in the test run
- `cli.spec.ts` has not been running since the original TS introduction and is now running again

Issue: https://github.com/carloscuesta/gitmoji-cli/issues/1110#issuecomment-1996843360

## Tests

- [x] All tests passed.
",":white_check_mark: Properly mock the dynamic imports
","diff --git a/test/cli.spec.ts b/test/cli.spec.ts
index 9229f7d..dc0f2b4 100644
--- a/test/cli.spec.ts
+++ b/test/cli.spec.ts
@@ -1,11 +1,22 @@
 import updateNotifier from 'update-notifier'
 import meow from 'meow'
 
+import commit from '@commands/commit/index.js'
+import config from '@commands/config/index.js'
+import hook from '@commands/hook/index.js'
+import list from '@commands/list/index.js'
+import search from '@commands/search/index.js'
+import update from '@commands/update/index.js'
+
 import pkg from '../package.json'
 import { options } from '../src/cli.js'
-import commands from '../src/commands/index.js'
 
-jest.mock('../src/commands')
+jest.mock('@commands/commit/index.js')
+jest.mock('@commands/config/index.js')
+jest.mock('@commands/hook/index.js')
+jest.mock('@commands/list/index.js')
+jest.mock('@commands/search/index.js')
+jest.mock('@commands/update/index.js')
 
 describe('cli', () => {
   it('should call updateNotifier', () => {
@@ -16,50 +27,48 @@ describe('cli', () => {
   })
 
   it('should match meow with cli information', () => {
-    (
-      (meow as jest.Mock).mock.calls[0][1] as { importMeta: string }
-    ).importMeta = 'import.meta.url'
-
-    expect((meow as jest.Mock).mock.calls).toMatchSnapshot()
+    const mockMeow = meow as jest.Mock
+    mockMeow.mock.calls[0][1].importMeta = 'import.meta.url'
+    expect(mockMeow.mock.calls).toMatchSnapshot()
   })
 
-  it('should call commit command on commit', () => {
-    options.commit({ mode: 'client' })
-    expect(commands.commit).toHaveBeenCalledWith({ mode: 'client' })
+  it('should call commit command on commit', async () => {
+    await options.commit({ mode: 'client' })
+    expect(commit).toHaveBeenCalledWith({ mode: 'client' })
   })
 
-  it('should call config command on config', () => {
-    options.config()
-    expect(commands.config).toHaveBeenCalledWith()
+  it('should call config command on config', async () => {
+    await options.config()
+    expect(config).toHaveBeenCalledWith()
   })
 
-  it('should call commit command on hook', () => {
-    options.hook({ mode: 'hook' })
-    expect(commands.commit).toHaveBeenLastCalledWith({ mode: 'hook' })
+  it('should call commit command on hook', async () => {
+    await options.hook({ mode: 'hook' })
+    expect(commit).toHaveBeenLastCalledWith({ mode: 'hook' })
   })
 
-  it('should call createHook command on init', () => {
-    options.init()
-    expect(commands.createHook).toHaveBeenCalledWith()
+  it('should call createHook command on init', async () => {
+    await options.init()
+    expect(hook.create).toHaveBeenCalledWith()
   })
 
-  it('should call list command on list', () => {
-    options.list()
-    expect(commands.list).toHaveBeenCalledWith()
+  it('should call list command on list', async () => {
+    await options.list()
+    expect(list).toHaveBeenCalledWith()
   })
 
-  it('should call removeHook command on remove', () => {
-    options.remove()
-    expect(commands.removeHook).toHaveBeenCalledWith()
+  it('should call removeHook command on remove', async () => {
+    await options.remove()
+    expect(hook.remove).toHaveBeenCalledWith()
   })
 
-  it('should call search command on search', () => {
-    options.search({ query: ['testSearchQuery'] })
-    expect(commands.search).toHaveBeenCalledWith({ query: ['testSearchQuery'] })
+  it('should call search command on search', async () => {
+    await options.search({ query: ['testSearchQuery'] })
+    expect(search).toHaveBeenCalledWith({ query: ['testSearchQuery'] })
   })
 
-  it('should call update command on update', () => {
-    options.update()
-    expect(commands.update).toHaveBeenCalledWith()
+  it('should call update command on update', async () => {
+    await options.update()
+    expect(update).toHaveBeenCalledWith()
   })
 })
",0,,2,89,1,6,8,155
219,d29f686ba73f14c92a5278621614f59f342d0e1a,d29f686ba73f14c92a5278621614f59f342d0e1a,"Add an option to enable/disable the scope promt (asked here: https://github.com/carloscuesta/gitmoji-cli/issues/217).
By default the option is disabled to keep the current people workflow intact.",":white_check_mark: Add scope prompt config tests
","diff --git a/test/gitmojiCli.spec.js b/test/gitmojiCli.spec.js
index f5aaa87..a27c49d 100644
--- a/test/gitmojiCli.spec.js
+++ b/test/gitmojiCli.spec.js
@@ -61,6 +61,11 @@ describe('config module', () => {
     config.setSignedCommit(false)
     expect(config.getSignedCommit()).toMatchSnapshot()
   })
+
+  it('should match for setScopePrompt and getScopePrompt', () => {
+    config.setScopePrompt(false)
+    expect(config.getScopePrompt()).toMatchSnapshot()
+  })
 })
 
 describe('gitmoji module', () => {
",0,,2,20,1,2,6,43
222,7716ba9027b9833c70c00a1e2081714cc7f51d1b,2b614a19a901060ad6d1692e2a4363b46092ecc3,"This PRs is a major refactor for `gitmoji-cli`. I'm changing the architecture of the code and improving aswell the UX and the Developer UX for contributors.

This will be released in a major version since we're dropping support for Node.js `6` and `8`. The minimum required version will be `10`.

",":fire: Deprecate old gitmoji-cli codebase
","diff --git a/test/gitmojiCli.spec.js b/test/gitmojiCli.spec.js
deleted file mode 100644
index a27c49d..0000000
--- a/test/gitmojiCli.spec.js
+++ /dev/null
@@ -1,144 +0,0 @@
-/* global describe, it, expect */
-const GitmojiCli = require('../src/gitmoji')
-const config = require('../src/config')
-const constants = require('../src/constants')
-const guard = require('../src/guard')
-const prompts = require('../src/prompts')
-const utils = require('../src/utils')
-const stubs = require('./stubs')
-
-const gitmojiCli = new GitmojiCli(stubs.gitmojiApiClient)
-
-describe('constants module', () => {
-  it('should match for the exported constants', () => {
-    expect(constants).toMatchSnapshot()
-  })
-})
-
-describe('prompts module', () => {
-  it('should match for the config prompts', () => {
-    expect(prompts.config).toMatchSnapshot()
-  })
-
-  it('should match for the gitmoji prompts', () => {
-    const gitmojiPrompt = prompts.gitmoji(stubs.gitmojis, 'code', 'github')
-    expect(prompts.gitmoji(gitmojiPrompt)).toMatchSnapshot()
-  })
-
-  it('should commit using the text emoji', () => {
-    config.setEmojiFormat('code')
-    const question = prompts.gitmoji(stubs.gitmojis, 'code', 'github')[0]
-    return question.source(null, 'zap').then((emojis) => {
-      expect(emojis[0].value).toMatchSnapshot()
-    })
-  })
-
-  it('should commit using the unicode emoji', () => {
-    config.setEmojiFormat('emoji')
-    const question = prompts.gitmoji(stubs.gitmojis, 'emoji', 'github')[0]
-    return question.source(null, 'zap').then((emojis) => {
-      expect(emojis[0].value).toMatchSnapshot()
-    })
-  })
-})
-
-describe('config module', () => {
-  it('should match the exported methods', () => {
-    expect(config).toMatchSnapshot()
-  })
-
-  it('should match for setAutoAdd and getAutoAdd', () => {
-    config.setAutoAdd(false)
-    expect(config.getAutoAdd()).toMatchSnapshot()
-  })
-
-  it('should match for setEmojiFormat and getEmojiFormat', () => {
-    config.setEmojiFormat('code')
-    expect(config.getEmojiFormat()).toMatchSnapshot()
-  })
-
-  it('should match for setSignedCommit and getSignedCommit', () => {
-    config.setSignedCommit(false)
-    expect(config.getSignedCommit()).toMatchSnapshot()
-  })
-
-  it('should match for setScopePrompt and getScopePrompt', () => {
-    config.setScopePrompt(false)
-    expect(config.getScopePrompt()).toMatchSnapshot()
-  })
-})
-
-describe('gitmoji module', () => {
-  it('should match for gitmoji class', () => {
-    expect(gitmojiCli).toMatchSnapshot()
-  })
-
-  describe('commit', () => {
-    it('should match for the commit snapshot with the given prompts', () => {
-      expect(gitmojiCli._commit(stubs.prompts)).toMatchSnapshot()
-    })
-
-    it('should match for the commit snapshot with the given prompts', () => {
-      expect(gitmojiCli._commit(stubs.promptsJira)).toMatchSnapshot()
-    })
-
-    it('should match for the commit snapshot with the given prompts', () => {
-      config.setSignedCommit(false)
-      expect(gitmojiCli._commit(stubs.promptsScope)).toMatchSnapshot()
-    })
-  })
-
-  describe('_isAGitRepo', () => {
-    it('should return true if a git repo is found', () => {
-      expect(gitmojiCli._isAGitRepo()).toBe(true)
-    })
-  })
-})
-
-describe('utils module', () => {
-  describe('findGitmojiCommand', () => {
-    stubs.commands.map((command) => {
-      it(`it should match ${command} command`, () => {
-        utils.findGitmojiCommand(
-          stubs.cliMock({ [command]: true }),
-          stubs.optionsMock
-        )
-        expect(stubs.optionsMock[command]).toHaveBeenCalled()
-      })
-    })
-  })
-
-  describe('inputCountTransformer', () => {
-    it('should match for an input with characters count string', () => {
-      expect(
-        utils.inputCountTransformer(stubs.prompts.title, stubs.titleMaxLength)
-      ).toMatchSnapshot()
-    })
-  })
-})
-
-describe('guard module', () => {
-  describe('title', () => {
-    it('should return true when is valid', () => {
-      expect(guard.title(stubs.prompts.title)).toBe(true)
-    })
-
-    it('should return error message when contains invalid characters', () => {
-      expect(guard.title(stubs.invalidTitleMessageChar)).toMatchSnapshot()
-    })
-
-    it('should return an error message when its empty', () => {
-      expect(guard.title(undefined)).toMatchSnapshot()
-    })
-  })
-
-  describe('message', () => {
-    it('should return true when is valid', () => {
-      expect(guard.message(stubs.prompts.message)).toBe(true)
-    })
-
-    it('should return error message when contains invalid characters', () => {
-      expect(guard.message(stubs.invalidTitleMessageChar)).toMatchSnapshot()
-    })
-  })
-})
",0,,9,709,1,42,64,5576
439,993eda83deb8eca4bdd9458509f59008eaed7e88,993eda83deb8eca4bdd9458509f59008eaed7e88,"## Tests

<!-- Ensure that all the tests passed -->
- [x] All tests passed.
",":arrow_up: Bump fuse.js
","diff --git a/test/utils/filterGitmojis.spec.js b/test/utils/filterGitmojis.spec.js
index 8de50a5..ca4f4a3 100644
--- a/test/utils/filterGitmojis.spec.js
+++ b/test/utils/filterGitmojis.spec.js
@@ -1,7 +1,7 @@
 import filterGitmojis, { options } from '../../src/utils/filterGitmojis'
 import * as stubs from './stubs'
 
-describe('filterGirmojis', () => {
+describe('filterGitmojis', () => {
   it('should find all gitmojis with empty input', () => {
     const filteredGitmojis = filterGitmojis(undefined, stubs.gitmojis)
 
@@ -26,13 +26,6 @@ describe('filterGirmojis', () => {
     expect(filteredGitmojis[0]).toStrictEqual(gitmoji)
   })
 
-  it('should should find the `Moving or renaming files.` gitmoji first', () => {
-    const filteredGitmojis = filterGitmojis('move', stubs.gitmojis)
-
-    const gitmoji = stubs.gitmojis.find((gitmoji) => gitmoji.name === 'truck')
-    expect(filteredGitmojis[0]).toStrictEqual(gitmoji)
-  })
-
   it('should should find the `Updating code due to external API changes.` gitmoji first', () => {
     const filteredGitmojis = filterGitmojis('alian', stubs.gitmojis)
 
@@ -40,8 +33,17 @@ describe('filterGirmojis', () => {
     expect(filteredGitmojis[0]).toStrictEqual(gitmoji)
   })
 
+  it('should match a list of filteredGitmojis', () => {
+    const filteredGitmojis = filterGitmojis('bug', stubs.gitmojis)
+
+    expect(filteredGitmojis).toMatchSnapshot()
+  })
+
   it('should not have a total weight of greater than 1', () => {
-    const weightSum = options.keys.reduce((carry, key) => carry += key.weight, 0)
+    const weightSum = options.keys.reduce(
+      (carry, key) => (carry += key.weight),
+      0
+    )
 
     expect(weightSum).toBeLessThanOrEqual(1)
   })
",0,,7,92,1,1,7,92
446,f7bb8993576b1709bf181d1fbcf6b2215fc93aa1,f7bb8993576b1709bf181d1fbcf6b2215fc93aa1,"## Description

Hi @carloscuesta, this PR adds prefilling the `title` and `message` prompts when in `hook` mode.
This allows to keep your titles and messages in your history.

![gitmoji-prefill-hook](https://user-images.githubusercontent.com/19605940/90916131-d42b2c00-e3e0-11ea-8029-c977399b12f7.gif)
","✨ Prefill title and message in hook mode
","diff --git a/test/commands/commit.spec.js b/test/commands/commit.spec.js
index 6aa282e..ec27cbc 100644
--- a/test/commands/commit.spec.js
+++ b/test/commands/commit.spec.js
@@ -4,6 +4,7 @@ import fs from 'fs'
 const mockProcess = require('jest-mock-process')
 
 import configurationVault from '../../src/utils/configurationVault'
+import getDefaultCommitContent from '../../src/utils/getDefaultCommitContent'
 import getEmojis from '../../src/utils/getEmojis'
 import isHookCreated from '../../src/utils/isHookCreated'
 import commit from '../../src/commands/commit'
@@ -11,6 +12,7 @@ import guard from '../../src/commands/commit/guard'
 import prompts from '../../src/commands/commit/prompts'
 import * as stubs from './stubs'
 
+jest.mock('../../src/utils/getDefaultCommitContent')
 jest.mock('../../src/utils/getEmojis')
 jest.mock('../../src/utils/isHookCreated')
 jest.mock('../../src/utils/configurationVault')
@@ -26,6 +28,9 @@ describe('commit command', () => {
         )
         getEmojis.mockResolvedValue(stubs.gitmojis)
         isHookCreated.mockResolvedValue(false)
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         commit('client')
       })
 
@@ -59,6 +64,9 @@ describe('commit command', () => {
         isHookCreated.mockResolvedValue(false)
         configurationVault.getAutoAdd.mockReturnValue(true)
         configurationVault.getSignedCommit.mockReturnValue(true)
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         commit('client')
       })
 
@@ -94,6 +102,9 @@ describe('commit command', () => {
         )
         getEmojis.mockResolvedValue(stubs.gitmojis)
         isHookCreated.mockResolvedValue(true)
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         commit('client')
       })
 
@@ -118,6 +129,9 @@ describe('commit command', () => {
         getEmojis.mockResolvedValue(stubs.gitmojis)
         mockProcess.mockProcessExit()
         process.argv[3] = stubs.argv
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         commit('hook')
       })
 
@@ -142,6 +156,9 @@ describe('commit command', () => {
         getEmojis.mockResolvedValue(stubs.gitmojis)
         mockProcess.mockProcessExit()
         process.argv[3] = stubs.argv
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         commit('hook')
       })
 
@@ -159,7 +176,7 @@ describe('commit command', () => {
 
     describe('when receiving a signal interrupt', () => {
       it('should call process.exit(0)', async () => {
-        console.warn  = jest.fn()
+        console.warn = jest.fn()
 
         // mock process.on and process.kill to test registerHookInterruptionHandler
         const processEvents = {}
@@ -179,15 +196,17 @@ describe('commit command', () => {
         mockProcess.mockProcessExit(new Error('SIGINT'))
         process.argv[3] = stubs.argv
 
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
+
         try {
           await commit('hook')
         } catch (e) {
           expect(e.message).toMatch('SIGINT')
         }
 
-        expect(console.warn).toHaveBeenCalledWith(
-          'gitmoji-cli was interrupted'
-        )
+        expect(console.warn).toHaveBeenCalledWith('gitmoji-cli was interrupted')
         expect(process.exit).toHaveBeenCalledWith(0)
       })
     })
@@ -256,18 +275,49 @@ describe('commit command', () => {
     })
 
     describe('without scope prompt', () => {
+      beforeAll(() => {
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
+      })
+
       it('should match the array of questions', () => {
-        expect(prompts(stubs.gitmojis)).toMatchSnapshot()
+        expect(prompts(stubs.gitmojis, 'client')).toMatchSnapshot()
       })
     })
 
     describe('with scope prompt', () => {
       beforeAll(() => {
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
         configurationVault.getScopePrompt.mockReturnValue(true)
       })
 
       it('should match the array of questions', () => {
-        expect(prompts(stubs.gitmojis)).toMatchSnapshot()
+        expect(prompts(stubs.gitmojis, 'client')).toMatchSnapshot()
+      })
+    })
+
+    describe('with default commit content in hook mode', () => {
+      beforeAll(() => {
+        getDefaultCommitContent.mockReturnValueOnce(stubs.defaultCommitContent)
+      })
+
+      it('should match the default title and message', () => {
+        expect(prompts(stubs.gitmojis, 'hook')).toMatchSnapshot()
+      })
+    })
+
+    describe('with default commit content in commit mode', () => {
+      beforeAll(() => {
+        getDefaultCommitContent.mockReturnValueOnce(
+          stubs.emptyDefaultCommitContent
+        )
+      })
+
+      it('should not fill default title and message', () => {
+        expect(prompts(stubs.gitmojis, 'commit')).toMatchSnapshot()
       })
     })
   })
",0,,7,294,1,2,8,297
