pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
","diff --git a/tests/FunctionDefinitions/jsfmt.spec.js b/tests/FunctionDefinitions/jsfmt.spec.js
new file mode 100644
index 0000000..989047b
--- /dev/null
+++ b/tests/FunctionDefinitions/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(__dirname);
",0,,10,472,7,1,10,472
1033,2fee9bbe0d71aa3e512a833d9fa750c75bca880e,c8a3020ac354705b29ef3a676305899593302b7a,So there won't be many critical changes to the tests when moving to Slang.,"Necessary tweaks to the current formatting so there won't be many critical changes when moving to Slang.
","diff --git a/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js b/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js
new file mode 100644
index 0000000..fb95358
--- /dev/null
+++ b/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.26' });

diff --git a/tests/format/AssemblyV0.4.26/jsfmt.spec.js b/tests/format/AssemblyV0.4.26/jsfmt.spec.js
new file mode 100644
index 0000000..fb95358
--- /dev/null
+++ b/tests/format/AssemblyV0.4.26/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.26' });

diff --git a/tests/format/BasicIterator/jsfmt.spec.js b/tests/format/BasicIterator/jsfmt.spec.js
index 765dd60..fb95358 100644
--- a/tests/format/BasicIterator/jsfmt.spec.js
+++ b/tests/format/BasicIterator/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.26' });

diff --git a/tests/format/BinaryOperators/jsfmt.spec.js b/tests/format/BinaryOperators/jsfmt.spec.js
index 765dd60..9468588 100644
--- a/tests/format/BinaryOperators/jsfmt.spec.js
+++ b/tests/format/BinaryOperators/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.5.8' });

diff --git a/tests/format/Comments/jsfmt.spec.js b/tests/format/Comments/jsfmt.spec.js
index 765dd60..daacfb2 100644
--- a/tests/format/Comments/jsfmt.spec.js
+++ b/tests/format/Comments/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.24' });

diff --git a/tests/format/FunctionDefinitions/jsfmt.spec.js b/tests/format/FunctionDefinitions/jsfmt.spec.js
index 765dd60..41e6db5 100644
--- a/tests/format/FunctionDefinitions/jsfmt.spec.js
+++ b/tests/format/FunctionDefinitions/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.8.0' });

diff --git a/tests/format/FunctionDefinitionsV0.5.0/jsfmt.spec.js b/tests/format/FunctionDefinitionsV0.5.0/jsfmt.spec.js
new file mode 100644
index 0000000..417487a
--- /dev/null
+++ b/tests/format/FunctionDefinitionsV0.5.0/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.5.0' });

diff --git a/tests/format/IndexOf/jsfmt.spec.js b/tests/format/IndexOf/jsfmt.spec.js
index 765dd60..fb95358 100644
--- a/tests/format/IndexOf/jsfmt.spec.js
+++ b/tests/format/IndexOf/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.26' });

diff --git a/tests/format/ModifierInvocations/jsfmt.spec.js b/tests/format/ModifierInvocations/jsfmt.spec.js
index 765dd60..41e6db5 100644
--- a/tests/format/ModifierInvocations/jsfmt.spec.js
+++ b/tests/format/ModifierInvocations/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.8.0' });

diff --git a/tests/format/Proxy/jsfmt.spec.js b/tests/format/Proxy/jsfmt.spec.js
index 765dd60..daacfb2 100644
--- a/tests/format/Proxy/jsfmt.spec.js
+++ b/tests/format/Proxy/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.24' });

diff --git a/tests/format/StyleGuide/jsfmt.spec.js b/tests/format/StyleGuide/jsfmt.spec.js
index 765dd60..417487a 100644
--- a/tests/format/StyleGuide/jsfmt.spec.js
+++ b/tests/format/StyleGuide/jsfmt.spec.js
@@ -1 +1 @@
-run_spec(import.meta, ['solidity-parse']);
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.5.0' });

diff --git a/tests/format/Tuples/jsfmt.spec.js b/tests/format/Tuples/jsfmt.spec.js
new file mode 100644
index 0000000..765dd60
--- /dev/null
+++ b/tests/format/Tuples/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(import.meta, ['solidity-parse']);

diff --git a/tests/format/Tupples/jsfmt.spec.js b/tests/format/Tupples/jsfmt.spec.js
deleted file mode 100644
index 765dd60..0000000
--- a/tests/format/Tupples/jsfmt.spec.js
+++ /dev/null
@@ -1 +0,0 @@
-run_spec(import.meta, ['solidity-parse']);
",0,,85,2355,29,2,84,2241
1047,e1620f62db71605fc825ed1208d1cd3c8282de89,2464fd42bae12e14882c32d6ccda37808a267af6,"The version inference works as follows:

1. Slang is error-tolerant, so we can parse using any version.
2. We read the pragma statements from the parsed output.
3. We use the pragma statements to figure out the latest supported version.

Simple enough but when developing I encountered cases where:

- slang would still throw when parsing
- there are no pragma statements
- the pragma statements is not a supported version

Therefore, to mitigate errors we calculate milestone versions which are the first and last patch versions of any minor version supported (`0.8.26`, `0.8.0`, `0.7.6`, `0.7.0`, `0.6.12`, `0.6.0`, `0.5.17`, `0.5.0`, `0.4.26`, `0.4.11`).

Starting from the latest version, we attempt the original steps.
If there are errors or no pragma statement, we attempt with the next version (this will add a processing tax on older syntaxes)
If the pragma statement is not a supported version (e.g. `0.8.27`), we assume the latest supported version.

Another albeit ridiculous thing that could happen is that a developer could add a random comment.
```Solidity
pragma solidity ^0.5.0 /* ^0.6.0 */ ^0.7.0;
```

To address this we use our own AST structure, to fetch the comments and replace them manually with empty space from the unparsed version range.","upgrading tests for version inferrence
","diff --git a/tests/format/AllSolidityFeaturesV0.4.26/format.test.js b/tests/format/AllSolidityFeaturesV0.4.26/format.test.js
index 33e4200..903b20e 100644
--- a/tests/format/AllSolidityFeaturesV0.4.26/format.test.js
+++ b/tests/format/AllSolidityFeaturesV0.4.26/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/AssemblyV0.4.26/format.test.js b/tests/format/AssemblyV0.4.26/format.test.js
index 33e4200..903b20e 100644
--- a/tests/format/AssemblyV0.4.26/format.test.js
+++ b/tests/format/AssemblyV0.4.26/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/BasicIterator/format.test.js b/tests/format/BasicIterator/format.test.js
index 33e4200..903b20e 100644
--- a/tests/format/BasicIterator/format.test.js
+++ b/tests/format/BasicIterator/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/BinaryOperators/format.test.js b/tests/format/BinaryOperators/format.test.js
index 93df2ba..903b20e 100644
--- a/tests/format/BinaryOperators/format.test.js
+++ b/tests/format/BinaryOperators/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.5.8' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/BreakingChangesV0.7.4/format.test.js b/tests/format/BreakingChangesV0.7.4/format.test.js
index d321048..3bf2fe1 100644
--- a/tests/format/BreakingChangesV0.7.4/format.test.js
+++ b/tests/format/BreakingChangesV0.7.4/format.test.js
@@ -8,5 +8,3 @@ runFormatTest(import.meta, ['slang-solidity'], {
   compiler: '0.7.3',
   bracketSpacing: true
 });
-runFormatTest(import.meta, ['slang-solidity']);
-runFormatTest(import.meta, ['slang-solidity'], { bracketSpacing: true });

diff --git a/tests/format/Comments/format.test.js b/tests/format/Comments/format.test.js
index 7369083..903b20e 100644
--- a/tests/format/Comments/format.test.js
+++ b/tests/format/Comments/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.24' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/ConstructorsV0.4.26/format.test.js b/tests/format/ConstructorsV0.4.26/format.test.js
new file mode 100644
index 0000000..903b20e
--- /dev/null
+++ b/tests/format/ConstructorsV0.4.26/format.test.js
@@ -0,0 +1 @@
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/FunctionDefinitions/format.test.js b/tests/format/FunctionDefinitions/format.test.js
index 7b2a6b7..903b20e 100644
--- a/tests/format/FunctionDefinitions/format.test.js
+++ b/tests/format/FunctionDefinitions/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.8.0' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/FunctionDefinitionsv0.5.0/format.test.js b/tests/format/FunctionDefinitionsv0.5.0/format.test.js
index 356182f..903b20e 100644
--- a/tests/format/FunctionDefinitionsv0.5.0/format.test.js
+++ b/tests/format/FunctionDefinitionsv0.5.0/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.5.0' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/IndexOf/format.test.js b/tests/format/IndexOf/format.test.js
index 33e4200..903b20e 100644
--- a/tests/format/IndexOf/format.test.js
+++ b/tests/format/IndexOf/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/ModifierInvocations/format.test.js b/tests/format/ModifierInvocations/format.test.js
index 7b2a6b7..903b20e 100644
--- a/tests/format/ModifierInvocations/format.test.js
+++ b/tests/format/ModifierInvocations/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.8.0' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/Parentheses/format.test.js b/tests/format/Parentheses/format.test.js
index 37e3183..903b20e 100644
--- a/tests/format/Parentheses/format.test.js
+++ b/tests/format/Parentheses/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.8.6' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/Proxy/format.test.js b/tests/format/Proxy/format.test.js
index 7369083..903b20e 100644
--- a/tests/format/Proxy/format.test.js
+++ b/tests/format/Proxy/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.4.24' });
+runFormatTest(import.meta, ['slang-solidity']);

diff --git a/tests/format/StyleGuide/format.test.js b/tests/format/StyleGuide/format.test.js
index 356182f..903b20e 100644
--- a/tests/format/StyleGuide/format.test.js
+++ b/tests/format/StyleGuide/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang-solidity'], { compiler: '0.5.0' });
+runFormatTest(import.meta, ['slang-solidity']);
",0,,40,273,18,14,55,704
1066,3b32273f85a13bfb04e8a16eeb4dcdc3c5069e9d,2b9686c020215266b2c86886adf8901483b1e2bd,"This one is a trimmed down PR #1063.
It's cleaner and more straight forward but also not being as aggressive.

The error we throw if presented with the weird pragmas is ""Couldn't infer any version from the ranges in the pragmas."".","rebase fix
","diff --git a/tests/format/FunctionDefinitionsV0.5.0/format.test.js b/tests/format/FunctionDefinitionsV0.5.0/format.test.js
new file mode 100644
index 0000000..903b20e
--- /dev/null
+++ b/tests/format/FunctionDefinitionsV0.5.0/format.test.js
@@ -0,0 +1 @@
+runFormatTest(import.meta, ['slang-solidity']);
",0,,3,24,1,6,7,197
1117,20ebf65984187ab9cf3cb8f6e7e5450c6d1b7444,d1339c6dc80dc7e631ff0aa0eb4f6208bb3aab08,"This is the support for the storage layout for the antlr4 parser.
This parser doesn't give us enough detail to put comments in the place better suited for them but it is good enough and we are moving to Slang shortly.","support storage layout
","diff --git a/tests/format/InheritanceSpecifier/jsfmt.spec.js b/tests/format/InheritanceSpecifier/jsfmt.spec.js
deleted file mode 100644
index 765dd60..0000000
--- a/tests/format/InheritanceSpecifier/jsfmt.spec.js
+++ /dev/null
@@ -1 +0,0 @@
-run_spec(import.meta, ['solidity-parse']);
",0,,6,321,2,3,11,545
1158,a48c29a3252b1f5e442c1bd2dc5198d060a976ae,a1acee2dcc4d7b615110c7fc2887daf94cb98f4c,"Slang also offers a new tool to infer the language using pragma statements.

With this we can drop out our custom Language inference tool but we have to keep some of it's logic for the cases where there is a very broad set of supported languages but the code has a very specific syntax that was not taken in consideration when defining the pragma statement. The slang team stated that this is beyond the scope of their tool.

Another change is that the Slang documentation contains a list of every version that has a syntax change. With this information we can change our old behaviour of using minor versions as syntax change steps.

Also in the previous version we were caching the last successful `parser`. Since prettier's function are async, multiple calls can be made with different pragmas and syntaxes and this could create issues if the `parser` can be changed in a non synchronous way.","Fixing test with conflicting pragmas and syntax
","diff --git a/tests/format/Pragma/format.test.js b/tests/format/Pragma/format.test.js
index 6021bbb..875eca8 100644
--- a/tests/format/Pragma/format.test.js
+++ b/tests/format/Pragma/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang']);
+runFormatTest(import.meta, ['slang'], { compiler: '0.8.0' });
",0,,6,25,3,12,30,387
1162,b4a96c6135f86bdb8363e630d08170c06f5762b9,4f1e6b2f53a2c0dd4eef7a2f28f308245dc4952c,"Latest prettier option that also makes sense for Solidity.

this was part of #1097 that had too many topics at once.","support for experimentalOperatorPosition
","diff --git a/tests/format/BinaryOperators/format.test.js b/tests/format/BinaryOperators/format.test.js
index 6021bbb..96d4065 100644
--- a/tests/format/BinaryOperators/format.test.js
+++ b/tests/format/BinaryOperators/format.test.js
@@ -1 +1,4 @@
 runFormatTest(import.meta, ['slang']);
+runFormatTest(import.meta, ['slang'], {
+  experimentalOperatorPosition: 'start'
+});
",0,,5,1441,1,2,7,1462
1178,6032dfce69925a610d47a911cba3409687a65af8,9b1a7712a151affb5064648d591537110f63716e,"by looking at openzeppelin's  long imports I noticed that forcing to break a single deconstructed import into multiple lines, only makes the file longer and the most important part is the imported object.

This makes files with multiple imports where some of them break and some don't a bit confusing to read. That's why I think we could review the import rule so only deconstructions longer than one item will break.

**This will force the `openzeppelin-contracts` package to re-write some of the contracts that were just updated when they upgraded to `prettier-plugin-solidity@2.0.0` because of this reason, which is undesirable but I believe is an important tweak.** ","adding tests for import directives
","diff --git a/tests/format/ImportDirective/format.test.js b/tests/format/ImportDirective/format.test.js
index e49333c..f9bd3f7 100644
--- a/tests/format/ImportDirective/format.test.js
+++ b/tests/format/ImportDirective/format.test.js
@@ -1,2 +1,3 @@
 runFormatTest(import.meta, ['slang']);
 runFormatTest(import.meta, ['slang'], { bracketSpacing: true });
+runFormatTest(import.meta, ['slang'], { compiler: '0.7.3' });
",0,,3,126,1,3,5,126
1223,6c5f5909f6c705b2c08666febead07105a93219b,ac4b9764afa7350ed1a34740d041ca435266538f,"spotted 2 patterns that further clean our printers:

- `printGroupAndIndentIfBreakPair`: usually we do have a `group` followed by an `indentIfBreak` pointing to that same group. This involves creating a `Symbol`. All of this can be put in the same logic.

- `printIndentedGroupOrSpacedDocument`: when printing (usually the body of a loop statement) we have to choose between a `[' ', body]` or `group(indent([line, body]))` this can be simplified by just having a helper with the `body` and a condition.

I also had a look at the `printPreservingEmptyLines` helper and added the logic for the comments when there are no lines. This also showed me that our `printComments` function was ignoring empty lines between comments.

Finally the `printSeparatedItem` helper has a `grouped` option that should always be false if the `firstSeparator` is a `hardline`","standardising `printPreservingEmptyLines`
","diff --git a/tests/format/Empty/format.test.js b/tests/format/Empty/format.test.js
new file mode 100644
index 0000000..6021bbb
--- /dev/null
+++ b/tests/format/Empty/format.test.js
@@ -0,0 +1 @@
+runFormatTest(import.meta, ['slang']);
",0,,14,183,1,11,39,543
1225,857af30ca3e63d07913ec1af72badd69d4847da9,857af30ca3e63d07913ec1af72badd69d4847da9,Closes #1218.,"using the expected resolution of the compiler instead of forcing it in tests
","diff --git a/tests/format/MemberAccess/format.test.js b/tests/format/MemberAccess/format.test.js
index 569e4c7..6021bbb 100644
--- a/tests/format/MemberAccess/format.test.js
+++ b/tests/format/MemberAccess/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang'], { compiler: '0.6.12' });
+runFormatTest(import.meta, ['slang']);

diff --git a/tests/format/Pragma/format.test.js b/tests/format/Pragma/format.test.js
index 875eca8..6021bbb 100644
--- a/tests/format/Pragma/format.test.js
+++ b/tests/format/Pragma/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang'], { compiler: '0.8.0' });
+runFormatTest(import.meta, ['slang']);

diff --git a/tests/format/SimpleStorage/format.test.js b/tests/format/SimpleStorage/format.test.js
index 85c6f9a..6021bbb 100644
--- a/tests/format/SimpleStorage/format.test.js
+++ b/tests/format/SimpleStorage/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang']);

diff --git a/tests/format/StyleGuide/format.test.js b/tests/format/StyleGuide/format.test.js
index 80d418f..6021bbb 100644
--- a/tests/format/StyleGuide/format.test.js
+++ b/tests/format/StyleGuide/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang'], { compiler: '0.5.17' });
+runFormatTest(import.meta, ['slang']);

diff --git a/tests/format/strings/format.test.js b/tests/format/strings/format.test.js
index 85c6f9a..6021bbb 100644
--- a/tests/format/strings/format.test.js
+++ b/tests/format/strings/format.test.js
@@ -1 +1 @@
-runFormatTest(import.meta, ['slang'], { compiler: '0.4.26' });
+runFormatTest(import.meta, ['slang']);
",0,,10,46,5,4,12,61
