pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
146,96a41cda3674cfc6a595515c2ec855cf1e921269,0758395393bfe48ffce47ffa4c5f10eef9ac192c,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,"Resolves https://github.com/skovy/typed-scss-modules/issues/129

This PR adds support for custom SASS importers: https://github.com/sass/node-sass#importer--v200---experimental

In order to support this, it required a config file to write this function. In addition to supporting this function, the config file should also now provide support for all options to be defined in a configuration file.","chore: add main test coverage
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index a121389..ec596e2 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -7,9 +7,11 @@ import { describeAllImplementations } from ""./helpers"";
 
 describeAllImplementations((implementation) => {
   describe(""main"", () => {
+    let writeFileSyncSpy: jest.SpyInstance;
+
     beforeEach(() => {
       // Only mock the write, so the example files can still be read.
-      fs.writeFileSync = jest.fn();
+      writeFileSyncSpy = jest.spyOn(fs, ""writeFileSync"").mockImplementation();
       console.log = jest.fn(); // avoid console logs showing up
     });
 
@@ -82,5 +84,25 @@ describeAllImplementations((implementation) => {
         expect.anything()
       );
     });
+
+    test(""reads options from the configuration file"", async () => {
+      const pattern = `${__dirname}/dummy-styles`;
+
+      jest.spyOn(process, ""cwd"").mockReturnValue(path.resolve(pattern));
+
+      await main(pattern, {
+        exportType: ""default"",
+      });
+
+      expect(fs.writeFileSync).toBeCalledTimes(6);
+      // Transform the calls into a more readable format for the snapshot.
+      const contents = writeFileSyncSpy.mock.calls.map(
+        ([fullFilePath, contents]) => ({
+          path: path.relative(__dirname, fullFilePath),
+          contents,
+        })
+      );
+      expect(contents).toMatchSnapshot();
+    });
   });
 });
",0,
146,96a41cda3674cfc6a595515c2ec855cf1e921269,0758395393bfe48ffce47ffa4c5f10eef9ac192c,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,"Resolves https://github.com/skovy/typed-scss-modules/issues/129

This PR adds support for custom SASS importers: https://github.com/sass/node-sass#importer--v200---experimental

In order to support this, it required a config file to write this function. In addition to supporting this function, the config file should also now provide support for all options to be defined in a configuration file.","chore: add main test coverage
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index a121389..ec596e2 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -7,9 +7,11 @@ import { describeAllImplementations } from ""./helpers"";
 
 describeAllImplementations((implementation) => {
   describe(""main"", () => {
+    let writeFileSyncSpy: jest.SpyInstance;
+
     beforeEach(() => {
       // Only mock the write, so the example files can still be read.
-      fs.writeFileSync = jest.fn();
+      writeFileSyncSpy = jest.spyOn(fs, ""writeFileSync"").mockImplementation();
       console.log = jest.fn(); // avoid console logs showing up
     });
 
@@ -82,5 +84,25 @@ describeAllImplementations((implementation) => {
         expect.anything()
       );
     });
+
+    test(""reads options from the configuration file"", async () => {
+      const pattern = `${__dirname}/dummy-styles`;
+
+      jest.spyOn(process, ""cwd"").mockReturnValue(path.resolve(pattern));
+
+      await main(pattern, {
+        exportType: ""default"",
+      });
+
+      expect(fs.writeFileSync).toBeCalledTimes(6);
+      // Transform the calls into a more readable format for the snapshot.
+      const contents = writeFileSyncSpy.mock.calls.map(
+        ([fullFilePath, contents]) => ({
+          path: path.relative(__dirname, fullFilePath),
+          contents,
+        })
+      );
+      expect(contents).toMatchSnapshot();
+    });
   });
 });
",0,
148,8346e855a8cbcef3445e0fbbae6b2c5be9e6f600,8346e855a8cbcef3445e0fbbae6b2c5be9e6f600,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,,"chore: sort snapshot tests to avoid flakes
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index 0b95117..7aa2ea5 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -100,12 +100,13 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledTimes(6);
       // Transform the calls into a more readable format for the snapshot.
-      const contents = writeFileSyncSpy.mock.calls.map(
-        ([fullFilePath, contents]) => ({
+      const contents = writeFileSyncSpy.mock.calls
+        .map(([fullFilePath, contents]) => ({
           path: path.relative(__dirname, fullFilePath),
           contents,
-        })
-      );
+        }))
+        // Sort to avoid flakey snapshot tests if call order changes.
+        .sort((a, b) => a.path.localeCompare(b.path));
       expect(contents).toMatchSnapshot();
     });
   });
",0,
148,8346e855a8cbcef3445e0fbbae6b2c5be9e6f600,8346e855a8cbcef3445e0fbbae6b2c5be9e6f600,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,,"chore: sort snapshot tests to avoid flakes
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index 0b95117..7aa2ea5 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -100,12 +100,13 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledTimes(6);
       // Transform the calls into a more readable format for the snapshot.
-      const contents = writeFileSyncSpy.mock.calls.map(
-        ([fullFilePath, contents]) => ({
+      const contents = writeFileSyncSpy.mock.calls
+        .map(([fullFilePath, contents]) => ({
           path: path.relative(__dirname, fullFilePath),
           contents,
-        })
-      );
+        }))
+        // Sort to avoid flakey snapshot tests if call order changes.
+        .sort((a, b) => a.path.localeCompare(b.path));
       expect(contents).toMatchSnapshot();
     });
   });
",0,
151,8777b894753c984f476efeaf0075530f45b8fd20,8777b894753c984f476efeaf0075530f45b8fd20,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,Resolves https://github.com/skovy/typed-scss-modules/issues/56.,"feat: add outputFolder
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index 7aa2ea5..e1551ab 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -10,9 +10,14 @@ describeAllImplementations((implementation) => {
     let writeFileSyncSpy: jest.SpyInstance;
 
     beforeEach(() => {
-      // Only mock the write, so the example files can still be read.
+      // Only mock the writes, so the example files can still be read.
       writeFileSyncSpy = jest.spyOn(fs, ""writeFileSync"").mockImplementation();
-      console.log = jest.fn(); // avoid console logs showing up
+
+      // Avoid creating directories while running tests.
+      jest.spyOn(fs, ""mkdirSync"").mockImplementation();
+
+      // Avoid console logs showing up.
+      jest.spyOn(console, ""log"").mockImplementation();
     });
 
     afterEach(() => {
@@ -109,5 +114,25 @@ describeAllImplementations((implementation) => {
         .sort((a, b) => a.path.localeCompare(b.path));
       expect(contents).toMatchSnapshot();
     });
+
+    test(""outputs the correct files when outputFolder is passed"", async () => {
+      const pattern = path.resolve(__dirname, ""dummy-styles"");
+
+      await main(pattern, {
+        outputFolder: ""__generated__"",
+      });
+
+      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(fs.mkdirSync).toBeCalledTimes(6);
+      // Transform the calls into a more readable format for the snapshot.
+      const contents = writeFileSyncSpy.mock.calls
+        .map(([fullFilePath, contents]) => ({
+          path: path.relative(__dirname, fullFilePath),
+          contents,
+        }))
+        // Sort to avoid flakey snapshot tests if call order changes.
+        .sort((a, b) => a.path.localeCompare(b.path));
+      expect(contents).toMatchSnapshot();
+    });
   });
 });
",0,
151,8777b894753c984f476efeaf0075530f45b8fd20,8777b894753c984f476efeaf0075530f45b8fd20,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,Resolves https://github.com/skovy/typed-scss-modules/issues/56.,"feat: add outputFolder
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index 7aa2ea5..e1551ab 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -10,9 +10,14 @@ describeAllImplementations((implementation) => {
     let writeFileSyncSpy: jest.SpyInstance;
 
     beforeEach(() => {
-      // Only mock the write, so the example files can still be read.
+      // Only mock the writes, so the example files can still be read.
       writeFileSyncSpy = jest.spyOn(fs, ""writeFileSync"").mockImplementation();
-      console.log = jest.fn(); // avoid console logs showing up
+
+      // Avoid creating directories while running tests.
+      jest.spyOn(fs, ""mkdirSync"").mockImplementation();
+
+      // Avoid console logs showing up.
+      jest.spyOn(console, ""log"").mockImplementation();
     });
 
     afterEach(() => {
@@ -109,5 +114,25 @@ describeAllImplementations((implementation) => {
         .sort((a, b) => a.path.localeCompare(b.path));
       expect(contents).toMatchSnapshot();
     });
+
+    test(""outputs the correct files when outputFolder is passed"", async () => {
+      const pattern = path.resolve(__dirname, ""dummy-styles"");
+
+      await main(pattern, {
+        outputFolder: ""__generated__"",
+      });
+
+      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(fs.mkdirSync).toBeCalledTimes(6);
+      // Transform the calls into a more readable format for the snapshot.
+      const contents = writeFileSyncSpy.mock.calls
+        .map(([fullFilePath, contents]) => ({
+          path: path.relative(__dirname, fullFilePath),
+          contents,
+        }))
+        // Sort to avoid flakey snapshot tests if call order changes.
+        .sort((a, b) => a.path.localeCompare(b.path));
+      expect(contents).toMatchSnapshot();
+    });
   });
 });
",0,
152,0ded490b3163413f3cb2307d2f549d639db1b9a9,0ded490b3163413f3cb2307d2f549d639db1b9a9,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,Resolves https://github.com/skovy/typed-scss-modules/issues/29,"test: improve main test cases and add coverage for additionalData
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index e1551ab..efcd170 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -2,6 +2,7 @@ import fs from ""fs"";
 import path from ""path"";
 import slash from ""slash"";
 
+import { alerts } from ""../lib/core"";
 import { main } from ""../lib/main"";
 import { describeAllImplementations } from ""./helpers"";
 
@@ -18,6 +19,8 @@ describeAllImplementations((implementation) => {
 
       // Avoid console logs showing up.
       jest.spyOn(console, ""log"").mockImplementation();
+
+      jest.spyOn(alerts, ""error"").mockImplementation();
     });
 
     afterEach(() => {
@@ -40,9 +43,18 @@ describeAllImplementations((implementation) => {
         quoteType: ""single"",
         updateStaleOnly: false,
         logLevel: ""verbose"",
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
 
       const expectedDirname = slash(path.join(__dirname, ""dummy-styles""));
 
@@ -72,9 +84,18 @@ describeAllImplementations((implementation) => {
         quoteType: ""single"",
         updateStaleOnly: false,
         logLevel: ""verbose"",
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(4);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(7);
 
       const expectedDirname = slash(path.join(__dirname, ""dummy-styles""));
 
@@ -100,10 +121,19 @@ describeAllImplementations((implementation) => {
       jest.spyOn(process, ""cwd"").mockReturnValue(path.resolve(pattern));
 
       await main(pattern, {
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
         exportType: ""default"",
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
       // Transform the calls into a more readable format for the snapshot.
       const contents = writeFileSyncSpy.mock.calls
         .map(([fullFilePath, contents]) => ({
@@ -119,11 +149,20 @@ describeAllImplementations((implementation) => {
       const pattern = path.resolve(__dirname, ""dummy-styles"");
 
       await main(pattern, {
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
         outputFolder: ""__generated__"",
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
-      expect(fs.mkdirSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
+      expect(fs.mkdirSync).toBeCalledTimes(9);
       // Transform the calls into a more readable format for the snapshot.
       const contents = writeFileSyncSpy.mock.calls
         .map(([fullFilePath, contents]) => ({
",0,
152,0ded490b3163413f3cb2307d2f549d639db1b9a9,0ded490b3163413f3cb2307d2f549d639db1b9a9,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,Resolves https://github.com/skovy/typed-scss-modules/issues/29,"test: improve main test cases and add coverage for additionalData
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index e1551ab..efcd170 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -2,6 +2,7 @@ import fs from ""fs"";
 import path from ""path"";
 import slash from ""slash"";
 
+import { alerts } from ""../lib/core"";
 import { main } from ""../lib/main"";
 import { describeAllImplementations } from ""./helpers"";
 
@@ -18,6 +19,8 @@ describeAllImplementations((implementation) => {
 
       // Avoid console logs showing up.
       jest.spyOn(console, ""log"").mockImplementation();
+
+      jest.spyOn(alerts, ""error"").mockImplementation();
     });
 
     afterEach(() => {
@@ -40,9 +43,18 @@ describeAllImplementations((implementation) => {
         quoteType: ""single"",
         updateStaleOnly: false,
         logLevel: ""verbose"",
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
 
       const expectedDirname = slash(path.join(__dirname, ""dummy-styles""));
 
@@ -72,9 +84,18 @@ describeAllImplementations((implementation) => {
         quoteType: ""single"",
         updateStaleOnly: false,
         logLevel: ""verbose"",
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(4);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(7);
 
       const expectedDirname = slash(path.join(__dirname, ""dummy-styles""));
 
@@ -100,10 +121,19 @@ describeAllImplementations((implementation) => {
       jest.spyOn(process, ""cwd"").mockReturnValue(path.resolve(pattern));
 
       await main(pattern, {
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
         exportType: ""default"",
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
       // Transform the calls into a more readable format for the snapshot.
       const contents = writeFileSyncSpy.mock.calls
         .map(([fullFilePath, contents]) => ({
@@ -119,11 +149,20 @@ describeAllImplementations((implementation) => {
       const pattern = path.resolve(__dirname, ""dummy-styles"");
 
       await main(pattern, {
+        additionalData: ""$global-red: red;"",
+        aliases: {
+          ""~fancy-import"": ""complex"",
+          ""~another"": ""style"",
+        },
+        aliasPrefixes: {
+          ""~"": ""nested-styles/"",
+        },
         outputFolder: ""__generated__"",
       });
 
-      expect(fs.writeFileSync).toBeCalledTimes(6);
-      expect(fs.mkdirSync).toBeCalledTimes(6);
+      expect(alerts.error).not.toHaveBeenCalled();
+      expect(fs.writeFileSync).toBeCalledTimes(9);
+      expect(fs.mkdirSync).toBeCalledTimes(9);
       // Transform the calls into a more readable format for the snapshot.
       const contents = writeFileSyncSpy.mock.calls
         .map(([fullFilePath, contents]) => ({
",0,
178,6c0512a86456e182ff65d37e36cdb9f6f204dbf6,63ea1422ec904dd0e191c6db2dee19c7a3f95c3c,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,"[MR 161](https://github.com/skovy/typed-scss-modules/pull/161) changed the behavior of how numbers are camel-cased. This MR replaces dependency change-case introduced in MR 161 with dependency [case-anything](https://github.com/mesqueeb/case-anything). case-anything is lighter weight, and configurable; although typed-scss-modules does not currently support this, it could be updated to pass configuration through to the formatter.  This MR also updates tests to demonstrate expected behavior of casing numbers.

Using selector `.color-blue-scale-10` as an example:
Legacy camel-casing transforms to `colorBlueScale10`,
MR 161 changed transform to: `colorBlueScale_10`,
This MR changes transform to `colorBlueScale10`.

case-anything has a [comprehensive test suite](https://github.com/mesqueeb/case-anything/blob/production/test/comprehensive.test.ts) demonstrating behavior.","fix: restore number camel-casing behavior changed in MR 161
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index efcd170..c115a5c 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -60,7 +60,7 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/complex.scss.d.ts`,
-        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const someStyles: string;\n""
+        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const number1: string;\nexport const someStyles: string;\n""
       );
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/style.scss.d.ts`,
@@ -101,7 +101,7 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/complex.scss.d.ts`,
-        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const someStyles: string;\n""
+        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const number1: string;\nexport const someStyles: string;\n""
       );
 
       // Files that should match the ignore pattern.
",0,
178,6c0512a86456e182ff65d37e36cdb9f6f204dbf6,63ea1422ec904dd0e191c6db2dee19c7a3f95c3c,__tests__/__snapshots__/main.test.ts.snap,__tests__/main.test.ts,"[MR 161](https://github.com/skovy/typed-scss-modules/pull/161) changed the behavior of how numbers are camel-cased. This MR replaces dependency change-case introduced in MR 161 with dependency [case-anything](https://github.com/mesqueeb/case-anything). case-anything is lighter weight, and configurable; although typed-scss-modules does not currently support this, it could be updated to pass configuration through to the formatter.  This MR also updates tests to demonstrate expected behavior of casing numbers.

Using selector `.color-blue-scale-10` as an example:
Legacy camel-casing transforms to `colorBlueScale10`,
MR 161 changed transform to: `colorBlueScale_10`,
This MR changes transform to `colorBlueScale10`.

case-anything has a [comprehensive test suite](https://github.com/mesqueeb/case-anything/blob/production/test/comprehensive.test.ts) demonstrating behavior.","fix: restore number camel-casing behavior changed in MR 161
","diff --git a/__tests__/main.test.ts b/__tests__/main.test.ts
index efcd170..c115a5c 100644
--- a/__tests__/main.test.ts
+++ b/__tests__/main.test.ts
@@ -60,7 +60,7 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/complex.scss.d.ts`,
-        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const someStyles: string;\n""
+        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const number1: string;\nexport const someStyles: string;\n""
       );
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/style.scss.d.ts`,
@@ -101,7 +101,7 @@ describeAllImplementations((implementation) => {
 
       expect(fs.writeFileSync).toBeCalledWith(
         `${expectedDirname}/complex.scss.d.ts`,
-        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const someStyles: string;\n""
+        ""export const nestedAnother: string;\nexport const nestedClass: string;\nexport const number1: string;\nexport const someStyles: string;\n""
       );
 
       // Files that should match the ignore pattern.
",0,
