pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
113,0da7a2c53c25e248c86feb8e93ae0811e8e355db,cf57520418400aca6fb2d3aedb6b502e6055a208,tests/e2e/__snapshots__/ncc.test.ts.snap,tests/e2e/ncc.test.ts,"closes #109

#### TODO

- [x] docs
- [x] tests
","fix
","diff --git a/tests/e2e/ncc.test.ts b/tests/e2e/ncc.test.ts
index efb9e62..50c07a5 100644
--- a/tests/e2e/ncc.test.ts
+++ b/tests/e2e/ncc.test.ts
@@ -6,11 +6,9 @@ it('works with ncc', async () => {
     fixture: Path.join(__dirname, 'fixtures/ncc'),
   })
 
-  await testProject.runOrThrow(`npm install --force`)
+  await testProject.runOrThrowNpmScript(`build`)
 
-  await testProject.runOrThrow(`npm run build`)
-
-  const result = await testProject.runOrThrow(`npm run start:dist`)
+  const result = await testProject.runOrThrowNpmScript(`start:dist`)
 
   expect(result.stdout).toMatchSnapshot()
 })
",0,
113,0da7a2c53c25e248c86feb8e93ae0811e8e355db,cf57520418400aca6fb2d3aedb6b502e6055a208,tests/e2e/__snapshots__/ncc.test.ts.snap,tests/e2e/ncc.test.ts,"closes #109

#### TODO

- [x] docs
- [x] tests
","fix
","diff --git a/tests/e2e/ncc.test.ts b/tests/e2e/ncc.test.ts
index efb9e62..50c07a5 100644
--- a/tests/e2e/ncc.test.ts
+++ b/tests/e2e/ncc.test.ts
@@ -6,11 +6,9 @@ it('works with ncc', async () => {
     fixture: Path.join(__dirname, 'fixtures/ncc'),
   })
 
-  await testProject.runOrThrow(`npm install --force`)
+  await testProject.runOrThrowNpmScript(`build`)
 
-  await testProject.runOrThrow(`npm run build`)
-
-  const result = await testProject.runOrThrow(`npm run start:dist`)
+  const result = await testProject.runOrThrowNpmScript(`start:dist`)
 
   expect(result.stdout).toMatchSnapshot()
 })
",0,
118,0256d9dccf7caa21505deb5de6a7fc78567e88c7,0256d9dccf7caa21505deb5de6a7fc78567e88c7,tests/lib/__snapshots__/peerDepValidator.test.ts.snap,tests/lib/peerDepValidator.test.ts,"closes #112

#### TODO

- [ ] docs
- [x] tests
","improve: show disable guide in peer dep messages
","diff --git a/tests/lib/peerDepValidator.test.ts b/tests/lib/peerDepValidator.test.ts
index 6d60ea6..17fa9a2 100644
--- a/tests/lib/peerDepValidator.test.ts
+++ b/tests/lib/peerDepValidator.test.ts
@@ -2,6 +2,7 @@ import dedent from 'dindist'
 import * as Execa from 'execa'
 import { merge, omit } from 'lodash'
 import { PackageJson } from 'type-fest'
+import { envarSpecs } from '../../src/lib/peerDepValidator'
 import { assertBuildPresent } from '../__helpers__/helpers'
 import { setupTestProject, TestProject } from '../__helpers__/testProject'
 
@@ -170,14 +171,18 @@ describe('ValidatePeerDependencies', () => {
 })
 
 describe('enforceValidPeerDependencies', () => {
-  it('if PEER_DEPENDENCY_CHECK=false|0 then no validation happens', () => {
-    expect(runEnforceValidPeerDependencies({ env: { PEER_DEPENDENCY_CHECK: 'false' } }).stdout).toEqual(``)
-    expect(runEnforceValidPeerDependencies({ env: { PEER_DEPENDENCY_CHECK: '0' } }).stdout).toEqual(``)
+  it(`if ${[envarSpecs.PEER_DEPENDENCY_CHECK.name]}=false|0 then no validation happens`, () => {
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.PEER_DEPENDENCY_CHECK.name]: 'false' } }).stdout).toEqual(``)
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.PEER_DEPENDENCY_CHECK.name]: '0' } }).stdout).toEqual(``)
   })
 
-  it('if NO_PEER_DEPENDENCY_CHECK=true|1 then no validation happens', () => {
-    expect(runEnforceValidPeerDependencies({ env: { NO_PEER_DEPENDENCY_CHECK: 'true' } }).stdout).toEqual(``)
-    expect(runEnforceValidPeerDependencies({ env: { NO_PEER_DEPENDENCY_CHECK: '1' } }).stdout).toEqual(``)
+  it(`if ${[envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]}=true|1 then no validation happens`, () => {
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]: 'true' } }).stdout).toEqual(``)
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]: '1' } }).stdout).toEqual(``)
   })
 
   it('if peer dependency is missing, than logs and process exits 1', () => {
",0,
118,0256d9dccf7caa21505deb5de6a7fc78567e88c7,0256d9dccf7caa21505deb5de6a7fc78567e88c7,tests/lib/__snapshots__/peerDepValidator.test.ts.snap,tests/lib/peerDepValidator.test.ts,"closes #112

#### TODO

- [ ] docs
- [x] tests
","improve: show disable guide in peer dep messages
","diff --git a/tests/lib/peerDepValidator.test.ts b/tests/lib/peerDepValidator.test.ts
index 6d60ea6..17fa9a2 100644
--- a/tests/lib/peerDepValidator.test.ts
+++ b/tests/lib/peerDepValidator.test.ts
@@ -2,6 +2,7 @@ import dedent from 'dindist'
 import * as Execa from 'execa'
 import { merge, omit } from 'lodash'
 import { PackageJson } from 'type-fest'
+import { envarSpecs } from '../../src/lib/peerDepValidator'
 import { assertBuildPresent } from '../__helpers__/helpers'
 import { setupTestProject, TestProject } from '../__helpers__/testProject'
 
@@ -170,14 +171,18 @@ describe('ValidatePeerDependencies', () => {
 })
 
 describe('enforceValidPeerDependencies', () => {
-  it('if PEER_DEPENDENCY_CHECK=false|0 then no validation happens', () => {
-    expect(runEnforceValidPeerDependencies({ env: { PEER_DEPENDENCY_CHECK: 'false' } }).stdout).toEqual(``)
-    expect(runEnforceValidPeerDependencies({ env: { PEER_DEPENDENCY_CHECK: '0' } }).stdout).toEqual(``)
+  it(`if ${[envarSpecs.PEER_DEPENDENCY_CHECK.name]}=false|0 then no validation happens`, () => {
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.PEER_DEPENDENCY_CHECK.name]: 'false' } }).stdout).toEqual(``)
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.PEER_DEPENDENCY_CHECK.name]: '0' } }).stdout).toEqual(``)
   })
 
-  it('if NO_PEER_DEPENDENCY_CHECK=true|1 then no validation happens', () => {
-    expect(runEnforceValidPeerDependencies({ env: { NO_PEER_DEPENDENCY_CHECK: 'true' } }).stdout).toEqual(``)
-    expect(runEnforceValidPeerDependencies({ env: { NO_PEER_DEPENDENCY_CHECK: '1' } }).stdout).toEqual(``)
+  it(`if ${[envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]}=true|1 then no validation happens`, () => {
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]: 'true' } }).stdout).toEqual(``)
+    // prettier-ignore
+    expect(runEnforceValidPeerDependencies({ env: { [envarSpecs.NO_PEER_DEPENDENCY_CHECK.name]: '1' } }).stdout).toEqual(``)
   })
 
   it('if peer dependency is missing, than logs and process exits 1', () => {
",0,
121,84a2448348e99fc5332deab8027c800b35a1c9c0,16f5e50e2aa95ce4d7dcedce0955a96ad83ace3f,tests/e2e/__snapshots__/no-ts-node.test.ts.snap,tests/e2e/no-ts-node.test.ts,"closes #120

#### TODO

- [x] docs
- [x] tests
","improve: lazy load ts-node as needed

When user does not have any TS config files present then there is no
need to try and require ts-node.
","diff --git a/tests/e2e/no-ts-node.test.ts b/tests/e2e/no-ts-node.test.ts
new file mode 100644
index 0000000..9a9f1e8
--- /dev/null
+++ b/tests/e2e/no-ts-node.test.ts
@@ -0,0 +1,37 @@
+import dindist from 'dindist'
+import { createPrismaSchema } from '../__helpers__/testers'
+import { setupTestProject } from '../__helpers__/testProject'
+
+it('when project does not have ts-node installed nexus-prisma generator still generates if there are no TS generator config files present', async () => {
+  const testProject = setupTestProject({
+    files: {
+      packageJson: {
+        scripts: {
+          build: 'prisma generate',
+        },
+        dependencies: {
+          '@prisma/client': '2.30',
+          graphql: '15.5.1',
+          nexus: '1.1.0',
+          prisma: '2.30',
+        },
+      },
+      other: [
+        {
+          filePath: `prisma/schema.prisma`,
+          content: createPrismaSchema({
+            content: dindist`
+							model Foo {
+								id  String  @id
+							}
+						`,
+          }),
+        },
+      ],
+    },
+  })
+
+  const result = await testProject.runOrThrowNpmScript(`build`)
+
+  expect(result.stdout).toMatchSnapshot()
+})
",0,
121,84a2448348e99fc5332deab8027c800b35a1c9c0,16f5e50e2aa95ce4d7dcedce0955a96ad83ace3f,tests/e2e/__snapshots__/no-ts-node.test.ts.snap,tests/e2e/no-ts-node.test.ts,"closes #120

#### TODO

- [x] docs
- [x] tests
","improve: lazy load ts-node as needed

When user does not have any TS config files present then there is no
need to try and require ts-node.
","diff --git a/tests/e2e/no-ts-node.test.ts b/tests/e2e/no-ts-node.test.ts
new file mode 100644
index 0000000..9a9f1e8
--- /dev/null
+++ b/tests/e2e/no-ts-node.test.ts
@@ -0,0 +1,37 @@
+import dindist from 'dindist'
+import { createPrismaSchema } from '../__helpers__/testers'
+import { setupTestProject } from '../__helpers__/testProject'
+
+it('when project does not have ts-node installed nexus-prisma generator still generates if there are no TS generator config files present', async () => {
+  const testProject = setupTestProject({
+    files: {
+      packageJson: {
+        scripts: {
+          build: 'prisma generate',
+        },
+        dependencies: {
+          '@prisma/client': '2.30',
+          graphql: '15.5.1',
+          nexus: '1.1.0',
+          prisma: '2.30',
+        },
+      },
+      other: [
+        {
+          filePath: `prisma/schema.prisma`,
+          content: createPrismaSchema({
+            content: dindist`
+							model Foo {
+								id  String  @id
+							}
+						`,
+          }),
+        },
+      ],
+    },
+  })
+
+  const result = await testProject.runOrThrowNpmScript(`build`)
+
+  expect(result.stdout).toMatchSnapshot()
+})
",0,
122,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,a77a1f37d7bc70f2eae17e365ea2e38f56f1f285,tests/e2e/__snapshots__/ts-node-import-error.test.ts.snap,tests/e2e/ts-node-import-error.test.ts,"closes #111

#### TODO

- [x] tests
","improve: pretty error message on ts-node import error
","diff --git a/tests/e2e/ts-node-import-error.test.ts b/tests/e2e/ts-node-import-error.test.ts
new file mode 100644
index 0000000..42fa2eb
--- /dev/null
+++ b/tests/e2e/ts-node-import-error.test.ts
@@ -0,0 +1,54 @@
+import dindist from 'dindist'
+import 'ts-replace-all'
+import { createPrismaSchema } from '../__helpers__/testers'
+import { setupTestProject } from '../__helpers__/testProject'
+
+it('when project does not have ts-node installed nexus-prisma generator still generates if there are no TS generator config files present', async () => {
+  const testProject = setupTestProject({
+    files: {
+      packageJson: {
+        scripts: {
+          build: 'prisma generate',
+        },
+        dependencies: {
+          '@prisma/client': '2.30',
+          graphql: '15.5.1',
+          nexus: '1.1.0',
+          prisma: '2.30',
+        },
+      },
+      other: [
+        {
+          filePath: `prisma/schema.prisma`,
+          content: createPrismaSchema({
+            content: dindist`
+							model Foo {
+								id  String  @id
+							}
+						`,
+          }),
+        },
+        {
+          filePath: 'prisma/nexus-prisma.ts',
+          content: dindist`
+            throw new Error('Oops, something unexpected happened.')
+          `,
+        },
+      ],
+    },
+  })
+
+  const result = await testProject.runNpmScript(`build`)
+
+  expect(normalizeGeneratorOutput(result.stderr)).toMatchSnapshot('stderr')
+  expect(normalizeGeneratorOutput(result.stdout)).toMatchSnapshot('stdout')
+})
+
+const normalizeGeneratorOutput = (output: string) =>
+  output
+    .replaceAll(/\d+ms/g, '<SOME TIME>ms')
+    .replaceAll(/ to .* in /g, ' to <SOME PATH> in ')
+    .replaceAll(/loaded from.*/g, 'loaded from <SOME PATH>')
+    .replaceAll(/Generated Prisma Client \(.*\)/g, 'Generated Prisma Client (<SOME VERSION>)')
+    // https://regex101.com/r/r2wR1Y/2
+    .replaceAll(/Require stack:(?:(?:\n\s*- .*)(?:\n +at .* \(.*\))*)+/g, 'Require stack:\n- <SOME STACK>')
",0,
122,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,a77a1f37d7bc70f2eae17e365ea2e38f56f1f285,tests/lib/__snapshots__/peerDepValidator.test.ts.snap,tests/lib/peerDepValidator.test.ts,"closes #111

#### TODO

- [x] tests
","improve: pretty error message on ts-node import error
",,0,
122,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,tests/e2e/__snapshots__/no-ts-node.test.ts.snap,tests/e2e/no-ts-node.test.ts,"closes #111

#### TODO

- [x] tests
","rename
","diff --git a/tests/e2e/no-ts-node.test.ts b/tests/e2e/no-ts-node.test.ts
deleted file mode 100644
index ee9537f..0000000
--- a/tests/e2e/no-ts-node.test.ts
+++ /dev/null
@@ -1,45 +0,0 @@
-import dindist from 'dindist'
-import 'ts-replace-all'
-import { createPrismaSchema } from '../__helpers__/testers'
-import { setupTestProject } from '../__helpers__/testProject'
-
-it('when project does not have ts-node installed nexus-prisma generator still generates if there are no TS generator config files present', async () => {
-  const testProject = setupTestProject({
-    files: {
-      packageJson: {
-        scripts: {
-          build: 'prisma generate',
-        },
-        dependencies: {
-          '@prisma/client': '2.30',
-          graphql: '15.5.1',
-          nexus: '1.1.0',
-          prisma: '2.30',
-        },
-      },
-      other: [
-        {
-          filePath: `prisma/schema.prisma`,
-          content: createPrismaSchema({
-            content: dindist`
-							model Foo {
-								id  String  @id
-							}
-						`,
-          }),
-        },
-      ],
-    },
-  })
-
-  const result = await testProject.runOrThrowNpmScript(`build`)
-
-  expect(sanitizeGeneratorOutput(result.stdout)).toMatchSnapshot()
-})
-
-const sanitizeGeneratorOutput = (output: string) =>
-  output
-    .replaceAll(/\d+ms/g, '<SOME TIME>ms')
-    .replaceAll(/ to .* in /g, ' to <SOME PATH> in ')
-    .replaceAll(/loaded from.*/g, 'loaded from <SOME PATH>')
-    .replaceAll(/Generated Prisma Client \(.*\)/g, 'Generated Prisma Client (<SOME VERSION>)')
",0,
122,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,301db02f026e9c5a44f76b4e27ebd3ecf70d51f1,tests/e2e/__snapshots__/ts-node-unused.test.ts.snap,tests/e2e/ts-node-unused.test.ts,"closes #111

#### TODO

- [x] tests
","rename
","diff --git a/tests/e2e/ts-node-unused.test.ts b/tests/e2e/ts-node-unused.test.ts
new file mode 100644
index 0000000..e7dc7dd
--- /dev/null
+++ b/tests/e2e/ts-node-unused.test.ts
@@ -0,0 +1,45 @@
+import dindist from 'dindist'
+import 'ts-replace-all'
+import { createPrismaSchema } from '../__helpers__/testers'
+import { setupTestProject } from '../__helpers__/testProject'
+
+it('when project does not have ts-node installed nexus-prisma generator still generates if there are no TS generator config files present', async () => {
+  const testProject = setupTestProject({
+    files: {
+      packageJson: {
+        scripts: {
+          build: 'prisma generate',
+        },
+        dependencies: {
+          '@prisma/client': '2.30',
+          graphql: '15.5.1',
+          nexus: '1.1.0',
+          prisma: '2.30',
+        },
+      },
+      other: [
+        {
+          filePath: `prisma/schema.prisma`,
+          content: createPrismaSchema({
+            content: dindist`
+							model Foo {
+								id  String  @id
+							}
+						`,
+          }),
+        },
+      ],
+    },
+  })
+
+  const result = await testProject.runOrThrowNpmScript(`build`)
+
+  expect(normalizeGeneratorOutput(result.stdout)).toMatchSnapshot()
+})
+
+const normalizeGeneratorOutput = (output: string) =>
+  output
+    .replaceAll(/\d+ms/g, '<SOME TIME>ms')
+    .replaceAll(/ to .* in /g, ' to <SOME PATH> in ')
+    .replaceAll(/loaded from.*/g, 'loaded from <SOME PATH>')
+    .replaceAll(/Generated Prisma Client \(.*\)/g, 'Generated Prisma Client (<SOME VERSION>)')
",0,
