pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
111,c39598af470517c4c00f55434459c4567438f972,c39598af470517c4c00f55434459c4567438f972,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What
toBeArrayOfSize

<!-- Why are these changes necessary? Link any related issues -->
### Why
I (and I should imagine many others) need it in my(/their) project(s) to migrate from https://github.com/JamieMason/Jasmine-Matchers

<!-- If necessary add any additional notes on the implementation -->
### Notes
I used a slightly different syntax in the message functions. Please confirm that this is OK.

### Housekeeping

- [x] Unit tests
- [X] Documentation is up to date
- [X] No additional lint warnings
- [X] Add yourself to contributors list (`yarn contributor`)
",Add toBeArrayOfSize,"diff --git a/src/matchers/toBeArrayOfSize/index.test.js b/src/matchers/toBeArrayOfSize/index.test.js
new file mode 100644
index 0000000..ba8cfab
--- /dev/null
+++ b/src/matchers/toBeArrayOfSize/index.test.js
@@ -0,0 +1,58 @@
+import each from 'jest-each';
+
+import matcher from './';
+
+expect.extend(matcher);
+
+describe('.toBeArrayOfSize', () => {
+  {
+    const size = 1;
+    test(`passes when given an array of size 1, where size === ${size}`, () => {
+      expect([size]).toBeArrayOfSize(size);
+    });
+  }
+  {
+    const size = 134;
+    test(`passes when given an array of size 134, where size === ${size}`, () => {
+      expect(Array(size)).toBeArrayOfSize(size);
+    });
+  }
+
+  test('fails when given type which is not an array', () => {
+    expect(() => expect(false).toBeArrayOfSize(1)).toThrowErrorMatchingSnapshot();
+  });
+
+  each([[false], [true], [0], [{}], [() => {}], [undefined], [null], [NaN]]).test(
+    'fails when given type of %s which is not an array',
+    given => {
+      expect(() => expect(given).toBeArrayOfSize(1)).toThrowErrorMatchingSnapshot();
+    }
+  );
+
+  test('fails when not given an array', () => {
+    expect(() => expect().toBeArrayOfSize(5)).toThrowErrorMatchingSnapshot();
+  });
+
+  test('fails when not given a parameter', () => {
+    expect(() => expect([1]).toBeArrayOfSize()).toThrowErrorMatchingSnapshot();
+  });
+
+  test('fails when given neither a parameter nor an array', () => {
+    expect(() => expect([]).toBeArrayOfSize()).toThrowErrorMatchingSnapshot();
+  });
+});
+
+describe('.not.toBeArrayOfSize', () => {
+  each([[false], [true], [0], [{}], [() => {}], [undefined], [null], [NaN]]).test(
+    'passes when not given an array: %s',
+    given => {
+      expect(given).not.toBeArrayOfSize(2);
+    }
+  );
+  {
+    const size = 0;
+    test(`fails when given an array of size ${size}`, () => {
+      expect(() => expect([]).not.toBeArrayOfSize(size)).toThrowErrorMatchingSnapshot();
+    });
+  }
+});
",0,,10,319,1,1,10,319
120,5a5f9515e087eeac14177a8b4cec93220d3b08d1,8b1b118f86e09c7bbbc9d39fab460a397f93b508,"Connects to #119
Connects to #121

<!-- What changes are being made? (feature/bug) -->
### What
A bug fix for #119 and #121

<!-- Why are these changes necessary? Link any related issues -->
### Why
This bug can cause false positives in your test cases, which is very harmful.

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] Add yourself to contributors list (`yarn contributor`)
","Fix bugs in `toContainAllKeys` matcher

Connects to #119
Connects to #121
","diff --git a/src/matchers/toContainAllKeys/index.test.js b/src/matchers/toContainAllKeys/index.test.js
index 961dae0..83d6101 100644
--- a/src/matchers/toContainAllKeys/index.test.js
+++ b/src/matchers/toContainAllKeys/index.test.js
@@ -12,6 +12,14 @@ describe('.toContainAllKeys', () => {
   test('fails when given object does not contain all keys', () => {
     expect(() => expect(data).toContainAllKeys(['a'])).toThrowErrorMatchingSnapshot();
   });
+
+  test('fails when given an empty object', () => {
+    expect(() => expect({}).toContainAllKeys(['a'])).toThrowErrorMatchingSnapshot();
+  });
+
+  test('fails when all of the object keys are matched, but there are additional keys ', () => {
+    expect(() => expect(data).toContainAllKeys(['a', 'c'])).toThrowErrorMatchingSnapshot();
+  });
 });
 
 describe('.not.toContainAllKeys', () => {
",0,,6,46,1,2,6,46
132,dcdcbfd0959fcedb7a0f6626d35be0d3bf924e83,dcdcbfd0959fcedb7a0f6626d35be0d3bf924e83,"<!-- What changes are being made? (feature/bug) -->
### What

Change implementation of toHaveBeenCalledBefore to use mock.invocationCallOrder instead of mock.timestamps

Fixes #131 

### Why

1. Jest 23 [removed](https://github.com/facebook/jest/pull/5867) mock.timestamps making the current implementation incompatible to it
2. It removes the limitation of toHaveBeenCalledBefore not being accurate when functions are called in the same tick/task

<!-- If necessary add any additional notes on the implementation -->

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] Add yourself to contributors list (`yarn contributor`)
- [ ] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/master/types/index.d.ts) are added/updated where relevant
","Change implementation of toHaveBeenCalledBefore to use invocationCallOrder
","diff --git a/src/matchers/toHaveBeenCalledBefore/index.test.js b/src/matchers/toHaveBeenCalledBefore/index.test.js
index ef5b524..b3f835c 100644
--- a/src/matchers/toHaveBeenCalledBefore/index.test.js
+++ b/src/matchers/toHaveBeenCalledBefore/index.test.js
@@ -2,8 +2,6 @@ import matcher from './';
 
 expect.extend(matcher);
 
-const timeout = time => () => new Promise(res => setTimeout(() => res()), time);
-
 describe('.toHaveBeenCalledBefore', () => {
   test('fails when given a first mock has not been called', () => {
     const mock1 = jest.fn();
@@ -18,46 +16,46 @@ describe('.toHaveBeenCalledBefore', () => {
     expect(mock1).toHaveBeenCalledBefore(mock2);
   });
 
-  test('passes when given first mock is called before second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock1();
-    await mock2();
+  test('passes when given first mock is called before second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock1();
+    mock2();
     expect(mock1).toHaveBeenCalledBefore(mock2);
   });
 
-  test('fails when given first mock is called after second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock2();
-    await mock1();
-    mock1.mock.timestamps[0] = 5000; // amend the value for the snapshot
-    mock2.mock.timestamps[0] = 4000;
+  test('fails when given first mock is called after second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock2();
+    mock1();
+    mock1.mock.invocationCallOrder[0] = 5000; // amend the value for the snapshot
+    mock2.mock.invocationCallOrder[0] = 4000;
     expect(() => expect(mock1).toHaveBeenCalledBefore(mock2)).toThrowErrorMatchingSnapshot();
   });
 
-  test('passes when given first mock is called before multiple calls to second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock1();
-    await mock2();
-    await mock1();
-    await mock2();
-    await mock2();
+  test('passes when given first mock is called before multiple calls to second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock1();
+    mock2();
+    mock1();
+    mock2();
+    mock2();
     expect(mock1).toHaveBeenCalledBefore(mock2);
   });
 
-  test('fails when given first mock is called after several calls to second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock2();
-    await mock1();
-    await mock1();
-    await mock1();
-    mock1.mock.timestamps[0] = 5000; // amend the value for the snapshot
-    mock1.mock.timestamps[1] = 6000;
-    mock1.mock.timestamps[2] = 7000;
-    mock2.mock.timestamps[0] = 4000;
+  test('fails when given first mock is called after several calls to second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock2();
+    mock1();
+    mock1();
+    mock1();
+    mock1.mock.invocationCallOrder[0] = 5000; // amend the value for the snapshot
+    mock1.mock.invocationCallOrder[1] = 6000;
+    mock1.mock.invocationCallOrder[2] = 7000;
+    mock2.mock.invocationCallOrder[0] = 4000;
     expect(() => expect(mock1).toHaveBeenCalledBefore(mock2)).toThrowErrorMatchingSnapshot();
   });
 });
@@ -73,52 +71,52 @@ describe('.not.toHaveBeenCalledBefore', () => {
     const mock1 = jest.fn();
     const mock2 = jest.fn();
     mock1();
-    mock1.mock.timestamps[0] = 4000; // amend the value for the snapshot
+    mock1.mock.invocationCallOrder[0] = 4000; // amend the value for the snapshot
     expect(() => expect(mock1).not.toHaveBeenCalledBefore(mock2)).toThrowErrorMatchingSnapshot();
   });
 
-  test('fails when given first mock is called before second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock1();
-    await mock2();
-    mock1.mock.timestamps[0] = 4000; // amend the value for the snapshot
-    mock2.mock.timestamps[0] = 5000;
+  test('fails when given first mock is called before second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock1();
+    mock2();
+    mock1.mock.invocationCallOrder[0] = 4000; // amend the value for the snapshot
+    mock2.mock.invocationCallOrder[0] = 5000;
     expect(() => expect(mock1).not.toHaveBeenCalledBefore(mock2)).toThrowErrorMatchingSnapshot();
   });
 
-  test('passes when given first mock is called after second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock2();
-    await mock1();
+  test('passes when given first mock is called after second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock2();
+    mock1();
     expect(mock1).not.toHaveBeenCalledBefore(mock2);
   });
 
-  test('fails when given first mock is called before multiple calls to second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock1();
-    await mock2();
-    await mock1();
-    await mock2();
-    await mock2();
+  test('fails when given first mock is called before multiple calls to second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock1();
+    mock2();
+    mock1();
+    mock2();
+    mock2();
 
-    mock1.mock.timestamps[0] = 4000; // amend the value for the snapshot
-    mock1.mock.timestamps[1] = 6000;
-    mock2.mock.timestamps[0] = 5000;
-    mock2.mock.timestamps[1] = 7000;
-    mock2.mock.timestamps[2] = 8000;
+    mock1.mock.invocationCallOrder[0] = 4000; // amend the value for the snapshot
+    mock1.mock.invocationCallOrder[1] = 6000;
+    mock2.mock.invocationCallOrder[0] = 5000;
+    mock2.mock.invocationCallOrder[1] = 7000;
+    mock2.mock.invocationCallOrder[2] = 8000;
     expect(() => expect(mock1).not.toHaveBeenCalledBefore(mock2)).toThrowErrorMatchingSnapshot();
   });
 
-  test('passes when given first mock is called after several calls to second mock', async () => {
-    const mock1 = jest.fn(timeout(1));
-    const mock2 = jest.fn(timeout(1));
-    await mock2();
-    await mock1();
-    await mock1();
-    await mock1();
+  test('passes when given first mock is called after several calls to second mock', () => {
+    const mock1 = jest.fn();
+    const mock2 = jest.fn();
+    mock2();
+    mock1();
+    mock1();
+    mock1();
     expect(mock1).not.toHaveBeenCalledBefore(mock2);
   });
 });
",0,,8,1306,1,1,8,1306
152,c51a2e08973174d6ea66ee371b48f928cf1713c5,27db3dcd9bcace17fb66a46e8ff0ff90952461f3,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What
Feature

<!-- Why are these changes necessary? Link any related issues -->
### Why
This feature satisfies #149. This is a new matcher to verify a string is a valid HTML hex color.

<!-- If necessary add any additional notes on the implementation -->
### Notes
Please let me know if I need to make any modifications :+1: 

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] Add yourself to contributors list (`yarn contributor`)
- [x] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/master/types/index.d.ts) are added/updated where relevant
","add matcher and tests
","diff --git a/src/matchers/toBeHexadecimal/index.test.js b/src/matchers/toBeHexadecimal/index.test.js
new file mode 100644
index 0000000..3556e21
--- /dev/null
+++ b/src/matchers/toBeHexadecimal/index.test.js
@@ -0,0 +1,31 @@
+import matcher from './';
+
+expect.extend(matcher);
+
+describe('.toBeHexadecimal', () => {
+  test('passes when given valid 6 digit hexadecimal', () => {
+    expect('#ECECEC').toBeHexadecimal();
+  });
+
+  test('passes when given valid 3 digit hexadecimal', () => {
+    expect('#000').toBeHexadecimal();
+  });
+
+  test('fails when given invalid hexadecimal', () => {
+    expect(() => expect('#eeggee').toBeHexadecimal()).toThrowErrorMatchingSnapshot();
+  });
+
+  test('fails when given non-string', () => {
+    expect(() => expect(true).toBeHexadecimal()).toThrowErrorMatchingSnapshot();
+  });
+});
+
+describe('.not.toBeHexadecimal', () => {
+  test('passes when given positive number', () => {
+    expect(1).not.toBeHexadecimal();
+  });
+
+  test('passes when given invalid hexadecimal', () => {
+    expect('#eeggee').not.toBeHexadecimal();
+  });
+});
",0,,6,112,1,6,8,137
168,994c5feadb0b0f6ca8a32da9ee464cb0f4b2b6cf,682d81a0c553e08f88509f96347fac0f23f05890,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What
Added custom matcher's for determining if a promise has resolved or rejected

<!-- Why are these changes necessary? Link any related issues -->
### Why
As pair https://github.com/jest-community/jest-extended/issues/130

<!-- If necessary add any additional notes on the implementation -->
### Notes

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] Add yourself to contributors list (`yarn contributor`)
- [x] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/master/types/index.d.ts) are added/updated where relevant
","Add toResolve Matcher
","diff --git a/src/matchers/toResolve/index.test.js b/src/matchers/toResolve/index.test.js
new file mode 100644
index 0000000..77d6512
--- /dev/null
+++ b/src/matchers/toResolve/index.test.js
@@ -0,0 +1,10 @@
+import matcher from '.';
+
+expect.extend(matcher);
+
+describe('.toIncludeSameMembers', () => {
+  test('passes when passed a promise that resolved', async () => {
+    const promise = Promise.resolve();
+    await expect(promise).toResolve();
+  });
+});
",0,,5,55,1,4,12,186
266,e8b691dad945ab8dc3ecb8e05b2e550e99988066,139fff2ff6afbb288e86da77a24cdd295abbf5b9,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What
New feature: Test if two strings are equal, ignoring whitespaces in both string. 

```js
    expect('SELECT * FROM TABLE WHERE CONDITION').toBeSimilar(`
        SELECT * FROM TABLE
        WHERE CONDITION
    `);
```
And if the strings are not similar, provide hints to user regarding the differences in strings with color coding.

```js
    expect('.class { cssRule: value }').toBeSimilar(`
        #id {
            cssRule: value
        }
    `);
```

![image](https://user-images.githubusercontent.com/3319815/73473127-37586100-43b2-11ea-9c89-8da06fba164c.png)


<!-- Why are these changes necessary? Link any related issues -->
### Why
Very often we are asserting over SQL queries, JS code, CSS rules, etc which is very cumbersome due to spaces and newlines. If the strings differs, then it is very hard to rectify the expected string without any hint.

<!-- If necessary add any additional notes on the implementation -->
### Notes
Added new npm dependency `diff` to calculate differences in strings.

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/master/types/index.d.ts) are added/updated where relevant
","Add feature toBeSimilar
","diff --git a/src/matchers/toBeSimilar/index.test.js b/src/matchers/toBeSimilar/index.test.js
new file mode 100644
index 0000000..0e0e421
--- /dev/null
+++ b/src/matchers/toBeSimilar/index.test.js
@@ -0,0 +1,73 @@
+import matcher from './.';
+
+expect.extend(matcher);
+
+describe('.toBeSimilar   ', () => {
+  test('should pass if strings are equal irrespective of whitespaces', () => {
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').toBeSimilar(`
+            SELECT * from TABLE
+            WHERE CONDITION = ""5""
+        `);
+
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').toBeSimilar(`
+            SELECT 
+            * 
+            from 
+            TABLE 
+            WHERE 
+            CONDITION=""5""
+        `);
+
+    expect(`
+            diff.forEach((diffObject) => {
+                if(diffObject.value.trim())
+                    return;
+                diffObject.added = diffObject.removed = undefined;
+            });
+        `).toBeSimilar(`
+            diff.forEach((diffObject) => {
+                if(diffObject.value.trim()) return;
+                diffObject.added = diffObject.removed = undefined;
+            });
+        `);
+
+    expect(() =>
+      expect('.class { cssRule: value; }').toBeSimilar('#id { cssRule: value; }')
+    ).toThrowErrorMatchingSnapshot();
+  });
+
+  test('should not pass if strings are not equal, not considering whitespaces', () => {
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').not.toBeSimilar(`
+            WHERE CONDITION = ""5"" 
+            SELECT * from TABLE
+        `);
+
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').not.toBeSimilar(`
+            SELECT * from TABLE
+            WHERE CONDITION = ""555""
+        `);
+
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').not.toBeSimilar(`
+            WHERE CONDITION = ""5""
+        `);
+
+    expect('SELECT * from TABLE WHERE CONDITION = ""5""').not.toBeSimilar(`
+            select * from table 
+               where 5condition=""5""
+        `);
+
+    expect(`
+            import React from 'react';
+        `).not.toBeSimilar(`
+            import {Component} from 'react';
+        `);
+
+    expect(() =>
+      expect('.class { cssRule: value; }').not.toBeSimilar(`
+            .class { 
+                cssRule: value; 
+            }
+        `)
+    ).toThrowErrorMatchingSnapshot();
+  });
+});
",1,None=None,8,309,1,6,11,363
315,2497be44db928e4264ad002e735b8e6fca8a5102,94423c69a6c2735858627d9a6c86161f68dc961a,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What

This feature adds suport for `expect(promise).rejects.toThrowWithMessage`, which previously throwed because passed tested value was not a function. This test is now conditionnaly skipped if the matcher is called from `rejects`.

<!-- Why are these changes necessary? Link any related issues -->
### Why

Closes #219

<!-- If necessary add any additional notes on the implementation -->
### Notes

This change required an update to `jest@^24.0.0` to use features mentioned in [the corresponding changelog](https://github.com/facebook/jest/blob/9b802c210c55b35712c1b4bb727ebb5d59a636c1/CHANGELOG.md#2400), and in particular [this PR](https://github.com/facebook/jest/pull/7621#issue-244312550).

This update of `jest` required an update of `babel-jest@^24.0.0`, which is incopatible with `babel-core@^6.26.0`. Thus, `babel-core` & `babel-cli` were removed and replaced with `@babel/core@^7.0.0` & `@babel/cli@^7.0.0`, and use of `@babel/preset-env@^7.0.0`. All changes in babel/build-related deps are a direct result of those chained required updates.

This PR is directly installable as a dependency in projects with:

```bash
npm install --save-dev git+https://github.com/GerkinDev/jest-extended.git#build/rejects-toThrowWithMessage
```

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/master/types/index.d.ts) are added/updated where relevant
","feat: add support for `.rejects.toThrowWithMessage`
","diff --git a/src/matchers/toThrowWithMessage/index.test.js b/src/matchers/toThrowWithMessage/index.test.js
index 02500d7..f3e829f 100644
--- a/src/matchers/toThrowWithMessage/index.test.js
+++ b/src/matchers/toThrowWithMessage/index.test.js
@@ -82,4 +82,91 @@ describe('.toThrowWithMessage', () => {
       throw new SyntaxError('Expected message');
     }).toThrowWithMessage(SyntaxError, /Expected message/);
   });
+
+  describe('Async', () => {
+    test('fails on rejects when return value is not provided', () => {
+      const { pass, message } = toThrowWithMessage.call({ promise: 'rejects' });
+      expect(pass).toBe(false);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('fails on rejects when error message is not provided', () => {
+      const rejectValue = true;
+      const { pass, message } = toThrowWithMessage.call({ promise: 'rejects' }, rejectValue, Error);
+      expect(pass).toBe(false);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('fails on rejects when error type is not provided', () => {
+      const rejectValue = true;
+      const { pass, message } = toThrowWithMessage.call({ promise: 'rejects' }, rejectValue);
+      expect(pass).toBe(false);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('fails on rejects when error message provided is not a string or regex', () => {
+      const rejectValue = true;
+      const { pass, message } = toThrowWithMessage.call({ promise: 'rejects' }, rejectValue, Error, 2);
+      expect(pass).toBe(false);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('fails on rejects when a wrong type of error is thrown', () => {
+      const rejectValue = SyntaxError('Expected message');
+      const { pass, message } = toThrowWithMessage.call(
+        { promise: 'rejects' },
+        rejectValue,
+        TypeError,
+        'Expected message',
+      );
+      expect(pass).toBe(false);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('passes on rejects when given an Error with a string error message', () => {
+      const rejectValue = TypeError('Expected message');
+      const { pass, message } = toThrowWithMessage.call(
+        { promise: 'rejects' },
+        rejectValue,
+        TypeError,
+        'Expected message',
+      );
+      expect(pass).toBe(true);
+      expect(message()).toMatchSnapshot();
+    });
+
+    test('passes on rejects when given an Error with a regex error message', () => {
+      const rejectValue = new TypeError('Expected message');
+      const { pass, message } = toThrowWithMessage.call(
+        { promise: 'rejects' },
+        rejectValue,
+        TypeError,
+        /Expected message/,
+      );
+      expect(pass).toBe(true);
+      expect(message()).toMatchSnapshot();
+    });
+    test('passes on rejects with rejected promise when given an Error with a string error message: end to end', async () => {
+      await expect(Promise.reject(new SyntaxError('Expected message'))).rejects.toThrowWithMessage(
+        SyntaxError,
+        'Expected message',
+      );
+    });
+
+    test('passes on rejects with rejected promise when given an Error with a regex error message: end to end', async () => {
+      await expect(Promise.reject(new SyntaxError('Expected message'))).rejects.toThrowWithMessage(
+        SyntaxError,
+        /Expected message/,
+      );
+    });
+    test('fails on rejects with resolved promise: end to end', async () => {
+      expect.assertions(1);
+      await expect(
+        expect(Promise.resolve(new SyntaxError('Expected message'))).rejects.toThrowWithMessage(
+          SyntaxError,
+          /Expected message/,
+        ),
+      ).rejects.toThrowWithMessage(Error, /Received promise resolved instead of rejected/);
+    });
+  });
 });
",0,,3,165,1,2,4,173
334,044703ba6109200797434130ec8430ee5258c076,044703ba6109200797434130ec8430ee5258c076,"trailing comma is essentially the only diff.

Also made sure to run prettier as part of the eslint run","chore: refresh lockfile
",,0,,2,1392,1,2,113,4049
376,ccf72b2a009bb5f6c8702cee59a6fd7ee1ab5726,ccf72b2a009bb5f6c8702cee59a6fd7ee1ab5726,"### What

Closes #374

### Notes

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings
- [x] [Typescript definitions](https://github.com/jest-community/jest-extended/blob/main/types/index.d.ts) are added/updated where relevant
","Add toPartiallyContain
","diff --git a/src/matchers/toPartiallyContain/index.test.js b/src/matchers/toPartiallyContain/index.test.js
new file mode 100644
index 0000000..1729c6b
--- /dev/null
+++ b/src/matchers/toPartiallyContain/index.test.js
@@ -0,0 +1,27 @@
+import * as matcher from './';
+
+expect.extend(matcher);
+
+describe('.toPartiallyContain', () => {
+  const item = { foo: 'bar', baz: 'qux' };
+
+  test('passes when a string has a given substring', () => {
+    expect([{ foo: 'bar', baz: 'qux', bax: 'zax' }]).toPartiallyContain(item);
+  });
+
+  test('fails when a string does not have a given substring', () => {
+    expect(() => expect([{ a: 1, b: 2 }]).toPartiallyContain(item)).toThrowErrorMatchingSnapshot();
+  });
+
+  describe('.not.toPartiallyContain', () => {
+    test('passes when a string does not have a given substring', () => {
+      expect([{ a: 1, b: 2 }]).not.toPartiallyContain(item);
+    });
+
+    test('fails when a string does have a given substring', () => {
+      expect(() =>
+        expect([{ foo: 'bar', baz: 'qux', bax: 'zax' }]).not.toPartiallyContain(item),
+      ).toThrowErrorMatchingSnapshot();
+    });
+  });
+});
",0,,7,104,1,1,7,104
4,e31de5871efcdd5ce32b0c6988153bbc686f9b55,9b1c15919fa27931bf802e6be512a4e738eeb964,"<!--
Thanks for spending the time to send this PR :D.

Please fill out the information below and make sure you're familiar
with the contributing guidelines (found in the CONTRIBUTING.md file).
-->

<!-- What changes are being made? (feature/bug) -->
### What

New matcher toContainValue

<!-- Why are these changes necessary? Link any related issues -->
### Why

See #3 

### Housekeeping

- [x] Unit tests
- [x] Documentation is up to date
- [x] No additional lint warnings","Add new matcher toContainValue
","diff --git a/src/matchers/toContainValue/index.test.js b/src/matchers/toContainValue/index.test.js
new file mode 100644
index 0000000..0c0a924
--- /dev/null
+++ b/src/matchers/toContainValue/index.test.js
@@ -0,0 +1,63 @@
+import matcher from './';
+
+expect.extend(matcher);
+
+const shallow = { hello: 'world' };
+const deep = { message: shallow };
+const deepArray = { message: [shallow] };
+
+describe('.toContainValue', () => {
+  it('passes when given object contains primitive value', () => {
+    expect(shallow).toContainValue('world');
+  });
+
+  it('passes when given object contains object value', () => {
+    expect(deep).toContainValue({ hello: 'world' });
+  });
+
+  it('passes when given object contains array value', () => {
+    expect(deepArray).toContainValue([{ hello: 'world' }]);
+  });
+
+  it('fails when given object does not contain primitive value', () => {
+    expect(() => expect(shallow).toContainValue('hello')).toThrowErrorMatchingSnapshot();
+  });
+
+  it('fails when given object does not contain object value', () => {
+    expect(() => expect(deep).toContainValue({ world: 'hello' })).toThrowErrorMatchingSnapshot();
+  });
+
+  it('fails when given object does not contain array value', () => {
+    expect(() => expect(deepArray).toContainValue([{ world: 'hello' }])).toThrowErrorMatchingSnapshot();
+  });
+});
+
+describe('.not.toContainValue', () => {
+  const shallow = { hello: 'world' };
+  const deep = { message: shallow };
+  const deepArray = { message: [shallow] };
+
+  it('passes when given object does not contain primitive value', () => {
+    expect(shallow).not.toContainValue('foo');
+  });
+
+  it('passes when given object does not contain object value', () => {
+    expect(deep).not.toContainValue({ foo: 'bar' });
+  });
+
+  it('passes when given object does not contain array value', () => {
+    expect(deepArray).not.toContainValue([{ foo: 'bar' }]);
+  });
+
+  it('fails when given object contains primitive value', () => {
+    expect(() => expect(shallow).not.toContainValue('world')).toThrowErrorMatchingSnapshot();
+  });
+
+  it('fails when given object contains object value', () => {
+    expect(() => expect(deep).not.toContainValue({ hello: 'world' })).toThrowErrorMatchingSnapshot();
+  });
+
+  it('fails when given object contains array value', () => {
+    expect(() => expect(deepArray).not.toContainValue([{ hello: 'world' }])).toThrowErrorMatchingSnapshot();
+  });
+});
",0,,7,189,1,4,8,206
