pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/AllSolidityFeatures/__snapshots__/jsfmt.spec.js.snap,tests/AllSolidityFeatures/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/BasicIterator/__snapshots__/jsfmt.spec.js.snap,tests/BasicIterator/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/FunctionDefinitions/__snapshots__/jsfmt.spec.js.snap,tests/FunctionDefinitions/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
","diff --git a/tests/FunctionDefinitions/jsfmt.spec.js b/tests/FunctionDefinitions/jsfmt.spec.js
new file mode 100644
index 0000000..989047b
--- /dev/null
+++ b/tests/FunctionDefinitions/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(__dirname);
",0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/IndexOf/__snapshots__/jsfmt.spec.js.snap,tests/IndexOf/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/SampleCrowdsale/__snapshots__/jsfmt.spec.js.snap,tests/SampleCrowdsale/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/SplittableCommodity/__snapshots__/jsfmt.spec.js.snap,tests/SplittableCommodity/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/strings/__snapshots__/jsfmt.spec.js.snap,tests/strings/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/AllSolidityFeatures/__snapshots__/jsfmt.spec.js.snap,tests/AllSolidityFeatures/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/BasicIterator/__snapshots__/jsfmt.spec.js.snap,tests/BasicIterator/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/FunctionDefinitions/__snapshots__/jsfmt.spec.js.snap,tests/FunctionDefinitions/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
","diff --git a/tests/FunctionDefinitions/jsfmt.spec.js b/tests/FunctionDefinitions/jsfmt.spec.js
new file mode 100644
index 0000000..989047b
--- /dev/null
+++ b/tests/FunctionDefinitions/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(__dirname);
",0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/IndexOf/__snapshots__/jsfmt.spec.js.snap,tests/IndexOf/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/SampleCrowdsale/__snapshots__/jsfmt.spec.js.snap,tests/SampleCrowdsale/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/SplittableCommodity/__snapshots__/jsfmt.spec.js.snap,tests/SplittableCommodity/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
102,6800023d56bba93d65dff3a9a32abad85ccdb2fa,6800023d56bba93d65dff3a9a32abad85ccdb2fa,tests/strings/__snapshots__/jsfmt.spec.js.snap,tests/strings/jsfmt.spec.js,"Closes #101.

I don't like how this handles this scenario:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

That is printed as this:

```
  function someParamsSomeModifiers(uint x1, uint x2, uint x3)
    modifier1
    modifier2
    modifier3
  {
    a = 1;
  }
```

while I'd prefer this:

```
  function someParamsSomeModifiers(
    uint x1,
    uint x2,
    uint x3
  ) modifier1 modifier2 modifier3 {
    a = 1;
  }
```

I mean: if the function definition is too long, break the params first. If that's not enough, then break the modifiers. But, according to [this](https://github.com/prettier/prettier/blob/master/commands.md#group), `group` breaks the ""outermost"" group first (I guess that's the last one) so I don't know if there's some way of doing this.

@j-f1 do you know if there's some trick we can use here?","Group and break modifiers
",,0,
1033,2fee9bbe0d71aa3e512a833d9fa750c75bca880e,c8a3020ac354705b29ef3a676305899593302b7a,tests/format/AllSolidityFeatures/__snapshots__/jsfmt.spec.js.snap,tests/format/AllSolidityFeatures/jsfmt.spec.js,So there won't be many critical changes to the tests when moving to Slang.,"Necessary tweaks to the current formatting so there won't be many critical changes when moving to Slang.
",,0,
1033,2fee9bbe0d71aa3e512a833d9fa750c75bca880e,c8a3020ac354705b29ef3a676305899593302b7a,tests/format/AllSolidityFeaturesV0.4.26/__snapshots__/jsfmt.spec.js.snap,tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js,So there won't be many critical changes to the tests when moving to Slang.,"Necessary tweaks to the current formatting so there won't be many critical changes when moving to Slang.
","diff --git a/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js b/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js
new file mode 100644
index 0000000..fb95358
--- /dev/null
+++ b/tests/format/AllSolidityFeaturesV0.4.26/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(import.meta, ['solidity-parse'], { compiler: '0.4.26' });
",0,
