pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1045,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,"Our tests test _against_ documentation.js itself. Which is neat, but has the disadvantage that they include the version number of documentation.js, so every time that we release a version, the tests break because the version number doesn't match.

This PR that I should have written a long time ago sanitizes that version number, so tests continue to pass even when we release new versions.","test: Make tests resilient between versions: no more annoying chores
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index 7ced569..a6f3e2c 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -171,7 +171,8 @@ test('--config', async function() {
     {},
     false
   );
-  const output = fs.readFileSync(outputIndex, 'utf8');
+  let output = fs.readFileSync(outputIndex, 'utf8');
+  output = output.replace(/documentation \d+\.\d+\.\d+/g, '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1045,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,__tests__/__snapshots__/test.js.snap,__tests__/test.js,"Our tests test _against_ documentation.js itself. Which is neat, but has the disadvantage that they include the version number of documentation.js, so every time that we release a version, the tests break because the version number doesn't match.

This PR that I should have written a long time ago sanitizes that version number, so tests continue to pass even when we release new versions.","test: Make tests resilient between versions: no more annoying chores
","diff --git a/__tests__/test.js b/__tests__/test.js
index 2f65335..666de22 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -103,7 +103,9 @@ describe('html', function() {
         const clean = html
           .sort((a, b) => a.path > b.path)
           .filter(r => r.path.match(/(html)$/))
-          .map(r => r.contents)
+          .map(r =>
+            r.contents.toString().replace(/documentation \d+\.\d+\.\d+/g, '')
+          )
           .join('\n');
         expect(clean).toMatchSnapshot();
       });
",0,
1045,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,"Our tests test _against_ documentation.js itself. Which is neat, but has the disadvantage that they include the version number of documentation.js, so every time that we release a version, the tests break because the version number doesn't match.

This PR that I should have written a long time ago sanitizes that version number, so tests continue to pass even when we release new versions.","test: Make tests resilient between versions: no more annoying chores
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index 7ced569..a6f3e2c 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -171,7 +171,8 @@ test('--config', async function() {
     {},
     false
   );
-  const output = fs.readFileSync(outputIndex, 'utf8');
+  let output = fs.readFileSync(outputIndex, 'utf8');
+  output = output.replace(/documentation \d+\.\d+\.\d+/g, '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1045,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,5ce1d9f2b48278ce027089b1bff61dfc7ac33d16,__tests__/__snapshots__/test.js.snap,__tests__/test.js,"Our tests test _against_ documentation.js itself. Which is neat, but has the disadvantage that they include the version number of documentation.js, so every time that we release a version, the tests break because the version number doesn't match.

This PR that I should have written a long time ago sanitizes that version number, so tests continue to pass even when we release new versions.","test: Make tests resilient between versions: no more annoying chores
","diff --git a/__tests__/test.js b/__tests__/test.js
index 2f65335..666de22 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -103,7 +103,9 @@ describe('html', function() {
         const clean = html
           .sort((a, b) => a.path > b.path)
           .filter(r => r.path.match(/(html)$/))
-          .map(r => r.contents)
+          .map(r =>
+            r.contents.toString().replace(/documentation \d+\.\d+\.\d+/g, '')
+          )
           .join('\n');
         expect(clean).toMatchSnapshot();
       });
",0,
1052,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"test: Another tweak to make tests resistant to versioning
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index a6f3e2c..d2a5514 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -172,7 +172,9 @@ test('--config', async function() {
     false
   );
   let output = fs.readFileSync(outputIndex, 'utf8');
-  output = output.replace(/documentation \d+\.\d+\.\d+/g, '');
+  output = output
+    .replace(/documentation \d+\.\d+\.\d+/g, '')
+    .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1052,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"test: Another tweak to make tests resistant to versioning
","diff --git a/__tests__/test.js b/__tests__/test.js
index 666de22..d607a53 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -104,7 +104,10 @@ describe('html', function() {
           .sort((a, b) => a.path > b.path)
           .filter(r => r.path.match(/(html)$/))
           .map(r =>
-            r.contents.toString().replace(/documentation \d+\.\d+\.\d+/g, '')
+            r.contents
+              .toString()
+              .replace(/documentation \d+\.\d+\.\d+/g, '')
+              .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '')
           )
           .join('\n');
         expect(clean).toMatchSnapshot();
",0,
1052,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"test: Another tweak to make tests resistant to versioning
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index a6f3e2c..d2a5514 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -172,7 +172,9 @@ test('--config', async function() {
     false
   );
   let output = fs.readFileSync(outputIndex, 'utf8');
-  output = output.replace(/documentation \d+\.\d+\.\d+/g, '');
+  output = output
+    .replace(/documentation \d+\.\d+\.\d+/g, '')
+    .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1052,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,b33d0004b3a7b43e8e462ee77a4d2354f02c8382,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"test: Another tweak to make tests resistant to versioning
","diff --git a/__tests__/test.js b/__tests__/test.js
index 666de22..d607a53 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -104,7 +104,10 @@ describe('html', function() {
           .sort((a, b) => a.path > b.path)
           .filter(r => r.path.match(/(html)$/))
           .map(r =>
-            r.contents.toString().replace(/documentation \d+\.\d+\.\d+/g, '')
+            r.contents
+              .toString()
+              .replace(/documentation \d+\.\d+\.\d+/g, '')
+              .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '')
           )
           .join('\n');
         expect(clean).toMatchSnapshot();
",0,
1056,0d5d5c82cde9dfd0c8c6576f10e9936fc1761319,c57170a8dd9f54d615a37f725e8089dc831a1df6,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"chore(vue): Refactor vue support, update yarn.lock

This also removes package-lock.json (we don't use it for tests or anything else)
",,0,
1056,0d5d5c82cde9dfd0c8c6576f10e9936fc1761319,c57170a8dd9f54d615a37f725e8089dc831a1df6,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"chore(vue): Refactor vue support, update yarn.lock

This also removes package-lock.json (we don't use it for tests or anything else)
",,0,
1058,64fdd1fd19e53befad656caf9b9ce9ff9501e7f0,64fdd1fd19e53befad656caf9b9ce9ff9501e7f0,__tests__/__snapshots__/test.js.snap,__tests__/test.js,fix #1057,"Added fresh snapshot
",,0,
1058,64fdd1fd19e53befad656caf9b9ce9ff9501e7f0,64fdd1fd19e53befad656caf9b9ce9ff9501e7f0,__tests__/__snapshots__/test.js.snap,__tests__/test.js,fix #1057,"Added fresh snapshot
",,0,
1061,bdc5a2784f5692321623c08fef0edc08adb7d91c,bdc5a2784f5692321623c08fef0edc08adb7d91c,__tests__/__snapshots__/test.js.snap,__tests__/test.js,"…cripts

Fixes #1060","fix(vue): Make vue parser tolerant of components that don't contain scripts

Fixes #1060
","diff --git a/__tests__/test.js b/__tests__/test.js
index 8246306..eaf9cc0 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -242,6 +242,16 @@ test('Vue file', async function() {
   expect(data).toMatchSnapshot();
 });
 
+test('Vue file', async function() {
+  await pify(chdir)(__dirname);
+  const data = await documentation.build(
+    '__tests__/fixture/vue-no-script.input.vue',
+    {}
+  );
+  normalize(data);
+  expect(data).toMatchSnapshot();
+});
+
 test('Use Source attribute only', async function() {
   await pify(chdir)(__dirname);
   const documentationSource = `
",0,
1061,bdc5a2784f5692321623c08fef0edc08adb7d91c,bdc5a2784f5692321623c08fef0edc08adb7d91c,__tests__/__snapshots__/test.js.snap,__tests__/test.js,"…cripts

Fixes #1060","fix(vue): Make vue parser tolerant of components that don't contain scripts

Fixes #1060
","diff --git a/__tests__/test.js b/__tests__/test.js
index 8246306..eaf9cc0 100644
--- a/__tests__/test.js
+++ b/__tests__/test.js
@@ -242,6 +242,16 @@ test('Vue file', async function() {
   expect(data).toMatchSnapshot();
 });
 
+test('Vue file', async function() {
+  await pify(chdir)(__dirname);
+  const data = await documentation.build(
+    '__tests__/fixture/vue-no-script.input.vue',
+    {}
+  );
+  normalize(data);
+  expect(data).toMatchSnapshot();
+});
+
 test('Use Source attribute only', async function() {
   await pify(chdir)(__dirname);
   const documentationSource = `
",0,
1077,ae789deac79d359819e1ace6f6dc967183674c81,ae789deac79d359819e1ace6f6dc967183674c81,__tests__/__snapshots__/bin-readme.js.snap,__tests__/bin-readme.js,,"fix: Don't detect non-markdown readme types, add tests
","diff --git a/__tests__/bin-readme.js b/__tests__/bin-readme.js
index 19c26cd..51f6441 100644
--- a/__tests__/bin-readme.js
+++ b/__tests__/bin-readme.js
@@ -22,6 +22,29 @@ function documentation(args, options, parseJSON) {
   });
 }
 
+describe('readme autodetection of different filenames', function() {
+  const fixtures = path.join(__dirname, 'fixture/readme');
+  const sourceFile = path.join(fixtures, 'index.js');
+  let d;
+  let removeCallback;
+
+  beforeEach(() => {
+    const dirEntry = tmp.dirSync({ unsafeCleanup: true });
+    d = dirEntry.name;
+    fs.copySync(
+      path.join(fixtures, 'README.input.md'),
+      path.join(d, 'readme.markdown')
+    );
+    fs.copySync(path.join(fixtures, 'index.js'), path.join(d, 'index.js'));
+  });
+
+  test('updates readme.markdown', async function() {
+    await documentation(['readme index.js -s API'], { cwd: d });
+    const outputPath = path.join(d, 'readme.markdown');
+    expect(fs.readFileSync(outputPath, 'utf-8')).toMatchSnapshot();
+  });
+});
+
 describe('readme command', function() {
   const fixtures = path.join(__dirname, 'fixture/readme');
   const sourceFile = path.join(fixtures, 'index.js');
",0,
1077,ae789deac79d359819e1ace6f6dc967183674c81,ae789deac79d359819e1ace6f6dc967183674c81,__tests__/__snapshots__/bin-readme.js.snap,__tests__/bin-readme.js,,"fix: Don't detect non-markdown readme types, add tests
","diff --git a/__tests__/bin-readme.js b/__tests__/bin-readme.js
index 19c26cd..51f6441 100644
--- a/__tests__/bin-readme.js
+++ b/__tests__/bin-readme.js
@@ -22,6 +22,29 @@ function documentation(args, options, parseJSON) {
   });
 }
 
+describe('readme autodetection of different filenames', function() {
+  const fixtures = path.join(__dirname, 'fixture/readme');
+  const sourceFile = path.join(fixtures, 'index.js');
+  let d;
+  let removeCallback;
+
+  beforeEach(() => {
+    const dirEntry = tmp.dirSync({ unsafeCleanup: true });
+    d = dirEntry.name;
+    fs.copySync(
+      path.join(fixtures, 'README.input.md'),
+      path.join(d, 'readme.markdown')
+    );
+    fs.copySync(path.join(fixtures, 'index.js'), path.join(d, 'index.js'));
+  });
+
+  test('updates readme.markdown', async function() {
+    await documentation(['readme index.js -s API'], { cwd: d });
+    const outputPath = path.join(d, 'readme.markdown');
+    expect(fs.readFileSync(outputPath, 'utf-8')).toMatchSnapshot();
+  });
+});
+
 describe('readme command', function() {
   const fixtures = path.join(__dirname, 'fixture/readme');
   const sourceFile = path.join(fixtures, 'index.js');
",0,
1114,c804df4e95c99a0ecf9663c7f74cb86430860d89,c804df4e95c99a0ecf9663c7f74cb86430860d89,__tests__/__snapshots__/test.js.snap,__tests__/test.js,update babel parser (goal is to support optional chaining in our codebase),"Update babel parser
",,0,
1114,c804df4e95c99a0ecf9663c7f74cb86430860d89,c804df4e95c99a0ecf9663c7f74cb86430860d89,__tests__/__snapshots__/test.js.snap,__tests__/test.js,update babel parser (goal is to support optional chaining in our codebase),"Update babel parser
",,0,
1134,ab3d1dc5ffa45cdb4d7ccbb4b89f031054e2ebe6,ab3d1dc5ffa45cdb4d7ccbb4b89f031054e2ebe6,__tests__/__snapshots__/test.js.snap,__tests__/test.js,This upgrades babel and related dependencies that have have since been bumped from rc to stables.,"chore: Update test fixture
",,0,
1134,ab3d1dc5ffa45cdb4d7ccbb4b89f031054e2ebe6,ab3d1dc5ffa45cdb4d7ccbb4b89f031054e2ebe6,__tests__/__snapshots__/test.js.snap,__tests__/test.js,This upgrades babel and related dependencies that have have since been bumped from rc to stables.,"chore: Update test fixture
",,0,
1158,87cacd6e851d707829e892d0f8c860ce98ac1966,87cacd6e851d707829e892d0f8c860ce98ac1966,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"test: Make tests resilient even for tagged semvers
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index d2a5514..a5155a7 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -159,6 +159,7 @@ describe('invalid arguments', function() {
   });
 });
 
+const semver = /\bv?(?:0|[1-9]\d*)\.(?:0|[1-9]\d*)\.(?:0|[1-9]\d*)(?:-[\da-z-]+(?:\.[\da-z-]+)*)?(?:\+[\da-z-]+(?:\.[\da-z-]+)*)?\b/gi;
 test('--config', async function() {
   const dst = path.join(os.tmpdir(), (Date.now() + Math.random()).toString());
   fs.mkdirSync(dst);
@@ -172,9 +173,8 @@ test('--config', async function() {
     false
   );
   let output = fs.readFileSync(outputIndex, 'utf8');
-  output = output
-    .replace(/documentation \d+\.\d+\.\d+/g, '')
-    .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '');
+  const version = require('../package.json').version;
+  output = output.replace(new RegExp(version.replace(/\./g, '\\.'), 'g'), '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1158,87cacd6e851d707829e892d0f8c860ce98ac1966,87cacd6e851d707829e892d0f8c860ce98ac1966,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"test: Make tests resilient even for tagged semvers
",,0,
1158,87cacd6e851d707829e892d0f8c860ce98ac1966,87cacd6e851d707829e892d0f8c860ce98ac1966,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"test: Make tests resilient even for tagged semvers
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index d2a5514..a5155a7 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -159,6 +159,7 @@ describe('invalid arguments', function() {
   });
 });
 
+const semver = /\bv?(?:0|[1-9]\d*)\.(?:0|[1-9]\d*)\.(?:0|[1-9]\d*)(?:-[\da-z-]+(?:\.[\da-z-]+)*)?(?:\+[\da-z-]+(?:\.[\da-z-]+)*)?\b/gi;
 test('--config', async function() {
   const dst = path.join(os.tmpdir(), (Date.now() + Math.random()).toString());
   fs.mkdirSync(dst);
@@ -172,9 +173,8 @@ test('--config', async function() {
     false
   );
   let output = fs.readFileSync(outputIndex, 'utf8');
-  output = output
-    .replace(/documentation \d+\.\d+\.\d+/g, '')
-    .replace(/<code>\d+\.\d+\.\d+<\/code>/g, '');
+  const version = require('../package.json').version;
+  output = output.replace(new RegExp(version.replace(/\./g, '\\.'), 'g'), '');
   expect(output).toMatchSnapshot();
 });
 
",0,
1158,87cacd6e851d707829e892d0f8c860ce98ac1966,87cacd6e851d707829e892d0f8c860ce98ac1966,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"test: Make tests resilient even for tagged semvers
",,0,
1161,9db088214b943d9ee3c112a91458cf01caec983c,c3f804ad7402cd9a98c8464b00c59668f88639bd,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"fix: add tests
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index a5155a7..83869e2 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -408,3 +408,15 @@ test('build large file without error (no deoptimized styling error)', function()
     fs.unlinkSync(dstFile);
   });
 });
+
+test('should use browser resolve', async function() {
+  const data = await documentation(['build fixture/resolve/index.js']);
+  expect(normalize(data)).toMatchSnapshot();
+});
+
+test('should use node resolve', async function() {
+  const data = await documentation([
+    'build fixture/resolve/index.js --resolve node'
+  ]);
+  expect(normalize(data)).toMatchSnapshot();
+});
",0,
1161,9db088214b943d9ee3c112a91458cf01caec983c,c3f804ad7402cd9a98c8464b00c59668f88639bd,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,,"fix: add tests
","diff --git a/__tests__/bin.js b/__tests__/bin.js
index a5155a7..83869e2 100644
--- a/__tests__/bin.js
+++ b/__tests__/bin.js
@@ -408,3 +408,15 @@ test('build large file without error (no deoptimized styling error)', function()
     fs.unlinkSync(dstFile);
   });
 });
+
+test('should use browser resolve', async function() {
+  const data = await documentation(['build fixture/resolve/index.js']);
+  expect(normalize(data)).toMatchSnapshot();
+});
+
+test('should use node resolve', async function() {
+  const data = await documentation([
+    'build fixture/resolve/index.js --resolve node'
+  ]);
+  expect(normalize(data)).toMatchSnapshot();
+});
",0,
1192,1cdac3ed5be44ae756965aa87f24766ff9b62032,ddde11c01da4f77c2ad7f65425e7b7bf2349c227,__tests__/__snapshots__/bin-readme.js.snap,__tests__/bin-readme.js,"Intended wins:

- Makes it easier for people to contribute to documentation.js
- Reduces dependency load

Cons:

- It's a big change
- We lose type safety","refactor: Remove flow, required babel step
",,0,
1192,1cdac3ed5be44ae756965aa87f24766ff9b62032,ddde11c01da4f77c2ad7f65425e7b7bf2349c227,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,"Intended wins:

- Makes it easier for people to contribute to documentation.js
- Reduces dependency load

Cons:

- It's a big change
- We lose type safety","refactor: Remove flow, required babel step
",,0,
1192,1cdac3ed5be44ae756965aa87f24766ff9b62032,ddde11c01da4f77c2ad7f65425e7b7bf2349c227,__tests__/__snapshots__/bin-readme.js.snap,__tests__/bin-readme.js,"Intended wins:

- Makes it easier for people to contribute to documentation.js
- Reduces dependency load

Cons:

- It's a big change
- We lose type safety","refactor: Remove flow, required babel step
",,0,
1192,1cdac3ed5be44ae756965aa87f24766ff9b62032,ddde11c01da4f77c2ad7f65425e7b7bf2349c227,__tests__/__snapshots__/bin.js.snap,__tests__/bin.js,"Intended wins:

- Makes it easier for people to contribute to documentation.js
- Reduces dependency load

Cons:

- It's a big change
- We lose type safety","refactor: Remove flow, required babel step
",,0,
1230,9b4e1c9253bf46898cb836509941e745717add67,9b4e1c9253bf46898cb836509941e745717add67,__tests__/lib/infer/__snapshots__/params.js.snap,__tests__/lib/infer/params.js,Fixes #1229,"Merge explicit and inferred param defaults
","diff --git a/__tests__/lib/infer/params.js b/__tests__/lib/infer/params.js
index 7647e8d..1a7e238 100644
--- a/__tests__/lib/infer/params.js
+++ b/__tests__/lib/infer/params.js
@@ -191,4 +191,15 @@ test('inferParams', function() {
       }
     `).params
   ).toEqual([]);
+
+  expect(
+    evaluate(
+      `
+    /** Test
+     * @param x
+    */
+    function f(x: number = 4) {}
+  `
+    ).params
+  ).toMatchSnapshot();
 });
",0,
1230,9b4e1c9253bf46898cb836509941e745717add67,9b4e1c9253bf46898cb836509941e745717add67,__tests__/lib/infer/__snapshots__/params.js.snap,__tests__/lib/infer/params.js,Fixes #1229,"Merge explicit and inferred param defaults
","diff --git a/__tests__/lib/infer/params.js b/__tests__/lib/infer/params.js
index 7647e8d..1a7e238 100644
--- a/__tests__/lib/infer/params.js
+++ b/__tests__/lib/infer/params.js
@@ -191,4 +191,15 @@ test('inferParams', function() {
       }
     `).params
   ).toEqual([]);
+
+  expect(
+    evaluate(
+      `
+    /** Test
+     * @param x
+    */
+    function f(x: number = 4) {}
+  `
+    ).params
+  ).toMatchSnapshot();
 });
",0,
1236,aa604ec3f4a8765d197e2860947af936f55b76c5,9e01b6b160b07055c8602c25a9f9eec57ce732e0,__tests__/__snapshots__/index.js.snap,__tests__/index.js,,"feat: TypeScript support & inference
",,0,
1236,aa604ec3f4a8765d197e2860947af936f55b76c5,9e01b6b160b07055c8602c25a9f9eec57ce732e0,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"feat: TypeScript support & inference
",,0,
1236,aa604ec3f4a8765d197e2860947af936f55b76c5,9e01b6b160b07055c8602c25a9f9eec57ce732e0,__tests__/lib/infer/__snapshots__/params.js.snap,__tests__/lib/infer/params.js,,"feat: TypeScript support & inference
","diff --git a/__tests__/lib/infer/params.js b/__tests__/lib/infer/params.js
index 1a7e238..ae3cf1c 100644
--- a/__tests__/lib/infer/params.js
+++ b/__tests__/lib/infer/params.js
@@ -202,4 +202,87 @@ test('inferParams', function() {
   `
     ).params
   ).toMatchSnapshot();
+
+  expect(
+    evaluate(`interface Foo { /** b */ b(v: string): void; }`).params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`type Foo = { /** b */ b(v: string): void }`).params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`interface Foo { /** b */ b(...v: string): void; }`).params
+  ).toMatchSnapshot();
+});
+
+test('inferParams (typescript)', function() {
+  expect(
+    evaluate(`/** Test */function f(a: string) {};`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`/** Test */function f([a: string, b, {c}]) {};`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(
+      `
+    /** Test
+     * @param x
+    */
+    function f(x: number = 4) {}
+  `
+  , 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(
+      `
+    /** Test */
+    function f(opts: { x: string }) {}
+  ` , 'test.ts'
+    ).params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(
+      `
+    /** Test */
+    function f(opts: { [foo]: string }) {}
+  ` , 'test.ts'
+    ).params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`/** Test */function f(...a: string) {};`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`/** Test */function f(a?: string) {};`).params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`/** Test */function f(a?: string) {};`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`/** Test */function f(a?: string);`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`abstract class Foo { /** */ abstract f(a?: string); }`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`interface Foo { /** b */ b(v: string): void; }`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`type Foo = { /** b */ b(v: string): void }`, 'test.ts').params
+  ).toMatchSnapshot();
+
+  expect(
+    evaluate(`interface Foo { /** b */ b(...v: string): void; }`, 'test.ts').params
+  ).toMatchSnapshot();
 });
",0,
1236,aa604ec3f4a8765d197e2860947af936f55b76c5,9e01b6b160b07055c8602c25a9f9eec57ce732e0,__tests__/__snapshots__/index.js.snap,__tests__/index.js,,"feat: TypeScript support & inference
",,0,
1236,aa604ec3f4a8765d197e2860947af936f55b76c5,9e01b6b160b07055c8602c25a9f9eec57ce732e0,__tests__/__snapshots__/test.js.snap,__tests__/test.js,,"feat: TypeScript support & inference
",,0,
