pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
23341,f217a972cbdb2a18359db7d6680114a9a9472c42,70a71636dfc2a2dd7ac2c6ad99a0cb5e03001ac7,test/unit-tests/__snapshots__/favicon-test.ts.snap,test/unit-tests/favicon-test.ts,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add test coverage
","diff --git a/test/unit-tests/favicon-test.ts b/test/unit-tests/favicon-test.ts
new file mode 100644
index 0000000..f8a8a72
--- /dev/null
+++ b/test/unit-tests/favicon-test.ts
@@ -0,0 +1,50 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import ""jest-canvas-mock"";
+
+import Favicon from ""../../src/favicon"";
+
+jest.useFakeTimers();
+
+describe(""Favicon"", () => {
+    beforeEach(() => {
+        const head = document.createElement(""head"");
+        window.document.documentElement.prepend(head);
+    });
+
+    it(""should create a link element if one doesn't yet exist"", () => {
+        const favicon = new Favicon();
+        expect(favicon).toBeTruthy();
+        const link = window.document.querySelector(""link"");
+        expect(link.rel).toContain(""icon"");
+    });
+
+    it(""should draw a badge if called with a non-zero value"", () => {
+        const favicon = new Favicon();
+        favicon.badge(123);
+        jest.runAllTimers();
+        expect(favicon[""context""].__getDrawCalls()).toMatchSnapshot();
+    });
+
+    it(""should clear a badge if called with a zero value"", () => {
+        const favicon = new Favicon();
+        favicon.badge(123);
+        jest.runAllTimers();
+        favicon.badge(0);
+        expect(favicon[""context""].__getDrawCalls()).toMatchSnapshot();
+    });
+});
",0,
23341,f217a972cbdb2a18359db7d6680114a9a9472c42,70a71636dfc2a2dd7ac2c6ad99a0cb5e03001ac7,test/unit-tests/async-components/structures/__snapshots__/ErrorView-test.tsx.snap,test/unit-tests/async-components/structures/ErrorView-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add test coverage
","diff --git a/test/unit-tests/async-components/structures/ErrorView-test.tsx b/test/unit-tests/async-components/structures/ErrorView-test.tsx
new file mode 100644
index 0000000..86898b0
--- /dev/null
+++ b/test/unit-tests/async-components/structures/ErrorView-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import ErrorView from ""../../../../src/async-components/structures/ErrorView"";
+
+describe(""<ErrorView />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<ErrorView title=""TITLE"" messages={[""MSG1"", ""MSG2""]} />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23341,f217a972cbdb2a18359db7d6680114a9a9472c42,70a71636dfc2a2dd7ac2c6ad99a0cb5e03001ac7,test/unit-tests/__snapshots__/favicon-test.ts.snap,test/unit-tests/favicon-test.ts,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add test coverage
","diff --git a/test/unit-tests/favicon-test.ts b/test/unit-tests/favicon-test.ts
new file mode 100644
index 0000000..f8a8a72
--- /dev/null
+++ b/test/unit-tests/favicon-test.ts
@@ -0,0 +1,50 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import ""jest-canvas-mock"";
+
+import Favicon from ""../../src/favicon"";
+
+jest.useFakeTimers();
+
+describe(""Favicon"", () => {
+    beforeEach(() => {
+        const head = document.createElement(""head"");
+        window.document.documentElement.prepend(head);
+    });
+
+    it(""should create a link element if one doesn't yet exist"", () => {
+        const favicon = new Favicon();
+        expect(favicon).toBeTruthy();
+        const link = window.document.querySelector(""link"");
+        expect(link.rel).toContain(""icon"");
+    });
+
+    it(""should draw a badge if called with a non-zero value"", () => {
+        const favicon = new Favicon();
+        favicon.badge(123);
+        jest.runAllTimers();
+        expect(favicon[""context""].__getDrawCalls()).toMatchSnapshot();
+    });
+
+    it(""should clear a badge if called with a zero value"", () => {
+        const favicon = new Favicon();
+        favicon.badge(123);
+        jest.runAllTimers();
+        favicon.badge(0);
+        expect(favicon[""context""].__getDrawCalls()).toMatchSnapshot();
+    });
+});
",0,
23341,f217a972cbdb2a18359db7d6680114a9a9472c42,70a71636dfc2a2dd7ac2c6ad99a0cb5e03001ac7,test/unit-tests/async-components/structures/__snapshots__/ErrorView-test.tsx.snap,test/unit-tests/async-components/structures/ErrorView-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add test coverage
","diff --git a/test/unit-tests/async-components/structures/ErrorView-test.tsx b/test/unit-tests/async-components/structures/ErrorView-test.tsx
new file mode 100644
index 0000000..86898b0
--- /dev/null
+++ b/test/unit-tests/async-components/structures/ErrorView-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import ErrorView from ""../../../../src/async-components/structures/ErrorView"";
+
+describe(""<ErrorView />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<ErrorView title=""TITLE"" messages={[""MSG1"", ""MSG2""]} />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthFooter-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx b/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx
new file mode 100644
index 0000000..22e13d3
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthFooter from ""../../../../../src/components/views/auth/VectorAuthFooter"";
+
+describe(""<VectorAuthFooter />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthFooter />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthHeaderLogo-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx b/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx
new file mode 100644
index 0000000..ff86d78
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthHeaderLogo from ""../../../../../src/components/views/auth/VectorAuthHeaderLogo"";
+
+describe(""<VectorAuthHeaderLogo />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthHeaderLogo />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthPage-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthPage-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx b/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx
new file mode 100644
index 0000000..72e4325
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthPage from ""../../../../../src/components/views/auth/VectorAuthPage"";
+
+describe(""<VectorAuthPage />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthPage />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthFooter-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx b/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx
new file mode 100644
index 0000000..22e13d3
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthFooter-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthFooter from ""../../../../../src/components/views/auth/VectorAuthFooter"";
+
+describe(""<VectorAuthFooter />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthFooter />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthHeaderLogo-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx b/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx
new file mode 100644
index 0000000..ff86d78
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthHeaderLogo-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthHeaderLogo from ""../../../../../src/components/views/auth/VectorAuthHeaderLogo"";
+
+describe(""<VectorAuthHeaderLogo />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthHeaderLogo />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
23380,42a6d017c828b6fee86a0376f725b1c3b0d1ad69,c6d996755a3508662966bc19c6bf565f7932a3d7,test/unit-tests/components/views/auth/__snapshots__/VectorAuthPage-test.tsx.snap,test/unit-tests/components/views/auth/VectorAuthPage-test.tsx,"

<!-- CHANGELOG_PREVIEW_START -->
---
This change is marked as an *internal change* (Task), so will not be included in the changelog.<!-- CHANGELOG_PREVIEW_END -->","Add snapshot tests for auth view component overrides
","diff --git a/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx b/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx
new file mode 100644
index 0000000..72e4325
--- /dev/null
+++ b/test/unit-tests/components/views/auth/VectorAuthPage-test.tsx
@@ -0,0 +1,27 @@
+/*
+Copyright 2022 The Matrix.org Foundation C.I.C.
+
+Licensed under the Apache License, Version 2.0 (the ""License"");
+you may not use this file except in compliance with the License.
+You may obtain a copy of the License at
+
+    http://www.apache.org/licenses/LICENSE-2.0
+
+Unless required by applicable law or agreed to in writing, software
+distributed under the License is distributed on an ""AS IS"" BASIS,
+WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+See the License for the specific language governing permissions and
+limitations under the License.
+*/
+
+import * as React from ""react"";
+import { render } from ""@testing-library/react"";
+
+import VectorAuthPage from ""../../../../../src/components/views/auth/VectorAuthPage"";
+
+describe(""<VectorAuthPage />"", () => {
+    it(""should match snapshot"", () => {
+        const { asFragment } = render(<VectorAuthPage />);
+        expect(asFragment()).toMatchSnapshot();
+    });
+});
",0,
