pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
841,8dbf6a7e0ea0b9f677e38d2acfb86b4b85084d16,70df9771ca440c47155f000eb33ffc3a734b4416,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

feat: support `file:` resolution

### Breaking Changes

No

### Additional Info

No","fix: resolution
","diff --git a/test/loader.test.js b/test/loader.test.js
index d1ead14..8fc1fa7 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -721,6 +721,29 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it(`should support resolving using the ""file"" schema (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId('import-file-scheme', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+        };
+        const compiler = getCompiler(testId, {
+          loader: { options },
+          resolve: {
+            alias: {
+              '/language': path.resolve('./test', syntax, `language.${syntax}`),
+            },
+          },
+        });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, options);
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       if (implementation === dartSass) {
         it(`should output an understandable error with a problem in ""@use"" (${implementationName}) (${syntax})`, async () => {
           const testId = getTestId('error-use', syntax);
",1,OID=OID,6,274,1,4,5,90
843,3cbb41138764686f755bd344a94cba7bd1ab33ca,5f94096d5d8942bcfda82f9d0cc77c3ba72e871b,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Refactor + remove unused places

### Breaking Changes

No

### Additional Info

No","refactor: code
","diff --git a/test/sassOptions-option.test.js b/test/sassOptions-option.test.js
index a090f9e..c66498d 100644
--- a/test/sassOptions-option.test.js
+++ b/test/sassOptions-option.test.js
@@ -170,7 +170,7 @@ describe('sassOptions option', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
-      it(`should work with the ""importer"" option (${implementationName}) (${syntax})`, async () => {
+      it(`should work with the ""importer"" as a single function option (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('custom-importer', syntax);
         const options = {
           implementation: getImplementationByName(implementationName),
",1,OID=OID,2,26,1,15,12,247
851,89900968ddfdf6ae3bc7b0e00e2909b43b1f1fcb,579c4eebb7ffec0da5bb365ba0c26307b022f2ec,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

ignore `main` and other files without `sass`/`scss`/`css` extensions

### Breaking Changes

Potential yes, if you really on invalid resolution

### Additional Info

No","fix: resolution logic
","diff --git a/test/loader.test.js b/test/loader.test.js
index 29a2886..10c364e 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -426,6 +426,25 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it(`should prefer ""mainFiles"" over ""mainFields"" when the field contains ""js"" file (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId(
+          'import-prefer-main-files-over-main-fields',
+          syntax
+        );
+        const options = {
+          implementation: getImplementationByName(implementationName),
+        };
+        const compiler = getCompiler(testId, { loader: { options } });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, options);
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       it(`should work and use the ""_index"" file in package (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('import-_index', syntax);
         const options = {
",0,,6,1258,1,4,12,8888
852,1fb746a485a4bc7c08c338566ecb5238a6dd4e95,1fb746a485a4bc7c08c338566ecb5238a6dd4e95,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Tests + remove `TODO`

### Breaking Changes

No

### Additional Info

No","test: resolution logic
","diff --git a/test/loader.test.js b/test/loader.test.js
index 10c364e..5af0847 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -445,6 +445,28 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it(`should prefer ""mainFiles"" with extension over without (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId(
+          'import-prefer-main-files-with-extension',
+          syntax
+        );
+        const options = {
+          implementation: getImplementationByName(implementationName),
+          sassOptions: {
+            includePaths: ['node_modules/foundation-sites/scss'],
+          },
+        };
+        const compiler = getCompiler(testId, { loader: { options } });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, options);
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       it(`should work and use the ""_index"" file in package (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('import-_index', syntax);
         const options = {
",0,,9,104,1,1,9,104
853,244789712e06c2b4c8df4805d70a028420dc8b6e,244789712e06c2b4c8df4805d70a028420dc8b6e,"…LoaderContext` property

<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

fixes #513

### Breaking Changes

No

### Additional Info

No","feat: pass the loader context to custom importers under `this.webpackLoaderContext` property
","diff --git a/test/sassOptions-option.test.js b/test/sassOptions-option.test.js
index 2bf511a..6b10874 100644
--- a/test/sassOptions-option.test.js
+++ b/test/sassOptions-option.test.js
@@ -208,6 +208,29 @@ describe('sassOptions option', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it(`should work with the ""importer"" as a single function option (${implementationName}) (${syntax})`, async () => {
+        expect.assertions(4);
+
+        const testId = getTestId('custom-importer', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+          sassOptions: {
+            importer(url, prev, done) {
+              expect(this.webpackLoaderContext).toBeDefined();
+
+              return done({ contents: '.a { color: red; }' });
+            },
+          },
+        };
+        const compiler = getCompiler(testId, { loader: { options } });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       it(`should work with the ""includePaths"" option (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('import-include-paths', syntax);
         const options = {
",0,,5,92,1,1,5,92
855,9b488d5d0983635fac7d751b7e476aebcee2bd5f,9b488d5d0983635fac7d751b7e476aebcee2bd5f,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

clarify some strange places

### Breaking Changes

No

### Additional Info

No","test: ambiguous imports
","diff --git a/test/loader.test.js b/test/loader.test.js
index 5af0847..03c67ec 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -810,6 +810,18 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it.only(`should throw an error on ambiguous import (only on ""dart-sass"") (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId('import-ambiguous', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+        };
+        const compiler = getCompiler(testId, { loader: { options } });
+        const stats = await compile(compiler);
+
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       if (implementation === dartSass) {
         it(`should output an understandable error with a problem in ""@use"" (${implementationName}) (${syntax})`, async () => {
           const testId = getTestId('error-use', syntax);
",0,,9,163005,1,1,9,163005
856,6f415e0dd4155b241a938c47c3ee1705eafa7ff4,06081768f9a36919cec6b6d2c2130cbe2dcd6936,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [x] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Latest commits before release

### Breaking Changes

Yes, will be in changelog. 

- prependData was renamed to `additionalData` (now you can prepend and append)
- fix resolutions logic and simplify this (more perf)

### Additional Info

TODO:

- [x] test `material-components-web`
- [x] handle `/` as absolute path and server-relative URLs","refactor: code before release
","diff --git a/test/loader.test.js b/test/loader.test.js
index 03c67ec..c414edf 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -810,7 +810,7 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
-      it.only(`should throw an error on ambiguous import (only on ""dart-sass"") (${implementationName}) (${syntax})`, async () => {
+      it(`should throw an error on ambiguous import (only on ""dart-sass"") (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('import-ambiguous', syntax);
         const options = {
           implementation: getImplementationByName(implementationName),

diff --git a/test/sassOptions-option.test.js b/test/sassOptions-option.test.js
index 6b10874..8325fa2 100644
--- a/test/sassOptions-option.test.js
+++ b/test/sassOptions-option.test.js
@@ -415,6 +415,52 @@ describe('sassOptions option', () => {
 
         dartSassSpy.mockRestore();
       });
+
+      it(`should respect the ""outputStyle"" option (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId('language', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+          sassOptions: {
+            outputStyle: 'expanded',
+          },
+        };
+        const compiler = getCompiler(testId, {
+          mode: 'production',
+          loader: { options },
+        });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, options);
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
+      it(`should use ""compressed"" output style in the ""production"" mode (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId('language', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+        };
+        const compiler = getCompiler(testId, {
+          mode: 'production',
+          loader: { options },
+        });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, {
+          ...options,
+          sassOptions: {
+            outputStyle: 'compressed',
+          },
+        });
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
     });
   });
 });
",0,,13,164133,2,30,38,188966
866,a29ffb104a8c5015f33f684c7cfe357eed80f262,a29ffb104a8c5015f33f684c7cfe357eed80f262,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

fixes #863

### Breaking Changes

No

### Additional Info

Inside the comment in the source code","fix: resolution algorithm for `node-sass`
","diff --git a/test/loader.test.js b/test/loader.test.js
index 6ac7df8..859ba7b 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -884,6 +884,22 @@ describe('loader', () => {
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
 
+      it(`should prefer relative import (${implementationName}) (${syntax})`, async () => {
+        const testId = getTestId('package-with-same-import', syntax);
+        const options = {
+          implementation: getImplementationByName(implementationName),
+        };
+        const compiler = getCompiler(testId, { loader: { options } });
+        const stats = await compile(compiler);
+        const codeFromBundle = getCodeFromBundle(stats, compiler);
+        const codeFromSass = getCodeFromSass(testId, options);
+
+        expect(codeFromBundle.css).toBe(codeFromSass.css);
+        expect(codeFromBundle.css).toMatchSnapshot('css');
+        expect(getWarnings(stats)).toMatchSnapshot('warnings');
+        expect(getErrors(stats)).toMatchSnapshot('errors');
+      });
+
       if (implementation === dartSass) {
         it(`should output an understandable error with a problem in ""@use"" (${implementationName}) (${syntax})`, async () => {
           const testId = getTestId('error-use', syntax);
",0,,12,120,1,1,12,120
875,2cabf085d5717c4e14e65ca932768faddad4e12d,2cabf085d5717c4e14e65ca932768faddad4e12d,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

fixes #872

### Breaking Changes

No

### Additional Info

Ref: https://github.com/vercel/next.js/issues/15753","fix: resolution algorithm
","diff --git a/test/loader.test.js b/test/loader.test.js
index 859ba7b..e2e9094 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1346,6 +1346,22 @@ describe('loader', () => {
           expect(getErrors(stats)).toMatchSnapshot('errors');
         });
 
+        it(`should work with the ""material-components-web"" package without the ""includePaths"" option (${implementationName}) (${syntax})`, async () => {
+          const testId = getTestId('import-material-components-web', syntax);
+          const options = {
+            implementation: getImplementationByName(implementationName),
+          };
+          const compiler = getCompiler(testId, { loader: { options } });
+          const stats = await compile(compiler);
+          const codeFromBundle = getCodeFromBundle(stats, compiler);
+          const codeFromSass = getCodeFromSass(testId, options);
+
+          expect(codeFromBundle.css).toBe(codeFromSass.css);
+          expect(codeFromBundle.css).toMatchSnapshot('css');
+          expect(getWarnings(stats)).toMatchSnapshot('warnings');
+          expect(getErrors(stats)).toMatchSnapshot('errors');
+        });
+
         it(`should work with the ""material-components-web"" package (${implementationName}) (${syntax})`, async () => {
           const testId = getTestId('use-material-components-web', syntax);
           const options = {
@@ -1364,6 +1380,22 @@ describe('loader', () => {
           expect(getWarnings(stats)).toMatchSnapshot('warnings');
           expect(getErrors(stats)).toMatchSnapshot('errors');
         });
+
+        it(`should work with the ""material-components-web"" package without the ""includePaths"" option (${implementationName}) (${syntax})`, async () => {
+          const testId = getTestId('use-material-components-web', syntax);
+          const options = {
+            implementation: getImplementationByName(implementationName),
+          };
+          const compiler = getCompiler(testId, { loader: { options } });
+          const stats = await compile(compiler);
+          const codeFromBundle = getCodeFromBundle(stats, compiler);
+          const codeFromSass = getCodeFromSass(testId, options);
+
+          expect(codeFromBundle.css).toBe(codeFromSass.css);
+          expect(codeFromBundle.css).toMatchSnapshot('css');
+          expect(getWarnings(stats)).toMatchSnapshot('warnings');
+          expect(getErrors(stats)).toMatchSnapshot('errors');
+        });
       }
     });
   });
",0,,6,1597,1,1,6,1597
881,69040f109f29f84388350a66b745131b6a192d96,8ad0c507567687be02b4c8bb9ea24032d73069b1,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

test source maps

### Breaking Changes

No

### Additional Info

No","test: source maps
","diff --git a/test/sourceMap-options.test.js b/test/sourceMap-options.test.js
index 2b77c4a..f5373c2 100644
--- a/test/sourceMap-options.test.js
+++ b/test/sourceMap-options.test.js
@@ -28,7 +28,7 @@ describe('sourceMap option', () => {
     syntaxStyles.forEach((syntax) => {
       const [implementationName] = implementation.info.split('\t');
 
-      it(`should generate source maps when value is not specified and the ""devtool"" option has ""source-map"" value (${implementationName}) (${syntax})`, async () => {
+      it.only(`should generate source maps when value is not specified and the ""devtool"" option has ""source-map"" value (${implementationName}) (${syntax})`, async () => {
         const testId = getTestId('language', syntax);
         const options = {
           implementation: getImplementationByName(implementationName),
@@ -40,8 +40,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeDefined();
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
         expect(getWarnings(stats)).toMatchSnapshot('warnings');
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
@@ -58,8 +58,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeUndefined();
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
         expect(getWarnings(stats)).toMatchSnapshot('warnings');
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
@@ -77,8 +77,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeUndefined();
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
         expect(getWarnings(stats)).toMatchSnapshot('warnings');
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
@@ -96,8 +96,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeUndefined();
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
         expect(getWarnings(stats)).toMatchSnapshot('warnings');
         expect(getErrors(stats)).toMatchSnapshot('errors');
       });
@@ -117,12 +117,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeDefined();
-
-        expect(sourceMap.file).toBeUndefined();
-        expect(sourceMap.sourceRoot).toBeDefined();
-        expect(sourceMap.sources).toHaveLength(2);
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
 
         sourceMap.sources.forEach((sourcePath) => {
           expect(
@@ -149,12 +145,8 @@ describe('sourceMap option', () => {
         const stats = await compile(compiler);
         const { css, sourceMap } = getCodeFromBundle(stats, compiler);
 
-        expect(css).toBeDefined();
-        expect(sourceMap).toBeDefined();
-
-        expect(sourceMap.file).toBeUndefined();
-        expect(sourceMap.sourceRoot).toBeDefined();
-        expect(sourceMap.sources).toHaveLength(2);
+        expect(css).toMatchSnapshot('css');
+        expect(sourceMap).toMatchSnapshot('source map');
 
         sourceMap.sources.forEach((sourcePath) => {
           expect(
",0,,2,534,1,3,2,1949
