pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
100,e3943fd0ba3e1da7f3546fdac1911d0278ffe4dd,01fa97c2fa0214a8940b0708ee4c63aded387a4d,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Refactor
Fixes #18
Fixes #19
Fixes #39
Fixes #56
Fixes #59 
Fixes #85
Fixes #91 

### Breaking Changes

Yes

### Additional Info

No
","refactor: loader instead pitching
","diff --git a/test/loader.test.js b/test/loader.test.js
index 65c2d15..6213773 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -72,4 +72,20 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
+
+  it('should work from esModule export', async () => {
+    const compiler = getCompiler('simple-module-single-export.js', {
+      expose: 'myGlobal',
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./global-module-default-export.js-exposed', stats)
+    ).toMatchSnapshot('module');
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
 });
",0,,5,132,1,9,21,4685
101,6fed3f9f5131b26c4666dcf1f903b1aa16f18b8c,9bffd5d22cfdb5296455eca7018b446e8c613a48,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

add interpolate names

### Breaking Changes

No

### Additional Info

No

","refactor: add interpolate
","diff --git a/test/loader.test.js b/test/loader.test.js
index 82e0672..7750f8b 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -351,4 +351,20 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
+
+  it('should work interpolate', async () => {
+    const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      exposes: ['[name]', 'myGlobal.[name]'],
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./global-commonjs2-single-export.js-exposed', stats)
+    ).toMatchSnapshot('module');
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
 });
",0,,4,61,1,2,5,63
102,701b0ddbfae2f871c99754fdd2b7d4dafe030c2d,df19556571050ea06ad4fdbe64563d7644c3c313,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

refactor

### Breaking Changes

No

### Additional Info

No
","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index 7750f8b..b01510e 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -138,7 +138,7 @@ describe('loader', () => {
         'myGlobal_alias.globalObject6|globalObject6',
         'myGlobal_alias.globalObject7|globalObject7',
         'myGlobal_alias.default default',
-        'myGlobal',
+        '    myGlobal   ',
         'myOtherGlobal',
       ],
     });
",0,,3,10,1,2,4,52
103,6cf937e3495bc576aec9051fd57948e793f40d87,910dc989962f32b29700ef41875f92da16fd5641,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

improve code and docs

### Breaking Changes

Yes, will be in changelog

### Additional Info

No","refactor: code and docs
","diff --git a/test/loader.test.js b/test/loader.test.js
index b01510e..8528f69 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,6 +1,6 @@
 import path from 'path';
 
-import webpack from 'webpack';
+// import webpack from 'webpack';
 
 import {
   compile,
@@ -30,6 +30,22 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work with ""moduleLocalName""', async () => {
+    const compiler = getCompiler('simple-commonjs2-multiple-export.js', {
+      exposes: 'moduleMethod myGlobal',
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./global-commonjs2-multiple-exports.js-exposed', stats)
+    ).toMatchSnapshot('module');
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work with multiple exposes', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
       exposes: ['myGlobal', 'myOtherGlobal'],
@@ -158,7 +174,7 @@ describe('loader', () => {
     const compiler = getCompiler('simple-module-named-export.js', {
       exposes: {
         globalName: ['myGlobal.alias', 'globalObject6'],
-        localName: 'globalObject6',
+        moduleLocalName: 'globalObject6',
       },
     });
     const stats = await compile(compiler);
@@ -178,11 +194,11 @@ describe('loader', () => {
       exposes: [
         {
           globalName: ['myGlobal_alias', 'globalObject6'],
-          localName: 'globalObject6',
+          moduleLocalName: 'globalObject6',
         },
         {
           globalName: ['myGlobal_alias', 'globalObject7'],
-          localName: 'globalObject7',
+          moduleLocalName: 'globalObject7',
         },
         'myGlobal_alias.default default',
       ],
@@ -284,50 +300,15 @@ describe('loader', () => {
       }
     );
     const stats = await compile(compiler);
-
-    const webpack4Filename = 'main-9486a32a.bundle.js';
-    const webpack5Filename = 'main-22966fe7.bundle.js';
-    const bundleName =
-      webpack.version[0] === '5' ? webpack5Filename : webpack4Filename;
-
-    expect(
-      getModuleSource('./simple-commonjs2-single-export.js-exposed', stats)
-    ).toMatchSnapshot('module');
-    expect(Object.keys(stats.compilation.assets)[0]).toBe(bundleName);
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-  });
-
-  it('should work multiple name from one package', async () => {
-    const compiler = getCompiler(
-      'simple-commonjs2-single-export.js',
-      {
-        exposes: ['myOtherGlobal', 'myGlobal'],
-      },
-      {
-        output: {
-          path: path.resolve(__dirname, './outputs'),
-          filename: '[name]-[contenthash:8].bundle.js',
-          chunkFilename: '[name]-[contenthash:8].chunk.js',
-          library: 'ExposeLoader',
-          libraryTarget: 'var',
-        },
-      }
+    const module = stats.compilation.modules.find((m) =>
+      m.id.endsWith('./simple-commonjs2-single-export.js-exposed')
     );
-    const stats = await compile(compiler);
-
-    const webpack4Filename = 'main-c6c3f480.bundle.js';
-    const webpack5Filename = 'main-e4eb4813.bundle.js';
-    const bundleName =
-      webpack.version[0] === '5' ? webpack5Filename : webpack4Filename;
 
+    // const bundleName = webpack.version[0] === '5' ? webpack5Filename : webpack4Filename;
     expect(
-      getModuleSource('./global-commonjs2-single-export.js-exposed', stats)
+      getModuleSource('./simple-commonjs2-single-export.js-exposed', stats)
     ).toMatchSnapshot('module');
-    expect(Object.keys(stats.compilation.assets)[0]).toBe(bundleName);
-    expect(execute(readAsset(bundleName, compiler, stats))).toMatchSnapshot(
-      'result'
-    );
+    expect(module.hash).toBe('56f391f6477c50803096579fc5da431e');
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 8090065..ba14a61 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -9,14 +9,16 @@ describe('validate options', () => {
         },
         {
           globalName: 'myGlobal_alias',
-          localName: 'globalObject6',
+          moduleLocalName: 'globalObject6',
         },
         {
           globalName: ['myGlobal_alias', 'globalObject6'],
-          localName: 'globalObject6',
+          moduleLocalName: 'globalObject6',
         },
         'globalObject1',
+        'globalObject1 myMethodName',
         'globalObject1.foo',
+        'globalObject1.foo myMethodName',
         ['globalObject1'],
         ['globalObject1.foo'],
         ['globalObject1.foo', 'globalObject1.bar'],
",0,,8,438,2,2,8,438
104,7eb8e96aa5a1eb367a0ebe0a351291297b6b9f60,026c3da5ae6fc8bdf40eccf4f72c759120fa767a,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

refactor es modules export

### Breaking Changes

No

### Additional Info

No

","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index ded0c8f..e85d28a 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -16,6 +16,7 @@ import {
 describe('loader', () => {
   it('should work', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      type: 'commonjs',
       exposes: 'myGlobal',
     });
     const stats = await compile(compiler);
@@ -32,6 +33,7 @@ describe('loader', () => {
 
   it('should work with ""moduleLocalName""', async () => {
     const compiler = getCompiler('simple-commonjs2-multiple-export.js', {
+      type: 'commonjs',
       exposes: 'moduleMethod myGlobal',
     });
     const stats = await compile(compiler);
@@ -48,6 +50,7 @@ describe('loader', () => {
 
   it('should work with multiple exposes', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      type: 'commonjs',
       exposes: ['myGlobal', 'myOtherGlobal'],
     });
     const stats = await compile(compiler);
@@ -64,6 +67,7 @@ describe('loader', () => {
 
   it('should work multiple commonjs exports', async () => {
     const compiler = getCompiler('simple-commonjs2-multiple-export.js', {
+      type: 'commonjs',
       exposes: ['myOtherGlobal', 'myGlobal.globalObject2 globalObject2'],
     });
     const stats = await compile(compiler);
@@ -80,6 +84,7 @@ describe('loader', () => {
 
   it('should work for a nested property for a global object', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      type: 'commonjs',
       exposes: 'myGlobal.nested',
     });
     const stats = await compile(compiler);
@@ -96,6 +101,7 @@ describe('loader', () => {
 
   it('should work for nested properties for a global object', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      type: 'commonjs',
       exposes: ['myGlobal.nested', 'myOtherGlobal.nested foo'],
     });
     const stats = await compile(compiler);
@@ -310,7 +316,7 @@ describe('loader', () => {
     ).toMatchSnapshot('module');
     expect(module.hash).toBe(
       isWebpack5
-        ? '50d7da20999a39862d3808619816b5b3'
+        ? 'c440ca2d9d70459fecf24e8109d10515'
         : '56f391f6477c50803096579fc5da431e'
     );
     expect(getErrors(stats)).toMatchSnapshot('errors');
@@ -339,6 +345,7 @@ describe('loader', () => {
 
   it('should work interpolate', async () => {
     const compiler = getCompiler('simple-commonjs2-single-export.js', {
+      type: 'commonjs',
       exposes: ['[name]', 'myGlobal.[name]'],
     });
     const stats = await compile(compiler);
",0,,4,119,1,2,4,121
105,a68bd2ba18fec041f8fa774209de648d5b7ca56c,f985880d593309547f08012218df3c1dbf2bb593,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

refactor rename _module.userRequest

### Breaking Changes

No

### Additional Info

No
","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index 8952f0b..eec92e4 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -259,7 +259,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./custom.js?foo=bar-exposed', stats)
+      getModuleSource('./custom.js-exposed?foo=bar', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
@@ -269,6 +269,39 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work inline 1 without extension', async () => {
+    const compiler = getCompiler(
+      'inline-import-1.js',
+      {},
+      {
+        devtool: 'source-map',
+        module: {
+          rules: [
+            {
+              test: /.*custom/i,
+              use: [
+                {
+                  loader: 'babel-loader',
+                },
+              ],
+            },
+          ],
+        },
+      }
+    );
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./custom-exposed?foo=bar', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(readAsset('main.bundle.js.map', compiler, stats)).toBeDefined();
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work inline 2', async () => {
     const compiler = getCompiler(
       'inline-import-2.js',
",0,,6,95,1,2,6,136
108,511014f61296d90858b64a30f171eae755499181,1eba01689b3fa4006a6d28bd7ae18bb2ac167819,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

refactor

### Breaking Changes

No

### Additional Info

No","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index b55475a..49b4f6b 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -344,7 +344,7 @@ describe('loader', () => {
     expect(module.hash).toBe(
       isWebpack5
         ? 'c440ca2d9d70459fecf24e8109d10515'
-        : 'a580dd85c96d18d417b3be8979faeee5'
+        : '40beb9b0cb6f070cad500e1179e00e12'
     );
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
@@ -393,7 +393,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./global-module-commonjs.js-exposed', stats)
+      getModuleSource('./global-module-commonjs-exposed.js', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
@@ -409,7 +409,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./global-module-es.js-exposed', stats)
+      getModuleSource('./global-module-es-exposed.js', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
@@ -425,7 +425,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./global-module-commonjs.js-exposed', stats)
+      getModuleSource('./global-module-commonjs-exposed.js', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
@@ -441,7 +441,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./global-module-es.js-exposed', stats)
+      getModuleSource('./global-module-es-exposed.js', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
@@ -457,7 +457,7 @@ describe('loader', () => {
     const stats = await compile(compiler);
 
     expect(
-      getModuleSource('./global-module-es-without-default.js-exposed', stats)
+      getModuleSource('./global-module-es-without-default-exposed.js', stats)
     ).toMatchSnapshot('module');
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
",0,,4,286,1,3,15,486
109,c949f542dc111c82750f68ed576628f73f2002c4,d9ece4d62de47350697e7630865bcd7836544981,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

fixes #89

### Breaking Changes

No

### Additional Info

No","test: side effects
","diff --git a/test/loader.test.js b/test/loader.test.js
index 9210812..a328108 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,3 +1,6 @@
+/**
+ * @jest-environment node
+ */
 import path from 'path';
 
 import webpack from 'webpack';
@@ -465,4 +468,26 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
+
+  it.only('should work with side-effects free modules', async () => {
+    const compiler = getCompiler(
+      'side-effects.js',
+      {
+        exposes: 'myGlobal',
+      },
+      {
+        mode: 'production',
+      }
+    );
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('rx.all-exposed.js', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
 });
",0,,7,893,1,4,7,157
110,501333230c048a11fc76254ebd8f277278e62d15,6444bfd2ae70f2a9c8488c0a7123d516ef7464a3,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [x] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

do not override existing values in the global object

### Breaking Changes

Yes

### Additional Info

No","refactor:
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index ba14a61..c6e9e76 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -17,6 +17,7 @@ describe('validate options', () => {
         },
         'globalObject1',
         'globalObject1 myMethodName',
+        'globalObject1 myMethodName true',
         'globalObject1.foo',
         'globalObject1.foo myMethodName',
         ['globalObject1'],
",0,,7,94,1,5,12,804
119,7049505ec0637fd35a1fa53be69b910164ef0017,ea4ccc55b83a46f59cfdd12bd9aa3b002d7d16ac,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

The remaining request could contain inline loaders with what looks like a reference to a loader defined in the webpack config: 
`""{loader_name}?{options}?ref--{loader_ref}!{imported-file}""`

`""C:\{project_path}\node_modules\babel-loader\lib\index.js??ref--5-oneOf-3!C:\{project_path}\node_modules\jquery\dist\jquery.js""`

`contextify` would split the string on `""?""` with a limit of 2, and therefore the reference is stripped.

Without the reference the result was that importing ""jquery"" both with expose-loader and without would result in two separate instances of jQuery. This made loading jQuery plugins on the exposed instance difficult, and also resulted in jQuery being included in the output bundle twice.

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

None that I can think of.

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info

This likely also fixes #114.","fix: don't strip loader ""ref"" from import string
","diff --git a/test/loader.test.js b/test/loader.test.js
index a3a44c9..d894a58 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -268,6 +268,48 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work inline 1 with config loader options', async () => {
+    const compiler = getCompiler(
+      'inline-import-equality.js',
+      {},
+      {
+        devtool: 'source-map',
+        module: {
+          rules: [
+            {
+              test: /.*global-commonjs2-single-export\.js/i,
+              use: [
+                {
+                  loader: 'babel-loader',
+                  options: {
+                    presets: ['@babel/preset-env'],
+                  },
+                },
+              ],
+            },
+          ],
+        },
+      }
+    );
+    const stats = await compile(compiler);
+
+    const isWebpack5 = webpack.version[0] === '5';
+    const refRegexp = isWebpack5 ? /\?ruleSet\[\d+\].*!/ : /\?ref--[0-9-]+!/;
+
+    expect(
+      getModuleSource(
+        './global-commonjs2-single-export-exposed.js',
+        stats
+      ).replace(refRegexp, '?{{config-reference}}!')
+    ).toMatchSnapshot('module');
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(readAsset('main.bundle.js.map', compiler, stats)).toBeDefined();
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work inline 1 without extension', async () => {
     const compiler = getCompiler(
       'inline-import-1.js',
",0,,4,82,1,2,4,84
