pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,b382546d4b3d56231017f48c2e37a0f7022a284f,specs/__snapshots__/imageSpec.js.snap,specs/imageSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Add images tests
","diff --git a/specs/imageSpec.js b/specs/imageSpec.js
new file mode 100644
index 0000000..793d5ab
--- /dev/null
+++ b/specs/imageSpec.js
@@ -0,0 +1,28 @@
+import React from 'react';
+import render from './testRenderer';
+
+describe('Image', () => {
+  let output;
+
+  test('Should render image with default styles', () => {
+    output = render(
+      <img src=""http://lorempixel.com/400/200/sports/5/"" width=""400"" height=""200"" />
+    );
+    expect(output).toMatchSnapshot();
+  });
+
+  test('Should render image with custom styles', () => {
+    output = render(
+      <img 
+        src=""http://lorempixel.com/400/200/sports/5/"" 
+        width=""400"" 
+        height=""200""
+        style={{
+          width: '800px',
+          height: '400px',
+          border: '2px solid red'
+        }} />
+    );
+    expect(output).toMatchSnapshot();
+  });
+});
",0,
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/headingSpec.js.snap,specs/headingSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/linkSpec.js.snap,specs/linkSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/listSpec.js.snap,specs/listSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/paragraphSpec.js.snap,specs/paragraphSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,b382546d4b3d56231017f48c2e37a0f7022a284f,specs/__snapshots__/imageSpec.js.snap,specs/imageSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Add images tests
","diff --git a/specs/imageSpec.js b/specs/imageSpec.js
new file mode 100644
index 0000000..793d5ab
--- /dev/null
+++ b/specs/imageSpec.js
@@ -0,0 +1,28 @@
+import React from 'react';
+import render from './testRenderer';
+
+describe('Image', () => {
+  let output;
+
+  test('Should render image with default styles', () => {
+    output = render(
+      <img src=""http://lorempixel.com/400/200/sports/5/"" width=""400"" height=""200"" />
+    );
+    expect(output).toMatchSnapshot();
+  });
+
+  test('Should render image with custom styles', () => {
+    output = render(
+      <img 
+        src=""http://lorempixel.com/400/200/sports/5/"" 
+        width=""400"" 
+        height=""200""
+        style={{
+          width: '800px',
+          height: '400px',
+          border: '2px solid red'
+        }} />
+    );
+    expect(output).toMatchSnapshot();
+  });
+});
",0,
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/headingSpec.js.snap,specs/headingSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/linkSpec.js.snap,specs/linkSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/listSpec.js.snap,specs/listSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
18,b85378b168488fbe3f2e83b6c43b36eb8be8ed06,1f65c3bad49cec675b430bdf36a4e770a419e963,specs/__snapshots__/paragraphSpec.js.snap,specs/paragraphSpec.js,"Added the transformations needed to render `<img />` in the `console`.

Since `<img />` tag doesn't have `children`, I opted to avoid the behaviour related to `children` (single or `Array`) but please let me know if you think is the right place to put the logic.

closes #5 ","Update snapshots/tests
",,1,OID=OID
