pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
105,23211812b3782d93b3ce03152a94b86fb7d20338,abbc5601a3fc665eddf7c30ae0e7e6ceb742be49,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"This PR is an attempt to fix #101 and improve the monorepo support of qnm.

After discussing this with @mikestopcontinues and with @ronami we figured out that the monorepo support for qnm is not good enough and we tried to think on ways to improve it.

These are the changes introduced in the PR:

1. in case of a monorepo, qnm used to print all of the packages with their dependencies. It was duplicated, since the monorepo packages are linked to the root `node_modules` which made them appear twice.
2. There wasn't any sign that the modules are symlinks and that they are part of the monorepo.

<img width=""352"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175167356-0fbecaf3-16ec-4507-932e-a8d7b8d64b3b.png"">

The same command after fixing the issues above.

<img width=""1266"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175167820-e4caa369-b211-4027-adc3-cfa32654bfe3.png"">

The bold packages on the bottom was removed in favor of a symlink marks that explains that those are part of the monorepo.

3. When running the command from within a package in a monorepo, qnm treated it as a workspace of its own. The full discussion is in issue #101. This was solved by trying to find the monorepo root and run qnm on it, showing that we're within a package when applicable.

When there are no modules at all.
<img width=""757"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175168382-9cf2e15e-97aa-45d3-920f-c6c9563ee230.png"">

When there are modules within the package.
<img width=""1268"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175168576-f013efa0-5f3e-465a-9150-9ddb0cb1a6d8.png"">

","better monorepo support
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index bb5c088..3c66604 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -83,9 +83,9 @@ describe('CLI', () => {
       expect(output).toMatchSnapshot();
     });
 
-    it('should work in monorepo and print subpackages modules', () => {
+    it('should work in monorepo', () => {
       const cwd = resolveFixture('monorepo');
-      const output = runCommand('package-foo', { cwd });
+      const output = runCommand('test', { cwd });
 
       expect(output).toMatchSnapshot();
     });
@@ -163,21 +163,5 @@ describe('CLI', () => {
 
       expect(output).toMatchSnapshot();
     });
-
-    it('should list a monorepo', () => {
-      const cwd = resolveFixture('monorepo');
-      const output = runCommand('list', { cwd });
-
-      expect(output).toMatchSnapshot();
-    });
-  });
-
-  describe('qnm match', () => {
-    it('should match in monorepo and print subpackages modules', () => {
-      const cwd = resolveFixture('monorepo');
-      const output = runCommand('match packa', { cwd });
-
-      expect(output).toMatchSnapshot();
-    });
   });
 });
",0,
105,23211812b3782d93b3ce03152a94b86fb7d20338,abbc5601a3fc665eddf7c30ae0e7e6ceb742be49,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"This PR is an attempt to fix #101 and improve the monorepo support of qnm.

After discussing this with @mikestopcontinues and with @ronami we figured out that the monorepo support for qnm is not good enough and we tried to think on ways to improve it.

These are the changes introduced in the PR:

1. in case of a monorepo, qnm used to print all of the packages with their dependencies. It was duplicated, since the monorepo packages are linked to the root `node_modules` which made them appear twice.
2. There wasn't any sign that the modules are symlinks and that they are part of the monorepo.

<img width=""352"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175167356-0fbecaf3-16ec-4507-932e-a8d7b8d64b3b.png"">

The same command after fixing the issues above.

<img width=""1266"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175167820-e4caa369-b211-4027-adc3-cfa32654bfe3.png"">

The bold packages on the bottom was removed in favor of a symlink marks that explains that those are part of the monorepo.

3. When running the command from within a package in a monorepo, qnm treated it as a workspace of its own. The full discussion is in issue #101. This was solved by trying to find the monorepo root and run qnm on it, showing that we're within a package when applicable.

When there are no modules at all.
<img width=""757"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175168382-9cf2e15e-97aa-45d3-920f-c6c9563ee230.png"">

When there are modules within the package.
<img width=""1268"" alt=""image"" src=""https://user-images.githubusercontent.com/11733036/175168576-f013efa0-5f3e-465a-9150-9ddb0cb1a6d8.png"">

","better monorepo support
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index bb5c088..3c66604 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -83,9 +83,9 @@ describe('CLI', () => {
       expect(output).toMatchSnapshot();
     });
 
-    it('should work in monorepo and print subpackages modules', () => {
+    it('should work in monorepo', () => {
       const cwd = resolveFixture('monorepo');
-      const output = runCommand('package-foo', { cwd });
+      const output = runCommand('test', { cwd });
 
       expect(output).toMatchSnapshot();
     });
@@ -163,21 +163,5 @@ describe('CLI', () => {
 
       expect(output).toMatchSnapshot();
     });
-
-    it('should list a monorepo', () => {
-      const cwd = resolveFixture('monorepo');
-      const output = runCommand('list', { cwd });
-
-      expect(output).toMatchSnapshot();
-    });
-  });
-
-  describe('qnm match', () => {
-    it('should match in monorepo and print subpackages modules', () => {
-      const cwd = resolveFixture('monorepo');
-      const output = runCommand('match packa', { cwd });
-
-      expect(output).toMatchSnapshot();
-    });
   });
 });
",0,
109,c5ae07756be8745bec69ad5cd0b26f37bbcd6ef1,dc49e90643380a2c59545eec80f63bde1c25b563,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"Fixes #101 

This also improves error handling for cases remote registry is not approachable or a module doesn't exist on the remote registry.","support running within an empty package in a monorepo
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index b8c7b05..60a439c 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -163,5 +163,24 @@ describe('CLI', () => {
 
       expect(output).toMatchSnapshot();
     });
+
+    it('should support an empty module in a monorepo', () => {
+      const cwd = resolveFixture('monorepo/packages/package-no-modules');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should throw correctly when module is not found in a monorepo', () => {
+      const cwd = resolveFixture('monorepo/packages/package-no-modules');
+
+      try {
+        runCommand('does-not-exists', { cwd, stdio: 'pipe' });
+      } catch (error: any) {
+        expect(error.message).toMatch(
+          'Could not find any module by the name: ""does-not-exists""'
+        );
+      }
+    });
   });
 });
",0,
109,c5ae07756be8745bec69ad5cd0b26f37bbcd6ef1,dc49e90643380a2c59545eec80f63bde1c25b563,src/__tests__/__snapshots__/workspace.spec.ts.snap,src/__tests__/workspace.spec.ts,"Fixes #101 

This also improves error handling for cases remote registry is not approachable or a module doesn't exist on the remote registry.","support running within an empty package in a monorepo
",,0,
109,c5ae07756be8745bec69ad5cd0b26f37bbcd6ef1,dc49e90643380a2c59545eec80f63bde1c25b563,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"Fixes #101 

This also improves error handling for cases remote registry is not approachable or a module doesn't exist on the remote registry.","support running within an empty package in a monorepo
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index b8c7b05..60a439c 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -163,5 +163,24 @@ describe('CLI', () => {
 
       expect(output).toMatchSnapshot();
     });
+
+    it('should support an empty module in a monorepo', () => {
+      const cwd = resolveFixture('monorepo/packages/package-no-modules');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should throw correctly when module is not found in a monorepo', () => {
+      const cwd = resolveFixture('monorepo/packages/package-no-modules');
+
+      try {
+        runCommand('does-not-exists', { cwd, stdio: 'pipe' });
+      } catch (error: any) {
+        expect(error.message).toMatch(
+          'Could not find any module by the name: ""does-not-exists""'
+        );
+      }
+    });
   });
 });
",0,
109,c5ae07756be8745bec69ad5cd0b26f37bbcd6ef1,dc49e90643380a2c59545eec80f63bde1c25b563,src/__tests__/__snapshots__/workspace.spec.ts.snap,src/__tests__/workspace.spec.ts,"Fixes #101 

This also improves error handling for cases remote registry is not approachable or a module doesn't exist on the remote registry.","support running within an empty package in a monorepo
",,0,
114,b971b26f0e86b126dd949b81ab31499646646a52,3c5a0ed0de73d103775ecc9e15fa0be88145f7ba,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"This PR adds support for packages installed with `pnpm` or yarn3 with `nodeLinker: pnpm`.

qnm now also handles a case where there are circular symlinks.","add support for running on pnpm generated repositories
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index 35d998d..1f73013 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -187,5 +187,25 @@ describe('CLI', () => {
         );
       }
     });
+
+    it.only('should support circular symlinks', () => {
+      const cwd = resolveFixture('circular-links');
+      const output = runCommand('foo', { cwd });
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should support pnpm', () => {
+      const cwd = resolveFixture('pnpm');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should support yarn-3 with pnpm linker', () => {
+      const cwd = resolveFixture('yarn-3-pnpm');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
   });
 });
",0,
114,b971b26f0e86b126dd949b81ab31499646646a52,3c5a0ed0de73d103775ecc9e15fa0be88145f7ba,src/__tests__/__snapshots__/cli.spec.ts.snap,src/__tests__/cli.spec.ts,"This PR adds support for packages installed with `pnpm` or yarn3 with `nodeLinker: pnpm`.

qnm now also handles a case where there are circular symlinks.","add support for running on pnpm generated repositories
","diff --git a/src/__tests__/cli.spec.ts b/src/__tests__/cli.spec.ts
index 35d998d..1f73013 100644
--- a/src/__tests__/cli.spec.ts
+++ b/src/__tests__/cli.spec.ts
@@ -187,5 +187,25 @@ describe('CLI', () => {
         );
       }
     });
+
+    it.only('should support circular symlinks', () => {
+      const cwd = resolveFixture('circular-links');
+      const output = runCommand('foo', { cwd });
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should support pnpm', () => {
+      const cwd = resolveFixture('pnpm');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
+
+    it('should support yarn-3 with pnpm linker', () => {
+      const cwd = resolveFixture('yarn-3-pnpm');
+      const output = runCommand('camelcase', { cwd });
+
+      expect(output).toMatchSnapshot();
+    });
   });
 });
",0,
31,62f67d68ec05c53cb93b71b812e39fa04ec00536,cc41620d4ea5549ad09ba8089b3189b006096441,__tests__/actions/__snapshots__/get.spec.js.snap,__tests__/actions/get.spec.js,,"Add homepage option. Open browser with package homepage value.

Add test if the is no homepage.
","diff --git a/__tests__/actions/get.spec.js b/__tests__/actions/get.spec.js
index a4d9c31..39b9dd7 100644
--- a/__tests__/actions/get.spec.js
+++ b/__tests__/actions/get.spec.js
@@ -72,6 +72,16 @@ describe('get', () => {
     expect(output).toMatchSnapshot();
   });
 
+  it('--homepage should throw NotFoundHomepageError if there is no ""homepage"" in package.json', () => {
+    const workspace = resolveWorkspace('single-module');
+
+    try {
+      getAction(workspace, 'test', { homepage: true });
+    } catch (e) {
+      expect(e.message).toMatchSnapshot();
+    }
+  });
+
   describe('--open', () => {
     it('should open module file directory when --open flag used', () => {
       const workspace = resolveWorkspace('three-levels-deep');
",0,
31,62f67d68ec05c53cb93b71b812e39fa04ec00536,cc41620d4ea5549ad09ba8089b3189b006096441,__tests__/actions/__snapshots__/get.spec.js.snap,__tests__/actions/get.spec.js,,"Add homepage option. Open browser with package homepage value.

Add test if the is no homepage.
","diff --git a/__tests__/actions/get.spec.js b/__tests__/actions/get.spec.js
index a4d9c31..39b9dd7 100644
--- a/__tests__/actions/get.spec.js
+++ b/__tests__/actions/get.spec.js
@@ -72,6 +72,16 @@ describe('get', () => {
     expect(output).toMatchSnapshot();
   });
 
+  it('--homepage should throw NotFoundHomepageError if there is no ""homepage"" in package.json', () => {
+    const workspace = resolveWorkspace('single-module');
+
+    try {
+      getAction(workspace, 'test', { homepage: true });
+    } catch (e) {
+      expect(e.message).toMatchSnapshot();
+    }
+  });
+
   describe('--open', () => {
     it('should open module file directory when --open flag used', () => {
       const workspace = resolveWorkspace('three-levels-deep');
",0,
