pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/amass/parser/__snapshots__/parser.test.js.snap,scanners/amass/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/amass/parser/parser.test.js b/scanners/amass/parser/parser.test.js
index 3bbf933..731cfc3 100644
--- a/scanners/amass/parser/parser.test.js
+++ b/scanners/amass/parser/parser.test.js
@@ -42,31 +42,31 @@ test(""example parser parses single line json successfully"", async () => {
   await expect(validateParser(findings)).resolves.toBeUndefined();
 
   expect(findings).toMatchInlineSnapshot(`
-  Array [
-    Object {
-      ""attributes"": Object {
-        ""addresses"": Array [
-          Object {
-            ""asn"": 34011,
-            ""cidr"": ""10.110.224.0/21"",
-            ""desc"": ""GD-EMEA-DC-CGN1"",
-            ""ip"": ""10.110.225.135"",
-          },
-        ],
-        ""domain"": ""example.de"",
-        ""name"": ""www.example.de"",
-        ""source"": undefined,
-        ""tag"": ""cert"",
-      },
-      ""category"": ""Subdomain"",
-      ""description"": ""Found subdomain www.example.de"",
-      ""location"": ""www.example.de"",
+[
+  {
+    ""attributes"": {
+      ""addresses"": [
+        {
+          ""asn"": 34011,
+          ""cidr"": ""10.110.224.0/21"",
+          ""desc"": ""GD-EMEA-DC-CGN1"",
+          ""ip"": ""10.110.225.135"",
+        },
+      ],
+      ""domain"": ""example.de"",
       ""name"": ""www.example.de"",
-      ""osi_layer"": ""NETWORK"",
-      ""severity"": ""INFORMATIONAL"",
+      ""source"": undefined,
+      ""tag"": ""cert"",
     },
-  ]
-  `);
+    ""category"": ""Subdomain"",
+    ""description"": ""Found subdomain www.example.de"",
+    ""location"": ""www.example.de"",
+    ""name"": ""www.example.de"",
+    ""osi_layer"": ""NETWORK"",
+    ""severity"": ""INFORMATIONAL"",
+  },
+]
+`);
 });
 
 test(""example parser parses large json result successfully"", async () => {
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/cmseek/parser/__snapshots__/parser.test.js.snap,scanners/cmseek/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/cmseek/parser/parser.test.js b/scanners/cmseek/parser/parser.test.js
index ffe7379..a619f2f 100644
--- a/scanners/cmseek/parser/parser.test.js
+++ b/scanners/cmseek/parser/parser.test.js
@@ -61,5 +61,5 @@ test(""should properly parse empty cmseek json file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(`Array []`);
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/kube-hunter/parser/__snapshots__/parser.test.js.snap,scanners/kube-hunter/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/kube-hunter/parser/parser.test.js b/scanners/kube-hunter/parser/parser.test.js
index 5f8822e..be229d2 100644
--- a/scanners/kube-hunter/parser/parser.test.js
+++ b/scanners/kube-hunter/parser/parser.test.js
@@ -36,5 +36,5 @@ test(""should properly parse empty kube-hunter json file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(""Array []"");
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/kubeaudit/parser/__snapshots__/parser.test.js.snap,scanners/kubeaudit/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/kubeaudit/parser/parser.test.js b/scanners/kubeaudit/parser/parser.test.js
index 2044e67..bbcabc4 100644
--- a/scanners/kubeaudit/parser/parser.test.js
+++ b/scanners/kubeaudit/parser/parser.test.js
@@ -35,5 +35,5 @@ test(""should properly parse empty kubeaudit jsonl file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(""Array []"");
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/nikto/parser/__snapshots__/parser.test.js.snap,scanners/nikto/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/nikto/parser/parser.test.js b/scanners/nikto/parser/parser.test.js
index 038d44a..5a68aae 100644
--- a/scanners/nikto/parser/parser.test.js
+++ b/scanners/nikto/parser/parser.test.js
@@ -44,7 +44,7 @@ test(""should properly parse empty json file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(""Array []"");
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
 
 test(""parses 'no web server found' finding correctly"", async () => {
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/nuclei/parser/__snapshots__/parser.test.js.snap,scanners/nuclei/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
",,0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/trivy/parser/__snapshots__/parser.test.js.snap,scanners/trivy/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/trivy/parser/parser.test.js b/scanners/trivy/parser/parser.test.js
index 65f2c02..6f9e6e9 100644
--- a/scanners/trivy/parser/parser.test.js
+++ b/scanners/trivy/parser/parser.test.js
@@ -55,5 +55,5 @@ test(""should properly parse empty json file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(""Array []"");
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/typo3scan/parser/__snapshots__/parser.test.js.snap,scanners/typo3scan/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/typo3scan/parser/parser.test.js b/scanners/typo3scan/parser/parser.test.js
index e2c01c6..e36788f 100644
--- a/scanners/typo3scan/parser/parser.test.js
+++ b/scanners/typo3scan/parser/parser.test.js
@@ -46,5 +46,5 @@ test(""should properly parse empty json file"", async () => {
   );
   const findings = await parse(jsonContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(`Array []`);
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,afe6f42107cae6b44ad518fe60a033059fd8c4bc,scanners/zap/parser/__snapshots__/parser.test.js.snap,scanners/zap/parser/parser.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
","diff --git a/scanners/zap/parser/parser.test.js b/scanners/zap/parser/parser.test.js
index 5d00b7f..46fb098 100644
--- a/scanners/zap/parser/parser.test.js
+++ b/scanners/zap/parser/parser.test.js
@@ -62,7 +62,7 @@ test(""Parsing an empty result."", async () => {
 
   const findings = await parse(fileContent);
   await expect(validateParser(findings)).resolves.toBeUndefined();
-  expect(findings).toMatchInlineSnapshot(`Array []`);
+  expect(findings).toMatchInlineSnapshot(`[]`);
 });
 
 test(""Parsing a nginx result."", async () => {
",0,
1567,16a9f6d84e4bb654e5a1e45dd7a45b1aa788cf78,343d217bd8b3739f362959f153b007499cbb7813,hooks/persistence-azure-monitor/hook/__snapshots__/hook.test.js.snap,hooks/persistence-azure-monitor/hook/hook.test.js,"<!-- 
Thank you for your contribution to our Project 🙌 

Before submitting your Pull Request, please take the time to check the points below and provide some descriptive information.
* [ ] If this PR comes from a fork, please [Allow edits from maintainers](https://help.github.com/en/github/collaborating-with-issues-and-pull-requests/allowing-changes-to-a-pull-request-branch-created-from-a-fork)
* [ ] Set a meaningful title. Format: {task_name} (closes #{issue_number}). For example: Use logger (closes #41)
* [ ] [Link your Pull Request to an issue](https://help.github.com/en/github/managing-your-work-on-github/linking-a-pull-request-to-an-issue) (if applicable)
* [ ] Create Draft pull requests if you need clarification or an explicit review before you can continue your work item.
* [ ] Make sure that your PR is not introducing _unnecessary_ reformatting (e.g., introduced by on-save hooks in your IDE)
* [ ] Make sure each new source file you add has a correct license header.

For more information on content related and formal acceptance criteria for PRs, please have a look at our 
[docs](https://www.securecodebox.io/docs/contributing/contribution-criteria). 
-->

## Description
<!-- Please describe briefly which issue is solved by your PR or which enhancement it brings -->


### Checklist

* [ ] Test your changes as thoroughly as possible before you commit them. Preferably, automate your test by unit/integration tests.
* [ ] Make sure that all your commits are signed-off and that you are added to the [Contributors](https://github.com/secureCodeBox/secureCodeBox/blob/main/CONTRIBUTORS.md) file.
* [ ] Make sure that all CI finish successfully.
* [ ] Optional (but appreciated): Make sure that all commits are [Verified](https://docs.github.com/en/authentication/managing-commit-signature-verification/signing-commits).
","maintenance(jest): Updated hook snapshots to fit the updated format of jest v29.3.1

Signed-off-by: Ilyes Ben Dlala <ilyes.bendlala@iteratec.com>
",,0,
