pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
1052,eae077a1bbd426dc13b88f3459b5ec8444e66287,87bdb4b8da66429190a02fe04796912354c7d553,tests/renderer/components/__snapshots__/commands-spec.tsx.snap,tests/renderer/components/commands-spec.tsx,"Reason: 
* I've received some feedback from users who say they never knew fiddle had a settings page.

> For the above reasons, it would be more user-friendly for us to add a button.

Preview image:

<img width=""551"" alt=""images"" src=""https://user-images.githubusercontent.com/8198408/164957425-13fc0e1c-bfa1-4606-ae02-60a5ff8a9a3e.png"">

Review video:

https://user-images.githubusercontent.com/8198408/164957471-7e7cc7cd-b468-4628-ae16-8f64320ee1d4.mp4","feat: add setting icon to commands UI
","diff --git a/tests/renderer/components/commands-spec.tsx b/tests/renderer/components/commands-spec.tsx
index a2b66f8..0c6d0d7 100644
--- a/tests/renderer/components/commands-spec.tsx
+++ b/tests/renderer/components/commands-spec.tsx
@@ -8,6 +8,7 @@ import { IpcEvents } from '../../../src/ipc-events';
 
 import { StateMock } from '../../mocks/mocks';
 import { overridePlatform, resetPlatform } from '../../utils';
+import { Button, ControlGroup } from '@blueprintjs/core';
 
 jest.mock('../../../src/renderer/components/commands-runner', () => ({
   Runner: 'runner',
@@ -67,4 +68,12 @@ describe('Commands component', () => {
     expect(spy).toHaveBeenCalledWith(IpcEvents.CLICK_TITLEBAR_MAC);
     spy.mockRestore();
   });
+
+  it('show setting', () => {
+    const wrapper = shallow(<Commands appState={store as any} />);
+
+    wrapper.find(ControlGroup).at(0).find(Button).simulate('click');
+
+    expect(store.toggleSettings).toHaveBeenCalled();
+  });
 });
",0,
1052,eae077a1bbd426dc13b88f3459b5ec8444e66287,87bdb4b8da66429190a02fe04796912354c7d553,tests/renderer/components/__snapshots__/commands-spec.tsx.snap,tests/renderer/components/commands-spec.tsx,"Reason: 
* I've received some feedback from users who say they never knew fiddle had a settings page.

> For the above reasons, it would be more user-friendly for us to add a button.

Preview image:

<img width=""551"" alt=""images"" src=""https://user-images.githubusercontent.com/8198408/164957425-13fc0e1c-bfa1-4606-ae02-60a5ff8a9a3e.png"">

Review video:

https://user-images.githubusercontent.com/8198408/164957471-7e7cc7cd-b468-4628-ae16-8f64320ee1d4.mp4","feat: add setting icon to commands UI
","diff --git a/tests/renderer/components/commands-spec.tsx b/tests/renderer/components/commands-spec.tsx
index a2b66f8..0c6d0d7 100644
--- a/tests/renderer/components/commands-spec.tsx
+++ b/tests/renderer/components/commands-spec.tsx
@@ -8,6 +8,7 @@ import { IpcEvents } from '../../../src/ipc-events';
 
 import { StateMock } from '../../mocks/mocks';
 import { overridePlatform, resetPlatform } from '../../utils';
+import { Button, ControlGroup } from '@blueprintjs/core';
 
 jest.mock('../../../src/renderer/components/commands-runner', () => ({
   Runner: 'runner',
@@ -67,4 +68,12 @@ describe('Commands component', () => {
     expect(spy).toHaveBeenCalledWith(IpcEvents.CLICK_TITLEBAR_MAC);
     spy.mockRestore();
   });
+
+  it('show setting', () => {
+    const wrapper = shallow(<Commands appState={store as any} />);
+
+    wrapper.find(ControlGroup).at(0).find(Button).simulate('click');
+
+    expect(store.toggleSettings).toHaveBeenCalled();
+  });
 });
",0,
1054,b183f0348a972e69a503dd7c90f4840b5e57f984,b183f0348a972e69a503dd7c90f4840b5e57f984,tests/renderer/components/__snapshots__/commands-spec.tsx.snap,tests/renderer/components/commands-spec.tsx,"See:
1. https://github.com/electron/fiddle/pull/1019#discussion_r835103261
2. https://github.com/electron/fiddle/pull/1019#discussion_r835122725","refactor: improve different systems test snapshots
","diff --git a/tests/renderer/components/commands-spec.tsx b/tests/renderer/components/commands-spec.tsx
index b1ae37f..a2b66f8 100644
--- a/tests/renderer/components/commands-spec.tsx
+++ b/tests/renderer/components/commands-spec.tsx
@@ -7,6 +7,7 @@ import { ipcRendererManager } from '../../../src/renderer/ipc';
 import { IpcEvents } from '../../../src/ipc-events';
 
 import { StateMock } from '../../mocks/mocks';
+import { overridePlatform, resetPlatform } from '../../utils';
 
 jest.mock('../../../src/renderer/components/commands-runner', () => ({
   Runner: 'runner',
@@ -28,10 +29,22 @@ describe('Commands component', () => {
   let store: StateMock;
 
   beforeEach(() => {
+    overridePlatform('linux');
     ({ state: store } = (window as any).ElectronFiddle.app);
   });
 
-  it('renders', () => {
+  afterEach(() => {
+    resetPlatform();
+  });
+
+  it('renders when system is darwin', () => {
+    overridePlatform('darwin');
+    const wrapper = shallow(<Commands appState={store as any} />);
+    expect(wrapper).toMatchSnapshot();
+  });
+
+  it('renders when system not is darwin', () => {
+    overridePlatform('win32');
     const wrapper = shallow(<Commands appState={store as any} />);
     expect(wrapper).toMatchSnapshot();
   });
",0,
1054,b183f0348a972e69a503dd7c90f4840b5e57f984,b183f0348a972e69a503dd7c90f4840b5e57f984,tests/renderer/components/__snapshots__/commands-spec.tsx.snap,tests/renderer/components/commands-spec.tsx,"See:
1. https://github.com/electron/fiddle/pull/1019#discussion_r835103261
2. https://github.com/electron/fiddle/pull/1019#discussion_r835122725","refactor: improve different systems test snapshots
","diff --git a/tests/renderer/components/commands-spec.tsx b/tests/renderer/components/commands-spec.tsx
index b1ae37f..a2b66f8 100644
--- a/tests/renderer/components/commands-spec.tsx
+++ b/tests/renderer/components/commands-spec.tsx
@@ -7,6 +7,7 @@ import { ipcRendererManager } from '../../../src/renderer/ipc';
 import { IpcEvents } from '../../../src/ipc-events';
 
 import { StateMock } from '../../mocks/mocks';
+import { overridePlatform, resetPlatform } from '../../utils';
 
 jest.mock('../../../src/renderer/components/commands-runner', () => ({
   Runner: 'runner',
@@ -28,10 +29,22 @@ describe('Commands component', () => {
   let store: StateMock;
 
   beforeEach(() => {
+    overridePlatform('linux');
     ({ state: store } = (window as any).ElectronFiddle.app);
   });
 
-  it('renders', () => {
+  afterEach(() => {
+    resetPlatform();
+  });
+
+  it('renders when system is darwin', () => {
+    overridePlatform('darwin');
+    const wrapper = shallow(<Commands appState={store as any} />);
+    expect(wrapper).toMatchSnapshot();
+  });
+
+  it('renders when system not is darwin', () => {
+    overridePlatform('win32');
     const wrapper = shallow(<Commands appState={store as any} />);
     expect(wrapper).toMatchSnapshot();
   });
",0,
1061,e6788b06ce2f91ad8dee91a041d0eb58421e41c2,e3d3d5a77ba57ede31b662f38b891a4de2ad9f69,tests/renderer/components/__snapshots__/editors-spec.tsx.snap,tests/renderer/components/editors-spec.tsx,"Bumps up our `mobx` and `mobx-react` dependencies to 6.x.y. This is part of a wider attempt to modernize our renderer codebase, since we're stuck on old versions of React and using class components.

### Codemod

In order to perform this upgrade, I followed MobX's [Migrating from MobX 4/5](https://mobx.js.org/migrating-from-4-or-5.html) guide.

Because we use `@observer` decorators extensively, I decided to use the [`npx mobx-undecorate` codemod](https://www.npmjs.com/package/mobx-undecorate) provided by the guide. This will allow us to immediately upgrade to MobX 6 while keeping our React component architecture.

We can then perform a piecewise upgrade of our React components in the future.

### Caveats

* The types for the new `observer()` higher-order component from MobX mean that we use `any` types when mounting Enzyme components. This is a trade-off I'm willing to make because Enzyme doesn't support React 17 yet and we might want to look towards migrating towards another unit testing library.
* This diff is huge. Reviewing it will be easier with the ""hide whitespace"" option.","chore: update to mobx@6 and apply codemod
",,0,
1061,e6788b06ce2f91ad8dee91a041d0eb58421e41c2,e3d3d5a77ba57ede31b662f38b891a4de2ad9f69,tests/renderer/components/__snapshots__/editors-spec.tsx.snap,tests/renderer/components/editors-spec.tsx,"Bumps up our `mobx` and `mobx-react` dependencies to 6.x.y. This is part of a wider attempt to modernize our renderer codebase, since we're stuck on old versions of React and using class components.

### Codemod

In order to perform this upgrade, I followed MobX's [Migrating from MobX 4/5](https://mobx.js.org/migrating-from-4-or-5.html) guide.

Because we use `@observer` decorators extensively, I decided to use the [`npx mobx-undecorate` codemod](https://www.npmjs.com/package/mobx-undecorate) provided by the guide. This will allow us to immediately upgrade to MobX 6 while keeping our React component architecture.

We can then perform a piecewise upgrade of our React components in the future.

### Caveats

* The types for the new `observer()` higher-order component from MobX mean that we use `any` types when mounting Enzyme components. This is a trade-off I'm willing to make because Enzyme doesn't support React 17 yet and we might want to look towards migrating towards another unit testing library.
* This diff is huge. Reviewing it will be easier with the ""hide whitespace"" option.","chore: update to mobx@6 and apply codemod
",,0,
1069,591367c904d34af2e749f98181a5e1704a55d6bb,03b1506e01ea9d0951fd5bcde49c5b0349966e57,tests/renderer/components/__snapshots__/settings-general-spec.tsx.snap,tests/renderer/components/settings-general-spec.tsx,"Closes https://github.com/electron/fiddle/issues/956.

Adds a settings customization option for font size and family.

<img width=""907"" alt=""Screen Shot 2022-05-10 at 12 52 33 PM"" src=""https://user-images.githubusercontent.com/2036040/167612673-9b041281-4c52-4e7e-b6ec-6864577b0c6c.png"">

","feat: add font size and family customization
",,0,
1069,591367c904d34af2e749f98181a5e1704a55d6bb,c08609287de8cb96df0095d67b460aa80cf97896,tests/renderer/components/__snapshots__/settings-general-font-spec.tsx.snap,tests/renderer/components/settings-general-font-spec.tsx,"Closes https://github.com/electron/fiddle/issues/956.

Adds a settings customization option for font size and family.

<img width=""907"" alt=""Screen Shot 2022-05-10 at 12 52 33 PM"" src=""https://user-images.githubusercontent.com/2036040/167612673-9b041281-4c52-4e7e-b6ec-6864577b0c6c.png"">

","test: add specs for new font settings
","diff --git a/tests/renderer/components/settings-general-font-spec.tsx b/tests/renderer/components/settings-general-font-spec.tsx
new file mode 100644
index 0000000..c121edf
--- /dev/null
+++ b/tests/renderer/components/settings-general-font-spec.tsx
@@ -0,0 +1,63 @@
+import { shallow } from 'enzyme';
+import * as React from 'react';
+
+import { FontSettings } from '../../../src/renderer/components/settings-general-font';
+
+describe('FontSettings component', () => {
+  let store: any;
+
+  beforeEach(() => {
+    store = {
+      fontSize: undefined,
+      fontFamily: undefined,
+    };
+  });
+
+  it('renders', () => {
+    const wrapper = shallow(<FontSettings appState={store} />);
+    expect(wrapper).toMatchSnapshot();
+  });
+
+  describe('handleSetFontFamily()', () => {
+    it('handles a new selection', async () => {
+      const wrapper = shallow(<FontSettings appState={store} />);
+      const instance = wrapper.instance() as any;
+
+      const CALIBRI = 'Calibri';
+      const VERDANA = 'Verdana';
+      await instance.handleSetFontFamily({
+        currentTarget: { value: CALIBRI },
+      });
+
+      expect(store.fontFamily).toBe(CALIBRI);
+      expect(instance.state.fontFamily).toEqual(CALIBRI);
+
+      await instance.handleSetFontFamily({
+        currentTarget: { value: VERDANA },
+      });
+
+      expect(store.fontFamily).toBe(VERDANA);
+      expect(instance.state.fontFamily).toEqual(VERDANA);
+    });
+  });
+
+  describe('handleSetFontSize()', () => {
+    it('handles a new selection', async () => {
+      const wrapper = shallow(<FontSettings appState={store} />);
+      const instance = wrapper.instance() as any;
+      await instance.handleSetFontSize({
+        currentTarget: { value: '12' },
+      });
+
+      expect(store.fontSize).toBe(12);
+      expect(instance.state.fontSize).toEqual(12);
+
+      await instance.handleSetFontSize({
+        currentTarget: { value: '10' },
+      });
+
+      expect(store.fontSize).toBe(10);
+      expect(instance.state.fontSize).toEqual(10);
+    });
+  });
+});
",0,
1069,591367c904d34af2e749f98181a5e1704a55d6bb,03b1506e01ea9d0951fd5bcde49c5b0349966e57,tests/renderer/components/__snapshots__/settings-general-spec.tsx.snap,tests/renderer/components/settings-general-spec.tsx,"Closes https://github.com/electron/fiddle/issues/956.

Adds a settings customization option for font size and family.

<img width=""907"" alt=""Screen Shot 2022-05-10 at 12 52 33 PM"" src=""https://user-images.githubusercontent.com/2036040/167612673-9b041281-4c52-4e7e-b6ec-6864577b0c6c.png"">

","feat: add font size and family customization
",,0,
1069,591367c904d34af2e749f98181a5e1704a55d6bb,c08609287de8cb96df0095d67b460aa80cf97896,tests/renderer/components/__snapshots__/settings-general-font-spec.tsx.snap,tests/renderer/components/settings-general-font-spec.tsx,"Closes https://github.com/electron/fiddle/issues/956.

Adds a settings customization option for font size and family.

<img width=""907"" alt=""Screen Shot 2022-05-10 at 12 52 33 PM"" src=""https://user-images.githubusercontent.com/2036040/167612673-9b041281-4c52-4e7e-b6ec-6864577b0c6c.png"">

","test: add specs for new font settings
","diff --git a/tests/renderer/components/settings-general-font-spec.tsx b/tests/renderer/components/settings-general-font-spec.tsx
new file mode 100644
index 0000000..c121edf
--- /dev/null
+++ b/tests/renderer/components/settings-general-font-spec.tsx
@@ -0,0 +1,63 @@
+import { shallow } from 'enzyme';
+import * as React from 'react';
+
+import { FontSettings } from '../../../src/renderer/components/settings-general-font';
+
+describe('FontSettings component', () => {
+  let store: any;
+
+  beforeEach(() => {
+    store = {
+      fontSize: undefined,
+      fontFamily: undefined,
+    };
+  });
+
+  it('renders', () => {
+    const wrapper = shallow(<FontSettings appState={store} />);
+    expect(wrapper).toMatchSnapshot();
+  });
+
+  describe('handleSetFontFamily()', () => {
+    it('handles a new selection', async () => {
+      const wrapper = shallow(<FontSettings appState={store} />);
+      const instance = wrapper.instance() as any;
+
+      const CALIBRI = 'Calibri';
+      const VERDANA = 'Verdana';
+      await instance.handleSetFontFamily({
+        currentTarget: { value: CALIBRI },
+      });
+
+      expect(store.fontFamily).toBe(CALIBRI);
+      expect(instance.state.fontFamily).toEqual(CALIBRI);
+
+      await instance.handleSetFontFamily({
+        currentTarget: { value: VERDANA },
+      });
+
+      expect(store.fontFamily).toBe(VERDANA);
+      expect(instance.state.fontFamily).toEqual(VERDANA);
+    });
+  });
+
+  describe('handleSetFontSize()', () => {
+    it('handles a new selection', async () => {
+      const wrapper = shallow(<FontSettings appState={store} />);
+      const instance = wrapper.instance() as any;
+      await instance.handleSetFontSize({
+        currentTarget: { value: '12' },
+      });
+
+      expect(store.fontSize).toBe(12);
+      expect(instance.state.fontSize).toEqual(12);
+
+      await instance.handleSetFontSize({
+        currentTarget: { value: '10' },
+      });
+
+      expect(store.fontSize).toBe(10);
+      expect(instance.state.fontSize).toEqual(10);
+    });
+  });
+});
",0,
