pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
1020,3e8e5c7541c4da60853ff550dac7e993de5bc80d,3e8e5c7541c4da60853ff550dac7e993de5bc80d,"Add support for expressions in place of a class name in new statement.

Fixes: https://github.com/prettier/plugin-php/issues/2082","Fix for expression in new statement
","diff --git a/test/snapshot/new.test.js b/test/snapshot/new.test.js
index 60b09be..440f5ff 100644
--- a/test/snapshot/new.test.js
+++ b/test/snapshot/new.test.js
@@ -79,4 +79,10 @@ describe(""new"", function () {
       )
     ).toMatchSnapshot();
   });
+  it(""result from function"", function () {
+    expect(parser.parseEval(""$a = new (b('c')('d'));"")).toMatchSnapshot();
+  });
+  it(""result from function with arguments"", function () {
+    expect(parser.parseEval(""$a = new (b('c')('d'))('e');"")).toMatchSnapshot();
+  });
 });
",0,,3,132,1,1,3,132
1077,02165fc773a942b70514625ea81067656a0f92ba,02165fc773a942b70514625ea81067656a0f92ba,Fixes https://github.com/glayzzle/php-parser/issues/1076,"fix: add support for string concatenation in attributes
","diff --git a/test/snapshot/attributes.test.js b/test/snapshot/attributes.test.js
index 1d82f05..4534b88 100644
--- a/test/snapshot/attributes.test.js
+++ b/test/snapshot/attributes.test.js
@@ -108,6 +108,40 @@ describe(""Parse Attributes"", () => {
       )
     ).toMatchSnapshot();
   });
+  it(""can parse params with string concatenation"", () => {
+    expect(
+      parser.parseEval(
+        `
+        #[Att1(Att1::FOO . Att1::BAR)]
+        #[Att1(Att1::FOO.Att1::BAR)]
+        #[Att2(""a"" . ""b"")]
+        #[Att2(""a"".""b"")]
+        #[Att2('a' . ""b"")]
+        #[Att2('a'.""b"")]
+        #[Att2(""a"" . 'b')]
+        #[Att2(""a"".'b')]
+        #[Att2('a' . 'b')]
+        #[Att2('a'.'b')]
+        #[Att1(Att1::FOO . ""b"")]
+        #[Att1(Att1::FOO.""b"")]
+        #[Att1(Att1::FOO . 'b')]
+        #[Att1(Att1::FOO.'b')]
+        #[Att1(""a"" . Att1::BAR)]
+        #[Att1(""a"".Att1::BAR)]
+        #[Att1('a' . Att1::BAR)]
+        #[Att1('a'.Att1::BAR)]
+        #[Att1(Att1::FOO
+          .Att1::BAR
+        )]
+        #[Att1(Att1::FOO.
+          Att1::BAR
+        )]
+        class A {}
+        `,
+        { parser: { extractDoc: true } }
+      )
+    ).toMatchSnapshot();
+  });
   it(""can parse params with end characters"", () => {
     expect(
       parser.parseEval(`
",0,,3,721,1,1,3,721
1110,6101cc3666e162668eaa05f08eeab6e75f89be97,121a0b5887555170ee55d990dd666d6d74ccf4e5,,"Added support for class constants with FINAL keyword
","diff --git a/test/snapshot/classconstant.test.js b/test/snapshot/classconstant.test.js
index aea228c..8ca68e0 100644
--- a/test/snapshot/classconstant.test.js
+++ b/test/snapshot/classconstant.test.js
@@ -30,4 +30,11 @@ describe(""classconstant"", () => {
       parser.parseEval('class Foo { private const CONSTANT = ""Hello world!""; }')
     ).toMatchSnapshot();
   });
+  it(""final"", () => {
+    expect(
+      parser.parseEval(
+        'class Foo { final public const CONSTANT = ""Hello world!""; }'
+      )
+    ).toMatchSnapshot();
+  });
 });
",0,,10,72,8,3,12,2855
1124,57854ca752975cc1ac0054270e80197481d4ca01,57854ca752975cc1ac0054270e80197481d4ca01,"Fixes #1003

I'm going to be honest, I have no idea what I'm doing, but all the tests seem to pass. Feel free to point me in the correct direction if this is absolutely not how you're supposed to do this.","Add test for `?->` with reserved keyword
","diff --git a/test/snapshot/lexer.test.js b/test/snapshot/lexer.test.js
index 2888fde..ab6b315 100644
--- a/test/snapshot/lexer.test.js
+++ b/test/snapshot/lexer.test.js
@@ -81,4 +81,8 @@ describe(""Test lexer"", function () {
   it(""test #148 - sensitive lexer"", function () {
     expect(parser.tokenGetAll(""<?php $this-> list;"")).toMatchSnapshot();
   });
+
+  it(""test #1003 - null-safe operator with reserved keyword"", function () {
+    expect(parser.parseCode(""<?php $a?->class;"")).toMatchSnapshot();
+  });
 });
",0,,2,28,1,2,3,31
1136,5427405b8d333d5d5aad7d67ec58804b77879330,5427405b8d333d5d5aad7d67ec58804b77879330,"[Related RFC](https://wiki.php.net/rfc/typed_class_constants).

Closes #1133","feat: add support for PHP 8.3 typed class constants

[Related RFC](https://wiki.php.net/rfc/typed_class_constants).

Closes #1133
","diff --git a/test/snapshot/classconstant.test.js b/test/snapshot/classconstant.test.js
index 8ca68e0..6448a77 100644
--- a/test/snapshot/classconstant.test.js
+++ b/test/snapshot/classconstant.test.js
@@ -37,4 +37,20 @@ describe(""classconstant"", () => {
       )
     ).toMatchSnapshot();
   });
+  it(""type hinted (supported)"", () => {
+    expect(
+      parser.parseEval(
+        'class Foo { public const string CONSTANT = ""Hello world!""; }',
+        { parser: { version: 830 } }
+      )
+    ).toMatchSnapshot();
+  });
+  it(""type hinted (unsupported)"", () => {
+    expect(() =>
+      parser.parseEval(
+        'class Foo { public const string CONSTANT = ""Hello world!""; }',
+        { parser: { version: 820 } }
+      )
+    ).toThrowErrorMatchingSnapshot();
+  });
 });
",0,,11,130,8,1,11,130
1146,496b68d540ef1104acccee3f6d79626a71a0db16,496b68d540ef1104acccee3f6d79626a71a0db16,Fixes https://github.com/glayzzle/php-parser/issues/1145,"8.4 Allow new without parenthesis
","diff --git a/test/snapshot/class.test.js b/test/snapshot/class.test.js
index b93d642..ac0d31a 100644
--- a/test/snapshot/class.test.js
+++ b/test/snapshot/class.test.js
@@ -256,6 +256,23 @@ describe(""Test classes"", function () {
     ).toMatchSnapshot();
   });
 
+  it(""8.4 allow new without parenthesis"", () => {
+    const code = `new People()->name();`;
+    const test_parser = parser.create({
+      parser: {
+        version: ""8.4"",
+      },
+    });
+    expect(test_parser.parseEval(code)).toMatchSnapshot();
+  });
+
+  it(""new without parenthesis throw errors in PHP < 8.4"", () => {
+    const code = `new People()->name();`;
+    expect(() => {
+      parser.parseEval(code);
+    }).toThrowErrorMatchingSnapshot();
+  });
+
   it(""knows where a function definiton starts"", function () {
     const phpCode = `
 class b { 
",0,,3,62,1,1,3,62
1147,e8fdcdb047b11f774b05229ed931e892531672f3,e8fdcdb047b11f774b05229ed931e892531672f3,"Class using untyped constant are breaking the parser when using 8.3

```
class Foo { 
const CONSTANT = ""Hello world!""; 
}
```

The problem came from `read_optional_type` which was returning a ""type"" even if the statement did not have a type.","PHP 8.3 parser support untyped Class constant
","diff --git a/test/snapshot/classconstant.test.js b/test/snapshot/classconstant.test.js
index 8e5557e..287845a 100644
--- a/test/snapshot/classconstant.test.js
+++ b/test/snapshot/classconstant.test.js
@@ -6,6 +6,14 @@ describe(""classconstant"", () => {
       parser.parseEval('class Foo { const CONSTANT = ""Hello world!""; }'),
     ).toMatchSnapshot();
   });
+  it(""simple using 8.3"", () => {
+    expect(
+      parser.parseEval(`class Foo { const CONSTANT = ""Hello world!""; }`, {
+        parser: { version: 803 },
+      }),
+    ).toMatchSnapshot();
+  });
+
   it(""multiple"", () => {
     expect(
       parser.parseEval(
@@ -13,6 +21,18 @@ describe(""classconstant"", () => {
       ),
     ).toMatchSnapshot();
   });
+
+  it(""multiple 8.3"", () => {
+    expect(
+      parser.parseEval(
+        'class Foo { const NAME_1 = ""Hello world!"", NAME_2 = ""Other hello world!""; }',
+        {
+          parser: { version: 803 },
+        },
+      ),
+    ).toMatchSnapshot();
+  });
+
   it(""public"", () => {
     expect(
       parser.parseEval('class Foo { public const CONSTANT = ""Hello world!""; }'),
@@ -43,7 +63,7 @@ describe(""classconstant"", () => {
     expect(
       parser.parseEval(
         'class Foo { public const string CONSTANT = ""Hello world!""; }',
-        { parser: { version: 830 } },
+        { parser: { version: 803 } },
       ),
     ).toMatchSnapshot();
   });
@@ -51,7 +71,7 @@ describe(""classconstant"", () => {
     expect(() =>
       parser.parseEval(
         'class Foo { public const string CONSTANT = ""Hello world!""; }',
-        { parser: { version: 820 } },
+        { parser: { version: 802 } },
       ),
     ).toThrowErrorMatchingSnapshot();
   });
",0,,3,143,1,1,3,143
1152,5d09ee6a0a13a3d042decee7889a59841fd382c7,f0bf3db108c31ada833c2f46de8dd7764982d947,"## Context
- fixes: #1151 

## Problem
- see: #1151 

## Solution
Skip comments and whitespace when peeking as peek() is just peeking next token without consider comment. I don't know this is proper solution but it works as expected in my environment. ","test: 💍 add test for multiline class constant
","diff --git a/test/snapshot/classconstant.test.js b/test/snapshot/classconstant.test.js
index 287845a..de5eadb 100644
--- a/test/snapshot/classconstant.test.js
+++ b/test/snapshot/classconstant.test.js
@@ -75,4 +75,24 @@ describe(""classconstant"", () => {
       ),
     ).toThrowErrorMatchingSnapshot();
   });
+  it(""multiline declaration with comment"", () => {
+    expect(
+      parser.parseEval(
+        `class Foo { 
+          public 
+          // comment 1
+          const 
+          // comment 2
+          string 
+          // comment 3
+          CONSTANT 
+          // comment 4
+          = 
+          // comment 5
+          ""Hello world!""; 
+        }`,
+        { parser: { version: 803 } },
+      ),
+    ).toMatchSnapshot();
+  });
 });
",0,,2,73,1,4,3,97
1156,dc979d13f4231dbbca944ba0c126bd75fd46fae4,dc979d13f4231dbbca944ba0c126bd75fd46fae4,"Fixes #1155, sprinkled in some tests too relating to flexible nowdocs as well. One line fix, 130 lines of tests/fixtures.","fix: valid_after_heredoc_73 missing the concatenation operator

Sprinkled in some tests too.
","diff --git a/test/snapshot/nowdoc.test.js b/test/snapshot/nowdoc.test.js
index 4690d23..bd3ae49 100644
--- a/test/snapshot/nowdoc.test.js
+++ b/test/snapshot/nowdoc.test.js
@@ -120,6 +120,38 @@ TEST;
     ).toMatchSnapshot();
   });
 
+  it(""Flexible nowdoc syntax: errors in PHP 7.2"", function () {
+    expect(() =>
+      parser.parseEval(
+        `
+echo <<<END
+
+END."""";`,
+        { parser: { version: ""7.2"" } },
+      ),
+    ).toThrow();
+  });
+
+  it(""Flexible nowdoc syntax: concatenation right after nowdoc"", function () {
+    expect(
+      parser.parseEval(`
+echo <<<END
+
+END."""";
+`),
+    ).toMatchSnapshot();
+  });
+
+  it(""Flexible nowdoc syntax: equals right after nowdoc"", function () {
+    expect(
+      parser.parseEval(`
+echo <<<END
+
+END=="""";
+`),
+    ).toMatchSnapshot();
+  });
+
   it(""Flexible nowdoc syntax: 4 spaces of indentation"", function () {
     expect(
       parser.parseEval(`
",0,,3,131,1,1,3,131
1162,93774a733d86feb1f833a714a246f69f64ee51df,93774a733d86feb1f833a714a246f69f64ee51df,"Fixes #1161 and #1160 

cc @claytonrcarter","fix: parse new without parens as `call` instead of `bin`
","diff --git a/test/snapshot/class.test.js b/test/snapshot/class.test.js
index ac0d31a..02eeb2a 100644
--- a/test/snapshot/class.test.js
+++ b/test/snapshot/class.test.js
@@ -266,10 +266,25 @@ describe(""Test classes"", function () {
     expect(test_parser.parseEval(code)).toMatchSnapshot();
   });
 
+  it(""8.4 new without parenthesis with array lookup"", () => {
+    const code = `new People()[0];`;
+    const test_parser = parser.create({
+      parser: {
+        version: ""8.4"",
+      },
+    });
+    expect(test_parser.parseEval(code)).toMatchSnapshot();
+  });
+
   it(""new without parenthesis throw errors in PHP < 8.4"", () => {
     const code = `new People()->name();`;
+    const test_parser = parser.create({
+      parser: {
+        version: ""8.3"",
+      },
+    });
     expect(() => {
-      parser.parseEval(code);
+      test_parser.parseEval(code);
     }).toThrowErrorMatchingSnapshot();
   });
 
",0,,4,89,1,1,4,89
