pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
223,43ea663a20351a4b49c775545bb88640092f891b,43ea663a20351a4b49c775545bb88640092f891b,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
","diff --git a/test/runtime/getUrl.test.js b/test/runtime/getUrl.test.js
new file mode 100644
index 0000000..64f3819
--- /dev/null
+++ b/test/runtime/getUrl.test.js
@@ -0,0 +1,14 @@
+import getUrl from '../../src/runtime/getUrl';
+
+describe('getUrl', () => {
+  it('should work', () => {
+    expect(getUrl(true)).toMatchSnapshot();
+    expect(getUrl(null)).toMatchSnapshot();
+    // eslint-disable-next-line no-undefined
+    expect(getUrl(undefined)).toMatchSnapshot();
+    expect(getUrl('image.png')).toMatchSnapshot();
+    expect(
+      getUrl({ default: 'image.png', __esModule: true })
+    ).toMatchSnapshot();
+  });
+});
",0,,4,29,1,2,14,918
225,4978fd90edc35f23d305e2697695204f56468245,3d029c136f7df7f4c52464e0d4cc062efe85ab08,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

fixes #188

### Breaking Changes

BREAKING CHANGE: handle the `srcset` attribute for all tags

### Additional Info

No","refactor: code
","diff --git a/test/runtime/getUrl.test.js b/test/runtime/getUrl.test.js
index 64f3819..b840814 100644
--- a/test/runtime/getUrl.test.js
+++ b/test/runtime/getUrl.test.js
@@ -7,6 +7,17 @@ describe('getUrl', () => {
     // eslint-disable-next-line no-undefined
     expect(getUrl(undefined)).toMatchSnapshot();
     expect(getUrl('image.png')).toMatchSnapshot();
+    expect(getUrl('image\timage.png')).toMatchSnapshot();
+    expect(getUrl('image\nimage.png')).toMatchSnapshot();
+    expect(getUrl('image\fimage.png')).toMatchSnapshot();
+    expect(getUrl('image\rimage.png')).toMatchSnapshot();
+    expect(getUrl('image image.png')).toMatchSnapshot();
+    expect(getUrl('image""image.png')).toMatchSnapshot();
+    expect(getUrl(""image'image.png"")).toMatchSnapshot();
+    expect(getUrl('image=image.png')).toMatchSnapshot();
+    expect(getUrl('image>image.png')).toMatchSnapshot();
+    expect(getUrl('image<image.png')).toMatchSnapshot();
+    expect(getUrl('image`image.png')).toMatchSnapshot();
     expect(
       getUrl({ default: 'image.png', __esModule: true })
     ).toMatchSnapshot();
",0,,9,327,6,6,17,6101
226,561d7fd6a4d966372c6cf5c4d0c2d0dc4c6c0ae3,561d7fd6a4d966372c6cf5c4d0c2d0dc4c6c0ae3,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

handle more cases

### Breaking Changes

BREAKING CHANGE: the `src` attribute of `audio`, `video`, `track`, `embed`, `source`, `input` now handled

### Additional Info

No","feat: handle more tags with the `src` attribute

BREAKING CHANGE: the `src` attribute of `audio`, `video`, `track`, `embed`, `source`, `input` now handled
","diff --git a/test/attributes-option.test.js b/test/attributes-option.test.js
index 7455b6a..56c92ef 100644
--- a/test/attributes-option.test.js
+++ b/test/attributes-option.test.js
@@ -40,7 +40,7 @@ describe(""'attributes' option"", () => {
               ],
             },
             {
-              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2)$/i,
+              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2|ogg|pdf|vtt)$/i,
               loader: 'file-loader',
               options: { esModule: false, name: '[name].[ext]' },
             },
@@ -75,7 +75,7 @@ describe(""'attributes' option"", () => {
               ],
             },
             {
-              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2)$/i,
+              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2|ogg|pdf|vtt)$/i,
               loader: 'file-loader',
               options: { esModule: true, name: '[name].[ext]' },
             },
@@ -110,7 +110,7 @@ describe(""'attributes' option"", () => {
               ],
             },
             {
-              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2)$/i,
+              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2|ogg|pdf|vtt)$/i,
               loader: 'file-loader',
               options: { esModule: false, name: '[name].[ext]' },
             },
@@ -145,7 +145,7 @@ describe(""'attributes' option"", () => {
               ],
             },
             {
-              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2)$/i,
+              test: /\.(png|jpg|gif|svg|eot|ttf|woff|woff2|ogg|pdf|vtt)$/i,
               loader: 'file-loader',
               options: { esModule: true, name: '[name].[ext]' },
             },
",0,,13,925,5,1,13,925
228,38df85394c881cb0de55c912f225a8857b0e4632,bbabd32c2bec9834b32899298f80ccc1e04baf99,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

removed string value support for `attributes` option

### Breaking Changes

Yes: 

### Additional Info

No","refactor: drop `string` supporting of `attributes` option

BREAKING CHANGE: the `attributes` option should be `Array<String>` or `Boolean`
","diff --git a/test/attributes-option.test.js b/test/attributes-option.test.js
index 56c92ef..38181c5 100644
--- a/test/attributes-option.test.js
+++ b/test/attributes-option.test.js
@@ -163,32 +163,6 @@ describe(""'attributes' option"", () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
-  it('should work with a ""string"" notation', async () => {
-    const compiler = getCompiler('simple.js', { attributes: 'img:src' });
-    const stats = await compile(compiler);
-
-    expect(getModuleSource('./simple.html', stats)).toMatchSnapshot('module');
-    expect(
-      execute(readAsset('main.bundle.js', compiler, stats))
-    ).toMatchSnapshot('result');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-  });
-
-  it('should work with multiple a ""string"" notations', async () => {
-    const compiler = getCompiler('simple.js', {
-      attributes: 'img:src script:src',
-    });
-    const stats = await compile(compiler);
-
-    expect(getModuleSource('./simple.html', stats)).toMatchSnapshot('module');
-    expect(
-      execute(readAsset('main.bundle.js', compiler, stats))
-    ).toMatchSnapshot('result');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-  });
-
   it('should work with an ""array"" notations', async () => {
     const compiler = getCompiler('simple.js', { attributes: ['img:src'] });
     const stats = await compile(compiler);
@@ -216,7 +190,7 @@ describe(""'attributes' option"", () => {
   });
 
   it('should work with only attributes', async () => {
-    const compiler = getCompiler('simple.js', { attributes: ':custom-src' });
+    const compiler = getCompiler('simple.js', { attributes: [':custom-src'] });
     const stats = await compile(compiler);
 
     expect(getModuleSource('./simple.html', stats)).toMatchSnapshot('module');

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..b644bb4
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,75 @@
+import { getCompiler, compile } from './helpers';
+
+describe('validate options', () => {
+  const tests = {
+    attributes: {
+      success: [true, false, [], ['img:src'], ['img:src', ':srcset']],
+      failure: ['true'],
+    },
+    root: {
+      success: [
+        /* 'index.html' */
+      ],
+      failure: [true],
+    },
+    interpolate: {
+      success: [false /* true */, 'require'],
+      failure: [1],
+    },
+    esModule: {
+      success: [true, false],
+      failure: ['true'],
+    },
+    unknown: {
+      success: [],
+      failure: [1, true, false, 'test', /test/, [], {}, { foo: 'bar' }],
+    },
+  };
+
+  function stringifyValue(value) {
+    if (
+      Array.isArray(value) ||
+      (value && typeof value === 'object' && value.constructor === Object)
+    ) {
+      return JSON.stringify(value);
+    }
+
+    return value;
+  }
+
+  async function createTestCase(key, value, type) {
+    it(`should ${
+      type === 'success' ? 'successfully validate' : 'throw an error on'
+    } the ""${key}"" option with ""${stringifyValue(value)}"" value`, async () => {
+      // For loaders
+      const compiler = getCompiler('simple.js', { [key]: value });
+
+      let stats;
+
+      try {
+        stats = await compile(compiler);
+      } finally {
+        if (type === 'success') {
+          expect(stats.hasErrors()).toBe(false);
+        } else if (type === 'failure') {
+          const {
+            compilation: { errors },
+          } = stats;
+
+          expect(errors).toHaveLength(1);
+          expect(() => {
+            throw new Error(errors[0].error.message);
+          }).toThrowErrorMatchingSnapshot();
+        }
+      }
+    });
+  }
+
+  for (const [key, values] of Object.entries(tests)) {
+    for (const type of Object.keys(values)) {
+      for (const value of values[type]) {
+        createTestCase(key, value, type);
+      }
+    }
+  }
+});
",0,,6,554,2,2,14,1391
229,a8f5eadbd6cdc75086058e0791de9519b55f6946,a8f5eadbd6cdc75086058e0791de9519b55f6946,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Emit error and return original non minified content

### Breaking Changes

No

### Additional Info

No","feat: emit an error on broken HTML syntax when minimization is enabled
","diff --git a/test/minimize-option.test.js b/test/minimize-option.test.js
index 355c244..9446ce2 100644
--- a/test/minimize-option.test.js
+++ b/test/minimize-option.test.js
@@ -97,4 +97,18 @@ describe('""minimize"" option', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
+
+  it('should work emit an error on broken HTML syntax', async () => {
+    const compiler = getCompiler('broken-html-syntax.js', { minimize: true });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./broken-html-syntax.html', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+  });
 });
",0,,6,55,1,1,6,55
233,0b864136d0e8858c6af65f25acfa52b48200881e,0b864136d0e8858c6af65f25acfa52b48200881e,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Emit an error

### Breaking Changes

No

### Additional Info

No","fix: emit an error on interpolation compile problems
","diff --git a/test/interpolate-option.test.js b/test/interpolate-option.test.js
index 9bdf340..024b0df 100644
--- a/test/interpolate-option.test.js
+++ b/test/interpolate-option.test.js
@@ -44,4 +44,20 @@ describe(""'interpolate' option"", () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
+
+  it('should emit an error on broken interpolation syntax', async () => {
+    const compiler = getCompiler('broken-interpolation-syntax.js', {
+      interpolate: true,
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./broken-interpolation-syntax.html', stats)
+    ).toMatchSnapshot('module');
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+  });
 });

diff --git a/test/minimize-option.test.js b/test/minimize-option.test.js
index 9446ce2..f196308 100644
--- a/test/minimize-option.test.js
+++ b/test/minimize-option.test.js
@@ -98,7 +98,7 @@ describe('""minimize"" option', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
-  it('should work emit an error on broken HTML syntax', async () => {
+  it('should emit an error on broken HTML syntax', async () => {
     const compiler = getCompiler('broken-html-syntax.js', { minimize: true });
     const stats = await compile(compiler);
 
",0,,7,104,2,1,7,104
234,c85ca2ab0799fb076fd95b9dafdbd2fd90fded5b,c85ca2ab0799fb076fd95b9dafdbd2fd90fded5b,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

just test

### Breaking Changes

No

### Additional Info

No","test: invisible space
","diff --git a/test/loader.test.js b/test/loader.test.js
index 351c7cd..0df41ef 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -32,4 +32,18 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
+
+  it('should not failed contain invisible spaces', async () => {
+    const compiler = getCompiler('invisible-space.js');
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./invisible-space.html', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(
+      execute(readAsset('main.bundle.js', compiler, stats))
+    ).toMatchSnapshot('result');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+  });
 });
",0,,4,38,1,1,4,38
235,6625dca318adfb7d46a6c1d3ebf3f854e78c1b31,6625dca318adfb7d46a6c1d3ebf3f854e78c1b31,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Drop `require`

### Breaking Changes

Yes

BREAKING CHANGE: the `require` value for the `interpolation` option was removed with replacement, please use `raw-loader`, the special loader for syntax (for example - `ejs-loader`)  or template literal for that. Non standard HTML syntax potential can be broken by minimizer, parser can throw an error in some cases.

### Additional Info

No","refactor: remove the `require` value for the `interpolate` option

BREAKING CHANGE: the `require` value for the `interpolation` option was removed with replacement, please use `raw-loader`, the special loader for syntax (for example - `ejs-loader`)  or template literal for that. Non standard HTML syntax potential can be broken by minimizer, parser can throw an error in some cases.
","diff --git a/test/interpolate-option.test.js b/test/interpolate-option.test.js
index 024b0df..adb3467 100644
--- a/test/interpolate-option.test.js
+++ b/test/interpolate-option.test.js
@@ -33,18 +33,6 @@ describe(""'interpolate' option"", () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
   });
 
-  it('should work with the ""require""', async () => {
-    const compiler = getCompiler('template.js', { interpolate: 'require' });
-    const stats = await compile(compiler);
-
-    expect(getModuleSource('./template.html', stats)).toMatchSnapshot('module');
-    expect(
-      execute(readAsset('main.bundle.js', compiler, stats))
-    ).toMatchSnapshot('result');
-    expect(getWarnings(stats)).toMatchSnapshot('warnings');
-    expect(getErrors(stats)).toMatchSnapshot('errors');
-  });
-
   it('should emit an error on broken interpolation syntax', async () => {
     const compiler = getCompiler('broken-interpolation-syntax.js', {
       interpolate: true,

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index b644bb4..edc0176 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -13,7 +13,7 @@ describe('validate options', () => {
       failure: [true],
     },
     interpolate: {
-      success: [false /* true */, 'require'],
+      success: [false /* true */],
       failure: [1],
     },
     esModule: {
",0,,7,122,2,1,7,122
243,e8fbff20122a156abb120a6cf98def8cc41343ee,e8fbff20122a156abb120a6cf98def8cc41343ee,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

fixes #186

### Breaking Changes

No, but if you have invalid html content can be unparsable, but it is expected

### Additional Info

No","fix: parser tags and attributes according spec
","diff --git a/test/attributes-option.test.js b/test/attributes-option.test.js
index 38181c5..1693099 100644
--- a/test/attributes-option.test.js
+++ b/test/attributes-option.test.js
@@ -164,7 +164,22 @@ describe(""'attributes' option"", () => {
   });
 
   it('should work with an ""array"" notations', async () => {
-    const compiler = getCompiler('simple.js', { attributes: ['img:src'] });
+    const compiler = getCompiler('simple.js', {
+      attributes: [
+        'img:src',
+        'flag-icon:src',
+        'MyStrangeTag13:src',
+        'a-:src',
+        'a-.:src',
+        'a--:src',
+        'aÀ-豈:src',
+        'aÀ-Ⰰ:src',
+        // Should not work
+        'INVALID_TAG_NAME:src',
+        // Should not work
+        'invalid-CUSTOM-TAG:src',
+      ],
+    });
     const stats = await compile(compiler);
 
     expect(getModuleSource('./simple.html', stats)).toMatchSnapshot('module');
@@ -177,7 +192,21 @@ describe(""'attributes' option"", () => {
 
   it('should work with multiple an ""array"" notations', async () => {
     const compiler = getCompiler('simple.js', {
-      attributes: ['img:src', 'script:src'],
+      attributes: [
+        'img:src',
+        'script:src',
+        'flag-icon:src',
+        'MyStrangeTag13:src',
+        'a-:src',
+        'a-.:src',
+        'a--:src',
+        'aÀ-豈:src',
+        'aÀ-Ⰰ:src',
+        // Should not work
+        'INVALID_TAG_NAME:src',
+        // Should not work
+        'invalid-CUSTOM-TAG:src',
+      ],
     });
     const stats = await compile(compiler);
 
",0,,8,494,5,1,8,494
244,c22be8efa0da0b4ab931966b279eab8b0389d157,c22be8efa0da0b4ab931966b279eab8b0389d157,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

fixes #171

### Breaking Changes

No

### Additional Info

No","fix: escape `\u2028` and `\u2029` characters
","diff --git a/test/loader.test.js b/test/loader.test.js
index 0df41ef..e6d5a26 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,3 +1,6 @@
+import fs from 'fs';
+import path from 'path';
+
 import {
   compile,
   getCompiler,
@@ -34,12 +37,19 @@ describe('loader', () => {
   });
 
   it('should not failed contain invisible spaces', async () => {
+    const source = fs.readFileSync(
+      path.resolve(__dirname, './fixtures/invisible-space.html')
+    );
+
+    expect(/[\u2028\u2029]/.test(source)).toBe(true);
+
     const compiler = getCompiler('invisible-space.js');
     const stats = await compile(compiler);
 
-    expect(getModuleSource('./invisible-space.html', stats)).toMatchSnapshot(
-      'module'
-    );
+    const moduleSource = getModuleSource('./invisible-space.html', stats);
+
+    expect(moduleSource).toMatchSnapshot('module');
+    expect(/[\u2028\u2029]/.test(moduleSource)).toBe(false);
     expect(
       execute(readAsset('main.bundle.js', compiler, stats))
     ).toMatchSnapshot('result');
",0,,4,38,1,1,4,38
