pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/parser.test.js.snap,test/options/parser.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/parser.test.js b/test/options/parser.test.js
index 8d052c2..7c4bde7 100644
--- a/test/options/parser.test.js
+++ b/test/options/parser.test.js
@@ -21,7 +21,7 @@ describe('Options', () => {
       })
   })
 
-  test('Parser - {Function}', () => {
+  test('Parser - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/stringifier.test.js.snap,test/options/stringifier.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/stringifier.test.js b/test/options/stringifier.test.js
index 3b2188d..f4f450b 100644
--- a/test/options/stringifier.test.js
+++ b/test/options/stringifier.test.js
@@ -20,8 +20,8 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
-  // TODO fix schema
-  test.skip('Stringifier - {Function}', () => {
+
+  test('Stringifier - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/syntax.test.js.snap,test/options/syntax.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/syntax.test.js b/test/options/syntax.test.js
index 94decbe..597c58c 100644
--- a/test/options/syntax.test.js
+++ b/test/options/syntax.test.js
@@ -20,8 +20,8 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
-  // TODO fix schema 
-  test.skip('Syntax - {Function}', () => {
+
+  test('Syntax - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/parser.test.js.snap,test/options/parser.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/parser.test.js b/test/options/parser.test.js
index 8d052c2..7c4bde7 100644
--- a/test/options/parser.test.js
+++ b/test/options/parser.test.js
@@ -21,7 +21,7 @@ describe('Options', () => {
       })
   })
 
-  test('Parser - {Function}', () => {
+  test('Parser - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/stringifier.test.js.snap,test/options/stringifier.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/stringifier.test.js b/test/options/stringifier.test.js
index 3b2188d..f4f450b 100644
--- a/test/options/stringifier.test.js
+++ b/test/options/stringifier.test.js
@@ -20,8 +20,8 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
-  // TODO fix schema
-  test.skip('Stringifier - {Function}', () => {
+
+  test('Stringifier - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
300,1c58e12624049cc66b5992fe7667851f1bec3b0c,1c58e12624049cc66b5992fe7667851f1bec3b0c,test/options/__snapshots__/syntax.test.js.snap,test/options/syntax.test.js,"> ℹ️  Describe the big picture of your changes here to communicate to the maintainers
why we should accept this pull request. If it fixes a bug or resolves a feature
request, be sure to link to that issue.

### `Type`
---

> ℹ️  What types of changes does your code introduce?

> _Put an `x` in the boxes that apply_

- [x] Fix
- [ ] Perf
- [ ] Docs
- [ ] Test
- [ ] Chore
- [ ] Feature
- [ ] Refactor

### `SemVer`
---

> ℹ️  What changes to the current `semver` range does your PR introduce?

> _Put an `x` in the boxes that apply_

- [x] Bug (:label: Patch)
- [ ] Feature (:label: Minor)
- [ ] Breaking Change (:label: Major)

### `Issues`
---

> ℹ️  What issue (if any) are closed by your PR?

> _Replace `#1` with the error number that applies_

- Fixes `#1`

### `Checklist`
---

> ℹ️  You can also fill these out after creating the PR. If you're unsure about any of them, don't hesitate to ask. This is a reminder of what we are going to look for before merging your code.

> _Put an `x` in the boxes that apply._

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix: allow to pass an {Object} (`options.syntax/options.stringifier`)
","diff --git a/test/options/syntax.test.js b/test/options/syntax.test.js
index 94decbe..597c58c 100644
--- a/test/options/syntax.test.js
+++ b/test/options/syntax.test.js
@@ -20,8 +20,8 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
-  // TODO fix schema 
-  test.skip('Syntax - {Function}', () => {
+
+  test('Syntax - {Object}', () => {
     const config = {
       loader: {
         options: {
",0,
301,817680d09ba285f7a438ec6ea486736faafeba2c,817680d09ba285f7a438ec6ea486736faafeba2c,test/options/__snapshots__/plugins.test.js.snap,test/options/plugins.test.js,"### `Type`
---

- [x] Fix

### `SemVer`
---

- [x] Fix (:label: Patch)

### `Checklist`
---

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix(lib/options): handle `{Object}` return (`options.plugins`)
","diff --git a/test/options/plugins.test.js b/test/options/plugins.test.js
index ddfc1bf..32293cc 100644
--- a/test/options/plugins.test.js
+++ b/test/options/plugins.test.js
@@ -22,7 +22,25 @@ describe('Options', () => {
       })
   })
 
-  test('Plugins - {Function}', () => {
+  test('Plugins - {Object}', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          plugins: require('../fixtures/config/plugin')
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
+
+  test('Plugins - {Function} - {Array}', () => {
     const config = {
       loader: {
         options: {
@@ -39,4 +57,22 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
+
+  test('Plugins - {Function} - {Object}', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          plugins: () => require('../fixtures/config/plugin')()
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
 })
",0,
301,817680d09ba285f7a438ec6ea486736faafeba2c,817680d09ba285f7a438ec6ea486736faafeba2c,test/options/__snapshots__/plugins.test.js.snap,test/options/plugins.test.js,"### `Type`
---

- [x] Fix

### `SemVer`
---

- [x] Fix (:label: Patch)

### `Checklist`
---

- [x] Lint and unit tests pass with my changes
- [x] I have added tests that prove my fix is effective/works
- [x] I have added necessary documentation (if appropriate)
- [x] Any dependent changes are merged and published in downstream modules
","fix(lib/options): handle `{Object}` return (`options.plugins`)
","diff --git a/test/options/plugins.test.js b/test/options/plugins.test.js
index ddfc1bf..32293cc 100644
--- a/test/options/plugins.test.js
+++ b/test/options/plugins.test.js
@@ -22,7 +22,25 @@ describe('Options', () => {
       })
   })
 
-  test('Plugins - {Function}', () => {
+  test('Plugins - {Object}', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          plugins: require('../fixtures/config/plugin')
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
+
+  test('Plugins - {Function} - {Array}', () => {
     const config = {
       loader: {
         options: {
@@ -39,4 +57,22 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
+
+  test('Plugins - {Function} - {Object}', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          plugins: () => require('../fixtures/config/plugin')()
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
 })
",0,
314,b5c91e137d67d0e0d424bfa3f5c11c691816a05b,b5c91e137d67d0e0d424bfa3f5c11c691816a05b,test/options/__snapshots__/config.test.js.snap,test/options/config.test.js,"Hello,

I was just trying to figure out for a long time now, why my postcss-config is not taken into account, when using postcss-loader with webpack.
I dug into the loader and found this: https://github.com/postcss/postcss-loader/blob/master/lib/index.js#L53-L65, that is why my setup is not working.
Variable length has in this case value of 1, therefore return at line L65 and not using the postcssrc.

```
{
  loader: 'postcss-loader',
  options: {
    sourceMap: true,
    ident: 'postcss',
    config: {
      path: paths.DIR.ROOT,
    },
  },
};
```","test: ident && config not working
","diff --git a/test/options/config.test.js b/test/options/config.test.js
index 352bac7..7813515 100644
--- a/test/options/config.test.js
+++ b/test/options/config.test.js
@@ -53,4 +53,26 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
+
+
+  test('Config - Context - {Object} - with ident', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          config: {
+            path: 'test/fixtures/config/postcss.config.js',
+            ctx: { plugin: true }
+          }
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
 })
",0,
314,b5c91e137d67d0e0d424bfa3f5c11c691816a05b,b5c91e137d67d0e0d424bfa3f5c11c691816a05b,test/options/__snapshots__/config.test.js.snap,test/options/config.test.js,"Hello,

I was just trying to figure out for a long time now, why my postcss-config is not taken into account, when using postcss-loader with webpack.
I dug into the loader and found this: https://github.com/postcss/postcss-loader/blob/master/lib/index.js#L53-L65, that is why my setup is not working.
Variable length has in this case value of 1, therefore return at line L65 and not using the postcssrc.

```
{
  loader: 'postcss-loader',
  options: {
    sourceMap: true,
    ident: 'postcss',
    config: {
      path: paths.DIR.ROOT,
    },
  },
};
```","test: ident && config not working
","diff --git a/test/options/config.test.js b/test/options/config.test.js
index 352bac7..7813515 100644
--- a/test/options/config.test.js
+++ b/test/options/config.test.js
@@ -53,4 +53,26 @@ describe('Options', () => {
         expect(src).toMatchSnapshot()
       })
   })
+
+
+  test('Config - Context - {Object} - with ident', () => {
+    const config = {
+      loader: {
+        options: {
+          ident: 'postcss',
+          config: {
+            path: 'test/fixtures/config/postcss.config.js',
+            ctx: { plugin: true }
+          }
+        }
+      }
+    }
+
+    return webpack('css/index.js', config).then((stats) => {
+        const src = loader(stats).src
+
+        expect(src).toEqual(""module.exports = \""a { color: rgba(255, 0, 0, 1.0) }\\n\"""")
+        expect(src).toMatchSnapshot()
+      })
+  })
 })
",0,
