pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
338,b89c7c29d133e0855c39e9144ada3edff6322bdd,b89c7c29d133e0855c39e9144ada3edff6322bdd,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,"#336 

Didn't change wechat part as it's slightly different from others.

will show something like
```
$ node demo.js

Error: getaddrinfo ENOTFOUND slack.com slack.com:443
    at D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:127:15
    at Generator.throw (<anonymous>)
    at step (D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:6:374)
    at D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:6:573
    at <anonymous>
    at process._tickCallback (internal/process/next_tick.js:188:7)

Error Message -
  getaddrinfo ENOTFOUND slack.com slack.com:443

Request -
  POST https://slack.com/api/users.list

Request Data -
  ""cursor=&token=my-token""
```
```
$ node demo.js

Error: getaddrinfo ENOTFOUND api.line.me api.line.me:443
    at handleError (D:\Yoctol\messaging-apis\packages\messaging-api-line\lib\LineClient.js:44:9)
    at <anonymous>
    at process._tickCallback (internal/process/next_tick.js:188:7)

Error Message -
  getaddrinfo ENOTFOUND api.line.me api.line.me:443

Request -
  POST https://api.line.me/v2/bot/user/U<my-user-id>/linkToken

```","handle network error better by fallback to original message
","diff --git a/packages/axios-error/src/__tests__/index.spec.js b/packages/axios-error/src/__tests__/index.spec.js
index 6eb4763..7e57f6b 100644
--- a/packages/axios-error/src/__tests__/index.spec.js
+++ b/packages/axios-error/src/__tests__/index.spec.js
@@ -32,3 +32,27 @@ it('should work', async () => {
     expect(error.inspect()).toMatchSnapshot();
   }
 });
+
+it('should work with undefined response', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite to undefined
+    // https://github.com/Yoctol/bottender/issues/246
+    err.response = undefined;
+
+    const error = new AxiosError('read ECONNRESET', err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error.inspect()).toMatchSnapshot();
+  }
+});
+
+it('should support error without axios data', () => {
+  const error = new AxiosError('custom error');
+  error.stack = stack;
+
+  expect(error.inspect()).toMatchSnapshot();
+});
",0,
338,b89c7c29d133e0855c39e9144ada3edff6322bdd,b89c7c29d133e0855c39e9144ada3edff6322bdd,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,"#336 

Didn't change wechat part as it's slightly different from others.

will show something like
```
$ node demo.js

Error: getaddrinfo ENOTFOUND slack.com slack.com:443
    at D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:127:15
    at Generator.throw (<anonymous>)
    at step (D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:6:374)
    at D:\Yoctol\messaging-apis\packages\messaging-api-slack\lib\SlackOAuthClient.js:6:573
    at <anonymous>
    at process._tickCallback (internal/process/next_tick.js:188:7)

Error Message -
  getaddrinfo ENOTFOUND slack.com slack.com:443

Request -
  POST https://slack.com/api/users.list

Request Data -
  ""cursor=&token=my-token""
```
```
$ node demo.js

Error: getaddrinfo ENOTFOUND api.line.me api.line.me:443
    at handleError (D:\Yoctol\messaging-apis\packages\messaging-api-line\lib\LineClient.js:44:9)
    at <anonymous>
    at process._tickCallback (internal/process/next_tick.js:188:7)

Error Message -
  getaddrinfo ENOTFOUND api.line.me api.line.me:443

Request -
  POST https://api.line.me/v2/bot/user/U<my-user-id>/linkToken

```","handle network error better by fallback to original message
","diff --git a/packages/axios-error/src/__tests__/index.spec.js b/packages/axios-error/src/__tests__/index.spec.js
index 6eb4763..7e57f6b 100644
--- a/packages/axios-error/src/__tests__/index.spec.js
+++ b/packages/axios-error/src/__tests__/index.spec.js
@@ -32,3 +32,27 @@ it('should work', async () => {
     expect(error.inspect()).toMatchSnapshot();
   }
 });
+
+it('should work with undefined response', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite to undefined
+    // https://github.com/Yoctol/bottender/issues/246
+    err.response = undefined;
+
+    const error = new AxiosError('read ECONNRESET', err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error.inspect()).toMatchSnapshot();
+  }
+});
+
+it('should support error without axios data', () => {
+  const error = new AxiosError('custom error');
+  error.stack = stack;
+
+  expect(error.inspect()).toMatchSnapshot();
+});
",0,
384,e13d087d18cf54f2b6a2988cee5f1ade20d293a8,e13d087d18cf54f2b6a2988cee5f1ade20d293a8,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,,"support creating AxiosError with Error instance only
","diff --git a/packages/axios-error/src/__tests__/index.spec.js b/packages/axios-error/src/__tests__/index.spec.js
index 0a87e1f..7431897 100644
--- a/packages/axios-error/src/__tests__/index.spec.js
+++ b/packages/axios-error/src/__tests__/index.spec.js
@@ -33,6 +33,22 @@ it('should work', async () => {
   }
 });
 
+it('should work with construct using error instance only', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error.inspect()).toMatchSnapshot();
+  }
+});
+
 it('should work with undefined response', async () => {
   try {
     await axios.post('/', { x: 1 });
",0,
384,e13d087d18cf54f2b6a2988cee5f1ade20d293a8,e13d087d18cf54f2b6a2988cee5f1ade20d293a8,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,,"support creating AxiosError with Error instance only
","diff --git a/packages/axios-error/src/__tests__/index.spec.js b/packages/axios-error/src/__tests__/index.spec.js
index 0a87e1f..7431897 100644
--- a/packages/axios-error/src/__tests__/index.spec.js
+++ b/packages/axios-error/src/__tests__/index.spec.js
@@ -33,6 +33,22 @@ it('should work', async () => {
   }
 });
 
+it('should work with construct using error instance only', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error.inspect()).toMatchSnapshot();
+  }
+});
+
 it('should work with undefined response', async () => {
   try {
     await axios.post('/', { x: 1 });
",0,
462,6a309fedc1bbfb0766114d440fe74bfd3adf7d04,6a309fedc1bbfb0766114d440fe74bfd3adf7d04,packages/axios-error/src/__tests__/__snapshots__/index.spec.ts.snap,packages/axios-error/src/__tests__/index.spec.ts,,"refactor: setup typescript and add typeing to slack
","diff --git a/packages/axios-error/src/__tests__/index.spec.ts b/packages/axios-error/src/__tests__/index.spec.ts
new file mode 100644
index 0000000..e6aed38
--- /dev/null
+++ b/packages/axios-error/src/__tests__/index.spec.ts
@@ -0,0 +1,89 @@
+import util from 'util';
+
+import MockAdapter from 'axios-mock-adapter';
+import axios from 'axios';
+
+import AxiosError from '..';
+
+const mock = new MockAdapter(axios);
+
+mock.onAny().reply(400, {
+  error_status: 'boom....',
+});
+
+const stack = `Error: boom....
+  at Object.<anonymous> (/Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:16:19)
+  at Generator.throw (<anonymous>)
+  at step (/Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:4:336)
+  at /Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:4:535
+  at <anonymous>
+`;
+
+it('should work', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err.response.data.error_status, err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should set `.status` property', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    expect(error.status).toBe(400);
+  }
+});
+
+it('should work with construct using error instance only', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should work with undefined response', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite to undefined
+    // https://github.com/Yoctol/bottender/issues/246
+    err.response = undefined;
+
+    const error = new AxiosError('read ECONNRESET', err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should support error without axios data', () => {
+  const error = new AxiosError('custom error');
+  error.stack = stack;
+
+  expect(error[util.inspect.custom]()).toMatchSnapshot();
+});
",0,
462,6a309fedc1bbfb0766114d440fe74bfd3adf7d04,6a309fedc1bbfb0766114d440fe74bfd3adf7d04,packages/axios-error/src/__tests__/__snapshots__/index.spec.ts.snap,packages/axios-error/src/__tests__/index.spec.ts,,"refactor: setup typescript and add typeing to slack
","diff --git a/packages/axios-error/src/__tests__/index.spec.ts b/packages/axios-error/src/__tests__/index.spec.ts
new file mode 100644
index 0000000..e6aed38
--- /dev/null
+++ b/packages/axios-error/src/__tests__/index.spec.ts
@@ -0,0 +1,89 @@
+import util from 'util';
+
+import MockAdapter from 'axios-mock-adapter';
+import axios from 'axios';
+
+import AxiosError from '..';
+
+const mock = new MockAdapter(axios);
+
+mock.onAny().reply(400, {
+  error_status: 'boom....',
+});
+
+const stack = `Error: boom....
+  at Object.<anonymous> (/Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:16:19)
+  at Generator.throw (<anonymous>)
+  at step (/Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:4:336)
+  at /Users/xxx/messaging-apis/packages/axios-error/src/__tests__/index.spec.js:4:535
+  at <anonymous>
+`;
+
+it('should work', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err.response.data.error_status, err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should set `.status` property', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    expect(error.status).toBe(400);
+  }
+});
+
+it('should work with construct using error instance only', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite because axios-mock-adapter set it to undefined
+    err.response.statusText = 'Bad Request';
+
+    const error = new AxiosError(err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should work with undefined response', async () => {
+  try {
+    await axios.post('/', { x: 1 });
+  } catch (err) {
+    // overwrite to undefined
+    // https://github.com/Yoctol/bottender/issues/246
+    err.response = undefined;
+
+    const error = new AxiosError('read ECONNRESET', err);
+
+    // overwrite stack to test it
+    error.stack = stack;
+
+    expect(error[util.inspect.custom]()).toMatchSnapshot();
+  }
+});
+
+it('should support error without axios data', () => {
+  const error = new AxiosError('custom error');
+  error.stack = stack;
+
+  expect(error[util.inspect.custom]()).toMatchSnapshot();
+});
",0,
474,9d68b06c8eb07441a85ac2aa9ee65216b7f7df5d,136f3e9888c1b3b103fd551fe1c0b955cefef7e7,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,Don't merge until error types are fixed,"fix: remove all export default from index.ts
",,0,
474,9d68b06c8eb07441a85ac2aa9ee65216b7f7df5d,136f3e9888c1b3b103fd551fe1c0b955cefef7e7,packages/axios-error/src/__tests__/__snapshots__/index.spec.js.snap,packages/axios-error/src/__tests__/index.spec.js,Don't merge until error types are fixed,"fix: remove all export default from index.ts
",,0,
592,05fc0318a3c863e83711437bd9ecacd56097b0cf,154bac954a1c55df090a189213fc230a712addfe,packages/facebook-batch/src/__tests__/__snapshots__/BatchRequestError.spec.ts.snap,packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts,"https://github.com/Yoctol/messenger-batch

This module is not only used by Messenger but also used by Facebook and Instagram, so I'm renaming it to `facebook-batch`.

And we're going to make it highly integrate to our clients, so here is the right place to host it.

Note: this PR introduces a breaking change to resolve object body instead of string body in the `sendBatch` API:

Before:

```js
await client.sendBatch([ /* ... */])
// => [{
//     code: 200,
//     body: '{""recipientId"":""1QAZ2WSX"",""messageId"":""mid.1489394984387:3dd22de509""}',
// }]
```

After:

```js
await client.sendBatch([ /* ... */])
// => [{
//     code: 200,
//     body: {
//       ""recipientId"": ""1QAZ2WSX"",
//       ""messageId"": ""mid.1489394984387:3dd22de509""
//     },
// }]
```
","pkg(facebook-batch): move facebook-batch to this monorepo
","diff --git a/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts b/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts
new file mode 100644
index 0000000..21175c5
--- /dev/null
+++ b/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts
@@ -0,0 +1,42 @@
+import BatchRequestError from '../BatchRequestError';
+import { BatchRequest, BatchResponse } from '../types';
+
+it('should work', async () => {
+  const request: BatchRequest = {
+    method: 'POST',
+    relativeUrl: 'me/feed',
+    body: 'message=Test status update&amp;link=http://developers.facebook.com/',
+  };
+  const response: BatchResponse = {
+    code: 403,
+    headers: [
+      { name: 'WWW-Authenticate', value: 'OAuth…' },
+      { name: 'Content-Type', value: 'text/javascript; charset=UTF-8' },
+    ],
+    body:
+      '{""error"":{""type"":""OAuthException"",""message"": ""Invalid parameter"",""code"": 100}}',
+  };
+  const error = new BatchRequestError({ request, response });
+
+  expect(error.inspect()).toMatchSnapshot();
+});
+
+it('should have better error message', async () => {
+  const request: BatchRequest = {
+    method: 'POST',
+    relativeUrl: 'me/feed',
+    body: 'message=Test status update&amp;link=http://developers.facebook.com/',
+  };
+  const response: BatchResponse = {
+    code: 403,
+    headers: [
+      { name: 'WWW-Authenticate', value: 'OAuth…' },
+      { name: 'Content-Type', value: 'text/javascript; charset=UTF-8' },
+    ],
+    body:
+      '{""error"":{""type"":""OAuthException"",""message"": ""Invalid parameter"",""code"": 100}}',
+  };
+  const error = new BatchRequestError({ request, response });
+
+  expect(error.message).toEqual('Batch Request Error - Invalid parameter');
+});
",0,
592,05fc0318a3c863e83711437bd9ecacd56097b0cf,154bac954a1c55df090a189213fc230a712addfe,packages/facebook-batch/src/__tests__/__snapshots__/BatchRequestError.spec.ts.snap,packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts,"https://github.com/Yoctol/messenger-batch

This module is not only used by Messenger but also used by Facebook and Instagram, so I'm renaming it to `facebook-batch`.

And we're going to make it highly integrate to our clients, so here is the right place to host it.

Note: this PR introduces a breaking change to resolve object body instead of string body in the `sendBatch` API:

Before:

```js
await client.sendBatch([ /* ... */])
// => [{
//     code: 200,
//     body: '{""recipientId"":""1QAZ2WSX"",""messageId"":""mid.1489394984387:3dd22de509""}',
// }]
```

After:

```js
await client.sendBatch([ /* ... */])
// => [{
//     code: 200,
//     body: {
//       ""recipientId"": ""1QAZ2WSX"",
//       ""messageId"": ""mid.1489394984387:3dd22de509""
//     },
// }]
```
","pkg(facebook-batch): move facebook-batch to this monorepo
","diff --git a/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts b/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts
new file mode 100644
index 0000000..21175c5
--- /dev/null
+++ b/packages/facebook-batch/src/__tests__/BatchRequestError.spec.ts
@@ -0,0 +1,42 @@
+import BatchRequestError from '../BatchRequestError';
+import { BatchRequest, BatchResponse } from '../types';
+
+it('should work', async () => {
+  const request: BatchRequest = {
+    method: 'POST',
+    relativeUrl: 'me/feed',
+    body: 'message=Test status update&amp;link=http://developers.facebook.com/',
+  };
+  const response: BatchResponse = {
+    code: 403,
+    headers: [
+      { name: 'WWW-Authenticate', value: 'OAuth…' },
+      { name: 'Content-Type', value: 'text/javascript; charset=UTF-8' },
+    ],
+    body:
+      '{""error"":{""type"":""OAuthException"",""message"": ""Invalid parameter"",""code"": 100}}',
+  };
+  const error = new BatchRequestError({ request, response });
+
+  expect(error.inspect()).toMatchSnapshot();
+});
+
+it('should have better error message', async () => {
+  const request: BatchRequest = {
+    method: 'POST',
+    relativeUrl: 'me/feed',
+    body: 'message=Test status update&amp;link=http://developers.facebook.com/',
+  };
+  const response: BatchResponse = {
+    code: 403,
+    headers: [
+      { name: 'WWW-Authenticate', value: 'OAuth…' },
+      { name: 'Content-Type', value: 'text/javascript; charset=UTF-8' },
+    ],
+    body:
+      '{""error"":{""type"":""OAuthException"",""message"": ""Invalid parameter"",""code"": 100}}',
+  };
+  const error = new BatchRequestError({ request, response });
+
+  expect(error.message).toEqual('Batch Request Error - Invalid parameter');
+});
",0,
