pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
115,fc7e566489a0ede71a9d79d99a58925e1c1c3780,1ec2cf2b45b09439539b8327013876304af774bc,packages/cf-component-text/test/__snapshots__/Text.js.snap,packages/cf-component-text/test/Text.js,"according to feedback from @tajo:

* using plain object for applying styles
* exports components as `TextUnstyled`, `HeaderUnstyled` in tests to follow same style
* fix for text titlecase
* fix for text small size","fix text size small rendering
","diff --git a/packages/cf-component-text/test/Text.js b/packages/cf-component-text/test/Text.js
index a0a2b27..df342ce 100644
--- a/packages/cf-component-text/test/Text.js
+++ b/packages/cf-component-text/test/Text.js
@@ -4,7 +4,7 @@ import { Text } from '../../cf-component-text/src/index';
 import felaTestContext from '../../../felaTestContext';
 import { applyTheme } from 'cf-style-container';
 
-test('should render size', () => {
+test('should render normal size', () => {
   const StyledText = applyTheme(Text, () => ({
     fontSizeNormal: '1rem',
     fontWeightNormal: 400
@@ -16,6 +16,18 @@ test('should render size', () => {
   expect(component.toJSON()).toMatchSnapshot();
 });
 
+test('should render small size', () => {
+  const StyledText = applyTheme(Text, () => ({
+    fontSizeSmallß: '0.8em',
+    lineHeightSmall: 1.3
+  }));
+
+  const component = renderer.create(
+    felaTestContext(<StyledText size=""small"">Hello</StyledText>)
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
+
 test('should render align', () => {
   const StyledText = applyTheme(Text, () => ({
     textAlignCenter: 'center'
",0,
115,fc7e566489a0ede71a9d79d99a58925e1c1c3780,1ec2cf2b45b09439539b8327013876304af774bc,packages/cf-component-text/test/__snapshots__/Text.js.snap,packages/cf-component-text/test/Text.js,"according to feedback from @tajo:

* using plain object for applying styles
* exports components as `TextUnstyled`, `HeaderUnstyled` in tests to follow same style
* fix for text titlecase
* fix for text small size","fix text size small rendering
","diff --git a/packages/cf-component-text/test/Text.js b/packages/cf-component-text/test/Text.js
index a0a2b27..df342ce 100644
--- a/packages/cf-component-text/test/Text.js
+++ b/packages/cf-component-text/test/Text.js
@@ -4,7 +4,7 @@ import { Text } from '../../cf-component-text/src/index';
 import felaTestContext from '../../../felaTestContext';
 import { applyTheme } from 'cf-style-container';
 
-test('should render size', () => {
+test('should render normal size', () => {
   const StyledText = applyTheme(Text, () => ({
     fontSizeNormal: '1rem',
     fontWeightNormal: 400
@@ -16,6 +16,18 @@ test('should render size', () => {
   expect(component.toJSON()).toMatchSnapshot();
 });
 
+test('should render small size', () => {
+  const StyledText = applyTheme(Text, () => ({
+    fontSizeSmallß: '0.8em',
+    lineHeightSmall: 1.3
+  }));
+
+  const component = renderer.create(
+    felaTestContext(<StyledText size=""small"">Hello</StyledText>)
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
+
 test('should render align', () => {
   const StyledText = applyTheme(Text, () => ({
     textAlignCenter: 'center'
",0,
125,f5f9820b032f730179645c4a7d0a5c230666473c,9ffb757b16e451d78489b5fa37379a439e9febc1,packages/cf-component-card/test/__snapshots__/CardDrawers.js.snap,packages/cf-component-card/test/CardDrawers.js,"Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.

Not sure if there are more tests to be written or if the snapshots are enough.","card: Keep a local state of drawers if no props

Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.
","diff --git a/packages/cf-component-card/test/CardDrawers.js b/packages/cf-component-card/test/CardDrawers.js
index 0148490..ed5c656 100644
--- a/packages/cf-component-card/test/CardDrawers.js
+++ b/packages/cf-component-card/test/CardDrawers.js
@@ -6,7 +6,7 @@ import {
   CardToolbarLink
 } from '../../cf-component-card/src/index';
 
-test('should render', () => {
+test('should render when given all the props', () => {
   const component = renderer.create(
     <CardDrawers
       onClick={() => {}}
@@ -19,3 +19,15 @@ test('should render', () => {
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
+
+test('should render when not given props', () => {
+  const component = renderer.create(
+    <CardDrawers
+      drawers={[
+        { id: 'one', name: 'One', content: 'One Content' },
+        { id: 'two', name: 'Two', content: 'Two Content' }
+      ]}
+    />
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,
125,f5f9820b032f730179645c4a7d0a5c230666473c,9ffb757b16e451d78489b5fa37379a439e9febc1,packages/cf-component-card/test/__snapshots__/CardDrawers.js.snap,packages/cf-component-card/test/CardDrawers.js,"Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.

Not sure if there are more tests to be written or if the snapshots are enough.","card: Keep a local state of drawers if no props

Whenever you're using the `CardDrawers` sub-component of `Card` you need
to add some keys to your state and handle all the events yourself. This
is fine if you want to control the flow very tightly but the most common
case is just to switch to the drawers selected.

This patch changes the `CardDrawers` sub-component so it still takes in
the props and those will control the component but falls back to the
local state if the props `active` and `onClick` are not present.
","diff --git a/packages/cf-component-card/test/CardDrawers.js b/packages/cf-component-card/test/CardDrawers.js
index 0148490..ed5c656 100644
--- a/packages/cf-component-card/test/CardDrawers.js
+++ b/packages/cf-component-card/test/CardDrawers.js
@@ -6,7 +6,7 @@ import {
   CardToolbarLink
 } from '../../cf-component-card/src/index';
 
-test('should render', () => {
+test('should render when given all the props', () => {
   const component = renderer.create(
     <CardDrawers
       onClick={() => {}}
@@ -19,3 +19,15 @@ test('should render', () => {
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
+
+test('should render when not given props', () => {
+  const component = renderer.create(
+    <CardDrawers
+      drawers={[
+        { id: 'one', name: 'One', content: 'One Content' },
+        { id: 'two', name: 'Two', content: 'Two Content' }
+      ]}
+    />
+  );
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,
128,fbaf7463384bbc0916a02be3192ebbb9b71e6b66,476ed384f45311e4186905e31a35df69ac893abe,packages/cf-style-provider/test/__snapshots__/index.js.snap,packages/cf-style-provider/test/index.js,"Explained here https://github.com/cloudflare/cf-ui/issues/123.

It's already dogfooded by the `/example` and tests (felaTestContext). Once published, I will introduce it into cf-styleguide, cf-ux and cf-www-next as well.","add a test for cf-style-provider
","diff --git a/packages/cf-style-provider/test/index.js b/packages/cf-style-provider/test/index.js
new file mode 100644
index 0000000..d6def53
--- /dev/null
+++ b/packages/cf-style-provider/test/index.js
@@ -0,0 +1,9 @@
+import React, { PropTypes } from 'react';
+import { createProvider } from '../../cf-style-provider/src/index';
+import renderer from 'react-test-renderer';
+
+test('StyleProvider should render', () => {
+  const StyleProvider = createProvider();
+  const component = renderer.create(<StyleProvider><div /></StyleProvider>);
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,
128,fbaf7463384bbc0916a02be3192ebbb9b71e6b66,476ed384f45311e4186905e31a35df69ac893abe,packages/cf-style-provider/test/__snapshots__/index.js.snap,packages/cf-style-provider/test/index.js,"Explained here https://github.com/cloudflare/cf-ui/issues/123.

It's already dogfooded by the `/example` and tests (felaTestContext). Once published, I will introduce it into cf-styleguide, cf-ux and cf-www-next as well.","add a test for cf-style-provider
","diff --git a/packages/cf-style-provider/test/index.js b/packages/cf-style-provider/test/index.js
new file mode 100644
index 0000000..d6def53
--- /dev/null
+++ b/packages/cf-style-provider/test/index.js
@@ -0,0 +1,9 @@
+import React, { PropTypes } from 'react';
+import { createProvider } from '../../cf-style-provider/src/index';
+import renderer from 'react-test-renderer';
+
+test('StyleProvider should render', () => {
+  const StyleProvider = createProvider();
+  const component = renderer.create(<StyleProvider><div /></StyleProvider>);
+  expect(component.toJSON()).toMatchSnapshot();
+});
",0,
133,e6d6612038a8f1aa09438dea6f9d90ed1ffbb84e,723e7944d2f02bbf49dc3c968429aaec82ca9ecd,packages/cf-component-form/test/__snapshots__/Form.js.snap,packages/cf-component-form/test/Form.js,This is ready to go!,"fix Form tests, update README, example
","diff --git a/packages/cf-component-form/test/Form.js b/packages/cf-component-form/test/Form.js
index 59910ca..4e82e67 100644
--- a/packages/cf-component-form/test/Form.js
+++ b/packages/cf-component-form/test/Form.js
@@ -1,17 +1,24 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { Form } from '../../cf-component-form/src/index';
+import { Form } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render horizontal layout', () => {
   const component = renderer.create(
-    <Form layout=""horizontal"" onSubmit={() => console.log('submit')}>Form</Form>
+    felaTestContext(
+      <Form layout=""horizontal"" onSubmit={() => console.log('submit')}>
+        Form
+      </Form>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render vertical layout', () => {
   const component = renderer.create(
-    <Form layout=""vertical"" onSubmit={() => console.log('submit')}>Form</Form>
+    felaTestContext(
+      <Form layout=""vertical"" onSubmit={() => console.log('submit')}>Form</Form>
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,
133,e6d6612038a8f1aa09438dea6f9d90ed1ffbb84e,723e7944d2f02bbf49dc3c968429aaec82ca9ecd,packages/cf-component-form/test/__snapshots__/FormFieldError.js.snap,packages/cf-component-form/test/FormFieldError.js,This is ready to go!,"fix Form tests, update README, example
","diff --git a/packages/cf-component-form/test/FormFieldError.js b/packages/cf-component-form/test/FormFieldError.js
index 1865203..5324f75 100644
--- a/packages/cf-component-form/test/FormFieldError.js
+++ b/packages/cf-component-form/test/FormFieldError.js
@@ -1,27 +1,34 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
 import { renderToStaticMarkup } from 'react-dom/server';
-import { FormFieldError } from '../../cf-component-form/src/index';
+import { FormFieldError } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render valid state', () => {
   expect(
-    renderToStaticMarkup(<FormFieldError field={{}} validations={{}} />)
+    renderToStaticMarkup(
+      felaTestContext(<FormFieldError field={{}} validations={{}} />)
+    )
   ).toBe('');
 });
 
 test('should render invalid state', () => {
   const component = renderer.create(
-    <FormFieldError field={{ invalid: true }} validations={{}} />
+    felaTestContext(
+      <FormFieldError field={{ invalid: true }} validations={{}} />
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
 
 test('should render invalid state with validation errors', () => {
   const component = renderer.create(
-    <FormFieldError
-      field={{ invalid: true }}
-      validations={{ required: 'This is required' }}
-    />
+    felaTestContext(
+      <FormFieldError
+        field={{ invalid: true }}
+        validations={{ required: 'This is required' }}
+      />
+    )
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,
133,e6d6612038a8f1aa09438dea6f9d90ed1ffbb84e,723e7944d2f02bbf49dc3c968429aaec82ca9ecd,packages/cf-component-form/test/__snapshots__/FormFieldset.js.snap,packages/cf-component-form/test/FormFieldset.js,This is ready to go!,"fix Form tests, update README, example
","diff --git a/packages/cf-component-form/test/FormFieldset.js b/packages/cf-component-form/test/FormFieldset.js
index 053f604..7651d96 100644
--- a/packages/cf-component-form/test/FormFieldset.js
+++ b/packages/cf-component-form/test/FormFieldset.js
@@ -1,10 +1,11 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormFieldset } from '../../cf-component-form/src/index';
+import { FormFieldset } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
   const component = renderer.create(
-    <FormFieldset legend=""Legend"">FormFieldset</FormFieldset>
+    felaTestContext(<FormFieldset legend=""Legend"">FormFieldset</FormFieldset>)
   );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,
133,e6d6612038a8f1aa09438dea6f9d90ed1ffbb84e,723e7944d2f02bbf49dc3c968429aaec82ca9ecd,packages/cf-component-form/test/__snapshots__/FormFooter.js.snap,packages/cf-component-form/test/FormFooter.js,This is ready to go!,"fix Form tests, update README, example
","diff --git a/packages/cf-component-form/test/FormFooter.js b/packages/cf-component-form/test/FormFooter.js
index 57c4fa2..0121a91 100644
--- a/packages/cf-component-form/test/FormFooter.js
+++ b/packages/cf-component-form/test/FormFooter.js
@@ -1,8 +1,11 @@
 import React from 'react';
 import renderer from 'react-test-renderer';
-import { FormFooter } from '../../cf-component-form/src/index';
+import { FormFooter } from '../src/index';
+import felaTestContext from '../../../felaTestContext';
 
 test('should render', () => {
-  const component = renderer.create(<FormFooter>FormFooter</FormFooter>);
+  const component = renderer.create(
+    felaTestContext(<FormFooter>FormFooter</FormFooter>)
+  );
   expect(component.toJSON()).toMatchSnapshot();
 });
",0,
