pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
102,656ce340cd5cacd1d3c8732dd06526af8ea50c74,0450a96115d1a9c87f98c5482870971db7a7ad4b,tests/python_call_mixed/__snapshots__/jsfmt.spec.js.snap,tests/python_call_mixed/jsfmt.spec.js,,"Add broken mixed call test for #101
","diff --git a/tests/python_call_mixed/jsfmt.spec.js b/tests/python_call_mixed/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_call_mixed/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
102,656ce340cd5cacd1d3c8732dd06526af8ea50c74,0450a96115d1a9c87f98c5482870971db7a7ad4b,tests/python_call_mixed/__snapshots__/jsfmt.spec.js.snap,tests/python_call_mixed/jsfmt.spec.js,,"Add broken mixed call test for #101
","diff --git a/tests/python_call_mixed/jsfmt.spec.js b/tests/python_call_mixed/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_call_mixed/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
104,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,5d50540298e855bbce24b4adc241d04dde35467f,tests/python_attributes/__snapshots__/jsfmt.spec.js.snap,tests/python_attributes/jsfmt.spec.js,,"Add failing test for multiline Attribute
","diff --git a/tests/python_attributes/jsfmt.spec.js b/tests/python_attributes/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_attributes/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
104,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,tests/python_inline_comments/__snapshots__/jsfmt.spec.js.snap,tests/python_inline_comments/jsfmt.spec.js,,"Wrap Attribute values in parens
",,0,
104,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,5d50540298e855bbce24b4adc241d04dde35467f,tests/python_attributes/__snapshots__/jsfmt.spec.js.snap,tests/python_attributes/jsfmt.spec.js,,"Add failing test for multiline Attribute
","diff --git a/tests/python_attributes/jsfmt.spec.js b/tests/python_attributes/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_attributes/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
104,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,tests/python_inline_comments/__snapshots__/jsfmt.spec.js.snap,tests/python_inline_comments/jsfmt.spec.js,,"Wrap Attribute values in parens
",,0,
19,ef96fba47bd464074dfc4cd901af393bfd22e1a6,ef96fba47bd464074dfc4cd901af393bfd22e1a6,tests/python_tuple/__snapshots__/jsfmt.spec.js.snap,tests/python_tuple/jsfmt.spec.js,Ref: https://github.com/prettier/prettier-python/issues/12#issuecomment-355213828,"Improve tuple printing
","diff --git a/tests/python_tuple/jsfmt.spec.js b/tests/python_tuple/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_tuple/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
19,ef96fba47bd464074dfc4cd901af393bfd22e1a6,ef96fba47bd464074dfc4cd901af393bfd22e1a6,tests/python_tuple/__snapshots__/jsfmt.spec.js.snap,tests/python_tuple/jsfmt.spec.js,Ref: https://github.com/prettier/prettier-python/issues/12#issuecomment-355213828,"Improve tuple printing
","diff --git a/tests/python_tuple/jsfmt.spec.js b/tests/python_tuple/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_tuple/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
25,a83b4d832f246769366e97e5f8f02697e8167bd3,a314b9843b449b74b21a6fd250f4a2b0e13234af,tests/python_comments/__snapshots__/jsfmt.spec.js.snap,tests/python_comments/jsfmt.spec.js,"Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the Python version defaults to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different in different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.","Upgrade Prettier version, fix comment discovery

Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the version is defaulting to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different on different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.
","diff --git a/tests/python_comments/jsfmt.spec.js b/tests/python_comments/jsfmt.spec.js
index 3afccf9..dc63c4d 100644
--- a/tests/python_comments/jsfmt.spec.js
+++ b/tests/python_comments/jsfmt.spec.js
@@ -1 +1,2 @@
-run_spec(__dirname, [""python""]);
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,
25,a83b4d832f246769366e97e5f8f02697e8167bd3,a314b9843b449b74b21a6fd250f4a2b0e13234af,tests/python_expressions/__snapshots__/jsfmt.spec.js.snap,tests/python_expressions/jsfmt.spec.js,"Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the Python version defaults to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different in different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.","Upgrade Prettier version, fix comment discovery

Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the version is defaulting to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different on different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.
",,0,
