pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/errors.test.js.snap,test/errors.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/errors.test.js b/test/errors.test.js
deleted file mode 100644
index a35934e..0000000
--- a/test/errors.test.js
+++ /dev/null
@@ -1,18 +0,0 @@
-import loader from '../index';
-
-it('validation', () => {
-  const validate = (options) =>
-    loader.call(
-      Object.assign(
-        {},
-        {
-          query: options,
-        }
-      ),
-      'Text'
-    );
-
-  expect(() => validate({})).not.toThrow();
-  expect(() => validate(true)).not.toThrow();
-  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
-});
",0,
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/loader.test.js b/test/loader.test.js
index 41d41bb..0086268 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -4,10 +4,12 @@ describe('loader', () => {
   it('should works', async () => {
     const stats = await webpack('basic.js');
     const { modules } = stats.toJson();
-    const [, file, separator] = modules;
+    const [inline, , file, separator] = modules;
 
+    expect(inline.source).toMatchSnapshot('inline');
     expect(file.source).toMatchSnapshot('file');
     expect(separator.source).toMatchSnapshot('separator');
+
     expect(stats.compilation.warnings).toMatchSnapshot('warnings');
     expect(stats.compilation.errors).toMatchSnapshot('errors');
   });
",0,
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/validation.test.js.snap,test/validation.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/validation.test.js b/test/validation.test.js
new file mode 100644
index 0000000..6c2ad2e
--- /dev/null
+++ b/test/validation.test.js
@@ -0,0 +1,18 @@
+import loader from '../src';
+
+it('validation', () => {
+  const validate = (options) =>
+    loader.call(
+      Object.assign(
+        {},
+        {
+          query: options,
+        }
+      ),
+      'Text'
+    );
+
+  expect(() => validate({})).not.toThrow();
+  expect(() => validate(true)).not.toThrow();
+  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
+});
",0,
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/errors.test.js.snap,test/errors.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/errors.test.js b/test/errors.test.js
deleted file mode 100644
index a35934e..0000000
--- a/test/errors.test.js
+++ /dev/null
@@ -1,18 +0,0 @@
-import loader from '../index';
-
-it('validation', () => {
-  const validate = (options) =>
-    loader.call(
-      Object.assign(
-        {},
-        {
-          query: options,
-        }
-      ),
-      'Text'
-    );
-
-  expect(() => validate({})).not.toThrow();
-  expect(() => validate(true)).not.toThrow();
-  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
-});
",0,
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/loader.test.js b/test/loader.test.js
index 41d41bb..0086268 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -4,10 +4,12 @@ describe('loader', () => {
   it('should works', async () => {
     const stats = await webpack('basic.js');
     const { modules } = stats.toJson();
-    const [, file, separator] = modules;
+    const [inline, , file, separator] = modules;
 
+    expect(inline.source).toMatchSnapshot('inline');
     expect(file.source).toMatchSnapshot('file');
     expect(separator.source).toMatchSnapshot('separator');
+
     expect(stats.compilation.warnings).toMatchSnapshot('warnings');
     expect(stats.compilation.errors).toMatchSnapshot('errors');
   });
",0,
68,12a7296c8008fe000c32287525ffb517343a7e5c,12a7296c8008fe000c32287525ffb517343a7e5c,test/__snapshots__/validation.test.js.snap,test/validation.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes

<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
","chore: integrate babel
","diff --git a/test/validation.test.js b/test/validation.test.js
new file mode 100644
index 0000000..6c2ad2e
--- /dev/null
+++ b/test/validation.test.js
@@ -0,0 +1,18 @@
+import loader from '../src';
+
+it('validation', () => {
+  const validate = (options) =>
+    loader.call(
+      Object.assign(
+        {},
+        {
+          query: options,
+        }
+      ),
+      'Text'
+    );
+
+  expect(() => validate({})).not.toThrow();
+  expect(() => validate(true)).not.toThrow();
+  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
+});
",0,
85,845377eb1bd4c42beef81ac3ef7e285c21c16430,845377eb1bd4c42beef81ac3ef7e285c21c16430,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

better validation error messages

### Breaking Changes

No

### Additional Info

No","feat: improved validation error messages
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..e31c6bd
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,18 @@
+import loader from '../src';
+
+it('validate options', () => {
+  const validate = (options) =>
+    loader.call(
+      Object.assign(
+        {},
+        {
+          query: options,
+        }
+      ),
+      'Text'
+    );
+
+  expect(() => validate({})).not.toThrow();
+  expect(() => validate(true)).not.toThrow();
+  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
+});
",0,
85,845377eb1bd4c42beef81ac3ef7e285c21c16430,845377eb1bd4c42beef81ac3ef7e285c21c16430,test/__snapshots__/validation.test.js.snap,test/validation.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

better validation error messages

### Breaking Changes

No

### Additional Info

No","feat: improved validation error messages
","diff --git a/test/validation.test.js b/test/validation.test.js
deleted file mode 100644
index 6c2ad2e..0000000
--- a/test/validation.test.js
+++ /dev/null
@@ -1,18 +0,0 @@
-import loader from '../src';
-
-it('validation', () => {
-  const validate = (options) =>
-    loader.call(
-      Object.assign(
-        {},
-        {
-          query: options,
-        }
-      ),
-      'Text'
-    );
-
-  expect(() => validate({})).not.toThrow();
-  expect(() => validate(true)).not.toThrow();
-  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
-});
",0,
85,845377eb1bd4c42beef81ac3ef7e285c21c16430,845377eb1bd4c42beef81ac3ef7e285c21c16430,test/__snapshots__/validate-options.test.js.snap,test/validate-options.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

better validation error messages

### Breaking Changes

No

### Additional Info

No","feat: improved validation error messages
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..e31c6bd
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,18 @@
+import loader from '../src';
+
+it('validate options', () => {
+  const validate = (options) =>
+    loader.call(
+      Object.assign(
+        {},
+        {
+          query: options,
+        }
+      ),
+      'Text'
+    );
+
+  expect(() => validate({})).not.toThrow();
+  expect(() => validate(true)).not.toThrow();
+  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
+});
",0,
85,845377eb1bd4c42beef81ac3ef7e285c21c16430,845377eb1bd4c42beef81ac3ef7e285c21c16430,test/__snapshots__/validation.test.js.snap,test/validation.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

better validation error messages

### Breaking Changes

No

### Additional Info

No","feat: improved validation error messages
","diff --git a/test/validation.test.js b/test/validation.test.js
deleted file mode 100644
index 6c2ad2e..0000000
--- a/test/validation.test.js
+++ /dev/null
@@ -1,18 +0,0 @@
-import loader from '../src';
-
-it('validation', () => {
-  const validate = (options) =>
-    loader.call(
-      Object.assign(
-        {},
-        {
-          query: options,
-        }
-      ),
-      'Text'
-    );
-
-  expect(() => validate({})).not.toThrow();
-  expect(() => validate(true)).not.toThrow();
-  expect(() => validate({ unknown: true })).toThrowErrorMatchingSnapshot();
-});
",0,
