pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/block/__snapshots__/spec.js.snap,src/components/block/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/block/spec.js b/src/components/block/spec.js
index 470df4b..8157cd3 100644
--- a/src/components/block/spec.js
+++ b/src/components/block/spec.js
@@ -13,6 +13,13 @@ test('Block renders correctly', () => {
   expect(tree).toMatchSnapshot()
 })
 
+test('Block `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Block triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
 test('BlockSwatches renders correctly', () => {
   const tree = renderer.create(
     <BlockSwatches colors={ ['#fff', '#999', '#000'] } />
",0,
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/github/__snapshots__/spec.js.snap,src/components/github/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/github/spec.js b/src/components/github/spec.js
index 2c60134..f15731f 100644
--- a/src/components/github/spec.js
+++ b/src/components/github/spec.js
@@ -14,6 +14,20 @@ test('Github renders correctly', () => {
   expect(tree).toMatchSnapshot()
 })
 
+test('Github `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Github { ...red } triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
+test('Github `triangle=""top-right""`', () => {
+  const tree = renderer.create(
+    <Github { ...red } triangle=""top-right"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
 test('GithubSwatch renders correctly', () => {
   const tree = renderer.create(
     <GithubSwatch color=""#333"" />
",0,
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/twitter/__snapshots__/spec.js.snap,src/components/twitter/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/twitter/spec.js b/src/components/twitter/spec.js
index c94f558..360915f 100644
--- a/src/components/twitter/spec.js
+++ b/src/components/twitter/spec.js
@@ -12,3 +12,17 @@ test('Twitter renders correctly', () => {
   ).toJSON()
   expect(tree).toMatchSnapshot()
 })
+
+test('Twitter `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Twitter { ...red } triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
+test('Twitter `triangle=""top-right""`', () => {
+  const tree = renderer.create(
+    <Twitter { ...red } triangle=""top-right"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
",0,
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/block/__snapshots__/spec.js.snap,src/components/block/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/block/spec.js b/src/components/block/spec.js
index 470df4b..8157cd3 100644
--- a/src/components/block/spec.js
+++ b/src/components/block/spec.js
@@ -13,6 +13,13 @@ test('Block renders correctly', () => {
   expect(tree).toMatchSnapshot()
 })
 
+test('Block `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Block triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
 test('BlockSwatches renders correctly', () => {
   const tree = renderer.create(
     <BlockSwatches colors={ ['#fff', '#999', '#000'] } />
",0,
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/github/__snapshots__/spec.js.snap,src/components/github/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/github/spec.js b/src/components/github/spec.js
index 2c60134..f15731f 100644
--- a/src/components/github/spec.js
+++ b/src/components/github/spec.js
@@ -14,6 +14,20 @@ test('Github renders correctly', () => {
   expect(tree).toMatchSnapshot()
 })
 
+test('Github `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Github { ...red } triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
+test('Github `triangle=""top-right""`', () => {
+  const tree = renderer.create(
+    <Github { ...red } triangle=""top-right"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
 test('GithubSwatch renders correctly', () => {
   const tree = renderer.create(
     <GithubSwatch color=""#333"" />
",0,
273,f76442ae19f33ab0a01c33584cbf1c148887c563,f76442ae19f33ab0a01c33584cbf1c148887c563,src/components/twitter/__snapshots__/spec.js.snap,src/components/twitter/spec.js,"Fixes https://github.com/casesandberg/react-color/issues/272
","Add `none` and `top-right` as triangle direction for Block, Github and Twitter
","diff --git a/src/components/twitter/spec.js b/src/components/twitter/spec.js
index c94f558..360915f 100644
--- a/src/components/twitter/spec.js
+++ b/src/components/twitter/spec.js
@@ -12,3 +12,17 @@ test('Twitter renders correctly', () => {
   ).toJSON()
   expect(tree).toMatchSnapshot()
 })
+
+test('Twitter `triangle=""none""`', () => {
+  const tree = renderer.create(
+    <Twitter { ...red } triangle=""none"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
+test('Twitter `triangle=""top-right""`', () => {
+  const tree = renderer.create(
+    <Twitter { ...red } triangle=""top-right"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
",0,
295,ac085708a89054d6f54b12e11b6a07cfb5dfbc55,ac085708a89054d6f54b12e11b6a07cfb5dfbc55,src/components/circle/__snapshots__/spec.js.snap,src/components/circle/spec.js,Closes https://github.com/casesandberg/react-color/issues/290.,"Add `circleSize` and `circleSpacing` to CirclePicker
","diff --git a/src/components/circle/spec.js b/src/components/circle/spec.js
index 57d1203..2058fec 100644
--- a/src/components/circle/spec.js
+++ b/src/components/circle/spec.js
@@ -19,3 +19,10 @@ test('CircleSwatch renders correctly', () => {
   ).toJSON()
   expect(tree).toMatchSnapshot()
 })
+
+test('CircleSwatch renders with sizing and spacing', () => {
+  const tree = renderer.create(
+    <CircleSwatch circleSize={ 40 } circleSpacing={ 40 } />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
",0,
295,ac085708a89054d6f54b12e11b6a07cfb5dfbc55,ac085708a89054d6f54b12e11b6a07cfb5dfbc55,src/components/circle/__snapshots__/spec.js.snap,src/components/circle/spec.js,Closes https://github.com/casesandberg/react-color/issues/290.,"Add `circleSize` and `circleSpacing` to CirclePicker
","diff --git a/src/components/circle/spec.js b/src/components/circle/spec.js
index 57d1203..2058fec 100644
--- a/src/components/circle/spec.js
+++ b/src/components/circle/spec.js
@@ -19,3 +19,10 @@ test('CircleSwatch renders correctly', () => {
   ).toJSON()
   expect(tree).toMatchSnapshot()
 })
+
+test('CircleSwatch renders with sizing and spacing', () => {
+  const tree = renderer.create(
+    <CircleSwatch circleSize={ 40 } circleSpacing={ 40 } />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
",0,
298,ee59712922ebee4a51c4bb9f6f1f2041c74b9634,ee59712922ebee4a51c4bb9f6f1f2041c74b9634,src/components/alpha/__snapshots__/spec.js.snap,src/components/alpha/spec.js,Closes https://github.com/casesandberg/react-color/issues/155,"Add Snapshots
","diff --git a/src/components/alpha/spec.js b/src/components/alpha/spec.js
index c04681c..d26225f 100644
--- a/src/components/alpha/spec.js
+++ b/src/components/alpha/spec.js
@@ -2,13 +2,21 @@
 
 import React from 'react'
 import renderer from 'react-test-renderer'
+import { red } from '../../helpers/color'
 
 import Alpha from './Alpha'
 import AlphaPointer from './AlphaPointer'
 
 test('Alpha renders correctly', () => {
   const tree = renderer.create(
-    <Alpha />
+    <Alpha { ...red } />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
+test('Alpha renders vertically', () => {
+  const tree = renderer.create(
+    <Alpha { ...red } width={ 20 } height={ 200 } direction=""vertical"" />
   ).toJSON()
   expect(tree).toMatchSnapshot()
 })
",0,
298,ee59712922ebee4a51c4bb9f6f1f2041c74b9634,ee59712922ebee4a51c4bb9f6f1f2041c74b9634,src/components/hue/__snapshots__/spec.js.snap,src/components/hue/spec.js,Closes https://github.com/casesandberg/react-color/issues/155,"Add Snapshots
","diff --git a/src/components/hue/spec.js b/src/components/hue/spec.js
index 921f703..5e53e98 100644
--- a/src/components/hue/spec.js
+++ b/src/components/hue/spec.js
@@ -14,6 +14,13 @@ test('Hue renders correctly', () => {
   expect(tree).toMatchSnapshot()
 })
 
+test('Hue renders vertically', () => {
+  const tree = renderer.create(
+    <Hue { ...red } width={ 20 } height={ 200 } direction=""vertical"" />
+  ).toJSON()
+  expect(tree).toMatchSnapshot()
+})
+
 test('HuePointer renders correctly', () => {
   const tree = renderer.create(
     <HuePointer />
",0,
