pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
450,0065623866c7cc14a411cf09d57e747cb036caf7,0065623866c7cc14a411cf09d57e747cb036caf7,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Avoid misleading configuration

### Breaking Changes

Yes, 

BREAKING CHANGE: the 'from' option now can only be a string, if you use `{ from: { glob: 'directory/**', dot: false } }` changed it to `{ from: 'directory/**', globOptions: { dot: false } }`

### Additional Info

No","refactor: 'from' option

BREAKING CHANGE: the 'from' option now can only be a string, if you use `{ from: { glob: 'directory/**', dot: false } }` changed it to `{ from: 'directory/**', globOptions: { dot: false } }`
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 3353450..6a86753 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -72,19 +72,6 @@ describe('validate options', () => {
         ],
         [
           {
-            from: {
-              glob: '**/*',
-              dot: false,
-            },
-            to: 'dir',
-            context: 'context',
-            globOptions: {
-              dot: false,
-            },
-          },
-        ],
-        [
-          {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
@@ -235,6 +222,16 @@ describe('validate options', () => {
             transformPath: true,
           },
         ],
+        [
+          {
+            from: {
+              glob: '**/*',
+              dot: false,
+            },
+            to: 'dir',
+            context: 'context',
+          },
+        ],
       ],
     },
   };
",0,,6,166,1,1,6,166
451,53641f0cf13ff6520dbd628c0638ab048cae0a00,53641f0cf13ff6520dbd628c0638ab048cae0a00,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Unify plugin options

### Breaking Changes

Yes

BREAKING CHANGE: the plugin now accepts an object as options, you should change `new CopyPlugin(patterns, options)` to `new CopyPlugin( { patterns, options })`

### Additional Info

No","refactor: plugin options

BREAKING CHANGE: the plugin now accepts an object as options, you should change `new CopyPlugin(patterns, options)` to `new CopyPlugin( { patterns, options })`
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 6a86753..fde45c0 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -20,7 +20,6 @@ describe('validate options', () => {
   const tests = {
     patterns: {
       success: [
-        [],
         ['test.txt'],
         ['test.txt', 'test-other.txt'],
         [
@@ -112,6 +111,7 @@ describe('validate options', () => {
         'true',
         '',
         {},
+        [],
         [''],
         [{}],
         [
@@ -234,6 +234,14 @@ describe('validate options', () => {
         ],
       ],
     },
+    options: {
+      success: [{ context: 'context' }, { ignore: ['test'] }],
+      failure: [{ context: true }, { ignore: true }],
+    },
+    unknown: {
+      success: [],
+      failure: [1, true, false, 'test', /test/, [], {}, { foo: 'bar' }],
+    },
   };
 
   function stringifyValue(value) {
@@ -255,7 +263,7 @@ describe('validate options', () => {
 
       try {
         // eslint-disable-next-line no-new
-        new CopyPlugin(key === 'patterns' ? value : { [key]: value });
+        new CopyPlugin({ [key]: value });
       } catch (errorFromPlugin) {
         if (errorFromPlugin.name !== 'ValidationError') {
           throw errorFromPlugin;
",0,,6,450,1,1,6,450
452,9edb09f7874f57be90d678d72577c945c4effab1,9edb09f7874f57be90d678d72577c945c4effab1,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Rename option to clarify

### Breaking Changes

Yes

BREAKING CHANGE: the `cache` option was renamed to `cacheTransform`

### Additional Info

No","refactor: rename the `cache` option to `cacheTransform`

BREAKING CHANGE: the `cache` option was renamed to `cacheTransform`
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index fde45c0..13ada82 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -64,8 +64,8 @@ describe('validate options', () => {
               },
             ],
             flatten: true,
-            cache: true,
             transform: () => {},
+            cacheTransform: true,
             transformPath: () => {},
           },
         ],
@@ -100,7 +100,7 @@ describe('validate options', () => {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
-            cache: {
+            cacheTransform: {
               foo: 'bar',
             },
           },
@@ -203,7 +203,7 @@ describe('validate options', () => {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
-            cache: () => {},
+            cacheTransform: () => {},
           },
         ],
         [
",0,,7,654,1,1,6,164
453,7d039d47c701304aad296cdd5b48abc20d6bdaa2,7d039d47c701304aad296cdd5b48abc20d6bdaa2,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

No need extra option (less options), you already have `context` option on pattern level

### Breaking Changes

BREAKING CHANGE: the global `context` option was removed in favor the `patten.context` option

### Additional Info

No","refactor: remove the global `context` option

BREAKING CHANGE: the global `context` option was removed in favor the `patten.context` option
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 13ada82..cf779cc 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -235,8 +235,8 @@ describe('validate options', () => {
       ],
     },
     options: {
-      success: [{ context: 'context' }, { ignore: ['test'] }],
-      failure: [{ context: true }, { ignore: true }],
+      success: [{ ignore: ['test'] }],
+      failure: [{ unknown: true }, { ignore: true }],
     },
     unknown: {
       success: [],
",0,,9,222,1,1,9,222
459,d43e1ec2f3d1dbde0a430797b5a09d6f56cbcdb1,ce080318c0f58cafa58c47a16a11a1428a996d44,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

Refactor logger

### Breaking Changes

No

### Additional Info

No
","chore: refactor logger
","diff --git a/test/CopyPlugin.test.js b/test/CopyPlugin.test.js
index d07e5cd..7fd1517 100644
--- a/test/CopyPlugin.test.js
+++ b/test/CopyPlugin.test.js
@@ -539,3 +539,32 @@ describe('apply function', () => {
     });
   });
 });
+
+describe('logging', () => {
+  it('should logging', (done) => {
+    const expectedAssetKeys = ['file.txt'];
+
+    run({
+      patterns: [
+        {
+          from: 'file.txt',
+        },
+      ],
+    })
+      .then(({ compiler, stats }) => {
+        const root = path.resolve(__dirname).replace(/\\/g, '/');
+        const logs = stats.compilation.logging
+          .get('copy-webpack-plugin')
+          .map((entry) =>
+            entry.args[0].replace(/\\/g, '/').split(root).join('.')
+          );
+
+        expect(
+          Array.from(Object.keys(readAssets(compiler, stats))).sort()
+        ).toEqual(expectedAssetKeys);
+        expect(logs).toMatchSnapshot(logs);
+      })
+      .then(done)
+      .catch(done);
+  });
+});
",0,,4,181,1,2,6,216
463,8f1a0e7ecbb75d95a22e0f6dbfee634bed1ef85c,f8a5932dbf8cf1179c3ca68244d742fbd2321b82,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

remove ignore option in favor globOptions.ignore
#449 

### Breaking Changes

Yes.

### Additional Info

Drop minimatch syntax for `ignore` in favor [fast-glob syntax](https://github.com/mrmlnc/fast-glob#pattern-syntax)

","feat: remove ignore option in favor globOptions.ignore
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index cf779cc..bd87b48 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -55,14 +55,6 @@ describe('validate options', () => {
             toType: 'file',
             test: /test/,
             force: true,
-            ignore: [
-              'ignore-1',
-              'ignore-2',
-              {
-                dot: false,
-                glob: '**/*',
-              },
-            ],
             flatten: true,
             transform: () => {},
             cacheTransform: true,
@@ -171,30 +163,6 @@ describe('validate options', () => {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
-            ignore: true,
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
-            ignore: [true],
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
-            ignore: ['test.txt', true],
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
             flatten: 'true',
           },
         ],
@@ -235,8 +203,8 @@ describe('validate options', () => {
       ],
     },
     options: {
-      success: [{ ignore: ['test'] }],
-      failure: [{ unknown: true }, { ignore: true }],
+      success: [{}],
+      failure: [{ unknown: true }],
     },
     unknown: {
       success: [],
",0,,14,444,2,3,15,771
466,d429f6f3865d8fe2090972c8bb69aa696b6dc588,2a9d307cf346c24ec06230ac9df791978836ae03,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Limits the number of simultaneous requests to fs

### Breaking Changes

No

### Additional Info

No
","feat: concurrency
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index bd87b48..69dd911 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -203,8 +203,8 @@ describe('validate options', () => {
       ],
     },
     options: {
-      success: [{}],
-      failure: [{ unknown: true }],
+      success: [{ concurrency: 50 }],
+      failure: [{ unknown: true }, { concurrency: true }],
     },
     unknown: {
       success: [],
",0,,6,121,1,2,6,157
472,91fd525d23ad24339fe66f71534e4611f0c6aad8,91fd525d23ad24339fe66f71534e4611f0c6aad8,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

Drop `test` option in favor `transformPath` option

### Breaking Changes

Yes

### Additional Info

No
","feat: drop test option in favor transformPath
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 69dd911..ab5500e 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -53,7 +53,6 @@ describe('validate options', () => {
             to: 'dir',
             context: 'context',
             toType: 'file',
-            test: /test/,
             force: true,
             flatten: true,
             transform: () => {},
@@ -76,22 +75,6 @@ describe('validate options', () => {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
-            test: 'test',
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
-            test: /test/,
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
             cacheTransform: {
               foo: 'bar',
             },
@@ -147,14 +130,6 @@ describe('validate options', () => {
             from: 'test.txt',
             to: 'dir',
             context: 'context',
-            test: true,
-          },
-        ],
-        [
-          {
-            from: 'test.txt',
-            to: 'dir',
-            context: 'context',
             force: 'true',
           },
         ],
",0,,8,242,1,1,8,242
475,d7302e852bd858d172f5c60f5423bd3f3efd437c,d7302e852bd858d172f5c60f5423bd3f3efd437c,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

implement new options `noErrorOnMissing` + improve schema

### Breaking Changes

Yes, for schema

### Additional Info

fixes #431 fixes #433","feat: implement the `noErrorOnMissing` option
","diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index ab5500e..1f9ddcb 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -58,6 +58,7 @@ describe('validate options', () => {
             transform: () => {},
             cacheTransform: true,
             transformPath: () => {},
+            noErrorOnMissing: true,
           },
         ],
         [
@@ -175,6 +176,14 @@ describe('validate options', () => {
             context: 'context',
           },
         ],
+        [
+          {
+            from: '',
+            to: 'dir',
+            context: 'context',
+            noErrorOnMissing: 'true',
+          },
+        ],
       ],
     },
     options: {
",0,,9,150,1,1,9,150
476,4e73009d41f760f1f8c4b00f6a950a97e6fbdb85,ea58aa87f00fda1bc1968ad712e6a57368c1505c,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

refactor code base

### Breaking Changes

Yes, missing file is not an error

### Additional Info

No","refactor: code
","diff --git a/test/CopyPlugin.test.js b/test/CopyPlugin.test.js
index bb6eded..107ae61 100644
--- a/test/CopyPlugin.test.js
+++ b/test/CopyPlugin.test.js
@@ -6,7 +6,7 @@ import { readAssets } from './helpers';
 
 const FIXTURES_DIR = path.join(__dirname, 'fixtures');
 
-describe('apply function', () => {
+describe('CopyPlugin', () => {
   describe('basic', () => {
     it('should copy a file', (done) => {
       runEmit({
@@ -221,9 +221,7 @@ describe('apply function', () => {
         .then(done)
         .catch(done);
     });
-  });
 
-  describe('difference path segment separation', () => {
     it('should work with linux path segment separation path when ""from"" is glob', (done) => {
       runEmit({
         expectedAssetKeys: ['directory/nested/nestedfile.txt'],
@@ -237,34 +235,6 @@ describe('apply function', () => {
         .catch(done);
     });
 
-    // Windows path segment (\\) can not use as path segment in glob, but can use as dirname at linux
-    it.skip('should work with windows path segment separation path when ""from"" is glob', (done) => {
-      runEmit({
-        expectedAssetKeys: ['directory/nested/nestedfile.txt'],
-        patterns: [
-          {
-            from: 'directory\\nested\\*',
-          },
-        ],
-      })
-        .then(done)
-        .catch(done);
-    });
-
-    // Windows path segment (\\) can not use as path segment in glob, but can use as dirname at linux
-    it.skip('should work with mixed path segment separation path when ""from"" is glob', (done) => {
-      runEmit({
-        expectedAssetKeys: ['directory/nested/nestedfile.txt'],
-        patterns: [
-          {
-            from: 'directory/nested\\*',
-          },
-        ],
-      })
-        .then(done)
-        .catch(done);
-    });
-
     it('should exclude path with linux path segment separators', (done) => {
       runEmit({
         expectedAssetKeys: [
@@ -285,28 +255,6 @@ describe('apply function', () => {
         .then(done)
         .catch(done);
     });
-
-    // Windows path segment (\\) can not use as path segment in glob, but can use as dirname at linux
-    it.skip('should exclude path with windows path segment separators', (done) => {
-      runEmit({
-        expectedAssetKeys: [
-          '[!]/hello.txt',
-          '[special?directory]/(special-*file).txt',
-          '[special?directory]/directoryfile.txt',
-          '[special?directory]/nested/nestedfile.txt',
-          'dir (86)/file.txt',
-          'dir (86)/nesteddir/deepnesteddir/deepnesteddir.txt',
-          'dir (86)/nesteddir/nestedfile.txt',
-        ],
-        patterns: [
-          {
-            from: '!(directory)\\**\\*.txt',
-          },
-        ],
-      })
-        .then(done)
-        .catch(done);
-    });
   });
 
   describe('watch mode', () => {
@@ -538,33 +486,33 @@ describe('apply function', () => {
         .catch(done);
     });
   });
-});
 
-describe('logging', () => {
-  it('should logging', (done) => {
-    const expectedAssetKeys = ['file.txt'];
-
-    run({
-      patterns: [
-        {
-          from: 'file.txt',
-        },
-      ],
-    })
-      .then(({ compiler, stats }) => {
-        const root = path.resolve(__dirname).replace(/\\/g, '/');
-        const logs = stats.compilation.logging
-          .get('copy-webpack-plugin')
-          .map((entry) =>
-            entry.args[0].replace(/\\/g, '/').split(root).join('.')
-          );
+  describe('logging', () => {
+    it('should logging', (done) => {
+      const expectedAssetKeys = ['file.txt'];
 
-        expect(
-          Array.from(Object.keys(readAssets(compiler, stats))).sort()
-        ).toEqual(expectedAssetKeys);
-        expect({ result: logs }).toMatchSnapshot({ result: logs });
+      run({
+        patterns: [
+          {
+            from: 'file.txt',
+          },
+        ],
       })
-      .then(done)
-      .catch(done);
+        .then(({ compiler, stats }) => {
+          const root = path.resolve(__dirname).replace(/\\/g, '/');
+          const logs = stats.compilation.logging
+            .get('copy-webpack-plugin')
+            .map((entry) =>
+              entry.args[0].replace(/\\/g, '/').split(root).join('.')
+            );
+
+          expect(
+            Array.from(Object.keys(readAssets(compiler, stats))).sort()
+          ).toEqual(expectedAssetKeys);
+          expect({ result: logs }).toMatchSnapshot({ result: logs });
+        })
+        .then(done)
+        .catch(done);
+    });
   });
 });
",0,,10,192,1,3,10,236
