pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
102,656ce340cd5cacd1d3c8732dd06526af8ea50c74,0450a96115d1a9c87f98c5482870971db7a7ad4b,,"Add broken mixed call test for #101
","diff --git a/tests/python_call_mixed/jsfmt.spec.js b/tests/python_call_mixed/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_call_mixed/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,3,28,1,2,4,38
104,75dfc58507d6564e93d5f1bce6d0a1080541d5b3,5d50540298e855bbce24b4adc241d04dde35467f,,"Add failing test for multiline Attribute
","diff --git a/tests/python_attributes/jsfmt.spec.js b/tests/python_attributes/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_attributes/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,3,33,1,2,5,53
19,ef96fba47bd464074dfc4cd901af393bfd22e1a6,ef96fba47bd464074dfc4cd901af393bfd22e1a6,Ref: https://github.com/prettier/prettier-python/issues/12#issuecomment-355213828,"Improve tuple printing
","diff --git a/tests/python_tuple/jsfmt.spec.js b/tests/python_tuple/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_tuple/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,4,156,1,1,4,156
25,a83b4d832f246769366e97e5f8f02697e8167bd3,a314b9843b449b74b21a6fd250f4a2b0e13234af,"Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the Python version defaults to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different in different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.","Upgrade Prettier version, fix comment discovery

Bump the dependency on the main Prettier repo to the latest commit. This allows us to specify additional options (such as `pythonVersion`). Note that the version is defaulting to Python3, which I believe matches the behavior from before.

The plugin API in the newer version requires plugins to provide a `locStart` and `locEnd` function. From what I've seen, this is to allow customization, which is something we want and will help with things like better comment rendering. However, I'm not totally sure what customizations we want/need in these functions, so for now this just copies in the old versions of those functions. This shouldn't actually be a functional change from before the upgrade, and still allows us to modify/customize that functionality in the future as needed.

I also noticed a bug in how comments are detected within Python. There was a check that hard-coded the `COMMENT` token type as `57`, but it's actually different on different versions of Python. This fixes that check to use the proper value for the given version of Python and updates a test that mistakenly did not have comments in the expected output.
","diff --git a/tests/python_comments/jsfmt.spec.js b/tests/python_comments/jsfmt.spec.js
index 3afccf9..dc63c4d 100644
--- a/tests/python_comments/jsfmt.spec.js
+++ b/tests/python_comments/jsfmt.spec.js
@@ -1 +1,2 @@
-run_spec(__dirname, [""python""]);
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,7,423,2,2,9,450
26,ee06aae8ac5d24dc0a6104651488ecd5fe400395,2fa3dec4bcc4d9cf34f1ec8cc40ca13b24ac4fba,"This adds tests to ensure that `yield` and `yield from` AST nodes are understood and printed properly, and implements the printing for those nodes. This also modifies the printer to throw when it encounters an unknown node type so that the tests actually fail before the behavior is implemented.","Add functionality for `yield` and `yield from`

This adds tests to ensure that `yield` and `yield from` AST nodes are understood and printed properly, and implements the printing for those nodes. This also modifiers the printer to throw when it encounters an unknown node type so that the tests actually fail before the behavior is implemented.
","diff --git a/tests/python_yield/jsfmt.spec.js b/tests/python_yield/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_yield/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_yield_from/jsfmt.spec.js b/tests/python_yield_from/jsfmt.spec.js
new file mode 100644
index 0000000..007404f
--- /dev/null
+++ b/tests/python_yield_from/jsfmt.spec.js
@@ -0,0 +1 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,8,64,2,4,7,138
28,9cc68953378f8d15ecdeef73df2b2adb9dc41486,9cc68953378f8d15ecdeef73df2b2adb9dc41486,"This makes list-like literals consistently have the following behavior:
- If the list is too long, it will split items onto their own lines, each indented.
- If the option is set, the last item will have a trailing comma when split onto its own line.

This also does some cleanup of Tuples to be a bit more consistent with best practices around when to have/not have parens (as I understand them). I realize this is a bit contentious and I'm certainly open to changing/reverting specific behaviors here. In general, the way I've coded in the past is to skip parens when on a single line and either unpacking into multiple variables or returning from a function; everything else has parens. Again, up for debate :)

While I'm here, fix multi-assign (assignments with multiple equals signs) to be able to test how that interacts with tuples.","Clean up handling of list-like literals

This makes list-like literals consistently have the following behavior:
- If the list is too long, it will split items onto their own lines, each indented.
- If the option is set, the list item will have a trailing comma when split onto its own line.

This also does some cleanup of Tuples to be a bit more consistent with best practices around when to have/not have parens (as I understand them). I realize this is a bit contentious and I'm certainly open to changing/reverting specific behaviors here. In general, the way I've coded in the past is to skip parens when on a single line and either unpacking into multiple variables or returning from a function, and everything else has parens. Again, up for debate :)

While I'm here, fix multi-assign (assignments with multiple equals signs) to be able to test how that interacts with tuples.
","diff --git a/tests/python_dict/jsfmt.spec.js b/tests/python_dict/jsfmt.spec.js
index dc63c4d..92df027 100644
--- a/tests/python_dict/jsfmt.spec.js
+++ b/tests/python_dict/jsfmt.spec.js
@@ -1,2 +1,3 @@
-run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
 run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_list/jsfmt.spec.js b/tests/python_list/jsfmt.spec.js
new file mode 100644
index 0000000..92df027
--- /dev/null
+++ b/tests/python_list/jsfmt.spec.js
@@ -0,0 +1,3 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_tuple/jsfmt.spec.js b/tests/python_tuple/jsfmt.spec.js
index dc63c4d..92df027 100644
--- a/tests/python_tuple/jsfmt.spec.js
+++ b/tests/python_tuple/jsfmt.spec.js
@@ -1,2 +1,3 @@
-run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
 run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,15,610,6,1,15,610
29,c27f75ea8075e2e23022cfee7230752419636a95,c27f75ea8075e2e23022cfee7230752419636a95,Add tests and a printer for set literals using the common list-like literal printer.,"Handle set literals

Add tests and a printer for set literals using the common list-like literal printer.
","diff --git a/tests/python_set/jsfmt.spec.js b/tests/python_set/jsfmt.spec.js
new file mode 100644
index 0000000..92df027
--- /dev/null
+++ b/tests/python_set/jsfmt.spec.js
@@ -0,0 +1,3 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,4,121,1,1,4,121
30,a4d7b0bea9fbb291ebe71530470166201ce33791,a4d7b0bea9fbb291ebe71530470166201ce33791,"This diff changes lambdas so that they wrap if they're too long. They will first try just putting the body on a separate line, then if the arguments are still too long they will break each argument onto its own line. Since this adds trailing comma support to arguments lists, I also added a test that function parameters get trailing commas when arguments are wrapped onto separate lines.","Clean up wrapping of lambdas and function declarations

This diff changes lambdas so that they wrap if they're too long. They will first try just putting the body on a separate line, then if the arguments are still too long they will break each argument onto its own line. Since this adds trailing comma support to arguments lists, I also added a test that parameters get trailing commas when arguments are wrapped onto separate lines.
","diff --git a/tests/python_lambdas/jsfmt.spec.js b/tests/python_lambdas/jsfmt.spec.js
index dc63c4d..92df027 100644
--- a/tests/python_lambdas/jsfmt.spec.js
+++ b/tests/python_lambdas/jsfmt.spec.js
@@ -1,2 +1,3 @@
-run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
 run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_long/jsfmt.spec.js b/tests/python_long/jsfmt.spec.js
index dc63c4d..92df027 100644
--- a/tests/python_long/jsfmt.spec.js
+++ b/tests/python_long/jsfmt.spec.js
@@ -1,2 +1,3 @@
-run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""none"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""2"", trailingComma: ""all"" });
 run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,6,124,2,1,6,124
31,0d1c9298a25ecd1ad0a70182421ce58de5a53f5b,0d1c9298a25ecd1ad0a70182421ce58de5a53f5b,Clean up how list comprehensions break across lines when long and add handlers to print out set and dict comprehensions. Added tests for the new breaking behavior and the new node types.,"Handle clean up list comprehension wrapping and handle dict and set comprehensions

Clean up how list comprehensions break across lines when long and add handlers to print out set and dict comprehensions. Added tests for the new breaking behavior and the new node types.
","diff --git a/tests/python_dict_comp/jsfmt.spec.js b/tests/python_dict_comp/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_dict_comp/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_set_comp/jsfmt.spec.js b/tests/python_set_comp/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_set_comp/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,9,316,3,1,9,316
36,b52a8c86ba47d3860aaa425c44ef0b196a20bc59,b52a8c86ba47d3860aaa425c44ef0b196a20bc59,"The existing implementation adds a single blank line between every statement in any body of statements. This changes that in a few ways:
 - Spacing will now be PEP8 compliant. In particular, this means things like top-level functions will now always have exactly two blank lines on either side of them and too many blank lines in a row will be condensed.
 - Where not specified by PEP8, user preference/style is preserved. This means that two lines of code in a function that are right next to each other (without a blank line in between) will remain next to each other.

 For implementation, for every statement in a body we look backwards to see how many newline characters precede it. We try to keep that number (as the preference), but adjust it based on constraints like PEP8.

 This diff adds some tests for blank lines both at the top-level of a file and when indented (eg within a function). It also updates the existing tests, mainly due to no longer adding a bunch of blank lines between statements.

One slightly unrelated change (which I can pull out into a separate PR) is that this removes the extra space that was printed after a bare `return` or `yield`, since my editor kept automatically stripping the trailing whitespace off the snapshots (and it's more correct to not have trailing spaces anyway).","Change statement spacing to conform to PEP8 and preserve user choices

The existing implementation adds a single blank line between every statement in any body of statements. This changes that in a few ways:
 - Spacing will now be PEP8 compliant. In particular, this means things like top-level functions will now always have exactly two blank lines on either side of them and too many blank lines in a row will be condensed.
 - Where not specified by PEP8, user preference/style is preserved. This means that two lines of code in a function that are right next to each other (without a blank line in between) will remain next to each other.

 For implementation, for every statement in a body we look backwards to see how many newline characters precede it. We try to keep that number (as the preference), but adjust it based on constraints like PEP8.

 This diff adds some tests for blank lines both at the top-level of a file and when indented (eg within a function). It also updates the existing tests, mainly due to no longer adding a bunch of blank lines between statements.
","diff --git a/tests/python_blank_lines_indented/jsfmt.spec.js b/tests/python_blank_lines_indented/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_blank_lines_indented/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });

diff --git a/tests/python_blank_lines_top_level/jsfmt.spec.js b/tests/python_blank_lines_top_level/jsfmt.spec.js
new file mode 100644
index 0000000..dc63c4d
--- /dev/null
+++ b/tests/python_blank_lines_top_level/jsfmt.spec.js
@@ -0,0 +1,2 @@
+run_spec(__dirname, [""python""], { pythonVersion: ""2"" });
+run_spec(__dirname, [""python""], { pythonVersion: ""3"" });
",0,,30,1306,24,1,30,1306
