pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
100,a6856fe010d4fc0d6bc4f9286ef73be829e9392b,b97273e1e19fce438679692f72be5c240b199d8f,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

- reduced dependencies
-  `loader-utils` package dropped from dependencies

### Breaking Changes

No

### Additional Info

No
","refactor: `loader-utils` package dropped
","diff --git a/test/loader.test.js b/test/loader.test.js
index e274b03..3a9ed34 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -38,6 +38,22 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work with an absolute path in moduleName', async () => {
+    const compiler = getCompiler('some-library.js', {
+      imports: {
+        moduleName: path.resolve(__dirname, 'fixtures', 'lib_1'),
+        name: '$',
+      },
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work with array of strings', async () => {
     const compiler = getCompiler('some-library.js', {
       imports: ['lib_1', 'lib_2'],
",0,,5,79,1,2,27,24803
113,b6c480a2849b9a09c5769ef5d313af5741cbe4ff,430cf4e8e509d01ced62bcb013ebf7369af5cb91,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

See isse #111. `imports-loader` was only generating sourcemaps when a previous loader in the chain had already provided one. Webpack itself still generates a sourcemap in these conditions, but it was incorrect due to the missing mappings for the code injected by `imports-loader`.

There is probably some room for improvement here, would be good to map an artificial source file for the code which was injected by `imports-loader`.

The existing tests were not very good - they checked that the compilation had run and produced an output JS file, but didn't even check that sourcemaps had been generated, let alone that the sourcemap was correct.","fix: fix #111 by generating sourcemaps even when a previous loader didn't pass them
","diff --git a/test/loader.test.js b/test/loader.test.js
index 75aa3c7..00ef7e4 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -1,5 +1,7 @@
 import path from ""path"";
 
+import { SourceMapConsumer } from ""source-map"";
+
 import {
   compile,
   getCompiler,
@@ -7,6 +9,7 @@ import {
   getModuleSource,
   getWarnings,
 } from ""./helpers"";
+import readAsset from ""./helpers/readAsset"";
 
 describe(""loader"", () => {
   it(""should work with a string value"", async () => {
@@ -307,7 +310,7 @@ describe(""loader"", () => {
     expect(getWarnings(stats)).toMatchSnapshot(""warnings"");
   });
 
-  it('should work with source maps when the ""devtool"" option is enabled', async () => {
+  it('should generate source maps when the ""devtool"" option is enabled', async () => {
     const compiler = getCompiler(
       ""some-library.js"",
       {},
@@ -322,9 +325,6 @@ describe(""loader"", () => {
                   loader: path.resolve(__dirname, ""../src""),
                   options: { imports: ""lib_1"" },
                 },
-                {
-                  loader: ""babel-loader"",
-                },
               ],
             },
           ],
@@ -332,20 +332,24 @@ describe(""loader"", () => {
       }
     );
     const stats = await compile(compiler);
+    const bundle = readAsset(""main.bundle.js"", stats).split(""\n"");
+    const sourceMap = readAsset(""main.bundle.js.map"", stats);
 
-    expect(getModuleSource(""./some-library.js"", stats)).toMatchSnapshot(
-      ""module""
-    );
-    expect(getErrors(stats)).toMatchSnapshot(""errors"");
-    expect(getWarnings(stats)).toMatchSnapshot(""warnings"");
+    const consumer = new SourceMapConsumer(sourceMap);
+    const result = consumer.generatedPositionFor({
+      line: 1,
+      column: 0,
+      source: ""webpack://ImportsLoader/some-library.js"",
+    });
+    expect(bundle[result.line - 1 /* 1-indexed */]).toEqual(""var someCode = {"");
   });
 
-  it('should not work with source maps when the ""devtool"" options are disabled', async () => {
+  it('should update source maps from previous loaders when the ""devtool"" option is enabled', async () => {
     const compiler = getCompiler(
       ""some-library.js"",
       {},
       {
-        devtool: false,
+        devtool: ""source-map"",
         module: {
           rules: [
             {
@@ -355,9 +359,7 @@ describe(""loader"", () => {
                   loader: path.resolve(__dirname, ""../src""),
                   options: { imports: ""lib_1"" },
                 },
-                {
-                  loader: ""babel-loader"",
-                },
+                { loader: ""babel-loader"" },
               ],
             },
           ],
@@ -365,12 +367,16 @@ describe(""loader"", () => {
       }
     );
     const stats = await compile(compiler);
+    const bundle = readAsset(""main.bundle.js"", stats).split(""\n"");
+    const sourceMap = readAsset(""main.bundle.js.map"", stats);
 
-    expect(getModuleSource(""./some-library.js"", stats)).toMatchSnapshot(
-      ""module""
-    );
-    expect(getErrors(stats)).toMatchSnapshot(""errors"");
-    expect(getWarnings(stats)).toMatchSnapshot(""warnings"");
+    const consumer = new SourceMapConsumer(sourceMap);
+    const result = consumer.generatedPositionFor({
+      line: 1,
+      column: 0,
+      source: ""webpack://ImportsLoader/some-library.js"",
+    });
+    expect(bundle[result.line - 1 /* 1-indexed */]).toEqual(""var someCode = {"");
   });
 
   it('should work with ""default"" imports without syntax', async () => {
",0,,5,122,1,2,3,130
211,f82521bee5573cd0b82323b32291fa54852fecfb,f2eec9fba4ee5c02494c35fc078678c24551603b,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [ ] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case
upgrade eslint from v8 to v9
<!--
  Please explain the motivation or use-case for your change.
  What existing problem does the PR solve?
  If this PR addresses an issue, please link to the issue.
-->

### Breaking Changes
No
<!--
  If this PR introduces a breaking change, please describe the impact and a
  migration path for existing applications.
-->

### Additional Info
No","chore: update snapshots
",,0,,1,30,1,5,19,5159
74,c19daa4a9cae10bec1881ab06aca7a45d612fa5a,8d909f6ecb88cde9a8040909e95b4d882aba01cb,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

refactor code

Adds the ability to configure imports through the webpack.config

Fixes #71
Fixes #63
Fixes #61
Fixes #60
Fixes #33
Fixes #29
Fixes #25

### Breaking Changes

Yes

### Additional Info

No
","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index 25ffa69..2cd8e8a 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -7,11 +7,9 @@ import {
 } from './helpers';
 
 describe('loader', () => {
-  it.only('should set a variable', async () => {
+  it('should require when import option is string', async () => {
     const compiler = getCompiler('some-library.js', {
-      someVariable: '>1',
-      anotherVariable: '>2',
-      'someVariable.someProperty.someSubProperty': '>1',
+      import: 'lib_1',
     });
     const stats = await compile(compiler);
 
@@ -21,4 +19,184 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
+
+  it('should require when import option is object', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: {
+        moduleName: './lib_1',
+        names: '$',
+      },
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when import option is filePath', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: {
+        moduleName: './lib_1',
+        names: '$',
+      },
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when import option is array', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: ['lib_1', 'lib_2'],
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when import-default', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: [
+        'lib_1',
+        {
+          moduleName: './lib_2.js',
+          names: {
+            name: 'lib_2',
+            default: true,
+          },
+        },
+        {
+          moduleName: './lib_3.js',
+          names: [
+            {
+              name: 'defaultExport',
+              default: true,
+            },
+            {
+              name: 'lib_3_method',
+              alias: 'method',
+            },
+          ],
+        },
+        {
+          moduleName: './lib_4',
+          names: [
+            {
+              name: 'lib_4',
+              default: true,
+            },
+            {
+              alias: 'lib_4_all',
+              nameSpace: true,
+            },
+          ],
+        },
+      ],
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when name-space-import', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: [
+        {
+          moduleName: './lib_1',
+          names: [
+            {
+              alias: 'lib_1_all',
+              nameSpace: true,
+            },
+          ],
+        },
+      ],
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when named-imports', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: [
+        {
+          moduleName: './lib_1',
+          names: [
+            {
+              name: 'lib1_method',
+            },
+          ],
+        },
+        {
+          moduleName: './lib_2',
+          names: [
+            {
+              name: 'lib2_method_1',
+            },
+            {
+              name: 'lib2_method_2',
+              alias: 'lib_2_method_2_short',
+            },
+          ],
+        },
+      ],
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should require when import-side-effect', async () => {
+    const compiler = getCompiler('some-library.js', {
+      import: {
+        moduleName: './lib_1',
+        names: false,
+      },
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should work wrapper and additionalCode option', async () => {
+    const compiler = getCompiler('some-library.js', {
+      wrapper: 'windows',
+      additionalCode: 'var someVariable = 1;',
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(stats.compilation.errors).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
 });

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
new file mode 100644
index 0000000..207fb1a
--- /dev/null
+++ b/test/validate-options.test.js
@@ -0,0 +1,123 @@
+import { getCompiler, compile } from './helpers';
+
+describe('validate options', () => {
+  const tests = {
+    import: {
+      success: [
+        'lib_1',
+        'globalObject1.foo',
+        ['globalObject1'],
+        ['globalObject1.foo'],
+        {
+          names: false,
+        },
+        {
+          names: [
+            'lib',
+            {
+              name: 'lib',
+            },
+            {
+              name: 'lib',
+              alias: 'lib',
+            },
+            {
+              name: 'lib',
+              default: true,
+            },
+            {
+              alias: 'lib',
+              nameSpace: true,
+            },
+            [
+              'lib',
+              {
+                name: 'lib',
+              },
+              {
+                name: 'lib',
+                alias: 'lib',
+              },
+              {
+                name: 'lib',
+                default: true,
+              },
+              {
+                alias: 'lib',
+                nameSpace: true,
+              },
+            ],
+          ],
+        },
+      ],
+      failure: [false, true, /test/, '', [], [''], {}],
+    },
+    wrapper: {
+      success: ['windows'],
+      failure: [false, true, /test/, [], [''], {}],
+    },
+    additionalCode: {
+      success: ['var x = 2;'],
+      failure: [false, true, /test/, [], [''], {}],
+    },
+    unknown: {
+      success: [],
+      failure: [1, true, false, 'test', /test/, [], {}, { foo: 'bar' }],
+    },
+  };
+
+  function stringifyValue(value) {
+    if (
+      Array.isArray(value) ||
+      (value && typeof value === 'object' && value.constructor === Object)
+    ) {
+      return JSON.stringify(value);
+    }
+
+    return value;
+  }
+
+  async function createTestCase(key, value, type) {
+    it(`should ${
+      type === 'success' ? 'successfully validate' : 'throw an error on'
+    } the ""${key}"" option with ""${stringifyValue(value)}"" value`, async () => {
+      const compiler = getCompiler('some-library.js', {
+        [key]: value,
+      });
+
+      let stats;
+
+      try {
+        stats = await compile(compiler);
+      } finally {
+        if (type === 'success') {
+          const validationErrors = [];
+
+          stats.compilation.errors.forEach((error) => {
+            if (error.message.indexOf('ValidationError') !== -1) {
+              validationErrors.push(error);
+            }
+          });
+          expect(validationErrors.length).toBe(0);
+        } else if (type === 'failure') {
+          const {
+            compilation: { errors },
+          } = stats;
+
+          expect(errors).toHaveLength(1);
+          expect(() => {
+            throw new Error(errors[0].error.message);
+          }).toThrowErrorMatchingSnapshot();
+        }
+      }
+    });
+  }
+
+  for (const [key, values] of Object.entries(tests)) {
+    for (const type of Object.keys(values)) {
+      for (const value of values[type]) {
+        createTestCase(key, value, type);
+      }
+    }
+  }
+});
",0,,13,958,2,15,19,2197
76,8a007931e3052a9d1c177489c054241a905a0261,17c1c11b637466b90784ac0002ae04a160276c0f,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [x] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

refactor code before release

### Breaking Changes

Yes, look at README

### Additional Info

No
","refactor: code
","diff --git a/test/loader.test.js b/test/loader.test.js
index 7bd193b..5d70dab 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -7,6 +7,7 @@ import {
 } from './helpers';
 
 describe('loader', () => {
+  // TODO rename test
   it('should require when import option is string', async () => {
     const compiler = getCompiler('some-library.js', {
       imports: 'lib_1',
@@ -520,4 +521,27 @@ describe('loader', () => {
     expect(getErrors(stats)).toMatchSnapshot('errors');
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
+
+  it('should require when import option is string', async () => {
+    const compiler = getCompiler('some-library.js', {
+      imports: '   lib_1   ',
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'result'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should throw an error on the empty string', async () => {
+    const compiler = getCompiler('some-library.js', {
+      imports: '      ',
+    });
+    const stats = await compile(compiler);
+
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
 });
",0,,8,234,2,29,10,8603
77,7f5f39074d9c90458eaf33a6be261225533f17a7,7f5f39074d9c90458eaf33a6be261225533f17a7,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [x] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

fixes #13

### Breaking Changes

No

### Additional Info

In future, we should migrate on parser","fix: respect 'use strict'
","diff --git a/test/loader.test.js b/test/loader.test.js
index e827438..f808980 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -149,6 +149,56 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work with ""use-strict"" with ES modules', async () => {
+    const compiler = getCompiler('use-strict.js', {
+      imports: 'lib_1',
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./use-strict.js', stats)).toMatchSnapshot('module');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should work with ""use-strict"" with CommonJS modules', async () => {
+    const compiler = getCompiler('use-strict.js', {
+      type: 'commonjs',
+      imports: 'lib_1',
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./use-strict.js', stats)).toMatchSnapshot('module');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should work with ""use-strict"" not in program with ES modules', async () => {
+    const compiler = getCompiler('use-strict-in-function.js', {
+      imports: 'lib_1',
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./use-strict-in-function.js', stats)
+    ).toMatchSnapshot('module');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should work with ""use-strict"" not in program with CommonJS modules', async () => {
+    const compiler = getCompiler('use-strict-in-function.js', {
+      type: 'commonjs',
+      imports: 'lib_1',
+    });
+    const stats = await compile(compiler);
+
+    expect(
+      getModuleSource('./use-strict-in-function.js', stats)
+    ).toMatchSnapshot('module');
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work with ""imports"", ""wrapper"" and ""additionalCode"" options', async () => {
     const compiler = getCompiler('some-library.js', {
       imports: {
",0,,9,215,1,1,9,220
78,00038c2ee688f7d024df3af5f999d5157fc4c567,00038c2ee688f7d024df3af5f999d5157fc4c567,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

fixes #57

### Breaking Changes

No

### Additional Info

No","refactor: `wrapper` option
","diff --git a/test/loader.test.js b/test/loader.test.js
index f808980..6b2f938 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -217,7 +217,20 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
-  it('should work with the ""wrapper"" option', async () => {
+  it('should work with the ""wrapper"" option as a boolean notation', async () => {
+    const compiler = getCompiler('some-library.js', {
+      wrapper: true,
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
+  it('should work with the ""wrapper"" option as a string notation', async () => {
     const compiler = getCompiler('some-library.js', {
       wrapper: 'window',
     });
@@ -230,9 +243,12 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
-  it('should work with the ""wrapper"" options and arguments', async () => {
+  it('should work with the ""wrapper"" options as an object notation', async () => {
     const compiler = getCompiler('some-library.js', {
-      wrapper: ['window', 'document'],
+      wrapper: {
+        thisArg: 'window',
+        args: ['myGlobalVariable', 'myOtherGlobalVariable'],
+      },
     });
     const stats = await compile(compiler);
 

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index 6d1d615..c867ff2 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -84,8 +84,23 @@ describe('validate options', () => {
       ],
     },
     wrapper: {
-      success: ['window', ['window', 'document']],
-      failure: [false, true, [], ['']],
+      success: [
+        true,
+        false,
+        'window',
+        { thisArg: 'window' },
+        { thisArg: 'window', args: ['foo', 'bar'] },
+      ],
+      failure: [
+        [],
+        [''],
+        /test/,
+        {},
+        { unknown: true },
+        { thisArg: 1 },
+        { thisArg: 'window', args: true },
+        { thisArg: 'window', args: [1, 'bar'] },
+      ],
     },
     additionalCode: {
       success: ['var x = 2;'],
",0,,7,297,2,1,7,297
79,99ca609a5182d5cbac77512bf86b6c875b136ba1,99ca609a5182d5cbac77512bf86b6c875b136ba1,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

adds ""|"" as a command delimiter for string syntax

### Breaking Changes

No

### Additional Info

No

","feat: add command separator for string syntax
","diff --git a/test/loader.test.js b/test/loader.test.js
index 6b2f938..098b6be 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -764,8 +764,8 @@ describe('loader', () => {
       type: 'module',
       imports: [
         'lib_1',
-        'default lib_1 default_name',
-        'default lib_1 $',
+        'default|lib_1 default_name',
+        'default|lib_1|$',
         'default lib_2 lib_2_all',
         'named lib_2 lib2_method_1',
         'named lib_2 lib2_method_2 lib_2_method_2_short',
@@ -1166,6 +1166,17 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should throw an error when more then one command separator', async () => {
+    const compiler = getCompiler('some-library.js', {
+      type: 'module',
+      imports: ['default | lib_1 default_name'],
+    });
+    const stats = await compile(compiler);
+
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work and union ""default"" with ""named""', async () => {
     const compiler = getCompiler('some-library.js', {
       imports: ['default lib_1', 'named lib_1 lib_method'],
",0,,7,75,1,1,7,75
82,90afa0240e6e2642c3e8752aa0b0a7aebf989275,4b59021eba0db7439dcdff48ab5affd2abf92583,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [x] **typo fix**
- [x] **metadata update**

### Motivation / Use-Case

release + update docs + some refactor

### Breaking Changes

No

### Additional Info

No","chore(release): 1.1.0
","diff --git a/test/loader.test.js b/test/loader.test.js
index 098b6be..fa7462d 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -979,6 +979,17 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work with inline syntax #3', async () => {
+    const compiler = getCompiler('inline4.js', {}, {}, true);
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should throw error on invalid inline syntax', async () => {
     const compiler = getCompiler('inline-broken.js', {}, {}, true);
     const stats = await compile(compiler);
",0,,5,70,1,3,8,91
86,86162a798829d84913d02a4546fb245384c507c9,33de5b687d5f0d541857b99e659674733c253324,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [x] new **feature**
- [ ] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

I wanted to create a wrapper like this: https://github.com/google/shaka-player/blob/master/build/wrapper.template.js where it should be possible for me where arguments and parameters have different names.

The current loader is perfect for the use case: it has hook for `additionalCode` as well as `wrapper`. This PR adds the only missing functionality: differing names.

### Breaking Changes

None.

### Additional Info

None.
","feat: add custom parameter names for wrapper args
","diff --git a/test/loader.test.js b/test/loader.test.js
index fa7462d..e274b03 100644
--- a/test/loader.test.js
+++ b/test/loader.test.js
@@ -259,6 +259,25 @@ describe('loader', () => {
     expect(getWarnings(stats)).toMatchSnapshot('warnings');
   });
 
+  it('should work with the ""wrapper.args"" options as an object notation', async () => {
+    const compiler = getCompiler('some-library.js', {
+      wrapper: {
+        thisArg: 'window',
+        args: {
+          foo1: 'bar1',
+          foo2: 'bar2',
+        },
+      },
+    });
+    const stats = await compile(compiler);
+
+    expect(getModuleSource('./some-library.js', stats)).toMatchSnapshot(
+      'module'
+    );
+    expect(getErrors(stats)).toMatchSnapshot('errors');
+    expect(getWarnings(stats)).toMatchSnapshot('warnings');
+  });
+
   it('should work with the ""additionalCode"" option', async () => {
     const compiler = getCompiler('some-library.js', {
       additionalCode: 'var someVariable = 1;',

diff --git a/test/validate-options.test.js b/test/validate-options.test.js
index c867ff2..ff122ae 100644
--- a/test/validate-options.test.js
+++ b/test/validate-options.test.js
@@ -90,6 +90,7 @@ describe('validate options', () => {
         'window',
         { thisArg: 'window' },
         { thisArg: 'window', args: ['foo', 'bar'] },
+        { thisArg: 'window', args: { foo: 'bar' } },
       ],
       failure: [
         [],
",0,,6,85,2,3,7,129
