pr_number,pr_head_commit,commit_hash,pr_description,commit_message,diff_text,reverted,revert_type,first_commit_files,first_commit_lines,first_commit_snaps,pr_total_commits,pr_final_files,pr_final_lines
33,32e4f297de78ce5e533c46e61c22b41c64f74390,1daa3485ef2bffc96da760acff261a29e324e43e,"It adds supporting of shorthands in attributes. Initial issue [#1 (Fails on boolean attributes)](https://github.com/pugjs/babel-plugin-transform-react-pug/issues/1).

Now following syntax won't throw an error:

```pug
div(first second third)
```

But this one will throw:

```pug
div(
  first!=""stirng"" 
  second!=variable
)
```

Checklist:

- [x] Use `context.error` instead of `new Error` to keep well-described errors
- [x] Update `pug-lexer` and remove workaround to keep `mustEscape` correct","Add tests for attributes shorthands
","diff --git a/src/__tests__/attributes-shorthand.test.js b/src/__tests__/attributes-shorthand.test.js
new file mode 100644
index 0000000..e7b91de
--- /dev/null
+++ b/src/__tests__/attributes-shorthand.test.js
@@ -0,0 +1,3 @@
+import testHelper from './test-helper';
+
+testHelper(__dirname + '/attributes-shorthand.input.js');
",0,,3,41,1,15,9,342
34,250ee06dd626989c2b9ac038615aef23d037275f,7789fcc58ec2d222a9e0d2a6bbe0466fd1f2dd03,"It updates all eslint dependencies and updates flow-bin (via npm).

Addresses all linting issues and adds `npm run lint` command to CI, so Travis will help to keep code style of the project consistent.","Update snapshots according to new updated test files
",,0,,11,133,11,11,47,9757
36,dd7f2dfad1c98118bd9c5e1c0d93bee0214ffa5f,dd7f2dfad1c98118bd9c5e1c0d93bee0214ffa5f,"I tried to add pug template-strings to an existing React project, but found that I was getting an error `unexpected token ""indent""` on all of the JSX templates I converted. After investigation, I found that the library compensates for indentation by counting spaces, but this project is using tabs to indent. Thus the indentation is not removed and when the Pug parser gets the template string it finds that the first line is indented and throws an error. This pull request instead changes this logic to look for the longest common prefix of spaces and tabs (ignoring blank lines). This will work with both space- and tab-based indentation, plus any mixed indentation should it be used.

I have also commit 17c3cf9 which is the result of NPM changing the lockfile during `npm install`; I don't really understand why it has done this. Additionally, I tried linting the project but got this error:
```
Error: forbeslindesay:
        Configuration for rule ""no-labels"" is invalid:
        Value ""2,[object Object]"" has more items than allowed.
```
Therefore, the code has not been linted so the style may not be correct.","Support tabs for indentation.
","diff --git a/src/__tests__/tabs.test.js b/src/__tests__/tabs.test.js
new file mode 100644
index 0000000..36617b9
--- /dev/null
+++ b/src/__tests__/tabs.test.js
@@ -0,0 +1,3 @@
+import testHelper from './test-helper';
+
+testHelper(__dirname + '/tabs.input.js');
",0,,6,52,1,1,6,52
42,92201c59d53e4d05737dc85d2714e7aaaa656bef,18fa72b3f4cdb403da6f35950f746913bd6322a4,"Here is initial issue: #21 

## Explanation of the problem

After investigating of why JSX does not handle xhtml-entities I realized that they do it during 'parse'-phase (they go through all `JSXText` elements and transform content inside). Their main idea is to keep tokens and AST already sanitized, so all plugins will get correct unicode characters.

The path looks so:

```
         parse:     transform:             generate:
INPUT -> babylon -> transform-react-jsx -> babylon   -> OUTPUT
```

And our plugin goes after 'parse'-phase as well:

```
         parse:     transform:                                    generate:
INPUT -> babylon -> transform-react-pug -> transform-react-jsx -> babylon   -> OUTPUT
```

This all means that when we add our plugin it does not have any `JSXText` on 'parse'-phase, it has template literal with pug. So it does not sanitize xhtml-entities (because no `JSXText`).

I discussed it in [babel's official slack](https://slack.babeljs.io/) and it looks like they are aware of it and it happens by design. So we have to handle XHTML-entities on our end.","Add tests to check handling of xhtml entities (named and numeric)
","diff --git a/src/__tests__/html-entities.test.js b/src/__tests__/html-entities.test.js
new file mode 100644
index 0000000..e281603
--- /dev/null
+++ b/src/__tests__/html-entities.test.js
@@ -0,0 +1,22 @@
+import {transformFileSync} from 'babel-core';
+import transformReactPug from '../';
+import transformReactJsx from 'babel-plugin-transform-react-jsx';
+
+const FILENAME = __dirname + '/html-entities.input.js';
+
+const transform = (...plugins) =>
+  transformFileSync(FILENAME, {
+    babelrc: false,
+    compact: false,
+    plugins: [transformReactPug, ...plugins],
+  }).code;
+
+test('JavaScript output', () => {
+  const src = transform();
+  expect(src).toMatchSnapshot('transformed source code');
+});
+
+test('JSX output', () => {
+  const src = transform(transformReactJsx);
+  expect(src).toMatchSnapshot('generated JSX');
+});
",0,,3,61,1,4,9,94
44,1d48f781ccd8381d3dccd654405af0381f0c4400,4663f3b920f4dc2e19695406b4783b8d1632f3da,"This fixes #26.

# Overview

If there are multiple root elements specified, these will now be wrapped in a `React.Fragment`.

# Example

## In
```js
const BookInfo = () => pug`
  div
  div
`
```

## Out
```js
const BookInfo = () => <React.Fragment><div/><div/></React.Fragment>
```

# *Note: Babel 7*
 
`buildJSXFragment` can be replaced when migrating to Babel 7 as `JSXFragment` has been added in [v7.0.0-beta.30](https://github.com/babel/babylon/releases/tag/v7.0.0-beta.30).

Therefore `buildJSXFragment` functionality can be achieved by:

```js
t.jSXFragment(t.jSXOpeningFragment(), t.jSXClosingFragment(), children)
```
","feat(fragment) - Wraps multiple root children in react fragment
","diff --git a/src/__tests__/react-fragment.test.js b/src/__tests__/react-fragment.test.js
new file mode 100644
index 0000000..5030e4c
--- /dev/null
+++ b/src/__tests__/react-fragment.test.js
@@ -0,0 +1,3 @@
+import testHelper from './test-helper';
+
+testHelper(__dirname + '/react-fragment.input.js');
",0,,7,150,2,4,7,152
5,b11541552c831c13573a5eea0e7fabe46c715e9d,e98080f6cd8a70472e094c076951ce69e80265c4,"### About
This PR contains amendments, tests and documentation for supporting interpolation in pug templates. The interpolations allowed are for elements, attributes and text. 

### Examples:
```js
const Button = (props) => pug`button(onClick=${props.send}) ${props.title}`
```
```js
const List = (props) => {
  return pug`
    ul.list
      ${ props.items.map((item) => pug`li.list__item= item` }
  `
}
```
```js
const Statement = (props) => pug`p ${props.name} is guilty of ${props.crime}`
```

","Support for interpolations - tag, attr + text, tests and flow windows support
","diff --git a/src/__tests__/interpolation.test.js b/src/__tests__/interpolation.test.js
new file mode 100644
index 0000000..a47286e
--- /dev/null
+++ b/src/__tests__/interpolation.test.js
@@ -0,0 +1,3 @@
+import testHelper from './test-helper';
+
+testHelper(__dirname + '/interpolation.input.js');
\ No newline at end of file
",0,,9,229,1,6,19,532
71,c38603f8e194200230f67910f59ff2edd95e4ac6,b490ee5ad2cd06cd38153e6791d0184351020525,"Closes #69 

So it basically make work with className attribute more obvious. If you pass array — you expect array, variable — variable.

","Make class attribute consistent with other attributes
","diff --git a/src/__tests__/attributes-transformation.test.js b/src/__tests__/attributes-transformation.test.js
new file mode 100644
index 0000000..15edb6d
--- /dev/null
+++ b/src/__tests__/attributes-transformation.test.js
@@ -0,0 +1,3 @@
+import testHelper from './test-helper';
+
+testHelper(__dirname + '/attributes-transformation.input.js');
",0,,6,180,2,5,8,343
74,5f99adee6962faacb01a2cb8fa1bf5d38112d13d,98dd7176d338a4ca5d565238da55b3dda97202f9,"So now we wrap all non-jsx statements by React.Fragment. Now the following code works well.

```jsx
pug`
  - console.log('Hello')
  p I'm sibling
`
```","Wrap non-JSX children by jSXContainer
","diff --git a/src/__tests__/react-fragment.test.js b/src/__tests__/react-fragment.test.js
index 5030e4c..41ba4aa 100644
--- a/src/__tests__/react-fragment.test.js
+++ b/src/__tests__/react-fragment.test.js
@@ -1,3 +1,13 @@
 import testHelper from './test-helper';
 
-testHelper(__dirname + '/react-fragment.input.js');
+describe('basic', () => {
+  testHelper(__dirname + '/react-fragment.input.js');
+});
+
+describe('with inline javascript', () => {
+  testHelper(__dirname + '/react-fragment-inline-js.input.js');
+});
+
+describe('with each', () => {
+  testHelper(__dirname + '/react-fragment-each.input.js');
+});
",0,,5,113,1,2,6,146
76,654fb2c291d43840ba00c63466ac2299eb60b944,4ea0dc1f9617d05e2895af3f69d1a271d5a6a933,"It basically makes sure that following snippet won't render anything. Before that it crashed with the error.

```jsx
pug`
  if false
    p Hello
`
```

How it works: now instead of transforming falsy-branch into `undefined`, we transform it into `null`. JSX+React works perfectly with `null`.","Add checks that single code works as expected
","diff --git a/src/__tests__/plain-js.test.js b/src/__tests__/plain-js.test.js
new file mode 100644
index 0000000..631bf5a
--- /dev/null
+++ b/src/__tests__/plain-js.test.js
@@ -0,0 +1,21 @@
+import testHelper from './test-helper';
+
+describe('code', () => {
+  testHelper(__dirname + '/plain-js-code.input.js');
+});
+
+describe('code-multiline', () => {
+  testHelper(__dirname + '/plain-js-code-multiline.input.js');
+});
+
+describe('if', () => {
+  testHelper(__dirname + '/plain-js-if.input.js');
+});
+
+describe('each', () => {
+  testHelper(__dirname + '/plain-js-each.input.js');
+});
+
+describe('while', () => {
+  testHelper(__dirname + '/plain-js-while.input.js');
+});
",0,,10,163,1,3,17,221
77,34a5dc822c25007bb265dfd48f383e8f7b0752e3,a230a7ec75973cd10db9af076333dab259c50b57,"So instead of transpiling `each` into own loops with own logic and conditions, we transpile it into `.map`.

For example:

```pug
each item in [1, 2, 3]
  p(key=item)= item
```

```jsx
[1, 2, 3].map(item => (
  <p key={item}>{item}</p>
))
```","Add tests that we render mulptiple loops in root
","diff --git a/src/__tests__/plain-js.test.js b/src/__tests__/plain-js.test.js
index 45ec86a..80319b5 100644
--- a/src/__tests__/plain-js.test.js
+++ b/src/__tests__/plain-js.test.js
@@ -16,6 +16,10 @@ describe('each', () => {
   testHelper(__dirname + '/plain-js-each.input.js');
 });
 
+describe('each-multiple', () => {
+  testHelper(__dirname + '/plain-js-each-multiple.input.js');
+});
+
 describe('while', () => {
   testHelper(__dirname + '/plain-js-while.input.js');
 });
",0,,3,50,1,6,11,644
