pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
191,b2d6c2637a03313473c3addd8798f7a0351d67b6,b2d6c2637a03313473c3addd8798f7a0351d67b6,__tests__/__snapshots__/install.spec.js.snap,__tests__/install.spec.js,"- add missing config hit with screenview events
- use events instead of config for pageviews and screenviews
- add default send_page_view to false and add send_page_view to true for every pageview and screenview hit because the documentation suggests this on SPAs

closes #178 ","fix(screenview): missing config hit
",,0,
191,b2d6c2637a03313473c3addd8798f7a0351d67b6,b2d6c2637a03313473c3addd8798f7a0351d67b6,__tests__/__snapshots__/install.spec.js.snap,__tests__/install.spec.js,"- add missing config hit with screenview events
- use events instead of config for pageviews and screenviews
- add default send_page_view to false and add send_page_view to true for every pageview and screenview hit because the documentation suggests this on SPAs

closes #178 ","fix(screenview): missing config hit
",,0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,166b5de0847fb00629cbadbe6945fa2194b6f275,__tests__/__snapshots__/install.spec.js.snap,__tests__/install.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: initial restore
","diff --git a/__tests__/install.spec.js b/__tests__/install.spec.js
deleted file mode 100644
index 7e93a05..0000000
--- a/__tests__/install.spec.js
+++ /dev/null
@@ -1,50 +0,0 @@
-import { getVue, getRouter, install, getOptions, setRouter } from ""@/install"";
-import bootstrap from ""@/bootstrap"";
-import extend from ""@/extend"";
-
-jest.mock(""@/extend"");
-jest.mock(""@/bootstrap"");
-
-describe(""install"", () => {
-  afterEach(() => {
-    jest.clearAllMocks();
-  });
-
-  it(""should have default options"", () => {
-    expect(getOptions()).toMatchSnapshot();
-  });
-
-  it(""should return VueRouter"", () => {
-    install(null, null, { foo: ""bar"" });
-    expect(getRouter()).toEqual({ foo: ""bar"" });
-  });
-
-  it(""should set VueRouter"", () => {
-    const router = { foo: ""bar"" };
-
-    install();
-    setRouter(router);
-
-    expect(getRouter()).toEqual(router);
-  });
-
-  it(""should return Vue"", () => {
-    install({ foo: ""bar"" });
-    expect(getVue()).toEqual({ foo: ""bar"" });
-  });
-
-  it(""should call extend"", () => {
-    install();
-    expect(extend).toHaveBeenCalled();
-  });
-
-  it(""should call bootstrap"", () => {
-    install();
-    expect(bootstrap).toHaveBeenCalled();
-  });
-
-  it(""should not bootstrap"", () => {
-    install(null, { bootstrap: false });
-    expect(bootstrap).not.toHaveBeenCalled();
-  });
-});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,166b5de0847fb00629cbadbe6945fa2194b6f275,__tests__/__snapshots__/util.spec.js.snap,__tests__/util.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: initial restore
","diff --git a/__tests__/util.spec.js b/__tests__/util.spec.js
deleted file mode 100644
index 7ed1504..0000000
--- a/__tests__/util.spec.js
+++ /dev/null
@@ -1,99 +0,0 @@
-import * as util from ""@/util"";
-import flushPromises from ""flush-promises"";
-
-describe(""loadScript"", () => {
-  afterEach(() => {
-    document.getElementsByTagName(""html"")[0].innerHTML = """";
-  });
-
-  it(""should return a promise"", () => {
-    expect(util.loadScript(""a"")).toBeInstanceOf(Promise);
-  });
-
-  it(""should create a script tag"", (done) => {
-    util.loadScript(""foo"");
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-
-  it(""should create a link for domain preconnect"", (done) => {
-    util.loadScript(""foo"", {
-      preconnectOrigin: ""bar"",
-    });
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-
-  it(""should create a script tag with the defer attribute"", (done) => {
-    util.loadScript(""foo"", {
-      defer: true,
-    });
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-});
-
-describe(""mergeDeep"", () => {
-  it(""should merge two objects"", () => {
-    const a = { a: 1, c: { a: 1 } };
-    const b = { b: 1, c: { b: 1 } };
-    const c = util.mergeDeep(a, b);
-
-    expect(c).toMatchObject({
-      a: 1,
-      b: 1,
-      c: {
-        b: 1,
-        a: 1,
-      },
-    });
-  });
-
-  it(""should merge objects containing arrays"", () => {
-    const a = { c: [1, 2, 3] };
-    const b = { c: [4, 5], d: { b: 1 } };
-    const c = util.mergeDeep(a, b);
-
-    expect(c).toEqual({
-      c: [4, 5],
-      d: { b: 1 },
-    });
-  });
-});
-
-describe(""warn"", () => {
-  it(""should warn with a customized message prefix"", () => {
-    console.warn = jest.fn();
-    util.warn(""foo"");
-    expect(console.warn).toHaveBeenCalledWith(""[vue-gtag] foo"");
-  });
-});
-
-describe(""isFn"", () => {
-  it(""should return true"", () => {
-    expect(util.isFn(() => {})).toBe(true);
-  });
-
-  it(""should return false"", () => {
-    expect(util.isFn(""hello"")).toBe(false);
-  });
-});
-
-describe(""isObject"", () => {
-  it(""should return true"", () => {
-    expect(util.isObject({})).toBe(true);
-  });
-  it(""should return false"", () => {
-    expect(util.isObject([])).toBe(false);
-    expect(util.isObject(""aa"")).toBe(false);
-  });
-});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,166b5de0847fb00629cbadbe6945fa2194b6f275,test/__snapshots__/bootstrap.spec.js.snap,test/bootstrap.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: initial restore
","diff --git a/test/bootstrap.spec.js b/test/bootstrap.spec.js
new file mode 100644
index 0000000..585e794
--- /dev/null
+++ b/test/bootstrap.spec.js
@@ -0,0 +1,60 @@
+import { install } from ""./utils"";
+import * as utils from ""@/utils"";
+import MockDate from ""mockdate"";
+import query from ""@/api/query"";
+
+jest.mock(""@/api/query"");
+
+MockDate.set(""06-03-1997 10:00:00"");
+
+describe(""boostrap"", () => {
+  beforeEach(() => {
+    jest.spyOn(utils, ""load"").mockResolvedValue();
+  });
+
+  test(""load gtag script"", () => {
+    install({
+      config: {
+        id: ""UA-123456-7"",
+      },
+    });
+
+    expect(utils.load).toHaveBeenCalledWith(
+      ""https://www.googletagmanager.com/gtag/js?id=UA-123456-7&l=dataLayer""
+    );
+  });
+
+  test(""define library and dataLayer"", () => {
+    install();
+
+    expect(typeof window.gtag).toBe(""function"");
+    expect(Array.isArray(window.dataLayer)).toBe(true);
+  });
+
+  test(""define custom library and dataLayer"", () => {
+    install({
+      globalDataLayerName: ""myCustomDatalayer"",
+      globalObjectName: ""myCustomGtag"",
+    });
+
+    expect(typeof window.myCustomGtag).toBe(""function"");
+    expect(Array.isArray(window.myCustomDatalayer)).toBe(true);
+  });
+
+  test(""first dataLayer item is a date"", () => {
+    install();
+    expect(window.dataLayer[0]).toMatchSnapshot();
+  });
+
+  test(""gtag configuration hit"", () => {
+    install({
+      config: {
+        id: ""UA-123456-7"",
+      },
+    });
+
+    expect(query).toHaveBeenCalledWith(""config"", ""UA-123456-7"", {
+      send_page_view: false,
+    });
+  });
+});
",1,None=None
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,5d3973b5f1d5e6c496124881d52736665635f089,test/__snapshots__/utils.spec.js.snap,test/utils.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","test: update tests
","diff --git a/test/utils.spec.js b/test/utils.spec.js
new file mode 100644
index 0000000..c002155
--- /dev/null
+++ b/test/utils.spec.js
@@ -0,0 +1,96 @@
+import * as util from ""@/utils"";
+import flushPromises from ""flush-promises"";
+
+describe(""load"", () => {
+  afterEach(() => {
+    document.getElementsByTagName(""html"")[0].innerHTML = """";
+  });
+
+  it(""should return a promise"", () => {
+    expect(util.load(""a"")).toBeInstanceOf(Promise);
+  });
+
+  it(""should create a script tag"", async () => {
+    util.load(""foo"");
+
+    await flushPromises();
+
+    expect(document.head).toMatchSnapshot();
+  });
+
+  it(""should create a link for domain preconnect"", async () => {
+    util.load(""foo"", {
+      preconnectOrigin: ""bar"",
+    });
+
+    await flushPromises();
+
+    expect(document.head).toMatchSnapshot();
+  });
+
+  it(""should create a script tag with the defer attribute"", async () => {
+    util.load(""foo"", {
+      defer: true,
+    });
+
+    await flushPromises();
+
+    expect(document.head).toMatchSnapshot();
+  });
+});
+
+describe(""mergeDeep"", () => {
+  it(""should merge two objects"", () => {
+    const a = { a: 1, c: { a: 1 } };
+    const b = { b: 1, c: { b: 1 } };
+    const c = util.mergeDeep(a, b);
+
+    expect(c).toMatchObject({
+      a: 1,
+      b: 1,
+      c: {
+        b: 1,
+        a: 1,
+      },
+    });
+  });
+
+  it(""should merge objects containing arrays"", () => {
+    const a = { c: [1, 2, 3] };
+    const b = { c: [4, 5], d: { b: 1 } };
+    const c = util.mergeDeep(a, b);
+
+    expect(c).toEqual({
+      c: [4, 5],
+      d: { b: 1 },
+    });
+  });
+});
+
+describe(""warn"", () => {
+  it(""should warn with a customized message prefix"", () => {
+    console.warn = jest.fn();
+    util.warn(""foo"");
+    expect(console.warn).toHaveBeenCalledWith(""[vue-gtag] foo"");
+  });
+});
+
+describe(""isFn"", () => {
+  it(""should return true"", () => {
+    expect(util.isFn(() => {})).toBe(true);
+  });
+
+  it(""should return false"", () => {
+    expect(util.isFn(""hello"")).toBe(false);
+  });
+});
+
+describe(""isObject"", () => {
+  it(""should return true"", () => {
+    expect(util.isObject({})).toBe(true);
+  });
+  it(""should return false"", () => {
+    expect(util.isObject([])).toBe(false);
+    expect(util.isObject(""aa"")).toBe(false);
+  });
+});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,3aede7e2915ec8db3187b3f495490ebca71da253,test/__snapshots__/register-globals.spec.js.snap,test/register-globals.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: globals
","diff --git a/test/register-globals.spec.js b/test/register-globals.spec.js
new file mode 100644
index 0000000..d7b9148
--- /dev/null
+++ b/test/register-globals.spec.js
@@ -0,0 +1,88 @@
+import { createLocalVue } from ""@vue/test-utils"";
+import VueGtag from ""@/index"";
+import flushPromises from ""flush-promises"";
+import * as api from ""@/api"";
+import mockDate from ""mockdate"";
+
+mockDate.set(""2021-04-20 10:00:00"");
+
+jest.mock(""@/api"");
+
+describe(""registerGlobals"", () => {
+  beforeEach(() => {
+    delete window.gtag;
+    delete window.dataLayer;
+  });
+
+  afterEach(() => {
+    jest.clearAllMocks();
+  });
+
+  test(""register global dataLayer and globalObject"", () => {
+    const localVue = createLocalVue();
+
+    localVue.use(VueGtag, {
+      config: {
+        id: 1,
+      },
+    });
+
+    expect(window.gtag).toBeDefined();
+    expect(window.dataLayer).toBeDefined();
+  });
+
+  test(""register globalObject with custom name"", () => {
+    const localVue = createLocalVue();
+
+    localVue.use(VueGtag, {
+      globalObjectName: ""foo"",
+      config: {
+        id: 1,
+      },
+    });
+
+    expect(window.foo).toBeDefined();
+    expect(window.dataLayer).toBeDefined();
+  });
+
+  test(""register dataLayer with custom name"", () => {
+    const localVue = createLocalVue();
+
+    localVue.use(VueGtag, {
+      globalDataLayerName: ""bar"",
+      config: {
+        id: 1,
+      },
+    });
+
+    expect(window.gtag).toBeDefined();
+    expect(window.bar).toBeDefined();
+  });
+
+  test(""first hit is current date"", () => {
+    const localVue = createLocalVue();
+
+    localVue.use(VueGtag, {
+      config: {
+        id: 1,
+      },
+    });
+
+    expect(window.dataLayer).toMatchSnapshot();
+  });
+
+  test(""optOut when disabled"", async () => {
+    const localVue = createLocalVue();
+
+    localVue.use(VueGtag, {
+      enabled: false,
+      config: {
+        id: 1,
+      },
+    });
+
+    await flushPromises();
+
+    expect(api.optOut).toHaveBeenCalled();
+  });
+});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,31fb5cd6225f6f38f5638730ed2b21826278e488,test/__snapshots__/options.spec.js.snap,test/options.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","test: fix snapshots
","diff --git a/test/options.spec.js b/test/options.spec.js
new file mode 100644
index 0000000..6e7b4b7
--- /dev/null
+++ b/test/options.spec.js
@@ -0,0 +1,21 @@
+import { getOptions, setOptions, getDefaultParams } from ""@/options"";
+
+describe(""options"", () => {
+  afterEach(() => {
+    jest.clearAllMocks();
+  });
+
+  test(""getDefaultParams"", () => {
+    expect(getDefaultParams()).toMatchSnapshot();
+  });
+
+  test(""set and get options"", () => {
+    setOptions({ config: { id: 1 } });
+    expect(getOptions()).toMatchSnapshot();
+  });
+
+  test(""should get default options"", () => {
+    setOptions();
+    expect(getOptions()).toEqual(getDefaultParams());
+  });
+});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,166b5de0847fb00629cbadbe6945fa2194b6f275,__tests__/__snapshots__/install.spec.js.snap,__tests__/install.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: initial restore
","diff --git a/__tests__/install.spec.js b/__tests__/install.spec.js
deleted file mode 100644
index 7e93a05..0000000
--- a/__tests__/install.spec.js
+++ /dev/null
@@ -1,50 +0,0 @@
-import { getVue, getRouter, install, getOptions, setRouter } from ""@/install"";
-import bootstrap from ""@/bootstrap"";
-import extend from ""@/extend"";
-
-jest.mock(""@/extend"");
-jest.mock(""@/bootstrap"");
-
-describe(""install"", () => {
-  afterEach(() => {
-    jest.clearAllMocks();
-  });
-
-  it(""should have default options"", () => {
-    expect(getOptions()).toMatchSnapshot();
-  });
-
-  it(""should return VueRouter"", () => {
-    install(null, null, { foo: ""bar"" });
-    expect(getRouter()).toEqual({ foo: ""bar"" });
-  });
-
-  it(""should set VueRouter"", () => {
-    const router = { foo: ""bar"" };
-
-    install();
-    setRouter(router);
-
-    expect(getRouter()).toEqual(router);
-  });
-
-  it(""should return Vue"", () => {
-    install({ foo: ""bar"" });
-    expect(getVue()).toEqual({ foo: ""bar"" });
-  });
-
-  it(""should call extend"", () => {
-    install();
-    expect(extend).toHaveBeenCalled();
-  });
-
-  it(""should call bootstrap"", () => {
-    install();
-    expect(bootstrap).toHaveBeenCalled();
-  });
-
-  it(""should not bootstrap"", () => {
-    install(null, { bootstrap: false });
-    expect(bootstrap).not.toHaveBeenCalled();
-  });
-});
",0,
294,863b7d34e9a301ff0b015aea786c2cf12cad9354,166b5de0847fb00629cbadbe6945fa2194b6f275,__tests__/__snapshots__/util.spec.js.snap,__tests__/util.spec.js,"I rewrote the whole thing, fixed some weird bugs and tested it properly","refactor: initial restore
","diff --git a/__tests__/util.spec.js b/__tests__/util.spec.js
deleted file mode 100644
index 7ed1504..0000000
--- a/__tests__/util.spec.js
+++ /dev/null
@@ -1,99 +0,0 @@
-import * as util from ""@/util"";
-import flushPromises from ""flush-promises"";
-
-describe(""loadScript"", () => {
-  afterEach(() => {
-    document.getElementsByTagName(""html"")[0].innerHTML = """";
-  });
-
-  it(""should return a promise"", () => {
-    expect(util.loadScript(""a"")).toBeInstanceOf(Promise);
-  });
-
-  it(""should create a script tag"", (done) => {
-    util.loadScript(""foo"");
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-
-  it(""should create a link for domain preconnect"", (done) => {
-    util.loadScript(""foo"", {
-      preconnectOrigin: ""bar"",
-    });
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-
-  it(""should create a script tag with the defer attribute"", (done) => {
-    util.loadScript(""foo"", {
-      defer: true,
-    });
-
-    flushPromises().then(() => {
-      expect(document.head).toMatchSnapshot();
-      done();
-    });
-  });
-});
-
-describe(""mergeDeep"", () => {
-  it(""should merge two objects"", () => {
-    const a = { a: 1, c: { a: 1 } };
-    const b = { b: 1, c: { b: 1 } };
-    const c = util.mergeDeep(a, b);
-
-    expect(c).toMatchObject({
-      a: 1,
-      b: 1,
-      c: {
-        b: 1,
-        a: 1,
-      },
-    });
-  });
-
-  it(""should merge objects containing arrays"", () => {
-    const a = { c: [1, 2, 3] };
-    const b = { c: [4, 5], d: { b: 1 } };
-    const c = util.mergeDeep(a, b);
-
-    expect(c).toEqual({
-      c: [4, 5],
-      d: { b: 1 },
-    });
-  });
-});
-
-describe(""warn"", () => {
-  it(""should warn with a customized message prefix"", () => {
-    console.warn = jest.fn();
-    util.warn(""foo"");
-    expect(console.warn).toHaveBeenCalledWith(""[vue-gtag] foo"");
-  });
-});
-
-describe(""isFn"", () => {
-  it(""should return true"", () => {
-    expect(util.isFn(() => {})).toBe(true);
-  });
-
-  it(""should return false"", () => {
-    expect(util.isFn(""hello"")).toBe(false);
-  });
-});
-
-describe(""isObject"", () => {
-  it(""should return true"", () => {
-    expect(util.isObject({})).toBe(true);
-  });
-  it(""should return false"", () => {
-    expect(util.isObject([])).toBe(false);
-    expect(util.isObject(""aa"")).toBe(false);
-  });
-});
",0,
