pr_number,pr_head_commit,commit_hash,snap_path,source_path,pr_description,commit_message,diff_text,reverted,revert_type
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/attributes-option.test.js.snap,test/attributes-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/esModule-option.test.js.snap,test/esModule-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/interpolate-option.test.js.snap,test/interpolate-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/loader.test.js.snap,test/loader.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/minimize-option.test.js.snap,test/minimize-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/root-option.test.js.snap,test/root-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,43ea663a20351a4b49c775545bb88640092f891b,test/runtime/__snapshots__/getUrl.test.js.snap,test/runtime/getUrl.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
","diff --git a/test/runtime/getUrl.test.js b/test/runtime/getUrl.test.js
new file mode 100644
index 0000000..64f3819
--- /dev/null
+++ b/test/runtime/getUrl.test.js
@@ -0,0 +1,14 @@
+import getUrl from '../../src/runtime/getUrl';
+
+describe('getUrl', () => {
+  it('should work', () => {
+    expect(getUrl(true)).toMatchSnapshot();
+    expect(getUrl(null)).toMatchSnapshot();
+    // eslint-disable-next-line no-undefined
+    expect(getUrl(undefined)).toMatchSnapshot();
+    expect(getUrl('image.png')).toMatchSnapshot();
+    expect(
+      getUrl({ default: 'image.png', __esModule: true })
+    ).toMatchSnapshot();
+  });
+});
",0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/attributes-option.test.js.snap,test/attributes-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/esModule-option.test.js.snap,test/esModule-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
223,43ea663a20351a4b49c775545bb88640092f891b,631a1539456912ed224e505ab2fdd6ab6704117e,test/__snapshots__/interpolate-option.test.js.snap,test/interpolate-option.test.js,"<!--
  HOLY CRAP a Pull Request. We ❤️ those!

  If you remove or skip this template, you'll make the 🐼 sad and the mighty god
  of Github will appear and pile-drive the close button from a great height
  while making animal noises.

  Please place an x (no spaces!) in all [ ] that apply
-->

This PR contains a:

- [ ] **bugfix**
- [ ] new **feature**
- [x] **code refactor**
- [x] **test update** <!-- if bug or feature is checked, this should be too -->
- [ ] **typo fix**
- [ ] **metadata update**

### Motivation / Use-Case

It is reduce bundle size when you use more than 1 html module

### Breaking Changes

No

### Additional Info

No","refactor: code
",,0,
